comment,noun,adj,verb
고양이도 잘그리셨는데ㅠㅜ,['고양이'],[],['그리다']
여기 진짜 개비쌈 네일스티커 동대문가면 천원퀄 파는거 2만원이고 팔찌도 몇백원하는거 몇만원씩 팜,"['여기', '진짜', '개비', '쌈', '네일', '스티커', '동대문', '가면', '천원', '퀄', '팔찌', '백원', '만원']",[],"['팔다', '하다', '파다']"
2만원....,[],[],[]
4:45 건널 수 없는 강을 건너는..게 아니고 돌아올 수 없는 강을 건너는...,"['강', '게', '강']","['없다', '아니다', '없다']","['건너다', '건너다', '돌아오다', '건너다']"
수수 너무 이뻣는데... ㅠㅠㅠ 힝,"['수수', '뻣', '힝']",[],['늘다']
라뮤끄님은 볼때마다 정말 섬세.. 그런데 온유님은 볼때마다 너무 궁금했는데 예전에 스타일리스트하셨던 건지 원래 인맥이 좋으신건지 아티스트들이랑 많이 친하기도 하시고 유명하신 것 같은데 이유가 뭔가요?😭,"['라뮤끄님', '볼때', '정말', '섬세', '온유', '볼때', '예전', '스타일', '리스트', '원래', '인맥', '신건', '아티스트', '이유', '뭔가']","['궁금하다', '좋다', '친하다', '유명하다', '같다']","['하다', '건지다', '하다']"
헐.. 라뮤끄님 고향이 천안이라니 저두 천안인데 괜히 반갑네늉,"['라뮤끄님', '고향이', '천안', '천안', '늉']",['반갑다'],['헐다']
며칠전에 학교선배랑 술먹다가 에크멀립스틱 추천했는데 동기라고해서 깜짝놀랬어여! 첨알았어여 ㅋㅋㅋㅋㅋ 섬세완벽한 메이크업이다했는데 역시 미대라그럴까여,"['며칠', '학교', '선배', '술', '립스틱', '추천', '동기', '깜짝', '섬세', '메이크업', '역시', '미대']","['멀다', '놀래다', '완벽하다', '그렇다']","['먹다', '하다', '하다', '알다', '하다']"
Cute idea! The studio is cute. You're so good! You paint really well. I love the cats!!,[],[],[]
여기 임블리가 갔던 곳이네효ㅎㅎ,"['여기', '임블리', '곳', '효']",[],['가다']
운동화 너무 예쁜데요?!><ㅋㅋㅋㅋ저도 흰색운동화나 기본템사서 따라해봐야겠어요~~~👍👍,"['운동화', '흰색', '운동화', '기본', '템', '사서']",['예쁘다'],"['따르다', '해보다']"
Sooo beautiful 😍💕 what a fun project! I'm gonna try this 😊🌱,[],[],[]
재밌겠다ㅜㅜ,[],['재밌다'],[]
흰색칠할때 사용하신 붓 정보 궁금해요!!! 집에서 꼭 해보고 싶어용!,"['흰색', '사용', '붓', '정보', '집', '꼭']","['칠하다', '궁금하다']","['하다', '해보다', '싶다']"
진짜 너무 이쁘네용ㅠㅠ 저두 하구싶어용,['진짜'],['이쁘다'],['하다']
온유님을 여기서 뵙다니... 전직 미대생으로써 너무재밌어요 ..❤️❤️,"['온유', '여기', '전직', '미대', '생']",['재밌다'],['뵙다']
라뮤끄님 혹쉬... 귀걸이 정보 알슈있을까요...? ㅠㅠㅠㅠㅠ,"['라뮤끄님', '혹쉬', '귀걸이', '정보', '알슈']",['있다'],[]
제가 팔로우하는 두분의 콜라보라니 저도 함께하고싶어용♡,"['팔로우', '콜라보']",[],"['하다', '하다', '싶다']"
온유님 블라우스 엄총이뿌네용 라뮤끄님두 피부존좋.. 대리만족즁,"['온유', '블라우스', '엄총', '라뮤끄님', '피부', '존', '대리', '만족', '즁']","['이뿌다', '좋다']",[]
라뮤끄언니 슬의에 채송화(전미도 님) 많이닮으신거같아요💗!!,"['뮤', '언니', '슬의', '채송화', '미도']",['같다'],"['끄다', '닮다']"
언니..귀여웡..❤️거기에 패션센스까지..!,"['언니', '귀여웡', '거기', '패션센스']",[],[]
커스텀 신발 너무 귀여워요!!,"['스텀', '신발']",['귀엽다'],['크다']
아이고 예쁘다❤️ㅎㅎ,[],['예쁘다'],[]
언니 너무 좋아효~~~~~🥰,"['언니', '효']",['좋다'],[]
"오와아아 ??온유님이랑도 친분있으셔요오 ?? 
신발보고 온유님이그렸는데 했는데 진짜 온유님등장✨ 아 머쉬룸이 새 작업실이었네요 인스타에서보구 새로운 인테리어샵인줄알랐네여ㅎㅎ","['온유', '도', '친분', '신발', '보고', '온유', '진짜', '온유', '등장', '머쉬룸', '새', '작업실', '인스타', '보구', '인테리어', '줄알랐']","['있다', '새롭다']","['그리다', '하다', '이다']"
헝 언니 기다렸어요ㅠ,"['헝', '언니']",[],['기다리다']
온유님 너무 귀여워ㅜㅜㅠ,['온유'],['귀엽다'],[]
"No entendí casi nada, pero igual me gusto jsjs",[],[],[]
저거 해보고프다...,[],['고프다'],['해보다']
so cute!! w,[],[],[]
제니 ❤️,['제니'],[],[]
1빠!!!,['빠'],[],[]
Great place!!🤩👍🏻,[],[],[]
따라하고싶다,[],[],"['따르다', '싶다']"
네일스티커 2만윈 개오바,"['네일', '스티커', '바']",[],['개다']
Jennie trendsetter,[],[],[]
"언니가 하면 오드아이,, 내가 하면 렌즈 잘못 낀 사람,,","['언니', '오드아이', '렌즈', '잘못', '사람']",[],"['하다', '하다', '끼다']"
