,youtube_id,comment,like_num
0,areumsongee아름송이,다들 코로나 조심😷힘내자구용!!!,197개
1,김효정,"항상 조용히 잘 보다가 처음 댓글 남기는데,, 강아지 때문에 수원으로 이사가셨다니 정말 쉽지 않은 결정이셨을텐데 강아지를 너무 사랑하시는게 느껴지네용 저두 강아지를 키우는 입장으로서 넘 존경스럽고 감동이에요!! 항상 잘 보고있습니다 ㅎㅎ",152개
2,kymrenthlei,"hi, I'm your fan from India♡",10개
3,Irenegiring,hello 👋 missing you. stay safe ♥️,5개
4,,"今日もとってもかわいいいいい💕💕💕

春から大学生になるので参考にします！",45개
5,달동,10:07 꼬르륵 소리 넘나리 생생한것 아님니까..! 내 꼬르륵 소린줄 알구 2번 돌려 들어써욥 ㅎ.ㅎ,49개
6,HiimNatsuki,"とても、かわいいです。
いつも日本から応援しています📣🥰
メイクがとても丁寧で参考になります。芸術！！
コロナウィルスの影響で、外出自粛なので家にいる事が多く、YouTubeみて暇を潰しているので嬉しいです。
次の動画も楽しみにしています💜",7개
7,윤뿜뿜,"언닌 진짜 눈썹미인 ✌️❤️
이사한거 축하해요옹오 🎉  강아지들위해서 이사한게 반려견 진심으로 위하는 맘이 느껴져서,,  예뻐요 ㄴ ,, ❤️",8개
8,Harryadore,입술색 나랑 똑같다.. 뭘 발라도 칙칙하고 탁해서 연하고 청초하걸 발라도 시간 쫌만 지나면 보라빛검정빛이 스멀스멀 올라옴..,83개
9,김연서,❤❣,3개
10,어쩔방구,세상에 얼굴이 존예탱구린데요,16개
11,ItsukI,언니의 데일리 메이크업이 재일 진짜 좋다,5개
12,에뛰드ETUDE,송이님 이사추카포카🎉 뉴하우스에서도 뛰드사랑포에버🙌💕,6개
13,l74s,かなり好みなcolor😮こんなメイクを待ってた😳,13개
14,riko리코,"日本のファンです！
일본 팬입니다.
너무 귀엽고 사랑 해요",29개
15,민지쿠MinJiKu,꺄 이사하신 거 축하드려요! 아름송이님 립바를 때가 넘 재밌오요🌸 핑크메이크업 넘죠음!ㅠㅠ 코로나 조심하세요!!😷,31개
16,정아연,이사한집 집소개 해주세용,17개
17,,可愛すぎる…優勝🏅,3개
18,,可愛い😍😍😍😍日本語字幕求む✨,32개
19,박공주,언니 존예탱규리😘😘❤️,7개
20,aryepsun,"역시 아이라인=한아름송이♥
진짜 내 기준 우리나라에서 아이라인 제일 잘 그림ㅠㅠ
아이라인 영상 존버합니다ㅠㅠ",19개
21,서영,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜㅜㅜㅜㅜㅜㅜ요즘 왤케 맨날 겟레디 올려줘요 너무 좋게ㅠㅠㅠㅠㅜㅠㅠㅜㅜㅜㅜㅜㅜㅜㅜ아름송이님 겟레디가 진짜 거짓말 아니구 제일 재밌고 편안하고 도움 되는것 같아요🥰 재밌게 볼게요!!❤️ 행복한 하루 보내시구 좋은일만 가득가득하세용!!😊,4개
22,J6i5K0m5,이뻐욤 ... 말 하는것도 너무 이뻐요 ㅠㅠㅠㅠㅠㅠ,4개
23,도유정,"아름송이님 프롬 투데이 어성초토너 사서 정말 잘쓰고 있어요 !! 분사력, 향, 흡수력, 촉촉함 다 맘에들어요✨ 벌써부터 재구매각입니다,,",11개
24,가현킴,오늘따라 쌩얼피부가 되게 맑아보여요!!!!!,12개
25,,かわいい(◜ᴗ◝ ),7개
26,시옷,요즘 메이크업이 좀 뮤트한 색감이라고 해야 할까요 메이크업이 거의 다 비슷해 보여요... 가끔 다를 때도 있지만 거의 반의 영상이 이 색감이더라구요 ㅠㅠ 다양한 메이크업을 보여주셨으면 좋을 거 같아요!,21개
27,이지은,수원!!!!! 수원도 조쵸 영기언니 사는 곳 아닌가요?? 쨋든 언니 이사 완전 축하해여!!!,4개
28,윤민하,헐헐! 언니 피부 더 좋아졌어요ㅜㅜㅜㅜ❤❤,6개
29,민서minseo,"요즘 일주일에 한번씩 언니영상,,햄볶해..❤️",5개
30,우현지,블랙헤드 관리 어떻게 하시나요??,9개
31,쭈야JJOOYAsMAKEUP,오늘 메이컵 연하면서 너무 이뻐요💗💗💗,7개
32,bledia,"日に焼けてたの戻って白くなった？？
めちゃめちゃ可愛い
リップの色超好み💗",10개
33,saniipeachyy,💞❤️💗💖,1개
34,왜즈아꾸니가신경쓰이지,이사 걱정할필요없어요 저도 수원 사는데 와 ㅠㅠㅠㅠㅠㅠㅠ 송충이랑 같은 지역이라고 생각하세용 ㅎㅎㅎ,3개
35,정화,이번 영상도 어김없이 메이크업 레전드가 되었다고 한다........너무 이뻐서 돌아버리다......,1개
36,justyunki,"You're sooo pretty, kisses from Spain❤❤",0개
37,ddddd,벽지나 아이콘에 아름송이 씨의 사진을 사용해도 될까요?,2개
38,,韓国人のYouTuberの中で一番好き,1개
39,tmfc,10:08 꼬르륵 소리,8개
40,잉원필,언니 화장하는 영상은 항상 가까이에서 색감잘보이게 찍어주셔서 너무 좋은것같아요!,1개
41,1pick,"すごい可愛い!!!!!!!!!
メイクも友達と遊ぶ時に参考にしたい💖",0개
42,김수빈,진짜.. 솔직히요즘 브이로그나보면서 좋으신분아라는걸 그전에도 당연히 알고있었지만 오늘 영상특히 강아지를위해서ㅠㅠㅜ 하 진짜 좋으신분인것같아요🥰 오늘도 영상 잘 보고가욥ㅠㅠㅜ 늦어서 죄송해요...❤,5개
43,hj0115,아오 누가 우리 건들여 응응? 꿀밤때린다!,1개
