comment,noun,adj,verb
"한번 입고 늘어나는 재질이 아닌 소재에 많이 신경썼고, 브랜드 경력이 많으신 디자이너분께서 제가 말씀드린대로 디자인 도와주셨습니다💚 받으시는 연두부님들께 진심이전해졌음 좋겠습니다 💓","['한번', '재질', '소재', '신경', '브랜드', '경력', '디자이너', '디자인', '두부', '진심']","['아니다', '많다', '좋다']","['입다', '늘어나다', '써다', '말씀드리다', '도와주다', '받다', '들다', '전해지다']"
우리 연두콩이 응원해 💕너무 예쁘답!!,"['우리', '콩', '응원']",['예쁘다'],['하다']
브랜드이름이... 이십대 후반이 입기엔 조금 뷰끄러워요ㅠㅠㅠㅠ 언니는 동안이기라도하지,"['브랜드', '이름', '십대', '후반', '조금', '뷰', '워', '언니', '동안', '이기']",[],"['입다', '끄다', '하다']"
"언니 솔직히 말해요 언니 서른 아니죠 공삼년생이죠 언니라고 부르는 것 조차 죄책감들어요,, 지금 온라인 개학해서 수업듣고있죠? 유튜브도 온라인 수업중에 몰래 업로드한 거 다 알아요!! (૭ ᐕ)૭","['언니', '말', '언니', '서른', '년생', '언니', '조차', '죄책감', '지금', '온라인', '개학', '수업', '유튜브', '온라인', '수업', '몰래', '업로드']","['솔직하다', '아니다']","['하다', '부르다', '들다', '하다', '듣다', '알다']"
"이언니 진짜 나돈쓰게하네 화







려한조명이연두콩을감싸네","['이언', '진짜', '나돈', '화', '려', '조명', '이연두', '콩']",[],"['쓰다', '하다', '감싸다']"
독특한옷을 좋아하는편인데 오히려 컬러감과 로고하나로 할거 다했지만 베이직한 디자인이라서 너무 좋아요 후 한두벌만 사려고 했는데 다 사야겠자너.. 내 옷장 책임져 ..,"['옷', '편', '오히려', '컬러', '감', '로고', '하나로', '베이직', '디자인', '후', '벌', '사려', '옷장']","['독특하다', '좋아하다', '좋다']","['하다', '하다', '하다', '사다', '책임지다']"
가운데 로고 있는 반팔티셔츠 하나가 삼만원... 데님스커트는 오만원... 진짜 비싸네요 소재가 엄청 좋은건가요? 이해가 안가는..,"['가운데', '로고', '티셔츠', '하나', '삼만원', '데님', '스커트', '오만원', '진짜', '소재', '건가', '이해']","['있다', '비싸다', '좋다']",['가다']
헤ㅔㅔ 옷은 이쁜데 넘 비싸다 하나에 3만원이 넘다니ㅜㅜ,"['헤', '옷', '하나']","['이쁘다', '비싸다']","['넘다', '넘다']"
기회가 된다면 그립톡도 만들어주세요❤ 베리영모양에 맞는 하트모양 그립톡이요!!,"['기회', '톡', '베리', '모양', '하트', '모양', '톡']",[],"['되다', '그리다', '만들다', '맞다', '그리다']"
"옷 아이템 빨리 보고싶으신 분들 1:46부터🍇
베리영 구매 sandbox.direct/berryyoung_shop 
쿠키영상도 꼭 봐주세유💚💚","['옷', '아이템', '부터', '베리', '구매', '쿠키', '영상', '꼭', '유']",[],"['보다', '보다']"
언니 정말 본인이 입고싶은 옷을 만드셨다는 그 말 이 사실이라는게 보여요 ㅠㅠ 정말 아이템 하나하나 신경쓴게 보이고 다 실용적이네요!! 본인이 입는것 아니라고 대충 만들고 이름값 이용해서 비싸게 파는 분도 있던데...ㅠ 정말 이 브랜드 신뢰가 가네요🍇🍓 베리영 화이팅 애용할게요!!!♥️,"['언니', '정말', '본인', '옷', '말', '사실', '게', '정말', '아이템', '하나', '하나', '신경', '보이', '실용', '본인', '대충', '이름', '값', '이용', '분도', '정말', '브랜드', '신뢰', '베리', '화이팅', '애용']","['아니다', '비싸다', '있다']","['입다', '만들다', '보이다', '쓴다', '적다', '입다', '만들다', '하다', '팔다', '가다', '하다']"
어머 진짜 핵소름. 언니.. 저도 꿈이 예쁜 할머니로 늙는건데..옷잘입고 멋있는 할머니루..♡ 키가 168이지만유 티샤스는 입을수 있겠구만유👍 수고많이하셨어유!,"['어머', '진짜', '핵', '소름', '언니', '꿈', '할머니', '옷', '할머니', '루', '키', '만유', '티샤스', '유', '수고', '어유']","['예쁘다', '멋있다', '이다', '있다']","['늙다', '입다', '하다']"
She looks younger than me and I'm 16 😭,[],[],[]
언니 ㅠㅠㅠ 옷 너무 예쁘고 제스타일이라서 너무 사고싶은데 옷이 한사이즈라서 너무 아쉬워요 ㅠㅠ 제 키가 174라서 너무 아쉬워요 ㅠ  저같은 사람이 많을 것 같은데 2사이즈로 해서 지금 사이즈랑 큰사이즈 내주시면 안될까요🙏🙏존버할게요 ㅠㅠ,"['언니', '옷', '스타일', '옷', '사이즈', '키', '라서', '사람', '사이즈', '지금', '사이즈', '사이즈', '존버할게']","['예쁘다', '아쉽다', '아쉽다', '같다', '많다', '같다', '안되다']","['사다', '하다', '크다', '내주다']"
숏팬츠 허리 잡아주는 부분이 넓어서 진짜 좋은거 같아서 허리도 얇아보이고 제 뱃살도...ㅎㅎㅎ 티셔츠 색도 너무 이뻐요 세트로 바로 주문해야겠네요!!!,"['숏', '팬츠', '허리', '부분', '진짜', '허리', '보이', '뱃살', '티셔츠', '색도', '세트', '바로', '주문']","['넓다', '좋다', '같다', '얇다', '이쁘다']","['잡다', '하다']"
"여러분 저건 저 언니가 입어서 이쁜겁니다













그러니까 사요!","['여러분', '저건', '언니']",['이쁘다'],"['입다', '겁니다']"
