,youtube_id,comment,like_num
0,헤이즐Heizle,"물욕없는 요즘... 이랬지만 언제 또 차오를지 모르는 물욕쓰...ㅎㅎㅎㅎㅎ😭😱
올해들어 구매했던 쇼핑템들 쫙 보여드립니당~!!
기다려 주셔서 감사해용!!🙏

랍유 헤이즐넛!!🦋💙",214개
1,호이호이잇,"와,,앞머리있으니까 진짜 안그래도 여백없는 얼굴 더 꽉꽉차보여요,,,,💙오늘도 놀라고갑니다... 갑자기 앞머리 뽐뿌오지만,,, 헤이즐언니니까 소화가능한 것...크킄,,, 솔직히 가방이랑 옷 눈에 별로 안들어와요...언니만 계속 보게돼,,,🥴💛",7개
2,박지현,믿고보는헤이즐 온니❣!! 명품하울은 사랑입니다❤ 기다리고 있었어요😂 앞머리 헤이즐 언니 넘나 알음다운거 아입니까!!?ㅎㅎ 영상 넘나 잘 보구 갑니당😄,27개
3,헤이즐Heizle,English subtitles are complete!👍😍❤️,70개
4,,흑발에 앞머리 미쳤다 영원히 박제해야돼 리틀한예슬이냐고요!!!!!@,3개
5,김호연,"진짜 언니는 루이비통 원피스 너무 잘 어울려,,, 전에도 봤지만 정말 너무너무 잘 맞앙...",6개
6,루시,"우오ㅓ 언니 영상 기다렸어요❣️
어제 인스타 라이브 넘 잘 봤어요💕
진짜 요즘 언니 미모 물 올랐어요 😦
원래도 존예였지만❣️
리즈인 듯요💖헤이즐 리즈 시절에 이렇게 있다니
행복하다💗",9개
7,구도연,아ㅠㅠ 너무 좋아ㅠㅠ 진짜 뭔가를 좋아하는 헤이즐이 너무 멋있어요ㅠㅠ 오늘도 영상 고맙습니다~~,3개
8,XIANC,I'm so early there aren't even english subtitles yet,14개
9,ASophie,물욕없는 헤이즐의 귀한 픽이라 고마워요!!💙 우리 언니가 쵝오얌!!!👍🏻👍🏻👍🏻👍🏻,68개
10,TaeinLee,앞머리 완전 잘어울려요! 5살은 더 어려보이시는듯..?!,4개
11,후르쯔테일FRUITTAIL,퐤션..하울..진짜 완전 오랜만이네욥!!!! 한창 이즐화실에..푹 빠져버린바람에...!!! 자기전에 영상 잘보구자욥!!! 마침 딱 즈하언니랑 헤이즐언니랑..오늘 영상이..ㅠㅠ 행보케... 흙..❤😘😘😍,3개
12,버블다미,"언니 사랑해유 진짜 너무 이쁘구 언니 얼굴이 명품이에오 언니 얼굴 얼마인가요



+좋아요  20 감사합니다!!!
+좋아요 30  감사해요!!!!!!",30개
13,강팔춘,"언니~ 언니 취향 옷들을 보면 다들 규칙적인 패턴이나 화려한 패턴이 있고, 악세사리들도 다들 키치 한것 같아요! 제가 그런 스타일의 옷들을 되게 좋아하는데 저한텐 뭔가 투머치해보이고 안어울리더라구요 ㅜㅜ 저런 아이템들을 매치해서 평소에 꾸안꾸처럼 입을수 있도록 매치하는 영상 한번 올려주심 좋겠어요!",9개
14,김유림,"루이비통 원피스 진짜 진짜 진짜 너무 이뻐요
 헤이즐언니한테 정말 잘 어울려영💕💕💕💕💕",2개
15,김가현,진짜 믿고보는 헤이즐하울...💕 ))언니 하울을 보면 제가 물욕이 차오른다니까용~~,3개
16,Nana나나,"Yayyy!! I love this one, thank youuu",1개
17,척추기립근,와 셀린느 가방 진짜 예쁘네요,4개
18,in,헤이즐님이 명품이셔서 아무 옷이나 입거나 가방 매고 다녀도 명품💰,2개
19,JL,"9:40 그냥.... 헤이즐 언니 또 헤이즐 했다! 언니 옷 가끔은 엥? 할 때가 있는데, 언니가 입은 사진 보면 아~ 하고 이해가 된다. 내가 입었으면 도마뱀 같았을 옷 😭 옷이 오히려 언니를 입은 느낌? 언니 너무 예뻐요.. 아니 너무 헤이즐 해요 😍",2개
20,김언지,"뭐지 이 빛이나는 이쁨은 놀라서 자동으로 눌렀다..
(물론 원래였어도 눌렀겠지만 ㅎㅎ)",27개
21,백일몽,"하...언니...이렇게 이쁘면 어떻게 안 반하냐구... 진짜... 풀뱅은 또 뭐냐구ㅠㅠㅠㅠ
진짜 이즐언니 이쁘고 매력적인걸로는 무기징역이야♡♡",17개
22,princess,내가 본 사람중에 명품이 제일 잘 어울리시는 분 ✨✨,22개
23,혜정,역시 믿고 보는 헤이즐님 하울👍🏻💛 언니 가방 몽땅 소개로 보고 싶어요~!!!!,3개
24,hnaaaK,"언니 명품하울은 단순히 부럽다,이쁘다로 끝나는것보다 되게 각 브랜드마다 가지고있는 특징속에 매번,각각 다른게 표현되는 디테일을 쉽게 설명해주니까 더 신기하구 지루하지도않구 색감 이쁘고 재밌는잡지보는 기분..? 그냥 24분이 순삭이에용..♡",2개
25,엘주,21:23 내 킬포💙,2개
26,이하연,앞머리 내린 단발 헤어스타일로 오마이걸 비니메이크업 해주세용~💙,2개
27,쏭이SSONGE,헐.. 명품옆에서 헤이즐님이 더 명품같아요.. 진짜 고급스럽게 이쁘셔요 ㅠㅠ,17개
28,euls,말레피센트 현실판은 헤이즐이다🖤,41개
29,룩쥬류,아니 이번 썸넬보고 찐텐 한예슬인줄 들어와서 앎ㅋㅋㅋㅋ,2개
30,데린이,언니 가발쓴건가요?? 넘나 잘 어울려서 가발인지 아닌지 헷갈림.. 썸넬보고 톤다운한줄알고 바로 텨왔습니다!!💞,20개
31,,앞머리 내린거 진짜 요정 그 자체🧚‍♀️,12개
32,김혜원,남자지만 여자명품하울 보는 게 재밌는 헤이즐 누나의 명품하울😊,1개
33,김유리,"아 진짜 개이뻐,,,, 사랑해요,,,,,,",3개
