comment,noun,adj,verb
Imagine being this talented and pretty I--,[],[],[]
"💜 Pony’s Playlist 💜
Crush - Ibiza
Moon - Day n Nite (ft. Sik K)
Boyz II Men - Relax your mind (ft. Faith Evans)
Moon - Now
Mae Muller - Therapist
Ella Mai - Shot clock
소피야 (Sophiya) - Overlap
진보 - 말하자면 (ft. Crush, Hoody)
CHIMMI (취미) - Secret
에이프릴 (APRIL) - LALALILALA
우주소녀 - 비밀이야 (Secret)
우주소녀 - 부탁해
이달의 소녀 오드아이써클 - Sweet Crazy Love
DeBarge - I Like it
Golden - Tequila (ft. Hoody)
Mya - My Love is Like... Wo
Nathania - loveyoubuthateyou
DPR LIVE - KISS ME
SZA, Justin Timberlake - The Other Side","['소피야', '진보', '말', '취미', '에이프릴', '우주소녀', '비밀', '우주소녀', '부탁', '달', '소녀', '오드아이', '써클']",[],"['하다', '하다']"
Now I have to follow Pony’s Instagram so I don’t miss out on these stories! 💕🥰,[],[],[]
Its nice that she uploads her insta live in yt. Cuz people like me don't have insta.,[],[],[]
그냥 흥얼거리는 목소리도 예술이네요..실력이 대단하신듯...대체 포니님 재능은 어디까지인가요~~,"['그냥', '목소리', '예술', '실력', '대체', '포니', '재능', '어디']",['대단하다'],['흥얼거리다']
"I’m so shook... you sound just like a professional singer??!! Everything flows so smoothly, how!!",[],[],[]
"I LOVE WJSN sooo much, our queen has taste 💕",[],[],[]
"omg!! no puedo creer que soy el comentario 40 xddddddddddd nunca paso!!
ah. me encanta esta chica.",[],[],[]
"Aw such a talented beauty, so many skills in the arts!",[],[],[]
"언니 진짜 매번 영상 볼 때마다 느끼는 건데,,이목구비 진짜 자기주장 확실하다,,난 이목구비가 둥글둥글해서 흐리멍텅한데 언니 최고야,,","['언니', '진짜', '매번', '영상', '볼', '이목구비', '진짜', '자기', '주장', '난', '이목구비', '멍텅', '데', '언니', '최고']","['확실하다', '둥글둥글하다']","['느끼다', '흐리다']"
"Pretty? Check
Good at doing makeup? Check
Can draw? Check
Can sing? BIG FAT CHECK
Can rap? FHFJEJDND CHECK

CANT RELATE",[],[],[]
와 진짜 연예인보다 예쁜데..,"['진짜', '연예인']",['예쁘다'],['오다']
Thanks for all the songs recommandations ✨♥️♥️♥️ I was surprised because I had never heard of some of those songs (except the AMAAAZING sweet crazy love song from Loona👍). Where do you find new music to listen to ?!,[],[],[]
"헐 ㅈㄴ 좋아 그 때 라이브 텐션, 조명, 언니 미모, 그 시간 갬성 다시 볼 수 있어서 너무 좋다 저 때 반모해서 걍 반모했어ㅎㅎ 앞으로도 이런 거 많이 해줘 언니","['라이브', '텐션', '조명', '언니', '미모', '시간', '성', '다시', '볼', '반모', '반모', '언니']","['좋다', '있다', '좋다', '이렇다']","['헐다', '개다', '하다', '하다', '해주다']"
"아 노래도 잘부르고 얼굴도 완벽하긴한데 뭔가 모르게 조금 부족한거같은데 





명불허전 ❤️
언니 응가💩싸주세여 박수칠준비됐습니다👏🏻","['노래', '얼굴', '뭔가', '조금', '명불허전', '언니', '박수', '준비']","['완벽하다', '부족하다', '같다']","['부르다', '모르다', '줄다', '돼다']"
