,youtube_id,comment,like_num
0,areumsongee아름송이,오디오가 쪼꼼 거슬리나요?🥺🥺잘해보자고 안쓰던 마이크를 썼더니..🤔담부턴 더 신경쓰도록할게요 죄송해요😭❤️,246개
1,nostalgia,밀크터치는 메이크업 영상이 많이 없어서 궁금해요ㅠ 밀크터치로  원브랜드 메컵 해주세용><,297개
2,HM,my broke self can’t even relate to this,23개
3,채연,소리가 뭔가 통화하는느낌이에요 ㅠㅠㅠ,301개
4,,"毎回毎回コンセプトに合わせて
ぜんぜん印象違くて、
でもおしゃれでかわいくて浮いてなくて
アルムちゃんみたいにお化粧うまくなりたいな🥺っておもう",103개
5,areumsongee아름송이,드디어 사넬🙃애증의 샤넬🙃...샤넬을 쳐발라두 아름송이는 그냥 아름송이인가바요 헤헤,166개
6,AmbraBTS박지민,You're so pretty 😍❤️,8개
7,HiimNatsuki,提供じゃないところが好感度すごい,52개
8,,シャネル縛りのメイクが似合うなんて羨ましい🥺,45개
9,ddddd,どんどんメイクが上手くなってる…✨,54개
10,bledia,CHANEL縛りとか最高すぎる,41개
11,,헐 미쳤다 이런 백화점 원브랜드 메이크업 많이 많이 해주세요♥️,5개
12,,ちょっと音質悪いかな？？自粛中でオシャレが出来なくても、この動画を見ればおしゃれした気分になれる🎶,19개
13,,"いつもより大人っぽくて上品でめちゃくちゃ可愛いです♡
日本のコスメブランド、セザンヌ縛りのメイクが見たいです♡",24개
14,,このくらいのクッションファンデーションの明るさがちょうどいいと思う！,8개
15,,ファンデーションめちゃくちゃアルムソンイちゃんに丁度いい色味だけどもっと白いほうが好きなのか〜。🙄でもこの色のが個人的にハマってる❤,31개
16,,"いつもと違い、より大人の女性✨って感じがします!! 
可愛いより綺麗という言葉が似合うような…♡

너무 예쁘다!💕💕",32개
17,미래,今回のメイクはいつもと比べて大人っぽい!!,24개
18,,笑った顔が本当に可愛いな〜,12개
19,ddddd,かわいいいいいいいいい！！！！！！！,23개
20,,シャネル縛り、、待ってました！！,4개
21,김난,확실히 메이컵이 고급져보입니다~,8개
22,,"まってました！🥺
とってもカワイイです。。💜",6개
23,Hanae,お顔が美しすぎる,13개
24,,"元の顔が憧れすぎる✨
てか、自粛中なのに肌荒れしてないし、太ってないのは羨ましすぎる😭",37개
25,,"めっちゃかわいい〜😍まじで最高💓💞
私あるあるなんだけど海外の動画にコメントする時は文章伝わらなくてもプラスな事伝えるためめっちゃわかりやすい絵文字つける笑笑",16개
26,,可愛すぎる😘,18개
27,kisayuki,"imo by far this foundation color look the best on her, the previous ones are too light that it always seems like shes wearing a mask",18개
28,민서minseo,"와우 진짜 미모 장난없댜,, 울 언니 원브랜드메컵은 왜지 ..항상 리즈갱신이햐..🥺💗",21개
29,,リップの色どストライクすぎる、、😭💓,3개
30,29윤하뀽,샤넬모델해줘 언니 내가 다 지를수있을거같은 미모야..,61개
31,정체리,아름송이님 미모와메이크업에비해 오디오넘나아쉽ㅠㅠㅠ,2개
32,맞닿음,코 진짜 이뻐지신 듯...,7개
33,,"待ってました！💖
いつもより大人っぽいメイクが予想以上に似合ってて素敵すぎます😭💖",16개
34,aryepsun,진짜 예쁘다.. 샤넬이라서 그런가 엄청 분위기가 고급져보임ㅠㅠ 역시 솔직한 후기도 좋았어요ㅎㅎ,5개
35,냥냥,"아 언니 ㅠㅠ 영상 최고 ,, 그냥 존나 예브고 고급지게 생겼어요 ,, 알러뷰 ,,0",19개
36,,日本のCANMAKEとかのコスメを使ってみて欲しい,6개
37,Youtube구름캔디,16:47 저희여 ...?,8개
38,,"お待ちしておりました🥰🥰🥰🥰
いつも綺麗で、動画楽しみにしてます！
大好きです！😍😍",9개
39,허니스킨먹방로그honeyskinMukbanglog,드디어 샤넬 샤넬💞 넘모존예 짱이뻐ㅠㅠ 쌩얼에 양쪽 집게핀 끼운것도 너무 귀염뽀짝이 그나저나 asmr먹방보다가 같은볼륨으로 메이크업영상보니 소리가 하나도 안들려서 당황ㅋㅋㅋㅋㅋasmr마이크 위력이란...,2개
40,,韓国語日本語と同じ発音の言葉あってちょっと嬉しい~,1개
41,,"待ってた〜！！相変わらず女神です👸🏼💖💖💖
メイクはもちろんだけど、毎回お洋服もアクセも
コンセプトにピッタリでほんとに可愛い‪ㅠㅠㅠㅠㅠㅠ",2개
42,빙수,우와......진짜 이번 메이크업 너무 예뻐여...💓핑크 메이크업 너무 잘 어울려ㅓㅠㅠㅠㅠㅠㅠ💓💓💓,2개
43,,大好きです！！！！❤❤❤❤👏👏👏👏👏😍😍😍😍😍(もはや絵文字はジェスチャー,7개
44,,最近日本語のコメントめっちゃ増えてる気がする〜〜,2개
45,ONCE,可愛い\(♡~♡)/,7개
