닉네임,댓글,좋아요수,날짜
yeondukong연두콩,"나 엄마뱃속 때부터 거북목 같아유..
내 취향 - 낮고, 적당히 소프트한 베개취향 딱딱이 안 좋아함! 높고, 딱딱이 조아하시면 반대로 참고하셔유! 
➡️잠옷 옛날에 타오바오서 구입했슈",227개,2020. 4. 9.
원츄,아니 언니 왜 누워있는데 옆으로 보는데에도 왜이렇게 이쁜거에요ㅠㅜ 이제 베개 바꿀때 됐는데 바꿔야겠어요! 혹시 다음에는 바디필로우 영상은 어떠신가요??,146개,2020. 4. 9.
YOUNGFOREVER,"저 거북목이라서 ㅠㅜㅜㅠ
베개 바꿔야되나 고민 많이했는데 ㅠ
어케 딱 알구 ㅠㅜㅜ😭😭
언니 항상 감사하고 
사랑해요오오 ❤❤❤",82개,2020. 4. 9.
첫눈사람,갑분 강아지 베게 ㅋㅋㅋㅋㅋㅋㅋㅋ,71개,2020. 4. 9.
선프리카,00:37 어... 저 이렇게 생긴 베개있는데 지금까지 반대로 베고 있었네여...ㅋㅋㅋㅋㅋㅋㅋ 더 두툼한 부분이 목이아니라 정수리에 와있어서 지금까지 안편한거였어요..ㅎ 한 5년은 넘게 이렇게 쓴거 같은데..ㅠㅠ 지금이라도 알아서 다행...🤣,55개,2020. 4. 9.
YOUNGFOREVER,"꼬망이가 좋아하는 배게라니 ㅠㅠㅜㅠ
중간에 꼬망이 카메라로 올때 
진짜 심장 멎는줄 .. 💕💕 
순둥순둥해 ㅠㅜ  귀여워 !! 귀여워 !!",34개,2020. 4. 9.
오유진,이 영상을 왜 이제봤는지.... 제게 너무너무 유용한 정보를 담겨있는 영상이었어요 ㅠ 요즘 베개를 구매하려고 이것저것 찾아봤는데 광고에 속는기분도들고 모양변형도 쉽게 오더라구요!! 사용리뷰도 꼼꼼히 해주셔서 구매하는데 도움이 되네용 ㅎㅎ 😍,7개,2020. 4. 9.
sseoyk,저두 이것저것 다 써봤었는데 !!!! 마스슬립 베개에 정착했어요 목통증 엄청 심했었거든요 약먹어야하는데 물을 마시려면 고개를 들어야하잖아요Ĭ ^ Ĭ 근데 고개가 안들어졌어요 너무 심해져서 이것저것 다 사용해보다가 마스슬립베개 사봤는데 정말 허리통증까지 사라졌어요 Ĭ ^ Ĭ 강추해요,23개,2020. 4. 9.
고윤경,왕 신박해요 ㅋㅋㅋㅋㅋ 진짜 현대인들한테 꼭 필요한 리뷰 아닌가유 ㅎㅎ,24개,2020. 4. 9.
지현,ㅋㅋㅋㅋㅋㅋㅋㅋ 강아지베게 ㅋㅋㅋ 고양이 베게로 한번 사볼까요 .?.?ㅋㅋㅋㅋ,3개,2020. 4. 9.
한나,우왕 베개까지 추천해주시다니 완전 생활밀착형 유튜버👍 항상유익한영상 감사해요:),30개,2020. 4. 9.
각별한,잠옷이 넘 귀여워여... 연두콩님이랑 색이 찰떡...♡,5개,2020. 4. 9.
김송하,안녕하세요 연두콩님 저번 방송때 제댓글 읽어주셔서 감사해용❤️❤️저는 핸드폰도 많이하고 공부할때 목을 숙이고 해서 살짝 거북목이 있는데 이영상이 도움이 된것 같아용  그리고 갑자기 말하는데 연두콩님은 승마장을 가면 안되겠어요 너무 예뻐서 말이 안 나오니까..))코로나 조심하세요💖아 그리고 구추템으로 섀도우 팔레트편 만들생각 없으신가요??,22개,2020. 4. 9.
얌얌,"5:30 열심히 리뷰하고 계신데, 뒤에서 자꾸 비웃네요 영상 보기 불편힙니다 그레이 펭귄씨",8개,2020. 4. 9.
캘든토깽이,꼬망이 오랜만이야 여전히 귀엽구나 넌ㅜ,3개,2020. 4. 9.
옹옹,와 언니 내가 베개 뭐살까 고민하는줄 어떻게 알았어ㅠㅠㅠㅠㅠ완전 최고야❤️❤️,5개,2020. 4. 9.
최감자,"딱 언니취향이랑 제 취향이랑 겹쳐서 믿고 베개 구매 하러 갑니다!!♡♡
언니의 이런 생활밀착형 리뷰들 넘 좋아요",3개,2020. 4. 9.
김도윤,베개 뭐 살지 한창 고민 중이었는데 진짜 타이밍 미쳤다 사랑해요 ㅠㅠ💖💖💖,19개,2020. 4. 9.
,"우유베개 진짜 강쥐들 마약방석같아요 ㅠㅠㅠ ㅋㅋㅋㅋㅋㅋ 맞춤형 잠자리 늒임 ,,,",29개,2020. 4. 9.
김민채,진짜 많은 제품들이 있네유.. 진짜  꼼꼼하고 솔직한 리뷰는 언니가 최고여유💚💚💚 꼬망이 ㅜㅜ 씬스틸러 ㅜㅜ 꼬망이 ㅜㅜ 너무 귀엽댜.. 아고 ㅜㅜ 심쿵 ㅜㅜ,1개,2020. 4. 9.
밍로그,잠솔솔 진짜 뭔가 뒷골 많이 땅기더라구요ㅠㅠ,1개,2020. 4. 9.
꼬부기,어떻게 언니 얼굴이 30인거죠??? 고딩이라해도 믿을 만한데....언니 너무 귀엽뽀짝해요❤️❤️❤️,14개,2020. 4. 9.
참크래커,저랑 취향이 똑같아서 넘 좋아효..,3개,2020. 4. 9.
김지수,와 언니 너무 예뻐유.........,4개,2020. 4. 9.
강은주,이영상 너무 기다렸어요 ㅠㅠㅠㅠㅠ 사무직으로 일하고 잘못된 자세로 인해서 거북목이 심해서 자고일어날때도 개운하지않고 찌뿌둥한건 기본이고 ㅠㅠㅠㅠ 자면서도 오백번은 뒤척이는것같아요 ㅠㅠㅠㅠㅠㅠ,3개,2020. 4. 9.
동동,"거북목 얘기하니까 이런 영상도 찍어주구,, 언니는 진짜..😭 고마워유💓",1개,2020. 4. 9.
강혜민,"않이,,나 요즘에 베개 서치하는거 어찌 아시구ㅠㅠ 영상 잘볼게요 언니!",2개,2020. 4. 9.
AmyJeon,"배개리뷰는 처음이에요!ㅋㅋㅋ뭔가 되게 귀염귀염한 컨텐츠,, 넘 죠아요,,",1개,2020. 4. 9.
최유민,"요즈음 거북목 통증 심해져서 베개를 찾아보고 있었는데.. ㅠㅠ 너무 좋은 영상 감사합니다 
항상 잘보고있어요! 응원해요~",2개,2020. 4. 9.
임주원,컨텐츠 진짜 항상 너무 좋아요....ㅜㅜㅜ,13개,2020. 4. 9.
aileenlee,"목아퍼서 배게 바꾸려다가 언니 인스타 스토리에 이거 비디오 올라온다고 해서 지금까지 기달렸어요!!!
언니 진짜 짱! 
사랑해유 😘💕",1개,2020. 4. 9.
빙봉,와 진짜 이 언니는 내가 보고 싶은 영상들만 올려.............,1개,2020. 4. 9.
지윤박,언니는 누워있어도 이뻐ㅜㅜ💖💖💖,5개,2020. 4. 9.
정율이,"우앙오아아아아앙 
이런 실용적인 콘텐츠를 !!!
현대인에게 정말로 필요한 콘텐츠같아요 ㅋㅋㅌㅋㅋ♡",3개,2020. 4. 9.
뽀잉뀨,거북목 머리채 잡혀서 들어왔는데 이언니 컨텐츠 폭 무슨일이야 진짜ㅠㅠㅠㅠㅠㅠ 언니 덕분에 리브맘 베개 바로 주문했어요ㅠㅠㅠ 나랑 안맞으면 내탓 잘맞으면 언니덕♡,1개,2020. 4. 9.
라님,리브맘은 너무 말랑해서 베면 너무 낮아져서 목 받쳐주는곳? 이 제대로 못받쳐줘서 목아픔,2개,2020. 4. 9.
깨구리,와 진짜  필요했던 영상 ㅠㅠㅠ 베개때매 돈 많이 날렸는데 감사합니다,2개,2020. 4. 9.
꾸욤,우와... 거북목이어도 베개 바꿔볼 생각 안했는데 참고해서 좋은걸로 바꿔봐야 되겠네요...! 온니 진짜 감사해요💕,1개,2020. 4. 9.
배아,저도 리브맘 베게 써요ㅋㅋㅋㅋ 누워서 보고있었는데 마음 통했네유🛌🏻❤,1개,2020. 4. 9.
됴토리,진짜 요즘 연두콩언니때문에 텅장되는중임다..샴푸에 이어서 베개까지..사러갑니다ㅠㅜ♡,1개,2020. 4. 9.
Jiyoung,진짜 꿀영상❤️❤️,1개,2020. 4. 9.
나혜,아 이런 컨텐츠 너무 좋아요ㅠㅠ💖✨,1개,2020. 4. 9.
도유정,꼬망이 ㅠㅠㅠ❤️❤️❤️❤️,1개,2020. 4. 9.
이한라봉,헐... 옹니... 거북목이란 제목에 홀린듯이 들어왔어요ㅠㅠ 추천감사해요 옆으로 누워서 핸드폰하는거 조심하세용... 저 옆으로 누워서 핸폰하다가 갈비뼈 금갔어요......ㅠ,1개,2020. 4. 9.
루루,언니 베개까지 추천해주시다니 감동이욤ㅠㅠ 베개바꿀 때 됬는데 어찌알고 이런 리뷰를ㅎㅎ,1개,2020. 4. 9.
Zkdlin02,언니 꾸준히 구독해오고있는데 언니는 진짜 실용적인거 일상템 추천해주는 유일한 유튜버라서 (제 구독기준) 너무 좋은것같아요! 저도 거북목이 좀 있는데 언니 추천일등한 베개 사서 써보려구요! 😍,1개,2020. 4. 9.
남은지,진짜 연두콩님은 다양한 리뷰 영상에 감탄해요 ㅠㅠ 저도 베개 욕심많아서 엄청사는데 리브맘베개 한번 사봐야겠어욯ㅎㅎ 그리고...연두콩님이랑 나랑 커플 잠옷이야 끼야홓오옹 ㅇ0ㅇ!!!,2개,2020. 4. 9.
프린스송,"베게 계속 보니 잠이 온다...😴
스르륵 쿨쿨 쿠울💤
나도 누워야지 누워서 봐야지 룰루랄라♩♪
잘 때 배게 참 중요하지요🛌
오늘은 이걸로 정했다💸",2개,2020. 4. 9.
mangospoon,연두부들의 숙면까지 챙겨주는 언니 죠아✨💕,1개,2020. 4. 9.
키럭,정말 어찌 이렇게 딱 필요한 영상을 올려주실 수 있나여...❤ 정말 감사합니다 잘 보구 살께요!,1개,2020. 4. 9.
YOUNGFOREVER,"헐 언니 어떡해요 😢
배게가  눈에 안 들어와요 ㅠㅠ !!
언니 외모가 너무 빛이 나서 .. ⭐⭐
배게를 봐야되는데 ..
자꾸 시선이 언니에게로 향한다는 .. 💗",2개,2020. 4. 9.
츠담,언니 저저귀여온 잠옷뭐에여ㅠㅠ 물론언니가귀여우셔서 귀여워보이는거겟지만 나두 저귀요미잠옷커플로입고싶어여ㅠㅠㅜ,6개,2020. 4. 9.
한이솔,와우 너무나도 저한테 필요한 영상이예요!! 진짜 언니 최고예요❤☺️ 감사해요🥰,1개,2020. 4. 9.
wjdalsrud,3:32 꼬망이💚,1개,2020. 4. 9.
일급비밀,마이크 잡고있는 손 너무 귀여워요ㅠㅜ,0개,2020. 4. 9.
신민민,베개 많은 두콩 언니네 집에 밤에 파뤼하러 가야겟슈~,1개,2020. 4. 9.
핑돼,요새 계속 잘 때 불편하고 뻐근했는데 배게 때문에 그런거 같아서 홀린듯이 리브맘 배게 방금 결제 하고왔습니다 😇 항상 신선하구 좋은 영상 올려주셔서 감사해용 ❤️,1개,2020. 4. 9.
김자기,제목 오타나따...!,1개,2020. 4. 9.
