comment,noun,adj,verb
"여러분이 신박하다, 언니 천재다 해줘서 넘 기뿌다잉~~😍💖 사실 넘 야매아닌가 걱정했는데 이거 특허내야 될 각인데유~?ㅋㅋ 💖💖💖 혹시나 나중에 이 방법이 널리 퍼져도 원조는 누구~~? 윤★쨔★뮈★ㅋㅋㅋㅋㅋㅋ 아 내가 생각해도 이번건 좀 신박했어ㅋㅋㅋㅋㅋ 그럼 전 특허청으로 갑니다... 총총...ㅋㅋㅋ ❤️쨤스타그램 → http://instagram.com/yooncharmi","['여러분', '박하', '언니', '천재', '기뿌다잉', '사실', '야매', '걱정', '특허', '내야', '유', '혹시', '나중', '방법', '널리', '원조', '누구', '쨔', '뮈', '생각', '이번', '건', '신', '특허청', '총총', '쨤', '스타', '그램']","['아니다', '박하다', '그렇다']","['해주다', '넘다', '넘다', '하다', '되다', '퍼지다', '하다', '가다']"
"저 네일샵 하는 사람인데,,,, 이언니 아이디어 최고시닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언니 아이디어 최고에여ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","['네일', '사람', '이언', '아이디어', '최고', '시', '언니', '아이디어', '최고']",[],['하다']
"셀프네일 열씨미! 하는 학생인데요
젤네일 빌더젤 같은거는 집에있으니까
오호라만 사면돼겠네요
뒤집어지는 아이디어😻","['셀프', '네일', '열씨', '학생', '젤', '네일', '젤', '집', '라만', '사면', '아이디어']","['밉다', '같다', '있다']","['하다', '빌다', '돼다', '뒤집어지다']"
오호라는 하루빨리 이 영상을 보고 짜미언니와 역사에 남을 콜라보를 하여라.. 🤔🤔🤔🤔🤔🤔🤔🤔,"['호', '영상', '보고', '짜미', '역사', '남', '콜라보']",[],['하다']
오호라 젤네일 인스타에서보고 하나 사봤는데 너무 좋아서 쓰고 또사고를 반복하여 집에 오호라 네일 박스만 한 15개는 되는거같아요 .. 언니도 쓰고 엄마도 쓰시고 저도 쓰니까 상자가 점점 많아지더라구요 ㅋㅋㅋㅋ 혹시 살지말지를 고민하신 분들이라면 꼭 한번씩은 사보시는걸 추천드릴게요 !! 신규회원 가입하고 구매하면 만원이 넘는 젤램프를 무료로 준답니다 !!!! 젤램프 하나만 있어도 엄청 많이 할수있으니까 꼭 한번씩 사보세요 !!!!! ( 오호라 직원아닙니다 ㅋㅋㅋㅋㅋ ),"['호', '젤', '네일', '인스타', '보고', '하나', '사고', '반복', '집', '호', '네일', '박스', '언니', '엄마', '쓰시', '상자', '점점', '혹시', '고민', '꼭', '한번', '추천', '신규', '회원', '가입', '구매', '만원', '젤', '램프', '무료', '젤', '램프', '하나', '꼭', '한번', '호', '직원']","['좋다', '같다', '있다', '아니다']","['사보다', '쓰다', '하다', '하다', '개다', '되다', '쓰다', '쓰다', '많아지다', '살다', '하다', '들이다', '사보다', '드리다', '하다', '넘다', '주다', '하다', '사보다']"
쨔미 언닝 내가 본 사람 중에 손톱 제일 이뻐ㅇ영 언니 최고!,"['쨔미', '언닝', '사람', '중', '손톱', '제일', '언니', '최고']",['이쁘다'],['보다']
앙 우리 쨤언니가 제일이네 !! 🙇‍♀️ 나도 해봐야겠어요 세상에서 제일 간단해 학생쨔식도 해봐야겠어요 아 코로나라서 학교 안간다요 모 어쨋든 너무너무 이쁘다 ㅜㅜㅠ 오늘도 잘보고 가구 건강해요 🙌 저도 해볼께요 쨔랑해요 ❤️,"['우리', '쨤', '제일', '세상', '제일', '학생', '쨔', '코로나', '학교', '어쨋', '오늘', '가구', '쨔랑해']","['간단하다', '이쁘다', '건강하다']","['나다', '해보다', '해보다', '가다', '보다', '해보다']"
손톱은 관심없지만 이 언니가 어떻게 재밌게 노는지가 궁금해서 본당,"['손톱', '관심', '언니', '본당']","['없다', '어떻다', '재밌다', '궁금하다']",['놓다']
미친 ㅋㅌㅋㅋㅋ나랑 똑같은 사람이 있다니...ㅋㅌㅌㅌㅌㅋㅋㅋㅋ 나만 그런 생각하는줄 알았넽ㅌㅌㅌㅋㅋㅋㅋㅋㅋ나도 저러고 다님 ㅠㅠㅠㅠㅠㅠ,"['사람', '생각', '알았넽']","['미치다', '똑같다', '있다', '그렇다']","['하다', '나다', '저러다', '다니다']"
손톱 연장하구 자를때 가위로 자르는 것보다 일자 클리퍼(일자 손톱깍이)로 하는게 더 깔끔하고 일정하고 쉽게할수있어요 클리퍼로하는걸 추천할게요~~~❣,"['손톱', '연장', '가위', '일자', '클리퍼', '일자', '손톱', '클리퍼', '는걸', '추천']","['깔끔하다', '일정하다']","['하다', '자르다', '자르다', '깍이다', '하다', '쉬다', '하다', '하다']"
연장된쪽의 스티커 뒷부분이 끈적이는데 어찌하셨나욤!!,"['연장', '쪽', '스티커', '부분', '끈', '어찌']",[],"['되다', '이다', '하다']"
"언니....언니 영상보고 혹해서 오호라에서 7만4천원이나 썼어요ㅋㅋㅋㅋㅋㅋ
빌더젤이랑 붓이랑 매트탑에 언니가 쓴 리얼 손톱색깔 젤까지! 거의 10만원어치 구매했어요🤣
제가 손톱이 엄청 약하고 표면도 매끈하지 않아서 셀프로하는 것들은 금방 망가졌었는데 이 방법으로 튼튼하고 오래가는 셀럽손톱으로 다시 태어나겠어요!","['언니', '언니', '영상', '보고', '혹', '호', '젤', '붓', '매트', '탑', '언니', '리얼', '손톱', '색깔', '젤', '거의', '구매', '손톱', '표면', '셀프', '금방', '방법', '셀럽', '손톱', '다시']","['약하다', '매끈하다', '튼튼하다']","['하다', '써다', '빌다', '쓸다', '하다', '않다', '하다', '망가지다', '가다', '태어나다']"
언니는 어떰 다 잘해....내가 다 오구오구 잘한다 해주고 싶어 울언니ㅜㅜㅜㅜㅜㅜ😭😭❤❤계속 이러고 싶음 그냥 언니 존재 자체가 살앙스러워...흐악😍,"['언니', '언니', '계속', '그냥', '언니', '존재', '자체', '살', '흐악']","['어떻다', '스럽다']","['하다', '하다', '해주다', '싶다', '이르다', '싶다']"
"쨔미언니 길가다 웅덩이 보면 인사해주세요




언니 미모에 녹은 쨔식들 이니깐요><","['쨔미언', '길가', '웅덩이', '인사', '언니', '미모', '쨔식들']",[],"['보다', '해주다', '녹다']"
언니....진짜 대박적...생각도 못한 방법ㅋㅋㅋㅋㅋㅋㅋㅋ당장 해봐야겠어여ㅋㅋㅋㅋㅋㅋ진짜 언니 천재!,"['언니', '진짜', '대박', '생각', '못', '방법', '당장', '진짜', '언니', '천재']",[],['해보다']
"제가 오호라 많이 쓰면서 저렇게 해봤는데
손톱 진짜 잘뿌러지더라구요...ㅎ","['호', '손톱', '진짜', '뿌러']",['덥다'],"['쓰다', '해봤다', '자다']"
와 오호라로 저렇게 할줄은 진짜 상상도 못했다🙀,"['호', '진짜', '상상']",[],"['오다', '하다', '하다']"
쉐입만 잘잡으면 진자 이쁘겟다 ㅈㄴ 신기하네,"['쉐입', '진자']","['이쁘다', '신기하다']",['잡다']
7:14 대박적 스멜 베이비 제 웃음 포인트ㅋㅋㅋㅋ,"['대박', '스멜', '베이비', '웃음', '포인트']",[],[]
와 언니 진짜 대박 아니에요 ㅠㅜ? 맨날 셀프 연장하느라 시간도 너무 많이가고 귀찮은데 이 방법 진짜 대박이에요 ㅠㅠ,"['언니', '진짜', '대박', '셀프', '연장', '시간', '방법', '진짜', '대박']","['아니다', '귀찮다']","['오다', '하다', '가다']"
엄머머 셀럽손톱!!! 기다렸어용ㅠㅠㅠㅠ 0:32 왼쪽상단에 헉ㄱ걱..❤❤❤ 쨤언니 영상 출연 허걱거걱ㄱㅠㅠㅠ 오호라 인스타 광고로 많이 나오는 거 아닌가용ㅋㅋㅋㅋㅋ 저도 쨤언니 따라서 한 번 해봐야겠어용😍😍,"['엄머머', '셀럽', '손톱', '왼쪽', '상단', '걱', '쨤언', '영상', '출연', '허걱거걱', '호', '인스타', '광고', '쨤언', '따라서']",['아니다'],"['기다리다', '나오다', '하다', '해보다']"
이건 언니 손이 이쁘셔서 그래요..제 손에다가 하면 손톱만 이쁘고 매치가 안되요ㅠㅠ 언니 손 너무 이쁘셔요ㅠㅠ어쩜 날이가면갈수록 이뻐지시죠? 진짜 완전 이뻐요❤❤ 언니 사랑합니다❤,"['언니', '손', '손', '손톱', '매치', '언니', '손', '어쩜', '갈수록', '진짜', '완전', '언니', '사랑']","['이쁘다', '그렇다', '이쁘다', '안되다', '이쁘다', '이쁘다', '이쁘다']","['하다', '날다', '하다']"
쨔미 언니 사랑해여 진짜로 언니가 하이텐션이여서 너무 좋아여..❤️❤️❤️❤️,"['쨔미', '언니', '사랑', '진짜', '언니', '하이', '텐션']",['좋다'],['하다']
헐ㅜㅠㅜㅜㅜㅜㅜㅜ저도 화려한 네일 좋아해서 이거 어케해야하지...;;이러고있었는데 언니 덕에 알게됐어요 . .. . 언니 완존땡큐 😍,"['네일', '언니', '덕', '알', '언니', '완존', '땡큐']","['화려하다', '좋아하다', '어떻다']","['헐다', '하다', '이르다', '돼다']"
뭠가 솜사탕 나라의 공주님이 솜사탕을 주제로 자기 네일 하는 영상 찍어서 보여주는 늨힘...😍,"['뭠', '솜사탕', '나라', '공주', '솜사탕', '주제', '자기', '네일', '영상', '늨힘']",[],"['하다', '찍다', '보여주다']"
와ㅠㅠ 💗💗💗진짜 네일 아이디어로 노벨상 받읍시다ㅠㅠ 당연히 셀프 연장해서 했다고 생각했는데 이게 무슨ㅜㅜ 아이디어 진짜 대박이에요😊😊❤️❤️ 그리고 언니 오늘 코디 너무 예뻐요💖 점점 예뻐지는 건 기분탓인가요..?ㅋ ㅋㅎㅋㅎ,"['진짜', '네일', '아이디어', '노벨상', '셀프', '연장', '생각', '무슨', '아이디어', '진짜', '대박', '언니', '오늘', '코디', '점점', '건', '기분', '탓']","['당연하다', '예쁘다', '예쁘다']","['오다', '받다', '하다', '하다', '하다']"
언니 손톱 진짜 이쁘시다 ㅠㅠㅠ,"['언니', '손톱', '진짜']",['이쁘다'],[]
근데 언니는 왜 젤램프 불빛색이 노래요? 저도 샀었는데 보라빛이던데... ???,"['언니', '젤', '램프', '불빛', '색', '노래', '보라', '빛', '데']",[],['사다']
어멍 이런 뾰족이는 외쿡 언냐들이 많이 하는 그 건가..? 짱이다❤️,"['어멍', '외쿡', '냐', '건가', '짱']",['이렇다'],"['늘다', '하다']"
"언니 너무,, 천재에요 진짜 넘 꿀팁 많구 항상 연구하시고 노력하시는게 보여서 감동입니당 오늘두 잘 보고가용❤️","['언니', '천재', '진짜', '꿀팁', '항상', '연구', '노력', '보', '감동', '오늘', '보고', '가용']","['많다', '이다']","['넘다', '하다', '하다', '자다']"
코로나 땜에 할꺼 없을 때 하면 시간 엄청 잘 가겠다 ㅎㅎ 오늘도 짜미 언니 이뻐요❤️,"['코로나', '땜', '시간', '오늘', '짜미', '언니']","['없다', '이쁘다']","['하다', '하다', '자다', '가다']"
이거 진짜 생각 못했어요ㅋㅋㅋ 언니 최고!!,"['진짜', '생각', '언니', '최고']",[],['하다']
쨤언니는 진짜 얼굴도 이쁘고 화장도 겁나 잘하구 손도 이쁘고 네일도 잘하고 솔직히 못하는거 별로 없다 인정?? 언니 한마디로 넘 이뽀요 ㅜㅜㅜ❤❤,"['쨤', '진짜', '얼굴', '화장', '손', '네일', '별로', '인정', '언니', '한마디', '이뽀']","['이쁘다', '이쁘다', '솔직하다', '없다']","['겁나다', '하다', '하다', '하다', '넘다']"
"윤쨔미 언니 손 너무 예쁜거 아닌가요오ㅠㅠㅠㅠㅠㅠㅠ
선댓 후 감상요ㅎㅎ💗","['윤쨔미', '언니', '손', '선댓', '감상']","['예쁘다', '아니다']",[]
와진짜 천재다.... 특허내고 오호라에서도 상줘야됌 진심 살생각1도없었는데 살생각생겼다,"['진짜', '천재', '특허', '호', '상', '진심', '살', '생각', '도', '살', '생각']",['없다'],"['오다', '내다', '주다', '돼다', '생기다']"
우리 짜미 언니는..진짜 너무 금손이양..부롭..,"['우리', '짜미', '언니', '진짜', '금손', '이양', '부롭']",[],[]
아닠ㅋㅋㅋㅋㅋ언니 정말 대단쓰 어렸을때 싱크빅 진짜 열심히 했나봐 나도 오호라 사용 중인데 생각지도 못했엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다음에 해봐야겠다(하트),"['언니', '정말', '싱크', '빅', '진짜', '호', '사용', '중', '생각', '지도', '다음', '하트']",['아니다'],"['대다', '쓰다', '어리다', '하다', '보다', '나다', '하다', '해보다']"
와언니 저오호라 산지 어케아시고ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ빌더젤사서 도전해볼게용♥♥안그래도 쪼끄미 손톱이라 젤네일스티커 붙이고나면 속상했는데 꿀팁최고에용😍😍😍😍,"['언니', '호', '산지', '아시', '젤', '사서', '도전', '쪼끄미', '손톱', '젤', '스티커', '꿀팁', '최고']","['어떻다', '그렇다', '속상하다']","['오다', '빌다', '해보다', '붙이다']"
0:31 와 저 유튜브 출연했어요 엄마 저도 이제 셀럽 되는 거죠??,"['유튜브', '출연', '엄마', '이제', '셀럽']",[],"['오다', '하다', '되다']"
쨔미언니 진짜 도구활용 왤케 잘하시는거에요ㅋㅋㅋㅋ 연장하고 붙힌적은 많지만 붙임과 동시에 연장이라니.... 언니의 아이디어는 역시 최고네요 👍,"['쨔미언', '진짜', '도구', '활용', '연장', '붙힌적', '동시', '연장', '언니', '아이디어', '역시', '최고']",['많다'],"['하다', '붙이다']"
"와어! 기존 손톱이 짧아서 오호라 안쓰구 데싱 써왔는데..
이런 방법이.....ㅋㅋㅋㅋㅋ 대박!!!
엉니 천재 맞아요 ! ㅋ
자 이제 지르러 갑니다","['기존', '손톱', '호', '데싱', '방법', '대박', '엉', '천재', '이제']","['짧다', '이렇다']","['오다', '쓰다', '써다', '오다', '맞다', '지르다', '가다']"
언니 진짜천재다...쨔뮈 온니는 공부는... 잘했을지 모르겠지만 요론 머리는 대박이야 난 학생 이고 이런손톱하면 연필을 못잡아...,"['언니', '진짜', '천재', '쨔뮈', '공부', '머리', '대박', '난', '학생', '손톱', '연필']",[],"['오다', '하다', '모르다', '못자다']"
저도 네일리스튼데...ㅋㅋㅋㅋ 진짜 신박하다ㅋㅋㅋ 이걸 이렇게 쓴다고? 대박이다ㅋㅋ,"['네일리스트', '진짜', '박하', '걸', '대박']",[],['쓴다']
언니 한번도 생각못해봤는데 진짜 기상천외해 짜릿해 체고야 진짜 짜미언니 체고!!!,"['언니', '한번', '생각', '진짜', '기상', '외해', '체고', '진짜', '짜미', '체고']",['짜릿하다'],['해봤다']
