,youtube_id,comment,like_num
0,Jella젤라,여러부운.. 이니스프리 컨실러... 글로벌 제품이라.. 홈페이지에 없어요....8_8...  속상...🥺,321개
1,V수정,언니의 외국인같은 파인 아이홀이라하나 ㅋㅋ 부러버여...  :ㅑ    저 눈은 수술로불가능한눈이자나 ㅠㅠㅠㅠ 그냥 에뽀...,147개
2,SLFBZ,"Coming from a girl with olive/caramel/tanned skin, I absolutely ADORE you. For the longest time I’ve been only used to wearing western style make up till I discovered Korean/Asian make-up which has a totally different feel and one that I really enjoy. Especially the gradient, plump look on the lips that most Korean make -up styles so flawlessly pull off. However it’s been difficult to find tint shades that match my skin either bc it’s too bright in contrast with my complexion or the color don’t show off as well as my natural lips aren’t as light or red/pink. So your channel has rly been a saving grace for me as you recommend and suggest lip options that definitely can complement girls of my skin and I’m so happy!!!! Thank you Jella 💕☺️

Much love from one brown skinned girl to another!!!!! 😘",63개
3,밍꾸,젤라님 분위기는 정말....말로 표현할 수 없는 아우라가 느껴져요 ㅠㅠ 부럽네용🥺👍🏻,175개
4,윤서나이뽀라이프,젤라님 얼굴보면 라이온킹 그 암사자? 무튼 진짜예쁘다는 소립니다👍👍👍👍👍,81개
5,치이즈,"언니 얼굴이 훨씬 짜릿해꙼̈ ,, 최고야 ,, 평생 유튭해줘여,,,",112개
6,Nosweatitsdirtywater,You are the prettiest asian girl I've ever seen.,18개
7,백뽀쨕,"언니 이 한마디로 모든 마음을 전할 수 있어요
.
.
.
.
사랑해요 언니 진짜 💜",72개
8,이지은,댓글 누가유부녀겠냐고요 이런댓있는데 유부녀가 뭐어때서요 ;,20개
9,ncglam,"Jella, every makeup look of yours is so amazing! You motivated me to open my YouTube channel as well! 💗💗",32개
10,FizaAzri,"When I watched this quick tutorial, I was like “I want to hear your voice unnieeee !!” I’m so attached with her videos that’s why I feel like something is missing in her video. She’s always being like talkative and shared all the stories and etc. Aww kinda miss her voice already hahahaha Love you unnie !! 💖💖",11개
11,charsoa,25호 여자 파데 또는 쿠션중 학생이 쓸만한거 추천좀요 ㅠㅠㅠ 로드샵 제품이면 좋겠어요 ㅠㅠ,37개
12,MsNinaBean,It’s always good seeing this beauty💖💖💖,26개
13,깐따삐아,그냥 젤라님 자체가 하이라이터에요ㅠㅠㅠ 뭘해도 반짝반짝 빛나셔ㅠ,7개
14,우지호군대가면뭐하고살지,"저건언니가 단지  화장을잘해서 이쁜게아니야 
화장품이 언니빨을받아서 그런거라니까???❤❤",20개
15,미라지개잘해,언니 매력에서 헤어나오지 못할것갗아....,31개
16,KylaLee,i've always disliked my skin because people make fun of me all the time.  but seeing how confident you are inspires me! ♡ such a beaut.,5개
17,히스레저,"이번 영상 뭐에요.. 진짜 분위기 미쳤고 아무것도 아니라는 듯이 슥슥 바르시는데 어쩜 이렇게 아름다울 수가 있는 거죠? ? 제가 정말 다른 뷰튜버들은 안 보는데, 유일하게 젤라님은 계속 눈이 가고 정이 가서 볼 수 밖에 없는것 같아요❤ 항상 열심히 영상 올려 주셔서 고맙고, 응원합니다!😄",29개
18,NataliiieVBerg,Gorgeous and beautiful in every way ❤️,7개
19,JM,언니사랑해.....언니보고 나 안구건조증이 싹 나았잖아..ㅜㅜ 언니가 너무 예뻐서 폭풍눈물....,12개
20,은별,분위기 진짜 짱이다❤️❤️❤️,4개
21,뿌뿌,얼굴보느라 귀걸이 세상 큰 거 몰랐다ㅋㅋㅋㅋ,3개
22,AlejeMN,PERFECTA😍♥️🇲🇽,6개
23,,ㅘ...와 진ㅁ짜 개이쁘시네,3개
24,세인콤달콤,누가 유부녀로 보겠냐구요 ㅠㅠㅠ사랑해요 진짜로 😭🥰🥰,18개
25,황동경,"매 영상마다 짜릿해,, 최고야,, 예쁜게 최고야,, 언니 평생 유투버해요,, 💜💜",5개
26,치로치로,언니 첫인상... 화사 친구 아니면 화사 메이크업 스승님......,6개
27,김나형,젤라언니 볼때마다 흑표범..? 진짜 여왕 흑표범 생각나요 사랑해요,6개
28,LilyBhuiyan,Gorgeous!,2개
29,전찐빵,언니 짱이뻐요...중국집커튼같은 그 귀걸이도 예뻐...언니가 짱이야💕,13개
30,1826번홍유빈,아니 점점예뻐지셔,3개
31,TaexNya,Queen is back 💜,2개
32,kJ,어우 난 언니 메이크업 영상보는게 그렇게 좋더라 진짜..❤,4개
33,BibiFlores,Pretty❤️❤️❤️,2개
