,youtube_id,comment,like_num
0,김태현,개강룩 요청하고 싶은데 개강을 안하네..?ㅎㅎ,568개
1,최유리,오버핏 자켓이나 스탠다드 자켓들 너무 정장같지않게 코디하는법 알려주세요ㅠㅠㅜ자켓 입고다니구 싶은데 너무 정장같아서 자주 못입겠어요ㅠㅜㅜㅠㅠ,421개
2,lucasclaus,"슈스스 누나..  홈패션룩, 자가격리룩, 가족끼리 갇혀있는 사람들 패밀리룩, (집에 아빠옷 할머니옷으로 코디등등.) 싸이버강의룩...  등등...
컨텐츠 아이디어 건의합니다....

Ps. 광고들도 좋지만 채널 초반의 슈스스의 보다 개인적인 영상들도 가끔 그립습니다. 재밌었거든요ㅎㅎ",193개
3,40,이제 20대 후반에 가까워오니까 경조사가 많아지고 청첩장이 많이 들어오는데 매번 똑같은 하객룩을 입기가 좀 그래서요ㅠㅠ 혹시 오롯이 하객룩으로만 입는 그런 옷들 말고 평소에도 활용할수있으면서 격식있는 자리에서도 입을수있을법한 하객룩코디 추천해주실수있나요??,40개
4,yy,10:04 룩 진짜 예뻐요 찰떡이시다 💙,12개
5,허니데이HoneyDay,아 언니 퓨쳐라이더 한 켤레 샤랄라 원피스 한 벌 장만해서 꽃놀이 가고 싶씁니다!!!! 일단 사둬야겠어요!!!!!!!,17개
6,강민지,하하하 푸마 운동화 사랑하는데 이렇게 언니가 해주니까 너무 사랑합니다💜,21개
7,김성희,어머 언니 그렇치 않아도 밥블레스유 미리보기에 언니 나와서 기분 좋았는데 타이밍 좋게 언니가 왔어!!!돈 길만 걸어요 언닝❤,17개
8,강윤경,"중간에 삽입광고 뭐예요? 푸마가 시킨거예요?
너무 강렬해요 ㅋㅋㅋ",122개
9,ShJin,"요즘 패션 중에 양말이 무척 눈에 들어와요~ 양말 소재, 무늬, 색, 길이 등등 예쁘게 신는 방법을 알고 싶습니다 ^^ 양말 안에 운동복 넣어 입는 것도 최근에 따라해 보았답니다. 양말이 참 어색해요. 평소에는 덧신을 즐겨 신어요. 그래서 패션 양말에 무지합니다 🤣",39개
10,도토끼,4:20 컬러 포인트들 덕분에 어떤 색의 옷이랑 매치해도 다 잘 어울릴 거 같아용~! 그리구 해보마 시리즈 크록스 스타일링 제안해봅니당ㅎㅎ,9개
11,최최,마지막 착장 미쳤다 ㅜㅠㅠㅠ 너무 예쁨......,9개
12,김태현,시장통 옷으로 스타일링 해주세여ㅎㅎㅎ,19개
13,김선배,온니 청바지편 원해욤 핏이 다양해서 뭐가뭔지 모르겠어욤ㅜㅜ,24개
14,인생은다니엘k,강다니엘이 신은 사진을 봤는데 넘예쁘더라구요ㅜ ㅜ전 이미삿죵ㅋㅋㅋㅎ 언니 말대로 코디해봐야 겠어요💙,3개
15,고구마피자,0:01 헬로~ 베이비들~  🌈,8개
16,김민주,아아아아악 언니 사랑해,5개
17,수키SUKIE,10:20 이 스타일 보려고 기다림요 ㅋㅋ,7개
18,새미,슈스스님이 스타일링하면 왜 다 예쁘죠? 최애 10:05💗,25개
19,김정민,그냥 슈스스님이 하시니 전 안 좋아하는 신발 스타일인데 사고 싶어지는 마법이네요 ㅎㅎ,35개
