,youtube_id,comment,like_num
0,겨울,제발 ㅠㅠㅠ설화수 스파 풀영상 ㅠㅠㅠ 제발 ㅠㅠㅠㅠㅠ 마사지사 선생님 목소리 너무 조근조근해서 이미 제가 그 시그니처 향 지금 4D로 느껴지는 중이에요 ㅠㅠㅠ제발 스파 풀영상 ㅠㅠㅠ 설화수 스파 풀영상 올라올때까지 숨참을거에여 ㅠㅠㅠ,113개
1,김수영,"설: 설화수 신제품 나온거 알아?
화: 화장도 잘먹고~!
수: 수정도 필요없어!
파: 파운데이션 갈아타야겠다
운: 운명같은 설화수
데: 데일리 쓰기 딱 좋은 설화수
이: 이제 설화수 넌 유 얼 마이
션: 션샤인❤️",20개
2,우유,근데 역시 언니 너무 유명하고 홍보 잘해줘서 그런가  광고를 되게 많이하네용........,60개
3,k니니,원래 아무거나 발라도 괜찮은 피부였는데 회사을 다니고나서부터 뭘발라도 다뜨고 갑갑하고 힘들더라구요 ㅠㅠ 사회초년생이라 덜컥 비싼 파운데이션 샀다가 안맞으면 어쩌나 하는 마음에 쉽게 구입하지 못하고 있습니다😭 샘플북으로 테스트 해보고 현명한 구입 해보고싶어요❤️,4개
4,디아제이,파데 써본적은 없지만 설화수 파운데이션이 정말 좋다는 건 알겠어요 ㅋㅋㅋ 언니의 설화수를 향한 사랑도 정말 잘보여요 ㅋㅋㅋㅋㅋ 뭔가 익숙하다했더니 할머니가 쓰시던 거였네요 할머니 생각도 나면서 쓰고싶다는 생각도.... 언니... 조금 일하시고 많이 버세요... 파운데이션 너무 귀엽게 생겼네요 귀여워 ㅜㅠㅠㅜ,32개
5,dust,Rgrg.....설화수 좋은거 다 알지...말해모해 특히 좋았던건 오일클렌져였음 진짜 클렌징잘되고 세안후에도 속당김 1도없음 ㅠ 나머지 기초화장품들은 말할것도 없음 .. 파데도 체험해보고싶네유ㅠㅠ,258개
6,quoogl,매일 빠짐없이 화장하고 하루 14시간 화장하며 일하는데 성분도 좋고 커버력도 지속력도 좋은 설화수 제품을 사용해보고 설화수 파데의 대단함을 느껴보고 싶습니다❗️❗️,26개
7,9hyeonji,거의 매일 피부화장만이라도 꼭 하고 나가는 대학생입니댱!!! 쿠션만 사용하구 제 피부에 꼭 맞는 파데를 못찾아서 써보고 싶어도 .. 마땅한게 없는데 ㅠ 설화수파데 한번 써보고싶어요~!!!,3개
8,김예림,"꾸민듯 안 꾸민듯, 한듯 안 한듯 완벽하면서도 두껍지 않은 눈이 가는 피부. 몇 년째 원하고 원하던 피부였어요. '저 사람 어떤 걸 바른걸까?'하고 생각해보게하는 매끈한 피부! 이를 위해 파운데이션을 찾고 또 찾아다녔지만 글쎄요, 커버력이 좋다고들 하던 파운데이션들은 피부를 많이 가려주어 피부가 좋아보이기는 하지만 동시에 두껍게 답답한 느낌을 주기도 했어요. 그런데 오늘 이제야 드디어 운명의 소울메이트같은 나의 파운데이션을 찾은 것 같아요. 너무나도 원했던, 수 년간 찾아헤맸던 나의 짝꿍..! 커버력이 좋은데도 통기성이 좋은 파데라니요. 안 써볼래야 안 써볼 수가 없습니다. 사용해본다면 너무 좋아 난리가 나서 주변 사람들, 별로 안친한 어색한 친구들, 조금은 마음에 들지 않던 동기들에게라도 돌아다니며 마구 추천을 해줄지도 몰라요! 인생의 동반자같은 파데를 만날 수 있게, 영업왕이 되어 많은 이들에게도 행복을 줄 수 있게 설화수 퍼펙팅 파운데이션 샘플북 꼭 받고 싶습니다!!😊💕",14개
9,SM아닙니다,"엄청 심한건성입니다ㅠㅠ😞😞 파운데이션을 원래 다른 사 제품을 썼는데, 갈라지고 지우면 자극을 받아서
무엇으로 바꿀까 고민입니다ㅠㅠ
요즘은 눈두덩이 눈밑이 빨갛고 긁으면 피나기도 하고 점점빨게져서 고민입니다! 회사원님의 이벤트를 통해서 설화수라는 좋은 브랜드를 만나보고싶습니다!🥰",3개
10,rooah,그냥 언니가 예뻐서 들어왔다,203개
11,지유,"설: 설화수 파운데이션은🌿
화: 화장할 때 커버력!!🙊
수: 수많은 시간이 지나도 딱붙어있는 지속력✨
파: 파워 짱짱이라고요?!
운: 운이여 여기로 모여라~!!💚🍀
데: 대박사건이여라😝
이: 이벤트 당첨되여라🙏
션: 젼..갖고 싶소옵니다...🙇🙏
설화수 기초라인 짱인줄은 알고 있었는데 파데에도 들어있다닛!? 저와 피부타입이 비슷한 a언니가 소개해주시니까 더 믿음이 가는 것 같아요ㅎㅅㅎ!!
온니 흥해라~!!❤❤❤",27개
12,박배우님사랑해요,일주일 후에 어머니 생신이신데 학생이라 돈이없어서 뭐를 해드릴지 고민하고 있었는데 이런 이벤트라뇨 ㅠㅠㅠ 어머니한테 좋은 화장품 선물해드리고 싶어요😊,3개
13,렁e예쥐,대에빅 ㅜㅜㅜㅜ 저희 어무니께서 요즘 기미가 많으시다고 스트레스 받으시는데 꼭 설화수의 제품을 써보고 싶습니다 ❤️,5개
14,승현,몇 년째 파데유목인으로 살고 있습니다ㅠㅠ 많은 유튜브 영상으로 파데를 봤긴 했지만 이렇게 끌리는 건 처음이라 정말 제 돈 주고 사고 싶을 정도였어요 설화수가 항상 올드한 이미지여서 관심이 별로 없었는데 이번에 보고 사고싶어졌습니다! 한 번 테스트 해보고 엄마 하나 저 하나 이렇게 쓰고 싶어요 !,2개
15,쏭이SSONGE,진짜 회사원님 영상은 이상하게 요란한데 편안하게 일어나자마자 보기 딱 젛아요...👍,137개
