comment,noun,adj,verb
"유튜브를 단지 취미로 하시는거면
구독자들이 영상 재촉을 할 이유가 없다고 봅니다
하지만 직업으로 하시는 거라면 남아있는
구독자들 마저도 다 떠나가버리기 전에
조취를 취하시는게 좋을 듯 합니다","['유튜브', '단지', '취미', '독자', '영상', '재촉', '이유', '직업', '라면', '독자', '조취', '취하', '시', '게', '듯']","['없다', '좋다']","['하다', '하다', '보다', '하다', '남다', '떠나가다', '버리다', '하다']"
채널 프사도 그렇고 분위기가 초창기 분위기가 나서 옛날 생각도 나면서 너무 좋아요 희희ㅎㅎ 이거이거 완전 데일리 메이크업으로 유용할 것 같아요!! 당장 시도 해볼게요. 단발 스타일링이 은근 어려운데 써니님 헤어스타일링 정복하셨군요ㅠㅠ 저도 지금 단발인데 덥수룩 거지(?같아요...ㅋㅋㅋㅋ 다음에 팁 좀 알려주세요 '-^),"['채널', '프사', '분위기', '초창', '기', '분위기', '옛날', '생각', '완전', '데', '일리', '메이크업', '당장', '시도', '단발', '스타', '일링', '은근', '써니', '헤어스타일', '링', '정복', '지금', '단발', '거지', '다음', '팁']","['그렇다', '좋다', '희다', '희다', '유용하다', '같다', '어렵다', '덥다', '같다']","['나서다', '나다', '이다', '해보다', '하다', '알다']"
"이번엔 1주에 한번씩 영상 업로드한다고 하지 않으셨나요ㅠㅠㅠㅠ 한달이 지났어요....
벌써 두달....ㅠㅠ","['이번', '주', '한번', '영상', '업로드', '달이', '벌써', '달']",[],"['하다', '하다', '않다', '지나다']"
"벌써 2달이나 됐네요..😥 공지라도 띄어주세요,, 계속 기다리는 구독자분들 생각해주세요ㅜㅜ","['벌써', '달이', '공지', '계속', '독자', '생각']",[],"['돼다', '띄다', '기다리다', '해주다']"
써니님 열심히 하시겠다고 한게 얼마전인 2월인데도  불구하고 4월인 지금 두달째 영상이 안올라오고 있네요ㅠㅠㅠㅠ 써니님 영상  보고시퍼요ㅠㅠㅠ,"['써니', '게', '얼마', '전인', '불구', '지금', '달', '영상', '써니', '영상']",['있다'],"['하다', '올라오다', '보다']"
진짜 볼수록 단발 찰떡 ㅠ.ㅠ 발랄한 느낌이 써니님과 찰떡이에요 ⚘,"['진짜', '단발', '찰떡', '느낌', '써니', '찰떡']",['발랄하다'],['보다']
"썸네일 미모 미쳐버린다 진짜....,,,,......","['썸네일', '미모', '진짜']",['미치다'],['버리다']
"4:57 헤어라인 쉐딩할때 수지님 닮으셨다,,, 넘나 예쁘다,,","['헤어', '라인', '쉐딩할때', '수지']",['예쁘다'],"['닮다', '넘다']"
오프닝 부터 너무 예뻐서 입틀막.ㅜㅜㅜ 몇번을 돌려본건지 증말 몇번을 봐도 질리지 않아,"['오프닝', '부터', '입틀막', '몇번', '건', '증말', '몇번', '질리']",['예쁘다'],"['돌리다', '보다', '않다']"
"언니,, 나 기억나...? 우리 부잣집에 도둑질하러 들어갔다가 언니가 핑크 다이아몬드인 척해서 나만 잡혀갔잖아... 나 이제 나왔는데... 왜 아직도 핑크 다이아몬드인 척하고 있어...? 그게 벌써 10년 전인데...","['언니', '우리', '부잣집', '도둑질', '언니', '핑크', '다이아몬드', '척', '이제', '핑크', '다이아몬드', '척', '그게', '벌써']",['있다'],"['기억나다', '하다', '들어가다', '하다', '잡혀가다', '나오다']"
