닉네임,댓글,좋아요수,날짜
SaeromMin개코의오픈스튜디오,"⭐️⭐️⭐️⭐️2020년 5월 6일 오후 3시 OPEN!⭐️⭐️⭐️⭐️
(5월5일에 보고 계신 여러분! 내일 오픈됩니다 ㅎㅎ 오늘 아니에유!)


🎁A박스
78%할인 186,000 → 39,900 무료배송
https://smartstore.naver.com/a_coi/products/4908757718


1. 롬앤 제로 레이어 립스틱 - 15,000
2. 롬앤 베러 댄 치크 - 12,000
3. 피카소 꼴레지오니 14 블러셔 브러쉬 - 32,000
(아래부턴 A,B 공통 구성품 입니다.)
4. 웰라쥬 원데이 앰플 키트 (4종) - 24,300
5. 로벡틴 닥터 마스크 아쿠어 5개입 - 20,000
6. 코스알엑스 하이드리움 모이스처 파워 인리치드 크림 - 23,000
7. 네이처 리퍼블릭 블랙빈 안티 헤어로스 샴푸 - 15,000
8. 헤라 셀 세럼 미니어처 - 23,750
9. 헤라 블랙 파운데이션 미니어처 - 17,000
10. 실리콘 립스틱 정리함+메세지카드





🎁B박스 
77%할인173,200 → 39,900  무료배송 
 https://smartstore.naver.com/a_coi/products/4908759794



1.롬앤 제로 레이어 립스틱 - 15,000
2. 롬앤 베러 댄 아이즈 - 18,000
3. 피카소 블랙몬스터 스펀지 - 12,900
(아래부턴 A,B 공통 구성품 입니다.)
4. 웰라쥬 원데이 앰플 키트 (4종) - 24,300
5. 로벡틴 닥터 마스크 아쿠어 5개입 - 20,000
6. 코스알엑스 하이드리움 모이스처 파워 인리치드 크림 - 23,000
7. 네이처 리퍼블릭 블랙빈 안티 헤어로스 샴푸 - 15,000
8. 헤라 셀 세럼 미니어처 - 23,750
9. 헤라 블랙 파운데이션 미니어처 - 17,000
10. 실리콘 립스틱 정리함+메세지카드




+
여러분 영상에도 나오지만,
꼭 롬앤 옵션 먼저 선택 하시고 헤라 옵션으로 넘어가셔야해요.
그래야 원활하게 구매가 가능하십니당❤️",781개,최초 공개: 2020. 5. 4.
몽몽몽,"아 진짜 답답하네... 이런 혜자 구성이면 사람 몰릴거 당연한데 왜 본인들이 준비를 안해놓고 판매자 탓을 하지? 전 네이비즘 + 네이버 페이 연동 + 미리 로그인으로 제가 사고싶은 구성 성공 했구요, 저렇게 하니까 30초도 안걸렸어요. 그 시간을 까먹었던, 사정이 있었건, 로그인을 안해놨건, 다 본인 탓인데 대체 그걸 왜 수량 탓 재고 탓을 하죠? 본인이 똥손이거 준비를 안한거잖아요. 받아들이세요 좀. 왜 좋은 구성을 준비해주신 개코님이 욕먹는지 모르겠네요. 제품 Q&A 진짜 가관...",149개,최초 공개: 2020. 5. 4.
아영,구매 못해서 속상한건 이해하는데 개코님 실망이라는 분들은 뭐지...,145개,최초 공개: 2020. 5. 4.
송슬기,"네이버 스토어팜 Q&A가 난리네요
욕 적어놓고, 비리가 있니 마니 수량이 터무니 없다 어쩐다 보는 제가 다 눈이 찌푸려집니다
개코님은 좋은 마음에 설레하며 기획하고 하나하나 신경써서 준비하셨을텐데 저러니 Q&A 답변 담당하시는 분께도, 개코님에게도 참 무례한 짓 아닌가 싶네요ㅠㅠ 개코님 구독자든 아니든 우리 이렇게 예의없이 살지는 맙시다ㅠㅠ 영상 조회수만 해도 20만이 넘고 A박스 찜 개수는 2000이 넘어있었어요. 수량 터무니 없이 적게 준비한 건 절대 아니라고 보고, 너무 대혜자 이벤트다 보니 많이 몰리고 해서 1-2분만에 품절 됐을겁니다ㅜㅜ 속상한 마음 충분히 이해하지만 우리 욕하지 말아요ㅠㅠ...",275개,최초 공개: 2020. 5. 4.
김갬굴,"진짜 수량으로 뭐라하시는 분들 엄청 많은 거 같아서 자체 수량조사라도 해볼까합니당,,,,
⭐️저처럼 성공하신분 대댓이나 좋아요 좀 눌러주세요,,,!⭐️",286개,최초 공개: 2020. 5. 4.
,수량이 아무리 적어도 수익 내려고 만든 박스도 아니고 좋은 취지로 만든 박스고 또 이익은 전액 기부한다고 했는데 수량이 무슨 상관인가요 ㅠㅠ 본인 못 사면 수량 왜 이렇게 적냐는 식으로 불평해도 되는 건가요 🥺 댓글 좀 예쁘게 달읍시다 여러분,151개,최초 공개: 2020. 5. 4.
자비,열심히 준비하셨는데 다들 쿨톤은..쿨톤은.. 하시니까 제가 다 힘빠짐 ㅜㅜ 새롬님 인생템이니까 새롬님이 좋아하는 색 넣으신거 일텐데.... 쿨톤색도 넣는다고 좋지도 않은 제품 넣으면 여러분도 싫을테잖아요..,336개,최초 공개: 2020. 5. 4.
이유리,아니 이거 진짜 개미쳤는데...? 타 유튜버들이 진짜 별로인 제품 싸게 끼워넣는 게 아니라 구성품 미쳤음,316개,최초 공개: 2020. 5. 4.
RickyMoslow,본인의 인생템 박스인데 자기에게 맞는 톤으로 당연히 구성을 하셨겠죠..,376개,최초 공개: 2020. 5. 4.
먕먕,첫 번째라고 하셨으니 두 번째도 있겠죠..?! 아쉽게 광탈한 저는 두 번째 박스 기다리겠습니다 총총.. 큐앤에이에 욕까지 쓰는 사람 있는데 제반 비용 제외 모든 수익금 기부에 78% 할인 안 포장까지 꼼꼼히 신경 쓰셔서 열심히 기획하셨는데 광탈했다고 해서 욕까지 하는 건 좀 아닌 것 같아요 좋은 마음으로 열심히 기획하신 개코님이 보시면 얼마나 속상하시겠어요..ㅠ 안 좋은 말 쓰지 말고 두 번째 박스 기다립시다!!,142개,최초 공개: 2020. 5. 4.
joshuaview,"좋은 취지로 기획했더니 오히려 재고가 왜 부족하냐, 실망이다 어쩐다 인스타그램이며 유튜브며 큐앤에이쪽에서도 징징대는거 보면 진짜 웜톤 쿨톤 운운은 애교 수준.. 
꼭 개코님 유튜브 아니더라도 좋은 취지로 하고싶어해도 몇몇 뷰티 유튜버들이 공구하는거 왜 두려워 하는지 알 것 같다 거지근성인지 뭔지 본인 운이 없었던걸로 역으로 감 놔라 배 놔라 하는 사람들 꼭 있고.. 글 써놓은거 보면
어쩔땐 진짜 몸서리 처질 정도로 역겨움",50개,최초 공개: 2020. 5. 4.
