comment,noun,adj,verb
"영상 처음부터 끝까지 보시고 어떤 피부가, 그리고 
왜 패드를 써야 하는지? 또는 쓰지 말아야 하는지?  영상에 나오지 않은 패드 제품 보실 때도 확인하시고 사용하시길 바랄게요~ #빠밤 


01:08 패드의 종류
01:36 아쉬워요
02:37 가끔쓸템
11:39 데일리 추천템
15:34 TOP of TOP","['영상', '처음', '끝', '보시', '피부', '패드', '영상', '패드', '제품', '확인', '사용', '패드', '종류', '가끔', '템', '일리', '추천', '템']","['어떻다', '아쉽다']","['써다', '하다', '쓰다', '말다', '하다', '나오다', '않다', '보다', '하다', '하다', '바라다', '쓸다']"
"며칠전에 새로운 패드를 샀었습니다. 그런데 매일 사용하니깐 피부에 자극이 되더라구요..저는 제품 문제인줄 알고 배신감에 차있었는데 이제보니 각질제거 성분때문에 그랬던것 같네요... 제가 사용한 패드가 AHA,BHA,PHA 다들어가 있었거든요ㅠ.. 다시 한번 일주일에 1-2회정도 사용을 줄여서 써봐야 겠어요! 항상 이렇게 정확한 사용법과 친절한 설명 감동입니당ㅠㅎㅎ","['며칠', '패드', '매일', '사용', '피부', '자극', '제품', '문제', '알', '배신', '감', '제보', '각질', '제거', '성분', '때문', '사용', '패드', '다시', '한번', '일주일', '사용', '항상', '용법', '설명', '감동']","['새롭다', '그렇다', '같다', '있다', '정확하다', '친절하다', '이다']","['사다', '되다', '차다', '들어가다', '써다', '보다', '겠다']"
"피부 타입별 토너패드 TOP of TOP 타임라인
틀린부분은 답글로 알려주세요!
01:08 패드의 종류
클렌징 패드, 필링 패드, BHA/PHA 패드, 토너 패드, 미백 패드
01:36 아쉬워요
01:40 나이팅게일 데일리 더마 클렌징 패드 마일드 270ml(70매) / 24,000원 
01:51 마몽드 로즈워터 토너 패드 40매 / 12,000원 
02:02 코스알엑스 원스텝 오리지널 클리어 패드 135ml(70매) / 17,500원 
02:18 BRTC V10 필링 패드 165ml(80매) / 39,000원 
02:37 가끔쓸템
패드에서 가끔쓸템은 횟수의 문제라는 것!
(즉, AHA, AHA+BHA 패드 같은 자극이가서 가끔 써야하는 템)
AHA
03:31 벨라몬스터 스트레스 아웃 솔루션 패드 155ml(70매) / 17,000원 
AHA+BHA
04:59 메디큐브 제로 모공 패드 2.0 155g(70매) / 34,000원
AHA+BHA+PHA
06:21 식물나라 제주 탄산수 딥 필링 패드 120ml(60매) / 12,800원 
BHA+PHA B등급
08:05 미샤 수퍼 아쿠아 매끈 속살 필링 패드 60매 / 15,000원 
BHA B등급
08:43 에뛰드 올 케어링 이레이저 패드 110ml(60매) / 14,500원 
09:37 코스알엑스 원스텝 모이스쳐 업 패드 135ml(70매) / 17,500원 
BHA+PHA A등급
10:07 프롬조이 에키실린 클리어 코튼 패드 150ml(60매) / 23,000원 
BHA A등급
10:49 셀리맥스 어성초 BHA 지우개 필링 패드 125ml(60매) / 17,000원
11:39 데일리 추천템
데일리 수분 진정 패드
12:02 이즈앤트리 세이버 쑥 토너 패드 100ml(60매) / 25,000원
13:07 바디버든프로젝트 시카 토너 패드 150ml(60매) / 23,900원 
13:52 홀리카홀리카 레스온스킨 에센스 패드 80매 / 20,000원
미백 패드
14:43 구달 청귤 비타C 토너패드 140ml(70매) / 24,000원 
15:34 TOP of TOP
수분, 진정, 민감, 복합성
15:54 더마토리 하이포알러제닉 시카 레스큐 거즈 패드 100ml(60매) / 22,000원 
수분, 진정, 수부지, 건성, 홍조
16:57 더랩바이블랑두 올리고 히알루론산 7 멀티 포뮬라 패드 120g(60매) / 28,000원 
각질제거, 진정, 수부지, 10대 여드름(PHA)
18:07 라운드랩 1025 독도 패드 120g(70매) / 24,000원 
지성, 수부지, 여드름 부위 사용(BHA+PHA)
19:32 브링그린 당근 비타 토너 패드 60매 / 18,000원
화이트헤드, 가드름, 등드름, 부위 사용, 가끔쓸템(등드름)
20:30 아리얼 스트레스 릴리빙 데일리 픽 필링 패드 30매 / 5,900원
21:36 엔딩","['피부', '타입', '별', '토너', '패드', '타임', '라인', '부분', '답글', '패드', '종류', '클렌징', '패드', '필링', '패드', '패드', '토너', '패드', '미백', '패드', '나이팅게일', '일리', '클렌징', '패드', '마', '일드', '마몽드', '워터', '토너', '패드', '코스', '알', '엑스', '스텝', '리지', '널', '클리어', '패드', '필링', '패드', '가끔', '템', '패드', '가끔', '템', '횟수', '문제', '패드', '자극', '가끔', '템', '벨라', '몬스터', '스트레스', '아웃', '솔루션', '패드', '큐브', '제로', '모공', '패드', '식물', '제주', '탄산수', '딥', '필링', '패드', '등급', '미샤', '수퍼', '아쿠아', '살', '필링', '패드', '등급', '에뛰드', '케어', '링', '이레이저', '패드', '코스', '알', '엑스', '스텝', '모이', '업', '패드', '등급', '프롬', '조이', '클리어', '코튼', '패드', '등급', '맥스', '어성초', '지우개', '필링', '패드', '일리', '추천', '템', '일리', '수분', '진정', '패드', '앤', '트리', '세이버', '쑥', '토너', '패드', '바디', '버', '프로젝트', '카', '토너', '패드', '홀', '리카', '홀', '리카', '레스', '스킨', '에센스', '패드', '미백', '패드', '구달', '청귤', '비타', '토너', '패드', '수분', '진정', '민감', '복합', '토리', '하이포', '닉', '카', '레스큐', '거즈', '패드', '수분', '진정', '부지', '건성', '홍조', '더랩', '바이블', '히알루론산', '멀티', '포뮬', '패드', '각질', '제거', '진정', '부지', '여드름', '라운드', '랩', '독도', '패드', '지성', '부지', '여드름', '부위', '사용', '브링', '그린', '당근', '비타', '토너', '패드', '화이트헤드', '가드', '름', '등드름', '부위', '사용', '가끔', '템', '등드름', '아리', '얼', '스트레스', '릴리', '빙', '일리', '픽', '필링', '패드', '엔딩']","['아쉽다', '덥다', '같다', '덥다']","['틀리다', '알다', '쓸다', '쓸다', '가다', '써다', '메다', '오다', '스치다', '실리다', '세다', '알다', '올리다', '대다', '쓸다']"
바디워시요ㅜㅜㅜ3년전이 마지막이고 최근이없네요..,"['바디', '워시', '마지막', '최근']",['없다'],[]
"오예 건졌어!😆 목이빠지게 기다렸어요 ㅠㅠㅠ
장바구니 담아논거 살까말까 이거보고 사자싶어서 기다렸는데 오늘도 저의 지갑을지켜주셨습니다
어쩐지...... 패드만쓰면 볼이 막 따갑고 화상입은것처럼 뜨근뜨근 홍조올라와도 각질제거하는 생각으로 참고썼는데 ㅠㅠㅠ
저는 얼굴은 토너로만 정리해야겠네요
오히려 생각치도못한 등드름용으로 쓸아이찾았어요 등드름 미스트만 생각했는데..
감사합니다!","['오예', '목', '장바구니', '살', '보고', '오늘', '지갑', '어쩐지', '패드', '볼', '막', '화상', '뜨근뜨근', '홍조', '각질', '제거', '생각', '참고', '얼굴', '토너', '로만', '정리', '오히려', '생각', '치도', '못', '등드름용', '등드름', '미스트', '생각']","['까맣다', '따갑다']","['건지다', '빠지다', '기다리다', '담다', '놓다', '사다', '기다리다', '지키다', '쓰다', '입다', '올라오다', '써다', '하다', '쓸다', '찾다', '하다', '감사하다']"
"와진짜 올리브영 세일이라서 패드제품 세일해서, 패드왜쓰는지부터 궁금하고 살까말까 찾아보려고, 디렉터파이 패드 라고 검색했는데 1시간전에 올리신거뭐야 정말....!!!
통했넼ㅋㅋㅋㅋ 감사합니다 디파님!!!!!!!!!","['올리브영', '라서', '패드', '제품', '일해', '패드', '살', '디렉터', '파이', '패드', '검색', '거뭐', '정말', '통', '디파']","['궁금하다', '까맣다']","['오다', '쓰다', '찾아보다', '하다', '올리다', '하다', '감사하다']"
OMGGGG IM WAITING FOR THIS A LOT! IM SO EXCITED! 😭♥️,[],[],[]
"Thank you Director pi for including English subtitles!
Love from your #1 American fan!!",[],[],[]
항상 도움 많이받고있어요 ㅋㅋ 각질패드는 너무 자극적이라 보습되면서 각질에도 도움되는 패드 찾다가 더랩블랑두 패드 화해어플 성분비교하고 사서 쓰고있었는데 디파영상 자줗다보니 저도 화장품 고르는 센스가 조금은 생겼나봐요 ㅋㅋㅋㅋ 패드추천영상은 안올라오길래 제 직감대로 샀는데 탑제품에 떳네요ㅋㅋㅋㅋㅋㅋㅋ 잘배운것같아 뿌듯합니다 감사해요!,"['항상', '도움', '각질', '패드', '자극', '보습', '각질', '도움', '패드', '더랩블랑', '패드', '화해', '어플', '성분', '비교', '사서', '디파', '영상', '자줗다보', '화장품', '센스', '조금', '패드', '추천', '영상', '직감', '탑', '제품', '떳네']","['같다', '뿌듯하다']","['받다', '되다', '되다', '찾다', '쓰다', '고르다', '생기다', '보다', '올라오다', '사다', '배우다', '감사하다']"
디파님 제피부가 어떤 피부인지 아는법 좀 알려주시묜 감사할것같습니닷,"['디파', '제피', '부가', '피부', '법', '묜', '습', '닷']","['어떻다', '같다']","['알다', '알다', '감사하다']"
