,youtube_id,comment,like_num
0,Nukki누끼,"언니 너무 날씬해서 얼굴형이 쌀알이 되어가요,,, 쌀알미인,,,",340개
1,김깔깔,후 베이비들도 돈 많았으면...,260개
2,sy,짝퉁 없을정도의 가격에 고야드에 비해 퀄리티 좋고 메달때문에 나만의 백이 되어서 데일리 백으로 넘나 만족.누구나 보면 어디 가방이냐고 물을때면 패피인양 알려줌.가끔 이름이 생각 안나는건 함정.ㅍㅎㅎ,68개
3,김젠이,저기 아옳이님이 가셔서 이거 고야드같다고 하셨는데 저희브랜드가 고야드보다 100년이 더 오래된브랜드라고 엄청 자부심 떵떵거리셨던ㅋㅋㅋ,58개
4,SweetyTweety,언니 옛날 마리텔때처럼 모델vs일반인 해주시면 안돼요? 사실 좀전에 추천영상에 떠서 봤는데 너무 재밌어서ㅜㅜ,62개
5,푸루푸루,"나만 알고싶은 브랜드 였는데 ..실질적으로 우리나라에선 고야드의 짭같다고 하시는 분들 많더라구요  고야드보다 더 깊이있는 전통 있는 브랜드로 알고 있는데...
고야드가 워낙 셀럽들이 특장착 해서 우리나라에선 더 위상이 높아지긴 했죠..ㅋㅋㅋ",60개
6,JuyounLee,"가방 정말 예쁘네요 😍
슈스스님이 설명해주시는것은 다 갖고싶어지는... 😂
특히 버티컬백 실용적이고 예쁘네요~
매장 가봐야겠어요 ㅎㅎ",11개
7,스트민,"저기 가격대 진짜 생각보다 괜찮아서 매우 놀랬던 기억이,,,,,, 특히 저 포쉐트(흔히 말하는 클러치) 60 정도부터시작해요 ㅋㅋㅋ 고야드의 반값",43개
8,관영,에르메스도 털어쥬세여,45개
9,머리하는언니,서울 가고싶다. 날좋은 봄에 집밖도못나가는 요즘 ㅜ  애기키우는엄마들힘내세요!!육퇴후  슬기로운 의사생활 첫방보며 슈스스 언니 영상은 폰으로ㅋㅋㅋㅋ바쁘다바빠,69개
10,박세민,요즘 밖에 못 나가서 답답했는데 이거 보고 대리만족 하고 가요! 언니 늘 감사해요💛 꼭 건강 주의하세요💚❤🖤,7개
11,violakwon,"유럽에 갔을때 사야하는 브랜드 알고싶오요!!
언니가 보여주는 가방들은 설명도 같이 해줘서 유익하고 좋아용!!!❤️❤️",46개
12,도율무,...금강제화...늭낌...,12개
13,최샤샤,썬글은 얼굴이 작은 애들이 하는걸로!!!ㅋㅋㅋㅋ,3개
14,ClaireLee,뭔가 약간 금강제화같은데..,25개
15,Stine,훌륭한 피티 본 느낌,16개
16,JinAqua,여기 가방 메고 직장이라는 전장에 나가야겠어요 ㅠ,27개
17,리선생티브이,모르는 브랜드가 선물의 센스~! 감사합니다!!!,14개
18,기몽쓰썸오라,"헤리티지, 아이덴티티, 디자인, 가격대, 인지도, 밸류 등 그 어느 하나 부족한게 없는 제 최애 브랜드에용❤️❤️❤️ 슈스스티비에서 보니 너무 반갑네요 ㅎㅎㅎㄹ",14개
19,EY,"하정우.김혜수가 모델하는 브랜드임~~
소문나면 안되는데....슈스스가 드뎌 털어버리시넹 ㅠㅠ",11개
