닉네임,댓글,좋아요수,날짜
슈스스TV,* 영상 중간 노이즈 문제로 수정본 영상으로 재업로드 합니다. 기다려주신 시청자 분들께 혼란을 드려 죄송합니다!,350개,2020. 4. 23.
fuzzypants달꿈이,"영상이랑 상관없는 글이긴 한데...슈스스언니가 새로 산옷 애끼지말고 당장 입고 나가라고 해서, 정말로 담날 출근할때 새옷 입고 나갔는데, 기분이 넘모 좋았어요ㅠ 애꼈다가 중요한날 입어야지 했는데, 중요한날이란건 멀리있지않고 당장 오늘 내일이 나에겐 소중한 날이라는..? 생각이 들었습니다! 컨텐츠 언제나 잘보고있어용 ♡ 슈스스 언니도 행복한 하루 보내세용",11개,2020. 4. 23.
가나요,"이 영상의 백미는 가격을 이야기 할 때 정작 자신도 살짝 어이 없어하는 아름다운 미소.
뭐 그래서 명품이지요.",291개,2020. 4. 23.
AlexanderCho,에르메스까지 협찬받는 슈스스 클라스!! 대한민국 유일할듯,243개,2020. 4. 23.
귀여미팬더,"에,루,샤 3대명품회사가 협찬해주는 슈스스 클라스 말모말모~♡ 루이비통 매장털기도 보고싶다면서~~>_<",246개,2020. 4. 23.
inxcursion,Hi! I am a fan from Malaysia :D I really love to watch your videos especially on brand and handbag reviews from you Hye Yeon Unnie ~ Hope to see more videos with English subtitles <3,5개,2020. 4. 23.
anne,"2020년 ,,,, 퓨처 테크놀로지를 반영한 각 브랜드의 네이밍들이 인상적이네요. 가방은 일종의 아트라면 예술은 시대를 반영... 파격적이고 새로운 컬러의 디자인을 통해2020년 디자이너가 전달하고픈 메시지가 느껴지네요",24개,2020. 4. 23.
BulgogiKimchi,제가⃕ 아직 미자긴 한데 보면서 너무 이쁘단 생각이 들었어용..저 성인될때까지 계속 리뷰해주세요 살께요..ㅠㅜ,14개,2020. 4. 23.
마카롱,"❤여러분을위한 타임라인❤
0:35 💚에르메스💚
1:30  💚펜디💚
2:32 💚지방시💚
3:36 💚발렌티노💚
4:42 💚생로랑💚
5:41 💚마르니💚
6:41 💚스텔라 매카트니💚
7:41 💚폰타나 밀라노1915💚
8:40 💚아크네 스튜디오💚
9:40 💚조르지오 아르마니💚
10:40 💚끌로에💚
11:39 💚구찌💚
12:01 💚디올💚
12:35 💚델보💚
13:02 💚로저비비에💚
13:30 💚루이비통💚
13:48 💚멀버리💚
14:16 💚모이나💚
14:50 💚미우미우💚
15:39 💚발렉스트라💚
16:21 💚발렌시아가💚
16:46 💚보테가 베네타💚
17:15 💚샤넬💚
17:50 💚셀린느💚
18:11 💚콜롬보💚
18:32 💚토즈💚
18:59 💚톰포드💚
19:34 💚프라다💚

❤모두건강하고 행복하세요❤",264개,2020. 4. 23.
EUNJINSHIN,진짜 오래 찍으셧을텐데 에너지가 떨어짐이 없이 완주 하시다니 😻😻😻,108개,2020. 4. 23.
