comment,noun,adj,verb
"제품정보 잘못들어간게 있네요~ 수정합니다!!

18:38 [미미앤바비] 쿨한매력 5부 워터레깅스 #XL 12,000원
18:59 [미미앤바비] 모던 스윔 워터 수영복팬츠 #XL 29,800원
19:10 [미미앤바비] 알로하파인 나그랑 루즈래쉬가드 #형광 29,000원
19:29 [미미앤바비] 알로하파인 나그랑 루즈래쉬가드 #형광 29,000원","['제품', '정보', '수정', '미미', '앤', '바비', '매력', '부', '워터', '레깅스', '미미', '앤', '바비', '모던', '스윔', '워터', '수영복', '팬츠', '미미', '앤', '바비', '알로하', '나그', '루즈', '쉬', '가드', '미미', '앤', '바비', '알로하', '나그', '루즈', '쉬', '가드']","['있다', '쿨하다']","['들어가다', '하다', '파이다', '파이다']"
수영복 리뷰에 광고 들어가서 좋다고 하는 바닐라코 ㄱㅇㄱㅋㅋㅋㅋㅋㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄲㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['수영복', '리뷰', '광고', '바닐라코']",['좋다'],"['들어가다', '하다']"
"최고의 수영복, 속옷 유튜바","['최고', '수영복', '속옷', '유', '튜바']",[],[]
아 진짜 ㅋㅋㅋ 실내자전거 타면서 보다가 라지배신감브라탑 보고 개빵터졌어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자전거에서 떨어질뻔ㅠ,"['진짜', '실내', '자전거', '라지', '배신', '감', '브라', '탑', '보고', '개', '자전거', '뻔']",['빵터지다'],"['타다', '보다', '떨어지다']"
말만 라지고 미디엄사이즈 요정사이즈들 파는 나쁜 사람덜ㅜㅜ,"['말', '라지', '미디엄', '사이즈', '요정', '사이즈', '사람', '덜']",['나쁘다'],['팔다']
"이거지
이게 수영복리뷰지..","['수영복', '리뷰']",[],[]
당연히 수영복 광고일 줄 알았어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 빵터졌넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['수영복', '광고', '진짜']","['당연하다', '빵터지다']",['알다']
엉덩이찰싹 때리는거 부터 벌써 웃기네...,"['엉덩이', '찰싹', '부터', '벌써', '웃기']",[],['때리다']
"뷰티는 덤이고 수영복,속옷이 메인 인것 같아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌ❤️","['뷰티', '덤', '수영복', '속옷', '메인']",['같다'],['이다']
Tmi이긴한데 제가 씬님과 체형이 비슷해요ㅋㅋㅋㅋ 수영복 2탄 기다렸습니다!!!! 후기보고 득템(?) 해볼께요><,"['씬님', '체형', '수영복', '후기', '보고', '득템']",['비슷하다'],"['이기다', '타다', '기다리다', '해보다']"
13:37 수영을 하거나! 비치발리볼! 그런걸 해도 가슴이 제자리에 잇서요. (에어로빅중),"['수영', '거나', '비치발리볼', '걸', '해도', '가슴', '제자리', '에어로빅']",[],['잇다']
의외로 만사귀찮은듯 해도 저리 수영복 벗고 입는거 부지런히 잘함ㅋㅋㅋㅋㅋ,"['만사', '듯', '해도', '저리', '수영복']","['귀찮다', '부지런하다']","['벗다', '입다', '하다']"
언닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사랑해 진짴ㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ완전 씬님스러워 쑤혜스럽다😍😍😍😍😍,"['언니', '사랑', '진짜', '완전', '씬', '혜']","['스럽다', '스럽다']","['하다', '쑤다']"
20:08 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ❤️❤️❤️❤️❤️❤️ 가슴이 여기에 있어욬ㅋㅋㅋㅋㅋㅋㅋ 숨 넘ㅇ가겓네,"['가슴', '여기', '숨', '가겓']",['있다'],['넘다']
20:38 그래 맞아.. 라지라면서 왜 라지가 아니야 ㅠ.ㅜ 라지면 라지답게...ㅠ.ㅜ,"['라지', '라면', '라지', '라지', '라지', '답']","['그렇다', '아니다']",['맞다']
나만 구런가 언니 왜케 살빠진거 같지..,"['런가', '언니']","['살빠지다', '같다']",[]
아주 대한민국에서 구할 수 있는 속옷이란속옷은 다입어보네 ㅋㅋㅋ 그래서 이거본 나는 바닐라코로 향한다 ㅋㅋㅋ💃🏻,"['아주', '대한민국', '속옷', '속옷', '바닐라코', '향']",['있다'],"['하다', '입어보다', '보다', '하다']"
아닠ㅋㅋㅋㅋㅋㅋㅋㅋ비키니 리뷰에 바닐라코 광곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌ바닐라코에서 브랜드 새로 낸줄ㅋㅋㅋㅋㅋㅋ,"['비키니', '리뷰', '바닐라코', '광고', '바닐라코', '브랜드']","['아니다', '새롭다']",['내다']
아이런거너무좋앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['거너', '무']",['좋다'],[]
앜ㅋㅋㅋㅋㅋ수영복입고 헤엄쳐보는썸네일보고 들어옴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ짱웃..,"['수영복', '헤엄', '썸네일', '보고', '웃']",[],"['입다', '치다', '보다', '들어오다']"
"Ssin-nim, your nails are so pretty~! 😍💕",[],[],[]
이런거 알려주는 언니 찾아도 없다 진짜 이렇게 유익한 영상 어딨냐,"['언니', '진짜', '영상']","['이렇다', '없다', '유익하다']","['알다', '찾다', '어딨다']"
