,youtube_id,comment,like_num
0,구구콘,아주 작은 집에서 부터 둘이 시작한걸로 아는데 정말 둘이 알뜰살뜰 모아서 여기까지 오신거 같아요 오래오래 지금처럼 행복하세요^^,28개
1,집팔아화장품사는깡나,언니 내가 투명의자하고 어깨조물조물할테니까 거실 한켠에 놓아주세요 언니집의 한 파트가 되고싶습니다 (강한나 라고 발음할 때 순간 강안난줄 알고 깜놀),2개
2,선우,"작은 원룸에서 큰 펜트하우스까지 함께 하시다보니 두 분의 감회가 새로우시겠네요..!
집 소개 영상 완전
기다리고 있을게요! ㅎ",19개
3,멜로디,엄청 작은 집에서 이렇게 큰 집으로 이사한거 보니 성공했다는 표현도 맞지만 진짜 엄청 노력하셨구나가 느껴져서 뭔가 한편으로 울컥했네요 축하드려요 2020년에는 작년처럼 큰 스트레스 받지 않았으면 좋겠어요,613개
4,떄지,그동안 언니 표정중 가장 신난 표정 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,27개
5,채채ChaeChae,"와,, 언니 성공의 아이콘💓",394개
6,소이,한동안 영상이 이거 이후로 안올라오네요ㅠㅠ 언니 빨리 다음영상 보고싶은데 무슨일이 있는진 모르겠지만 얼른 와줘요♡♡♡ 기다리고있을게요,51개
7,허허,집이 얼마나 넓으면.... 목소리가 울려... 저도 나중에 저런 집에서 살고싶네요ㅠㅠ,644개
8,로제레타,언니? 동영상 올라올때가 지났어..?...ㅠ,45개
9,8282,나만 그런진 모르겠지만 왜 이렇게 송가인 닮으신거 같지...,44개
10,빗방울이뚝뚝뚝뚝떨어지는날에는,"쨤언니ㅜㅜㅜ한달동안 맨날맨날 영상올라왔는지
확인하면서 기다리다가 너무 걱정되서 댓글써요오 ㅜㅜ
혹시 어디 아프신건아니죠 ㅠㅠ,??
저 진짜 언니 없이 못살아여ㅜㅜㅜㅡㅜㅜㅡ
언니 꼭 건강하시구 ! 이사해서 정리하느라 못 올리고 있으신 걸로 생각하고 있을게요 
얼른 돌아오세요 ㅠㅡㅜ",58개
11,아공vlog,원룸 꽉찰만큼 맥시멀라이프였는데 이번 집은 너무 넓어서 강제 미니멀라이프 되겠어욤ㅋㅋㅋㅋ 막 채우지말고 비우며살아요 언니이 ㅋㅋㅋ!!! 넓게넓게!!!,197개
12,아비룽,이사하고 인테리어 하느라 바쁘신건가요???ㅜㅜ 왜 영상 안올려요ㅠ 괜히 걱정되게....,23개
13,류,쨔미님..이사를 한달째 하시는건가요ㅠㅠ언제 영상올릴건가요..,14개
14,김정우처도리,언니ㅠㅠ 구독자줄어들어서 영상 안올리시는건가용ㅠㅠ 구독자 없어도 짜미언니 기다리는 사람들은 많으니깐 힘내세용.. 사랑합니당 지금까지도 이렇게 너무 성공했고 잘달려오셨어요💗💗,24개
15,디즈니SEA,이런 자랑 영상도 사랑스럽게 보이는 이유는 윤쨔미님의 늘 감사할 줄 알고 겸손한 바른 인성과 타고난 귀여움과 발랄함 때문이 아닌가 싶습니다 좋은 집으로 이사가신거 정말 축하드려요! 늘 지금처럼 밝은 모습으로 영상보는 우리에게 행복을 나눠주세요~♥,170개
16,채채ChaeChae,첫째도 없는데 뭔 둘쨐ㅋㅋㅋㅋㅌㅋㅋㅋ귀여우심,100개
17,빌보드로가자,커뮤니티 글이라도 써주세요.. 무슨 일 있나요,10개
