닉네임,댓글,좋아요수,날짜
최은서,사실 난 언니 흑발이 제일 좋아...진짜 짱쎈 흑표범 우두머리 같거등요.....,1개,2020. 4. 19.
kiu기우쌤,역시 블랙 한두번은 뻥이었어 ㅡㅡ,679개,2020. 4. 19.
타미,못 박는 사람 누구야...? 그냥 범죄인데?ㅠㅅㅠ,208개,2020. 4. 19.
sohope,타이어 돈이 문제가 아님.그상태로 고속도로 달리면..거이 살인미수. 미필적고의,163개,2020. 4. 19.
YunJang,"혁이님 바퀴는 분명히 누가 고의로 그랬을거에요. 저도 저희 아빠차 타고 잠깐 학교 다닐때, 어떤 미ㅊ*이 바퀴 3개 고의로 못 박아놔서, 2200불 들여서 타이어 다 갈았어요. 그 이후론 저희 집 식구들은 다 블랙박스 설치했습니다.",125개,2020. 4. 19.
윰,"16:34 16:34 16:34

16:35 16:35 16:35",7개,2020. 4. 19.
WheeSo,타이어 펑크는 너무 악의적인데 ㄷㄷ,119개,2020. 4. 19.
TAVI,"언니 힘들면 언제든지 쉬어가도 괜찮아요.  무리하지 말아주세요😭💜 바다표범님 밝은 머리너무 잘어울려요! 

젤라언니 혁이님이 놀라면 말해주세요!! 젤라언니는 젤라또가 지킨다!ᕦ(ò_óˇ)ᕤ  젤라언니 놀리지 마세요!💪🏻💪🏻",114개,2020. 4. 19.
인생은고기서고기다,왜 탈모걱정을 하면서 탈색을하는지ㅠㅠㅠㅠㅜㅜ걱정되네요,21개,2020. 4. 19.
김미선,"타이어 못박은 쓰레기  꼭 잡으세요 
그러다 모르고 운행하다가  사고라도
나면  타시기전 꼭 확인해요",23개,2020. 4. 19.
EbiereBiegbudu,Whoop whoop a new vid❤❤ love youu,9개,2020. 4. 19.
IndahAnisah,"J: Hyuk is also losing his hair right there
H: i started losing hair after our marriage..
K: thats because of all ""that"" Stress..

Look how Jella staring at Kiu🤣",40개,2020. 4. 19.
헨젤과그랬대,언니 저 지방 미용실에서 저거 해달라했다가 유희왕됐어요 ㅋㅋ.... 그래놓고 15만원 받아먹음 바로 브릿지 다시 덮었답니다... 머리 예뻐요 ㅠㅠ 🤍,53개,2020. 4. 19.
GraceS,타이어 빵꾸 진짜 너무 하네요..,29개,2020. 4. 19.
잘나가내가,머리결 너무손상됬는데 어떻게 이머리에 염색이 가능했는지 미용사님 대체..,22개,2020. 4. 19.
이지은,❤️❤️❤️,10개,2020. 4. 19.
쪼코,"언니 우아한 표범처럼 생겨써
생얼이 저정도면 난 화장 안할거야ㅜㅜㅡ",11개,2020. 4. 19.
찐빵,젤라님 코로나조심하세요 11:48 동화나 만화에나오는 도깨비같아요,27개,2020. 4. 19.
설설스,나두 머리하고싶으다 ㅠㅠ  저두 산후탈모 온집안에 내 머리카락😂😂  짜증나 죽갯어요  돌아서면 머리카락있어요  치웠는데  또 있고  어우!!!,10개,2020. 4. 19.
개장,11:48 나와랏 메타몽 !!!,4개,2020. 4. 19.
눈누난나,뭐 닮았다고 할때 그 드래곤 길들이기에 투슬리스? 그 캐릭터 닮은고같아요 ㅋㅋ,4개,2020. 4. 19.
yochoi,11:41 혁이님 마인부우 닮았어요,10개,2020. 4. 19.
NAMOO나무,지금은 몰라도 나중에 나이들고 후회할까 슬퍼요 젤라님 너무 좋아하는데 두피도 아껴주세요~~(나이많은언니의 가소로운 걱정쓰),42개,2020. 4. 19.
김혜윤,0:03 ㅋㅋㅋ누가 손님한테 일시켜욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ🤣🤣,15개,2020. 4. 19.
호라,"젤라님 .. 회색 가운 너무 잘 어울리세요♡.♡ 
진짜 퍼스널컬러진단 혁이님과 같이 받으시는 영상도 만들어주셨으면 좋겠군요 ㅎㅎㅎ",26개,2020. 4. 19.
권,허니브레드에 빵터져버럈넹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6개,2020. 4. 19.
김은주,젤라온냐 골룸이되도 전 끝까지 좋아할거에여🧡,31개,2020. 4. 19.
봄봄,"계란초밥 ㅋㅋㅋㅋㅋㅋㅋ 허니브레드 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 단번에 이해 가능,,한,,,",21개,2020. 4. 19.
박규리,헐 언니 마스크 지금 어린이용 쓴건가 혹쉬...?,9개,2020. 4. 19.
정해선,헐 비닐 파우치(?) ㅋㅋㅋㅋㅋ 그 안에 제가 쓰는 거랑 똑같은 틴트 있어서 순간 심쿵했어요...ㅎㅎㅎㅎㅎㅎㅎㅎ 괜시리 넘나 좋은것~~,10개,2020. 4. 19.
유진,11:43 동물의 숲 덤벨,5개,2020. 4. 19.
카드값줘체리,미쳤다 혁이님 타이어... 그건 진짜 생명이 달린일인데 누구냐 진짜 걸리면 거꾸로 롯데타워 꼭대기에 매달아버릴라ㅡㅡ 👿👿👿👿,6개,2020. 4. 19.
SRJ,11:43 혁이님 축구선수 이운재 닮으셨어요,4개,2020. 4. 19.
김은주,언니 미국화장품으로 화장해주시면안될까요??,5개,2020. 4. 19.
JHyun,염색 자주하면 머리가 푸석해지는건 어쩔수 없는듯....,4개,2020. 4. 19.
김고은,"제가아는어느누구보다
흑발이젤잘어울리는
미녀 젤라님💜",7개,2020. 4. 19.
우왕으힝,혁이님 소보루빵 머리 할 때  영화 인크레더블에 나오는 불타는(?)애기 닮으셨어용ㅋㅋㅋㅋㅋㅋㅋㅋ 짱귀욥,5개,2020. 4. 19.
푸름푸름,"애쉬그레이? 너무 이쁘고 잘 어울려요!
젤라님 나중에 상한 머리카락 다 쳐내고 단발 어떠세용ㅎㅎㅎ
단발 젤라님, 흑발 젤라님도 넘흐넘흐 이쁘신것ㅜㅜ💕",22개,2020. 4. 19.
김이연,"젤라님 혁이님 기우쌤 조합 너무 커엽다ㅋㅋㅋㅋ무해해
타이어펑크 누군진 몰라도 아마 영상 다볼텐데 걸리면 진짜 큰일나요ㅋㅋ 후회할 짓 하지마요",2개,2020. 4. 19.
김말늠,"혁이님 완전 연예인 같아용
므쪄요^^",7개,2020. 4. 19.
왈왈이그자체,"타이어가 1~2만원하는것도 아니고 개비싼데 아니 타이어는 왜 펑크내는거야 ㅋㅋ;; 차없는 또라이짓인가,,으이가없네 꼭 타이어범인 잡아내주세요!! 제가 다 화가나네용
그리고 염색 완전 짱 잘된거 같아용 머리 ㄹㅇ 개이쁘다👍",26개,2020. 4. 19.
하리,11:42 피구왕 통키...?,1개,2020. 4. 19.
rinnnIng,와 진짜 예뻐요 ㅠㅠ 뭘 하든 넘 예쁘세여,3개,2020. 4. 19.
치킨피자,"뭘해두 이뻐요,,,❤️❤️",3개,2020. 4. 19.
ncglam,"Jella uploads, I click! 😍❤️",12개,2020. 4. 19.
이승아,80만명축하드려요!!!!💕💕젤라님이랑 혁이님너무이쁘고잘생기고❤,12개,2020. 4. 19.
샌프란시스코Jeetube,탈색한 직원분 머리는 무슨 색인가요?,3개,2020. 4. 19.
김민정,샴푸 추천받은거 구매햇어요 공구? 놓쳐서.....,3개,2020. 4. 19.
InseoHuh,혁이님 생일 축하드려요!,3개,2020. 4. 19.
담흔,헐 언니 색 진짜 예쁘게 나왔네요!,3개,2020. 4. 19.
최정원,💕💕💕이뻐요❤💖💘,5개,2020. 4. 19.
박소현,너무너무 이뻐요 역쉬❤️,3개,2020. 4. 19.
희야,저도 첫째 출산땐 안빠졌는데 둘째 출산하고 나서부터 엄청 빠져요ㅠㅠㅠ흑흑,2개,2020. 4. 19.
박연희,말하는게 넘 이뻐용ㅋㅋ 귀엽구,9개,2020. 4. 19.
sunghyeoun,언니 너무 너무 너무 예뻐용,3개,2020. 4. 19.
뭄빈,허니브레드ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 4. 19.
또리집사,젤라님 평소 데일리 메이크업 궁금해요,3개,2020. 4. 19.
코코,와 타이어 못..... 진짜 ㅁㅊ놈인가,1개,2020. 4. 19.
지영,혁이님! 생일 축하드려욤~😊🎉🎂,14개,2020. 4. 19.
애찬,언니 ㅜㅜ 보고싶었어요,4개,2020. 4. 19.
윰뿡,엄마는 대단하다,2개,2020. 4. 19.
권민서,자막 너무 깔끔하고 예뻐용,2개,2020. 4. 19.
김무무,뭔데 그렇게 이쁘죠???!!!!???,2개,2020. 4. 19.
SamSmith,두 분 다 너무 잘 어울려요 👍🏻👍🏻 이와중에 젤라님 말투 넘 귀여우셔서 미칠뻔 ㅋㅋㅋㅋㅋ ㅠㅠ,2개,2020. 4. 19.
25일2월,"마자요......ㅠㅠ탈색할때 너무 지루해서
막상 염색하고 색나올때 빨리해달라고하고
대충보고 결제빨리하고 집에와서 쉬다가 그때서야 제대로 색보고 어디어디꼼꼼히했나못했나 보고있구 킁...",7개,2020. 4. 19.
김수연,머리 색빠지니까 너무 이뻐요!,7개,2020. 4. 19.
Youtube구름캔디,언니 뜬금없는데 황승언 배우님 닮앗어용 ♡♡,2개,2020. 4. 19.
응카메라체크오디오도체크,혹시 페리페라립 어떤건지 알 수 있을까요?,2개,2020. 4. 19.
MIP,"잔머리는 머리 말릴때 위에서 아래로 눌러주듯이 하되 드라이기 입구가 머리카락에 닿지 않게 말리면 어느정도 눌리더라구요:)
(흰머리는 스트레스가 많으면 그렇게 나타나는 사람이 있대요)",1개,2020. 4. 19.
쏘하,"염색약 바르고도 이렇게 예쁘다니 대단해요, 얼굴이!!!",0개,2020. 4. 19.
김민서,언니에 미모는 오늘도 열일중,11개,2020. 4. 19.
고아서,"우연히 동영상 하나보고 지금 몇개를 보았는지 몰라요.
이쁘시기도 하지만 존재자체가 매력이시네요.",1개,2020. 4. 19.
황호순이,젤라님샴푸너무잘쓰고있어요~^^혹시저번브이로그때올리셨던타두샵정보알수있을까요?집이홍대로이사왓는데 아는곳이없어서요!!,2개,2020. 4. 19.
홍성희,젤라또 탈색,1개,2020. 4. 19.
TheLittleMermaid,언니 사랑해요❤❤❤❤,5개,2020. 4. 19.
뽀뜌,어디에요??위치가??,1개,2020. 4. 19.
류류,"쫌 지나면 울언니도 고슴도치되겠넴ㅜㅜ
엄마사랑해여♥",2개,2020. 4. 19.
륵꼬르륵,라보에이치 샴푸 이벤 또 안하나요?ㅜㅜㅠㅠㅜ,3개,2020. 4. 19.
NadaElhefnawy,💖💖💖💖✨,3개,2020. 4. 19.
이조은,이3조합 꿀잼ㅋㅋㅋ,1개,2020. 4. 19.
화가많은소라카,아 올라플렉스사용하시는군용 .. !,3개,2020. 4. 19.
김예원,ㅋㄱㅋㅋㅋ언니..남편분 닮은거 저만 이상해씨 생각났나요...?,0개,2020. 4. 19.
StellaAubreeHepburn,"Plz think and use your brain girl. It's definitely not safe to be out there, especially in a room where there are people not maintaining 6 feet.",1개,2020. 4. 19.
ParkJiAh박지아,언니 어디 루아 이서?,1개,2020. 4. 19.
Mochijiminsshi,"Hi , Jella ,  I hope you and your fam is safe  💜💜💜",25개,2020. 4. 19.
공주,애긔 엄마 맞냐구요 😭👍🏻👍🏻,1개,2020. 4. 19.
honeybeenJ,언닝 저도 어릴때부터 흰머리났는데 검은색 염색하면 흰머리가 조금만 자라도 새로 하게되더라구용ㅠㅠ근데 밝은색으로 염색하면 검은색했을때보다 오히려 흰머리가 티가 안나서 좋더라구용!!ㅎㅎ검은색보다 밝은색이 다른색으로 갈아타기 쉬우니까용!!애쉬색이나 이런계열로 새치커버한샘치고 이쁜머리 많이 하세용🥰,5개,2020. 4. 19.
AlyAly,yeppeo!!!!,2개,2020. 4. 19.
조이JOY,Xq le tapó la cara al final?,1개,2020. 4. 19.
cvtherlne,💖💖💖,5개,2020. 4. 19.
이영경,젤라님 혹시 다욧트 비법좀 알려주세요~^^절라님 늘 잘보고갑니다,1개,2020. 4. 19.
민서minseo,일찍왔떠용🥰❤️,4개,2020. 4. 19.
Greenbow89,"Her hair is so long, it looks amazing~❤ 
Also I hope your friends and family stay safe during this time🙏",3개,2020. 4. 19.
선희,증말 저게 무슨 애엄마냐궁,1개,2020. 4. 19.
RanishaNewsome,hey jella👑👑,5개,2020. 4. 19.
DhiaisDee,😍so beautiful 🤗👋💕,5개,2020. 4. 19.
nasheeda13,Yaaay finally a new vid 💜💜💜,6개,2020. 4. 19.
,어차피 또 블랙할거면서 머릿결 두피 상하게 뭐하러한대 금방 또 블랙으로 하겠지,0개,2020. 4. 19.
