닉네임,댓글,좋아요수,날짜
조윤희,진짜 어쩜 매번 영상 퀄리티가 나날이 좋아지고 스타일도 나날이 예뻐지고 다양해지는 거 같아요!! 매번 보는 재미도 있고 좋은 룩은 캡쳐해서 제 스타일링에 적용하기도 정말 좋은 유익한 영상이에요❤️❤️ 앞으로도 잘 부탁드려요😆😆😆,88개,2020. 5. 8.
kathleeng,Is the Zigzag app available in English version? And do they ship worldwide? Including Canada?,9개,2020. 5. 8.
camilapacas,Sería estupendo que hicieras otro vídeo en español eres muy talentosa !.,12개,2020. 5. 8.
TryingtoFood,"therapy: expensive
yoo: free",18개,2020. 5. 8.
제이빈,"룩북너무조아요 ㅠㅠㅠ 특히나 룩전체샷보여줄때 쇼핑몰 한번에 다 보여주는거 진짜 센스좋은거가타요🤟🏻 
올 여름룩북도 벌써부터 기대 즁입니다 ... 🤍",29개,2020. 5. 8.
전지은,지그재그...내가 볼땐 별로였는데 이렇게 보니 왜 다 예뻐보이는거지... 다시 깔아야겠네.....,10개,2020. 5. 8.
MOREDUALITY,"AHHH ME ENCANTA❤
Eres muy talentosa 🇰🇷
Una fan desde México 🇲🇽",29개,2020. 5. 8.
AnaH,love all the outfits so simple but yet fashionable ❤️,4개,2020. 5. 8.
ArmyForever,"Que linda!! Todo te queda muy lindo 😃🌺

PD: Ya estaba esperando nuevo video jaja",20개,2020. 5. 8.
HarleenQuinzel,Your style look like Soojin from (G)I-DLE 😍❤,10개,2020. 5. 8.
azalleajinvely,"나 유튜브 댓글 언니한테만 단다 ,,,!! 언니 룩북 진짜 기다렸어 ㅠㅠࡇㅠ 언니 패션은 뭔가 유니크한데 또 예뻐서 자꾸 자꾸 보게된다 ㅠㅠㅠ사랑햐 ㅠㅠ🤍🤍",6개,2020. 5. 8.
LizbethRamrez,"love each outfit and give yourself precious ♥ ️, hermosa:3 saludos desde México b.c.s 🇲🇽",1개,2020. 5. 8.
LuBlink,"Girl ur a queeennnn, u look so good with that outfits",5개,2020. 5. 8.
kara,Thank you for uploading! All these outfits are so pretty.💕,2개,2020. 5. 8.
LenaNguyen,loved this ! your so gorgeous and I love your style and makeup !! 😫😍,1개,2020. 5. 8.
Maryam,Thanks! I watched everything i wanted in 33 seconds I don’t have to watch the rest of the video😁,0개,2020. 5. 8.
JenniferDefoy,It makes me feel like I should try to add more colour to my wardrobe. Especially more pastels.,1개,2020. 5. 8.
