comment,noun,adj,verb
선댓글 후 감상 합니당 ㅋㅋ,"['선', '댓글', '감상']",[],['하다']
왘ㅋㅋㅋㅋㅋㅋ 진짜 신박하다,['박하'],[],['오다']
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제목 좋음여.,"['제목', '음']",['좋다'],[]
조합이 괜찮은데요 ㅋㅋ이른 아침 잘보고 갑니다^^,"['조합', '아침']",['괜찮다'],"['이르다', '보다', '가다']"
진심 최고.꿀팁에 솔직한 영상 크리에이터! 👍🏻,"['진심', '최고', '꿀팁', '영상', '크리에이터']",['솔직하다'],[]
"우키님~
뭔가 만물상 느낌이 물씬 풍기네요ㅎㅎ
오늘팁은 카메라 기종 관계없이 유용할 수 있는 완전 꾸르팁이네요.
정품 배터리 너무 비싸요ㅠ😂😂😂","['키', '뭔가', '만물상', '느낌', '물씬', '오늘', '팁', '카메라', '종', '완전', '르팁', '정품', '배터리']","['유용하다', '있다', '비싸다']","['풍기다', '꾸다']"
"우왕...
완전 꿀템인대요~~~
역시 센스쟁이인 우키님^^","['우왕', '완전', '꿀템', '인대', '역시', '센스', '키']",[],[]
의도치 않는 1등이네요 ㅎㅎㅎ 흥미로운 제품영상이었어요 아직은 없지만 카메라 구매하게되먼 하나 같이 장만해봐야겠어요,"['의도', '치', '제품', '영상', '은', '카메라', '구매', '하나', '장만']","['흥미롭다', '없다', '멀다']","['않다', '이다', '하다', '해보다']"
귀찮아서 걍 배터리 사겟네요 ㅋㅋ 저두 후지 조루 배터리 때문에 미치겟네요^^,"['배터리', '후지', '조루', '배터리', '때문']","['귀찮다', '미치다']",['사다']
와.. 이건 진짜 꿀팁이다...,['꿀팁'],[],['오다']
우와~~ 강추 강추~~~,"['강추', '강추']",[],[]
"루키님 덕분에
심박한 물건 주문완료..^^
배포 28.800
감사합니다~~~^

댓글을 남기지는 않지만
루키님과 멤버분들
영상
늘  잘보고 있습니다.

파~~~~이팅!!!!","['루키님', '덕분', '심박', '물건', '주문', '완료', '배포', '댓글', '루키님', '멤버', '영상', '파', '이팅']",['있다'],"['감사하다', '남다', '않다', '보다']"
배터리 조루는 Money가 최고,"['배터리', '조루', '최고']",[],['가다']
배송비 대박 ~~~,"['배송비', '대박']",[],[]
역시 형 멘트가 청산유수에여 술술술~ 부럽당,"['역시', '형', '멘트', '청산유수', '술술', '술']",['부럽다'],[]
