닉네임,댓글,좋아요수,날짜
ITSub잇섭,"ONE UI 2.1/탭S6 Lite 업데이트를 보면
삼성은 욕먹는 패티쉬가 있는게 분명합니다.",13개,2020. 5. 11.
미스터로드뷰MrRoadView,"삼성의 단점 : 당연히 있어야 할 기능 안넣는 똥고집 모먼트가 종종 있음
삼성의 장점 : 컴플레인 마구 넣으면 (한숨 쉬면서) 피드백 신속하게 대응해줌",11개,2020. 5. 11.
권정우,"삼성 : 이거 빼고 출시했어
소비자 : 그걸 왜 빼냐 미X
삼성 : 앗싸 욕 먹었다! 넣을게~^^ (쾌락)",390개,2020. 5. 11.
김동건,오늘도 배댓이 되기 위해 머리를 굴리시는 여러분을 응원합니다.,375개,2020. 5. 11.
KWON,난 그래도 이렇게 피드백 주면 바로 행동하는 삼성이 좋다고 생각함. 솔직히 가격 따지면 다 이해 감. 그리고 사람들이 적당한 의견이나 피드백을 주는건 당연하다고 생각하는데 막 까기만 하거나 욕하는 사람들 보면 이해가 안감. 잇섭님처럼 논리적이고 균형있게 피드백 하는 것도 아니라 그냥 물타기 하거나 원래 삼성을 낮게 보거나.... 근데 처음부터 넣어 주는게 가장 좋을것을.... 이번 탭 s6 라이트 아주 만족합니다. 몇없는 안드로이드 태블릿 시장에서 더 확실한 입지를 다져주길 바랍니다.,81개,2020. 5. 11.
밍키,삼성은 욕하면 공짜로 해줍니다 ㅋㅋㅋㅋㅋㅋㅋ,223개,2020. 5. 11.
더락,참 삼성은 이상하단 말이지. 어차피 넣어줄거 그냥 좀 넣어주지. 사용자도 불편하고 자기들도 또 업데이트 해줘야 되니깐 귀찮아 질텐데 뭘 굳이 빼서 출시하고 추후에 추가해주는건지 이해가 안가네ㅋㅋㅋㅋㅋ. 이쯤되면 삼성은 욕먹어야 잘나오는 그런 신기술을 가지고 있는거 같음ㅋㅋㅋㅋㅋ,154개,2020. 5. 11.
3D유저,"0:07 이것은 거짓말입니다, 블랙 암소 ㅋㅋㅋㅋㅋㅋ 엄청 터졌다
He is Black 말랑 cow!",320개,2020. 5. 11.
서울KingGod,이제 외국인들도 그가 흑우인 걸 알았다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,60개,2020. 5. 11.
원주율,"삼성은 누가보면 굉장히 바쁜회사같음..
뭔가..출시하고도 뒷처리를 해줌ㅋㅋㅋㅋ",85개,2020. 5. 11.
steelers,하드웨어 차이에 의한 소프트웨어 기능 차이 말곤 좀 적용좀 해주라..,146개,2020. 5. 11.
