닉네임,댓글,좋아요수,날짜
10723이한결,"엠알
처음 봤을때:미친듯 잘생겼다
현재:미쳤는데 잘생겼다",20개,2020. 5. 31.
,"형 내가 더 잘 닦을 자신있어 진짜
나를 집에 들여",42개,2020. 5. 31.
박찬수,컴터 보면서 하트누르는 엠아리형 모습 궁금하닼ㅋㅋㅋ,35개,2020. 5. 31.
youbehind,오 좋네요 닦이지 않는부분까지 ㄷ,29개,2020. 5. 31.
파파윤,"엠: 엠알 유튜브
알: 알아서 구독,좋아요,알림설정",27개,2020. 5. 31.
초딩의요리사전,"형님 맨날 이렇게 좋은 컨텐츠만 만들어주시면 진짜 화





려한 조명이 나를감싸네~ 





근데 엠알형은 항상 화려한 조명이먄날 감싸나.. 외이레 잘생겼어",2개,2020. 5. 31.
김선호,저희 엄마가 찾던 그 물건이 확실합니다.ㅋㅋㅋㄱ,4개,2020. 5. 31.
,"전부터 트리마제나 갤러리아 포레 보며 부러우면서도
경치는 좋은데 더러워진 창 밖은 어떻게 닦지? 그랬는데ㅋㅋ",22개,2020. 5. 31.
플라워,이 와중에 옆에 핸드폰들 뭔뎈ㅋㅋㅋ,3개,2020. 5. 31.
pilsuklee,아...잘되긴하는데 ㅎ 왠지 불안할듯 전ㅋㅋ,5개,2020. 5. 31.
깨꽁,ㅋㅋㅋㅋㅋㅋㅋ 벽에 붙어서 꼬물대는거 뭔데 기엽냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6개,2020. 5. 31.
김동영,"와우 엠알님 영상은 역시 재미도 있고 신기해요
그럼 또 엠알형 구독 좋아요 하러 따라오시죠",4개,2020. 5. 31.
맹꽁잉어,저 로봇 왜케 귀엽지?(나만 그런가?),4개,2020. 5. 31.
본명,이거 아톰에서 봤는데ㅋㅋㅋㅋ,3개,2020. 5. 31.
정우진,"오늘도 1일 1엠알🥰
진챠 심하게 잘생겼다요,,, 미모 감상하느라 뭘본지두 모르겠답🤦🏻‍♀️",6개,2020. 5. 31.
붜뵈,0:00 야시꾸 예마립미다!,37개,2020. 5. 31.
전창민,진짜 존나 귀엽게 움직이면서 청소한다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 31.
우주,와.....떨어지기라도 하면....ㄷㄷㄷㄷㄷ 어카죠,4개,2020. 5. 31.
Limeunsu,우왁ㅋㅋㅋㅋㅋㅋㅋ 근데 뭔가 떨어질까봐 조마조마하면서 봤어요 ㅋㅋㅋㅋ 신박쓰...,23개,2020. 5. 31.
jianKim,"앞집에서 보면 이상하게 생각하겠다 ㅋㅋㅋ

+:구독자 이벤트 발표는 언제죠??",3개,2020. 5. 31.
정명옥,ㅋㅋㅋㅋㅋ계속보니까 귀엽당...머리랑 엉덩이 꼼질꼼질하는거같오..,2개,2020. 5. 31.
신지수,6분전!! 근데 굉장히 신기하네욥,9개,2020. 5. 31.
정빈이,저거 떨어지면 어뜩하나....심장 떨면서 봤습니당....오우......,5개,2020. 5. 31.
덕이,근데 약간 저 같은 사람은 못 쓸듯... 높은데 살면 더더욱 ㅠㅠㅠㅠㅠ아예 손이 밖으로 나가는 것 조차가 무서워서... 근데 진짜 유용하긴 할 것 같아요! 굳이 밖을 할 필요는 없는거니까,1개,2020. 5. 31.
광팬MR엠알님,형 나 왔다!!!!🥰,14개,2020. 5. 31.
슈퍼로더SuperRoader,브라더 컴백 기다렸잖아~~,3개,2020. 5. 31.
박재원,진짜 귀엽게 움직이네 ㅋㅋㅋ,1개,2020. 5. 31.
페이드,"8:07
이걸 창문 밖에 안전로프 없이 했을경우에..... ㄷㄷ....",31개,2020. 5. 31.
식은땀난다,와..창문이 커서 청소 하시는 분 불렀어야 했는데 좋은 제품일 것 같아요!,7개,2020. 5. 31.
콜라is컼,"배터리가 충전하면 선 연결 안해도 작동하고 
전원버튼 리모콘으로만 작동 시킬수있으면 더 좋을텐데",1개,2020. 5. 31.
jch8389,"화장실에 고무장갑이 왜 있을까요?




청소 안 하는 걸로 압니다만",12개,2020. 5. 31.
미생,"이걸 졸작으로 아이디어 낼려고 했는데 이미 나왔네..ㅠㅠㅠㅠㅠㅠ
패스다...",3개,2020. 5. 31.
전형기,이야~~우리집 창문이 대부분이라 높고 해서 직접딱다가 포기했는데 고민되네요 🤔,1개,2020. 5. 31.
BBaGeTe,세상에 ㅋㅋㅋ 기관에서 사면 되겠다,2개,2020. 5. 31.
깨굴개굴소년,8:07 저게 창문이고 아래에 람보로기니가 있었다면???,5개,2020. 5. 31.
진아,헐 이거 4년전에 내가 중학학생 당시에 발명품아이디어? 같은거 대회인가 했을때 창문밖을 닦을수있는 로봇같은거 적어 냈었는데 제품이 있구나,1개,2020. 5. 31.
오창근,"청소가점점편해지겠다
귀엽기도 한거같애요ㅎㅎ",1개,2020. 5. 31.
김지성,아이폰 11 청량케이스 클리어는 언제나오나요 ㅠㅠ,8개,2020. 5. 31.
PilsunHong,"꼭 밖이 아니어도 닦을 수 있으니 저도 질러야겠네요ㅋㅋㅋ
좋은정보 감사해요~~~~",1개,2020. 5. 31.
홍성엄,이거 우리단지에서 빌려주던데 ㄹㅇ안떨어짐 ㅋㅋㅋㅋ근데 소리 오지게커서 집안에있을때 쓰면안ㄷ힘,1개,2020. 5. 31.
박동규,1:24 난 왜 저 케이스를 착용한 휴대폰만 보는거지?,2개,2020. 5. 31.
