닉네임,댓글,좋아요수,날짜
UNDERkg,"- 무선 충전기는 네이티브 유니온 제품입니다. 구매는 https://bit.ly/2Vu8X7w
- 곧 아이폰 SE(2세대) 예판 시작인데, 색은 고르셨나요?
이번에는 흰색, 검정색, 그리고 빨간색의 세 가지인데, 아이폰 8에서 금색은 빠졌고 나머지 색은 은근히 차이가 있어요.
흰색과 빨간색은 색이 훨씬 밝고 선명해졌고, 검은색 역시 더 깊어졌죠.
일단은 다 예뻐서, 세 가지 색 중 어느 것을 고르셔도 상관 없을 것 같아요. 단, 흰 색은 전면 색이 검은색으로 바뀌었으니까 그게 신경 쓰이실 수도 있으니 영상으로 확인해 주세요!!",163개,2020. 4. 28.
이얀,"LG 레드벨벳?
느낌이 SE하다...",1개,2020. 4. 28.
김대현,화면 끄고 들으면 홈쇼핑이야 ㄷㄷ,496개,2020. 4. 28.
김하람,3:30 마치 케챱과 고추장인듯한 느낌,227개,2020. 4. 28.
알간찌,하얀 베젤도 만들어주지... 아이폰 하얀베젤 진짜 좋아하는데,294개,2020. 4. 28.
김민성,엘지는 애플없어도 망했을 폰인데 SE때문에 망한것처럼 만들어준 애플에게 감사해야할듯,92개,2020. 4. 28.
지닝,애플아...로즈골드 한번만 더 뽑아줘 가능하면 화이트베젤도...ㅠ,33개,2020. 4. 28.
김달랑베르,레드는 개인적으로 아이폰8이 더 이쁜듯,170개,2020. 4. 28.
리보TV,아이폰 8은 골드가 ㄹㅇ 예뻤는뎅 ㅠㅠ,11개,2020. 4. 28.
이용희,어차피케이스씌울건데 색 고를때 엄청고민됨ㅋㅋㅋㅋ,27개,2020. 4. 28.
SILSI,컬러스케일 블루님의 영상을 보고있는데 두목님이 영상을 올리셔서 왔어요.,11개,2020. 4. 28.
김태연,"킹지는 그저 ""명예로운 죽음"" 당했다",112개,2020. 4. 28.
,"하...레드, 화이트 고민 되네 
레드하려했는데 색상이 생각보다 너무 밝아서....",6개,2020. 4. 28.
프로불편러,솔직히 난 까만색이 멋있어 보이긴함 빨간색은 11때 너무 예뻐가지고;;,40개,2020. 4. 28.
조세훈,3:18 동맥혈 / 정맥혈,38개,2020. 4. 28.
waterman0120,와 애플 아이팟때부터 들었던 생각인데 빨간색 참 이쁘게 뽑는듯 합니다,69개,2020. 4. 28.
미나앤용minayong,"항상 무난하게 블랙 구입했는데, 이번엔 레드를 사볼까 ㅠㅠ 넘 고민이네요..!",6개,2020. 4. 28.
이주원,SE2 로즈골드 나오면 바로 살텐데 ㅠㅠㅠㅠㅠㅠ,23개,2020. 4. 28.
최상흠,아니 진짜로 로즈골드 내놔 ㅜㅜㅜㅜ,14개,2020. 4. 28.
김근영,참고로 프로덕트 레드 구매 시에는 코로나 피해 기부금으로도 쓰인다고 합니다~,94개,2020. 4. 28.
엘런,3:13 뭔가 레드색상은 8시절 때 레드색상이 더 고급레드 인거 같아요ㅠㅠ,38개,2020. 4. 28.
김태하,"잘 봤습니다. 다 예쁘지만 8골드는 시크했던 5s 스그(se스그랑은 다른)와, 푸른 빛의 6(6s) 스그처럼 기억 속에 존예가 될 것 같네요ㅎㅎ",53개,2020. 4. 28.
연,11그린 색상 있으면 좋겠다..,6개,2020. 4. 28.
이상건,난 se레드가 훨씬 좋은데 8레드 인기가 압도적이네,24개,2020. 4. 28.
SnowLTV,"개인적으로 레드가 맘에 드네요. 앞에서 봐도 프레임이 보여서 검빨 조합이 제일 낫고, 색감이 XR만큼은 아니지만 11이랑 비슷하더군요.",3개,2020. 4. 28.
DIOR,"더할 나위없이 완벽한 조화.
LG VELVET 80만원부터. 
아이폰SE는 55만원인데.",28개,2020. 4. 28.
김유승,나만 레드 8이더 예쁨???,55개,2020. 4. 28.
BCA,"개인적으로 화이트 전면 베젤 검은색으로 바뀐거 좋아서 살거다 
↓
↓
↓
↓",22개,2020. 4. 28.
김서형,화이트 레드 고민이다,80개,2020. 4. 28.
알파카,역시 골드는 따라올수없다...,51개,2020. 4. 28.
MinjiChoi,화이트로 주문 해놓고 왜 이거 보고 있지...,23개,2020. 4. 28.
생선,4:40 두목님 지문은 이제 제껍니다.,46개,2020. 4. 28.
김성중,아.... 한색깔만 더 있었다면 lg 관짝을 들어줄 관짝소년단 짤이 완성되었을텐데ㅜㅜㅜ,4개,2020. 4. 28.
레게노,엪취리치님은 강화유리필름 어떤거 사용하시나요?,4개,2020. 4. 28.
K가람,귀엽지만...12 기다린다ㅠ,30개,2020. 4. 28.
이용현,아이폰se 나오기 한달전에 아이폰7을 산 내인생레전드,26개,2020. 4. 28.
역th를가장역th답게,흠 뭔가 레드는 아8레드가 좀 더 고급진느낌 ㅠㅠ,47개,2020. 4. 28.
뮤티Meauty,헐... 부자..... 3대를 다 보여 주다니.....  잘 했어 ㅋㅋㅋ,21개,2020. 4. 28.
KevinLee,3:25 쎄.. SE 같은 경우에는,19개,2020. 4. 28.
리보TV,"저 지금 갤 노트 8 쓰는데...
아이폰 갖고 싶드아아아..ㅋㅋ ㅠㅠ",1개,2020. 4. 28.
Genesis,요즘 뭐 폰을 보러 들어온다기 보다 커여운 두몽님 보러 들어오는 느낌,3개,2020. 4. 28.
승찬SC,어제 레드로 예약했는데..블랙이 너무 예쁘다,8개,2020. 4. 28.
,se2에다가 8화이트 흰색베젤로 이식 해야겠다,35개,2020. 4. 28.
유린이,배터리만 좀 더 길어도 좋을텐데....,12개,2020. 4. 28.
신문철,빨간색 진짜 빨갛다 ㄷㄷ,1개,2020. 4. 28.
박진형,사진 않을 꺼지만 기다리고 있었어요 두목님 색상 비교,19개,2020. 4. 28.
박성준,3:24 쎄.. SE ㅋㅋㅋ,0개,2020. 4. 28.
이실용,8이랑 셀카 비교도해주세요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,17개,2020. 4. 28.
최완영,5s에서 se2세대로 갑니다~ㅎㅎㅎ,2개,2020. 4. 28.
eenahJ,Se2 아이폰4처럼 각져서 나오는줄 알고 기대했는데ㅋㅋ 그냥 가성비만 좋네요. 근데 언제부터 애플이 가성비가 좋았지??,0개,2020. 4. 28.
,색은 아이폰8이 예쁜거같다ㅎㅎ se는 너무 원색에 가까운 느낌...,1개,2020. 4. 28.
치즈치즈케이크,"중급기 생태계 파괴범...
LG 어떡하냐",42개,2020. 4. 28.
이상윤,단언컨데 2년간 가장 많이 팔릴 핸드폰,5개,2020. 4. 28.
지나가는호야,화이트 사전예약 햇써욤,2개,2020. 4. 28.
김건희,왜 지금 4k로 안보이지??,3개,2020. 4. 28.
Aurum,은근 레드가 자꾸 끌리네요 ㅋㅋㅋ 볼수록 매력있는 레드. 이상적 그러나 합리적. 사고 싶다.,1개,2020. 4. 28.
이해미,영상 잘 봤습니다! 혹시 화이트 색상 들었을 때 정면에서 프레임 흰 부분 잘 보이나요? 액정은 검은색인데 옆이 흰색 실버색 이라서 티가 잘 나나 싶어서용,0개,2020. 4. 28.
득근이,"아이폰도 멋지게 소개하는 남자




스티븐 잡스",23개,2020. 4. 28.
