comment,noun,adj,verb
윈도우 홈피에서 '지금 업데이트'와 도구 다운로드 후 팝업창에서 나오는 ' 이 PC를 업그레이드'의 차이점을 알고 싶어요,"['윈도우', '홈피', '지금', '업데이트', '도구', '다운로드', '팝업창', '업그레이드', '차이점', '알']",[],"['오다', '나오다', '싶다']"
"설치 usb로 만들면 그 버전도 최신 2004 버전으로 만들어지는건가요? 아님 업데이트 버전만 2004 인건가요? 현재 제 설치 usb에 이전버전이 담겨있는데, 그것도 새로 최신버전으로 만들고 싶어서용","['설치', '버전', '최신', '버전', '가요', '업데이트', '버전', '가요', '현재', '설치', '버전', '그것', '최신', '버전']","['아니다', '새롭다']","['만들다', '만들어지다', '이다', '담기다', '만들다', '싶다']"
"왜 업데이트가 안 될까 했는데 툴이 필요했군요. 
아직은 IE로 페이지사 열리는 경우가 많더군요.저만 그런지 엣지로는 구글드라이브에 대용량 영상 파일을 올리는 것이 원활하지 않더군요. 아주 안 되는 것은 아닌데 IE나 크롬과 달리 업로드를 마무리를 못하고 다시 시작을 하더군요. 이 업데이트로 개선될 문제일 수도 있겠네요.","['업데이트', '툴', '은', '페이', '지사', '경우', '엣지', '구글드라이브', '용량', '영상', '파일', '아주', '크롬', '달리', '업로드', '마무리', '못', '다시', '시작', '업데이트', '개선', '제일', '수도']","['필요하다', '많다', '그렇다', '원활하다', '아니다', '있다']","['되다', '하다', '열리다', '올리다', '않다', '되다', '하다', '되다']"
코타나 버튼 생겨서 한국어 지원하는줄 알았는데 그냥 버튼만 생긴거였네요ㅠㅠ,"['코타', '버튼', '한국어', '지원', '그냥', '버튼']",[],"['생기다', '하다', '알다', '생기다']"
참 잘나왔는데 skt한정으로만 나온게 너무나도 아쉬운 모델...,"['한정', '모델']",['아쉽다'],"['차다', '잘나오다', '나오다']"
혹시 a71퀀텀 강화유리도 리뷰해주실수있으신가요?,"['혹시', '퀀텀', '강화유리', '리뷰', '가요']",[],['해주다']
자급제면 좋았는데..;;,['자급'],['좋다'],[]
첫빠따신가요 좋아요 박고갑니다 ㅎㅎ,['빠'],['좋다'],"['따다', '박다', '가다']"
"라타로입니다. 오랫만에 첫 화면에서, 영상을 보았습니다","['타로', '첫', '화면', '영상']",['이다'],['보다']
혹시 a71 5g인가요?,['혹시'],[],[]
보안에 강화된 모델이면서도 실사용시 별다른 복잡한 과정이 없어서 좋네요 다만 skt에서만 가능한건 정말 아쉽네요,"['보안', '강화', '모델', '면서', '실사', '과정', '다만', '정말']","['별다르다', '복잡하다', '없다', '좋다', '가능하다', '아쉽다']","['되다', '용다']"
A71이 왜 퀀텀이란 이름으로 들어오나봤더니 우리나라는 보안칩셋이 추가되었군여!,"['퀀텀', '이름', '우리나라', '보안', '칩셋', '추가']",[],"['들어오다', '보다', '되어다']"
