comment,noun,adj,verb
"나는 아직 무면ㅎ....





면허가 있어야 한다고 해도 어차피
중고딩 대부분 무면허로 탈껄...
(나는 아님ㅋㅋㅋ안 타면 그만이지)","['무', '면허', '해도', '어차피', '중', '고딩', '대부분', '무면허', '탈껄', '이지']","['있다', '아니다']","['하다', '타다']"
누구보다빠르게,['누구'],['빠르다'],[]
"영상미 직이네요ㅋ
뭘해도 멋진 혁키님 
전동퀵보드 요즘대세인거같아요
멋지다 ♡","['상미', '직', '뭘', '혁키님', '퀵', '보드', '요즘', '대세']","['멋지다', '같다', '멋지다']",['하다']
나노휠 듀얼퓨리 제품 리뷰해주세요!!,"['나노', '휠', '듀얼', '퓨리', '제품', '리뷰']",[],['해주다']
"1. 졸귀 혁키횽 키 몸무게 좀 알려주세요.
2. 인트로에 탔던 장소가 어디에요?","['졸귀', '혁키횽', '키', '몸무게', '인트로', '장소', '어디']",[],"['알다', '타다']"
"인트로,,,, 인트로가 없어!!!!","['인트', '인트로']",['없다'],[]
영상미 보소,['상미'],[],['보다']
샷 다양한 클래스 후덜덜....저는 이번에 전동 스케이트보드 샀어요...ㄷㄷㄷ 재밌는데 죽기 딱...좋...,"['샷', '클래스', '덜덜', '이번', '전동', '스케이트보드']","['다양하다', '재밌다', '좋다']","['사다', '죽다']"
저거 고등학생들도 많이타던데 ㄹㅇ면허없이도 거매가능한거같더라,"['고등학생', '던데', '면허', '거매']","['없다', '가능하다', '같다']",[]
보통 이륜차들은 오른쪽이 스로틀인데 아쉽네요...,"['보통', '이륜차', '오른쪽', '스로틀']",['아쉽다'],[]
가격이  착하네,['가격'],['착하다'],[]
새로 알게된 법률부분까지..  역시 혁키님! :D,"['알', '법률', '부분', '역시', '혁키님']",['새롭다'],['되다']
가죽자켓 잘어울리신다...멋있어요,"['가죽', '자켓']",['멋있다'],"['어울리다', '신다']"
잘생긴 혁키님 제발 하트 주세여,"['혁키님', '제발', '하트']",['잘생기다'],['줄다']
부럽...전동 보드나 킥보드 사고 싶은데 무상증정이라니👍🏼👍🏼👍🏼,"['전동', '보드', '킥', '보드', '사고', '무상', '증정']",['부럽다'],['싶다']
앞으로 자이로드론 탈 때 편하겠구만,"['드론', '탈']",['편하다'],['자다']
선댓글좋아요 후감상 !!,"['선', '댓글', '감상']",['좋다'],[]
"크루즈컨트롤 너무 좋네요!!! 
풋브레이크를 저렇게 사용하는군요 ㅎㅎ
우리나라 법률이 조금 까다롭네요 ㅠㅠ","['크루즈', '컨트롤', '풋', '브레이크', '사용', '우리나라', '법률', '조금']","['좋다', '까다롭다']",['하다']
저기 대구 강정본가용??,"['저기', '대구', '강정', '가용']",[],[]
이런리뷰 너무 좋아요. ㅎ,['리뷰'],['좋다'],[]
오늘은 지적인 이미지네용 ~^ ^,"['오늘', '지적', '이미지']",[],[]
강정보인가요?? 영상퀄 미쳤누,"['강정보', '영상', '퀄', '누']",['미치다'],[]
와 ... 면허증 없이 탈수 있으면 그건 좀 아닌것 같네요 ㅜㅜ 형님 오늘도 잘 보고 갑니다,"['면허증', '탈수', '형님', '오늘', '보고']","['있다', '아니다', '같다']","['오다', '자다', '가다']"
1일1만능혁키 안하면 금단현상온다. 개간지나는 드론샷. 병맛 인트로. 쓸데없는 고퀄 영상퀄리티. 테크유튜버중 유일하게 제대로된 브이로그를 보여주는 유튜버. 오늘영상 킬포: 박스까기전에 날리는 비장한 멘트 ㅋㅋㅋㅋ 응원합니다,"['금단현상', '개간', '드론', '샷', '병맛', '인트', '퀄', '영상', '퀄리티', '테크', '유', '튜버', '제대로', '브이', '로그', '유튜버', '오늘', '영상', '킬포', '박스', '기전', '멘트', '응원']","['쓸데없다', '유일하다', '비장하다']","['하다', '오다', '지나다', '되다', '보여주다', '끄다', '날리다', '하다']"
않이 뽐 겨우 죽였는데 형땜에 다시 사고싶어졌음...,"['뽐', '겨우', '형땜', '다시']",[],"['않다', '죽이다', '사다']"
전동킥보드 너무 갖고싶지만 거구도 감당할 수 있는지 모르겠습니다 ㅋㅋㅋㅋㅋㅋㅋㅋ,"['킥', '보드', '거구', '감당']",['있다'],"['갖다', '하다', '모르다']"
3,[],[],[]
2,[],[],[]
1,[],[],[]
4,[],[],[]
ㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋ 진짜 너무 재밌는거 아니에욬ㅋㅋㅋㅋㅋㅋㅋㅋ 이런리뷰 어디도 없어요😭😭,"['리뷰', '어디']","['재밌다', '아니다', '없다']",[]
"0:05 귀여워
0:13 귀여워
0:34 귀여워
2:58 귀여워
3:39 귀여워",[],"['귀엽다', '귀엽다', '귀엽다', '귀엽다', '귀엽다']",[]
