,youtube_id,comment,like_num
0,하루살이,디자인이 정말 레트로해서 인테리어 소품으로도 좋은 제품이네요 시계가 표시되는것도 좋고 라디오까지 그중에서 가장맘에드는건 이모든것을 리모콘으로 설정할수 있다는것이 정말 좋네요,1개
1,엔제리너스,"레트로 감성 듬뿍담긴 시계 너무 좋은데요?^^ 될건 다되네요
대박 ㅋ특히나 리모컨 진짜 반하겠네요♡",1개
2,비나,"레트로 감성 듬뿍담긴 스피커 에이투 AT331 모델 너무 좋습니다
디지인이 정말 레트로해서 인테리어 소품으로도 전혀 부족함이 없습니다!
기능까지 생각하면 가격도 상당히 괜찮은것 같습니다 정말 좋네요",0개
3,싸마악,돌슨이형 완전멋짐,0개
4,우유바나나,"라디오도 잘 나오고 특히 리모컨으로 쉽게 다룰 수 있어서 부모님도 엄청 편하게 사용하실것 같아요
전연령대가 다 좋아할만 합니다♡",0개
5,피에,"한마디로 표현하면
움직이는 레트로 만능주크박스네요!!🙊🙉",0개
6,이재성,"시계도 볼수있고 알람도 가능하고 라디오까지 되네요 인테레어용으로도 굉장히 깔끔하구요 
저도 신청할게요^^",0개
7,얌얌,"진짜 리모컨이 너무 편하게 잘나왔습니다
스피커에 리모컨까지..진짜 너무 낯설다! 대박입니다
레트로 듬뿍 담긴 디자인도 너무 이쁩니다",0개
8,츄스춥파,"가성비 좋게 너무 잘 나온제품 같습니다!! 킹성비네여
집에서도 밖에서도 어디서든 좋네영😮",0개
9,차차럽,"특히 우드톤 느낌의 스피커가 너무 이쁘네요
평소에 라디오를 듣지않는데 스피커가 너무 이뻐서 들어보고싶습니다",0개
10,스타워즈,"야무진 스피커네요 기능도 알차게 들어가 있고 디자인도 이쁘네요
특히나 리모컨이 특장점인거 같아요!",0개
11,SHSHIN,"레트로 감성에 라디오+리모컨 지원까지 되는 블루투스 스피커네요 
다양한 기능이 있어 괜찮은 제품 같습니다",0개
12,또미토미,"시계에 라디오에 알람까지!
거기에 스피커와 인테리어소품까지 각각의 활용도도 크고 손잡이가 있어 걸어다니는 주크박스도 충분히가능합니다💕
레트로가 요즘 대세중의 대세인데 유행도 잘맞춰 나왔구요:)",0개
13,아야어여가갸거겨,요즘 라디오의 경우 차에서나 듣게 되는데 이렇게 따로 라디오 기능을 갖춘 제품이라 더 감성적인거 같습니다.,0개
14,치치치,레트로의 감성 그대로 갖출건 다 갖춘 시대를 아우르는 제품 같습니다💙💜,0개
15,대영,"머리맡 협탁에 두고 자면 진짜 이쁘고 인테리어소품으로도 전혀 손색이 없습니다
딱 컴팩트하게 잘 나와준 제품같슽니다 손이 절로절로 가는 스피커랄까요",0개
16,김갓삿갓삿,이 작은 사이즈에 리모컨까지 지원되는 블루투스 스피커는 흔치않은거 같습니다 레트로한 디자인에 라디오 알람등 다양한 기능까지 매력만점 제품이네요,0개
17,권택향,뭐야?? 저런 게 있었어?? 왜 나만 몰랐지? 정말 깜찍하면서 다양한 기능이 있는 상품이군.,1개
18,BabyFox,성능도 다양하지만 디자인도 깔끔하고 좋네요 리모컨 기능도 있다는 점도 장점이구요,0개
19,미르미르,"기능들이 야무지게 들어가 있네요~흔한 스피커 기능을 떠나서 시계
라디오~리모컨 기능까지 디자인도 너무 예쁘네요 기능도 좋지만 인
테리어 효과에도 만점각 재품이네요",1개
20,쥐쥐대,집안 어디에 두어도 그곳을 밝고 신나게 분위기업을 시켜줄 멋진 스피커네요,0개
21,방톰,"리모컨까지 제공되다니 너무 편할것 같아요
특히 디자인이 고급스러워요! 우드톤도 가죽톤도 매력적이에ㅛ
진짜 우와!하게 우아한 레트로 스피커에요
밖에 나들이 갈때 들고가서 살랑살랑 봄,여름노래 듣고 싶네요",0개
22,별빛달빛,"디자인이 원목 디자인이 더깔끔한거 같네요 기능도 알차게 들어
가있고 이거 완전 꿀템인거 같습니다 소품용으로도 딱이고 스피
커에 리모콘 보기 힘든데 이렇게 이제품에서 보게되서 더 편리
하게 사용할거 같아요👍",1개
23,이히,"리모컨의 쓰임이 진짜 좋아보입니다
10시간이면 배터리도 넉넉하고요
책상에 한자리 줘도 전혀 아깝지 않을듯합니당",0개
24,더워핫,레트로 한스푼 세련되고 심플함 한스푼 기능성 한스푼 휴대성 한스푼씩 좋은재료가 잘 섞여들어갔네요,0개
25,버닝문,"기능들이 하나하나 제대로 야무지게 들어가있습니다!
스피커는 그냥 소리만 나면 되는게 아니였네요
디자인은 디자인 리모컨은 리모컨 인테리어소품으로도 제격
라디오로도 알람으로도 이동용스피커로도 팔색조같은 제품입니다
가격도 상당히 착한것 같아서 대박입니다",0개
26,사랑행복이,인테리어 분위기도 살리고 스피커를 다양하게 이용할 수 있어서 만족도가 큰 제품같습니다,0개
27,장성재,"디자인이 투박한듯보이지만 깜찍하니 이쁘네요!
더구나 리모콘사용도 되니깐 더욱더 사용하기 편하겠어요! 팟팅!
(j340027 골뱅이 네이트닷컴)",0개
28,feelsogood,"우드 색상의 제품이 확실히 레트로한 느낌이 강하게 나느거 같습니다. 
기능적으로도 라디오와 알람등 다양하게 지원할뿐만아니라 리모컨으로 편리한 사용도 가능해서 
더욱더 매력적인 제품인거 같습니다.",0개
29,수여니,"개인적으로 정말 끌리는제품입니다
유행인 레트로 디자인에 너무 알차게 기능들이 담겨있어서 흐뭇합니다",0개
30,실버스톤,"소비자가 원하는 기능들이 거의 들어가 있네요~디자인부터 시작
해서 스피커기능.라디오 시계등 리모콘 조작이 핵심포인트인거 같
기도합니다 이렇게 이쁜 스피커를 왜 이제서야 보는지 ㅋ구입 욕구
를 부르는 제품인거 같습니다>_<",0개
31,김영태,디자인도 정말 이쁘고 손잡이도 있어서 야외 캠핑장에서 사용하기도 좋을거 같습니다. 특히 라디오 기능도 있어서 감성캠핑즐기기에 좋겠네요,0개
32,홍데,"휴대도 간편한데다가 원격조절도 가능하고 디자인은 레트로 감성을 그대로 옮겨와 반영했구요
마지막으로 atms만의 기술력으로 음질까지 책임지고 있는데 라디오 기능까지!
아침마다 에이투 AT331이 깨워준다면 즐겁게 일어날 수 있을것 같네요!!
방에 가만히 두어도 이쁜 에이투 스피커 잘 봤어요",0개
33,야옹이다옹,"에이투 불루투스 스피커 들고 맛있는 도시락 싸가서
한적한 곳에서 자리 깔고 하늘이나 풍경보며 풍성한 음악을 들으면 정말 기분좋은 하루가 될 것 같습니다
레트로한 디자인에 뉴트로한 스팩과 다양한 기능과 편의성까지 좋은 리모컨까지 없는것 뺴고 다 갖춘 완소스피커라는 생각이 강하게 드는 제품입니다!@!",0개
34,햄찌,"보통 리모컨도 없고 있더라도 간단히 앞뒤멈춤 이정도 기능만 있는데 번호도 지정해서 누를 수 있다니! 섬세한 곳까지 신경써서 제작된 느낌이 물씬 듭니다
게다가 레트로하고 깔끔한 디자인은 합쳐져 은은한 고급스러움도 느껴집니다^^
스피커와 라디오를 함께 즐길 수 있는점도 너무 좋습니다",0개
