,youtube_id,comment,like_num
0,방구석리뷰룸,앱 만들기 참 재밌고 어렵고 그렇더라구요 ㅋㅋ 대단합니다! 내용중 여러분의 의견이 필요한부분에 리플 달아주세요 ㅋㅋㅋ,57개
1,민트초코냉면밥,"프로그래밍 배우면 그러더라구요

배우기 전: 컴퓨터는 똑똑하다.
배우기 시작할 때: 컴퓨터는 멍청하다.
배우는 중에: 이것도 못 만드는 내가 멍청하다.",63개
2,Eric,주식 손해 메꾸기 급해서 요즘 온갖 똥꼬쇼 컨텐츠를 하는 제이에무상과 이 기회를 놓치지 않고 그를 섭외한 방구석 리뷰룸ㅋㅋㅋㅋㅋㅋㅋ,34개
3,브윰,개발자에게 다이렉트로 전하는 버그 개꿀 ㅋㅋㅋㅋㅋ,30개
4,potato,분명 구독자는 JM님이 더 많은데 방구석님이 더 고급져 보이는건 기분 탓인가?0_0,42개
5,히바구,처음에 미루가 뭔지 간단하게 설명해줬으면 좋았을텐데..,31개
6,한량김고흐,ㅋㅋㅋㅋ저도 쓰지 않으면서 구매 했...:,1개
7,마감인생Deadlineinsane,ㅋㅋㅋㅋ 개발자에게 전하는 거슬리는부분 ㅋㅋㅋㅋ 너무 좋아요 ㅋㅋ,1개
8,모데카이공방,"미쳤네,,, ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ ㄷ ㄷ ㄷ ㄷ ㄷ",1개
9,MinJungLee,ㅋㅋㅋ 할 일! ㅋㅋㅋㅋ 진짜 세분이서의 케미가 느껴지는 그런 영상이었네요 ㅎㅎ,0개
10,모데카이공방,8:08 ㅋㅋㅋㅋ 결국 현질.. ㅋㅋ,15개
11,GoodEnergyCameraboy,"ㅋㅋㅋ 오늘은 3자 토크!! 
3명다 개그맨 같아요~ ㅋㅋ 유튜브계의 개그맨!!들~",2개
12,모데카이공방,아 오늘 검나 웃기네 ㅋㅋㅋㅋ,8개
13,DHKim,"애플 유저들은 기기를 다양하게 구비하는 경우가 많으니, 클라우드 넣어주시는 것도 좋았을 것 같습니다.
영상 잘봤습니다.",10개
14,박채연,앱 아이콘 디자인에서 체크선이 평행 안되는 게 조금 거슬려요.... ㅎㅎ 수평충이라서.. ㅎ,1개
15,모데카이공방,아이콘 그 전껄로 해주세요 ㅋㅋㅋㅋㅋ 3:50,1개
16,,체크 각도 ㅋㅋㅋㅋㅋㅋㅋ 방구님이 요런거 전문이시 조언 잘 해주셨네요ㅋㅋ,16개
17,백예림,ㅋㅋㅋㅋㅋㅋ이런 영상 재밌어요ㅋㅋㅋㅋ 항상 잘 보고 있습니다~,3개
18,모데카이공방,2:11. 개공감 ㅋㅋㅋㅋㅋㅋㅋㅋ,1개
19,모데카이공방,지금 화상 이건 페이스 타임이에요?? ㅋㅋ,4개
20,로이의창고,"문자 한통으로 카톡이 먹통이됬어요 ㅜㅜ
방구석 리뷰룸님이 이관련해서 다뤄주세요 ㅜㅜ",1개
21,호랑이,가스스톤님의 사진 앱 기대합니다!,2개
22,백thththth,ㅋㅋ JM 수난시댘ㅋㅋ 저는 아이콘 보고....대한민국인줄 알았잖아여....훗,1개
23,GoM곰곰,에고.. 그 동안 잘 봤습니다.. 저 분은 아니에요ㅜ.ㅜ,19개
24,꾸샤,영상 잘 봤습니다~,0개
25,Nij,이끼떵~ 이끼떵~~,1개
26,샤키코리아,역시 공부는 평행 해야 하는게 맞는가봐요...,5개
27,ysChoi,유데미 짱이져 ㅋㅋㅋㅋㅋㅋ,5개
28,first길다하트,그 어려운 걸 방구석님은 해내리라 믿습니다^^👍👍,0개
29,AFANT,인스타 보고 새로고침하니 이렇게 바로!!!,0개
30,모데카이공방,6:40 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘 코미디 빅리그인가요? ㅋㅋㅋㅋㅋㅋㅋ,6개
31,Rearth러스,앱개발 근황을 계속 인스타그램에 올려주셔서 방구석님 앱은 어떤앱이 될지 궁금하네요 🤩,0개
32,김성민,재밌게 잘 봤습니다,0개
33,HITOMIFUJIMOTO,카테고리 말고 태그별로묶이면좋을것같아요,2개
34,애플좋아,이번에는 가을님이 만드시는거죠?,4개
35,ultralee,미루 체크모양이 테니스 코트 라인 같아요???,0개
