닉네임,댓글,좋아요수,날짜
방구석리뷰룸,에어로 입문하실분들은 10세대 i3모델로 충분합니다!! 링크란에 mac fan control도 꿀 프로그램이니 꼭 무료로 같이 쓰세요!!,47개,2020. 5. 12.
훈조HoonJo,"맥북구입 고민이 원점으로 돌아갔네요.
시간 손해배상은 방구석님 앞으로 청구하겠습니다.",32개,2020. 5. 12.
최현호,하아.. 맥북에어 쓰고있으면서도 추천비추천 리뷰를 찾아보고있다니... 애증이다 애증,12개,2020. 5. 12.
한지민,06:01 와 2017맥북프로보다 빠르다니 좋네요,2개,2020. 5. 12.
박선규,"영상 잘봤습니다!! 맥북 에어 구입 고민하던 차에 정말 좋은 정보인 것 같아요. 질문이 있는데, 일상적으로 쓰는동안 팬 컨트롤 이용해서 팬을 돌린다고 해서 기기에 무리가 가지는 않겠죠??",0개,2020. 5. 12.
Nana,좋은 영상 감사합니다! 맥북에어 사고 프로가 나와서 환불하고 프로 가야하나 고민이었는데 그냥 쓰기로 했습니다 ㅎㅎ,1개,2020. 5. 12.
Rearth러스,"깔끔한 리뷰와 정보 전달 매번 정말정말 좋습니다 ㅎㅎ 
팬 컨트롤은 처음 알았는데 신기하네요 ㅋㅋ!  하지만 이륙소리가..ㅎㄷ",1개,2020. 5. 12.
연어,걍 집에서 넷플릭스나 유튜브나 웹서핑 정도로 사용 할려면 그냥 기본모델 이 낫겟네,0개,2020. 5. 12.
과학일상,오.. 이번에 맥북에어 기본 샀었는데 괜히 기분좋네요 ㅎㅎㅎ,3개,2020. 5. 12.
HYUNI혀언,"에어 i5 vs 프로 13인치 기본 사양 >> 애매한 생태계ㅠㅠㅠ 어떻게 고르면 좋을까요? 
포토샵 및 큐랩 프로그램 돌리기 아이패드랑 연결해서 일러스트 작업, 간단한 영상편집.. 
오히려 new 프로 13인치가 나와서 더 멘붕상태왔네요ㅜㅜ",1개,2020. 5. 12.
풀꽃바람,좋은 리뷰 잘봤습니다. :-),2개,2020. 5. 12.
루Lo,제ㅏㄹ제발제발제발 ㅈ ㅔ발 12미니 영상 만들어주세요 아이폰관련 영상은 방리님꺼만 봐여 제발 아이폰12미니 영상ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅡㅜㅜㅜㅜㅜㅜㅜㅠㅠㅠㅜㅠㅠㅜㅜㅠㅜㅜㅜㅠㅜㅜㅜㅜㅜ짐 se사용중인데 2버전에서 눈물흘리고 미니에 희망 생걌어요 제발제발 깔끔리뷰 부탁해요ㅠㅜㅜㅠㅠ,0개,2020. 5. 12.
추성은,i3 or i5 진짜 궁금했었는데~ 감사해요~!!,1개,2020. 5. 12.
문사이봇,"영상 속에서 애플 아케이드로 한 게임 재미있어 보이네요 😀
게임 이름 알려주실 수 있을까요?


[맥북 에어랑 아이맥이 고민되네요 😥]",0개,2020. 5. 12.
SHpark,진짜 좋은정보 감사합니다 ㅎㅎ,0개,2020. 5. 12.
차쥬,프로 있어서 에어는 안살꺼지만 보고 있네요 ㅋㅋㅋ,0개,2020. 5. 12.
일꾼,와아 팬 컨트롤이라니! 올해 알게 된 것중 가장 좋은 정보 같아요! 감사합니다 방구석 님 :),10개,2020. 5. 12.
Bogeuni,맥북12 2017쓰고있는데 고민되네요 흠~~ㅎㅎㅎ,1개,2020. 5. 12.
이재훈제고기,프로2012mid레티나모델쓰고있는데 이제품이모든면에서 더좋나요?,0개,2020. 5. 12.
손강무,이 영상 보고 딱 주문했습니다. 비교군 감사합니다.,0개,2020. 5. 12.
킹콩의놀이터,"행님 믿고 에어 기본형으로 구매하려합니다 좋은 영상 감사하고, 선택 장애 해결 해주셔서 감사합니다 ㅋㅋ",1개,2020. 5. 12.
박정필,제 2015early 13인치 맥북프로... 저거로라도 바꾸고 싶네요ㅠㅠㅠ 맥프레야 미안해ㅠㅠ,0개,2020. 5. 12.
coolluck,오 구독해야겠어요. 너무 깔끔합니다 ^^ 저는 그냥 포샵과 문서작업을 주로 하는데요 포샵도 많은량에 사진은 아니고 조금씩 합니다. 신형 맥북프로 13인치 8세대 랑 에어 i5 랑 고민중인데요 에어도 충분할까요??,2개,2020. 5. 12.
정은별,방구석 리뷰룸 보다가 맥북에어 뽐뿌와서 질렀어요.. 맥 입문용인데다 사용용도가 고급형이 아니어서 저렴이버전으로 질렀는데 이 영상 보고 잘 구매했다 생각할래요!,1개,2020. 5. 12.
나인,"방구님 영상 기다렸어요
이번 에어 발열심하다고 들어서요
발열이슈를 뚫고 사도될까요?",1개,2020. 5. 12.
윤지현,"영상 작업 자주안하면 에어 사는게 낫겟쥬..,,? 프로는 너~~~무 비싸서 고민이에용 ㅠ ㅠ 
에어가 발열이 심하다고 하는사람들이 많아서 ‧⁺◟( ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ ) ㅠㅠㅠ에어 사고싶은데 엄청 고민중이에유,,,",0개,2020. 5. 12.
다몽키의잡다한TV,"9:23본인에 대한 자부심? 이신거죠?ㅋㅋㅋㅋ
역시 자타공인 애플전문가ㅎㅎ",0개,2020. 5. 12.
김범준,선댓글 후감상! 관심있는 컨텐츠인데 즐겁게 잘볼께요!,1개,2020. 5. 12.
Leesong,골드색상 진국이네요 ㅋㅋㅋㅋ 의외인걸,0개,2020. 5. 12.
니르고져홀베이셔도,학교에 아이맥이 있다는 학교는 처음듣네요ㅋㅋㅋㅋ 맥북 에어는 cpu가 아쉬워서 프로 13인치로 구매하려고 했는데 다시 선택장애가 찾아왔네요ㅋㅋㅋㅋㅋ,13개,2020. 5. 12.
한태희,"으아...
패드 프로2 12.9 팔고 프로4 12.9로 넘어가려 했는데
이 영상을 보고나니 패드는 그대로 쓰면서 에어 추가구매를 할까 고민됩니다ㅠㅠ


지금 아이맥을 메인컴으로 쓰다보니 애플을 탈출하긴 어렵고 진짜 어찌할지 고민되는군요ㅋㅋㅋㅋ",0개,2020. 5. 12.
JiwanKang,작년 1월에 맥북 에어 2018 버젼 샀었는데 이번 2020 너무 부럽 ㅠㅠ 특히 키보드랑 ssd요 ㅠㅠ ㅎㅎㅎㅎ,0개,2020. 5. 12.
나지원,오... 골드색 예쁘네요! 사실 필요는 없지만 제 아이패드 에어랑 깔맞춤하고 싶다는 이유로 구매하고 싶네요ㅋㅋㅋㅋㅋ,0개,2020. 5. 12.
통이티비tongiTV,방구님은 추천은 항상 실용적이시고 현실적이예여!!👍🏾👍🏾,0개,2020. 5. 12.
박돌체아빠,good~,1개,2020. 5. 12.
jinkim,와.. 저도 사고싶네요 깔끔한 설명~~ 감사합니다,0개,2020. 5. 12.
KyunPaul,맥북 구매후 배송 기다리면서 보는중인데 꿀잼이네요 ㅎ,5개,2020. 5. 12.
Elco,노치있는 아이폰 영상비 배려 ❤️❤️❤️ 따랑해요!😘😘😘,6개,2020. 5. 12.
굿데이뽀유GDBBY,"안녕하세용~:) 맥북 구매하려고 알아보다가 영상을 끝까지 시청해버렸네요~!!! 저는 프로13 기본형이랑 맥북에어랑 고민중인데요, 저는 유튜브에 업로드 할 영상편집과 포토샵, 넷플릭스, 문서작업 -> 이렇게 이용 할 것 같은데요오 !! 맥북에어 i3 다른 옵션 추가 없이 구매해도 사용 할 때 무리없을까요?ㅜ.ㅜ 발열이나 그런거는 쉬엄쉬엄 할 의향 있쑵니당! ㅎㅎ 고민폭팔이에효...3일째...
추천해주세요옵 :)",0개,2020. 5. 12.
손풍꿈꾸는직장인,우어~~맥에어 사고 싶습니다ㅠ,0개,2020. 5. 12.
피아노와목소리,맥북에어로도 로직을 활용한 음악작업은 어느정도 충분히 가능한가요??,1개,2020. 5. 12.
TV홍집,영상 잘봤어요 ㅠㅠ 제가 몇일전에 i5로 구매했는데 유툽을한 2시간쯤보니깐 따뜻한?뜨거운? 느낌이 살짝느껴지더라구요..혹시 문제가있는걸까요 ㅠㅠ,0개,2020. 5. 12.
UNGJEONGPARK,"이 영상 보고 에어 기본형으로 맥북 입문하려고 합니다. i5업글이 가격차이가 별로 나지않아서 고민했지만, 양상에 나와있듯이 가벼운 용도로 사용하기에 i3로도 충분하겠다는 생각이 들어서 기본형으로 선택하여 주문했습니다. 옵션업글 대신에 사용후 2개월 전에 애플케어플러스 적용하려고 합니다. 영상 도움 많이되었습니다. 감사합니다!",0개,2020. 5. 12.
NOTDOLL,"부트캠프 윈도우사용 ,문서작업(엑셀,파워포인트),유투브 웹서핑 할계획입니다 가끔 동영상편집 i5로 하려는데 i3,i5 중에 너무 고민되네요 어떤것이 좋을까요?",0개,2020. 5. 12.
앨터페이퍼,맥북에어 2020 i5 로 롤 돌리니.... 아 안돼~!!,0개,2020. 5. 12.
SoominPark,좀 빨리 올려주시죠 😭😭😭😭😭😭,1개,2020. 5. 12.
지성민,EBS 상상 크리에이터에 나오셨나요??    너무 비슷해서요. 맞으시면 공중파 나오신거 축하드려요!!!!,1개,2020. 5. 12.
JayChoi,"에어 i5 사용중인데 크롬 사용만으로 80~100도가 평균이네요 , 정상인가요 ?",1개,2020. 5. 12.
EddieLim,"영상 너무 잘 봤습니다!! 제가 맥북을 사려는 이유가 윈도우 노트북과는 다르게 쾌적하게 오래? 쓸 수 있다는 점인데, 가벼운 작업(가벼운 포토샵, 웹서핑 등)만으로 i3 에어로 오래 쓸 수 있을까요? i5보다 성능 저하가 심한가요?",13개,2020. 5. 12.
서울대S,맥북에어 가장싼 모델과 맥북프로 2018(기본모델)중고랑 고민중인데 어떤게 좋을까요? 영상작업도 하긴하는데 주용도는 아닙니다!,1개,2020. 5. 12.
김민호,지금 생각나는데 맥북 프로 13인치 기본모델도 이 방법 적용하면 좋을 것 같네요,0개,2020. 5. 12.
Hong,미니5에도 있는 p3가 빠진게 아쉽네요.,0개,2020. 5. 12.
뀨뀨꺄꺄,"두분다 체격이 있으신가 13인치 에어가 되게 작아보이네요 ㅋㅋ아이패드 11인치 같은,ㅋㅋㅋ",3개,2020. 5. 12.
지누송,18년 에어영상도 보고 이번 에어영상도 봐서 프로말고 에어로 가려고 합니다. 다만 맥린이인 제가 파이널컷과 로직(보컬) 입문하려는데 저전력i3에 램을 8g vs 16g 어떤걸로 가야할까요ㅜㅜ?,0개,2020. 5. 12.
Sh,내 18에어 눈감아...,0개,2020. 5. 12.
YJPark,"제가 정리해본 바로는,
i3 모델이 합리적인거 같습니다
일단 i7은 논외입니다 그럴바엔 프로가야합니다
i5는 평상시엔 i3와 체감이 없다시피 합니다
그러나 부하가 걸리는 작업에는 체감이 되는데
문제는 스로틀링입니다 2020에어 쿨링이 영 좋지 못합니다
방구석님 영상에도 힌트가 있습니다
i5도 제성능을 뽑아내기엔 제약이 걸립니다
이번 에어는 가장 기본형 모델이 적합합니다",1개,2020. 5. 12.
BacassF,i3 듀얼코어 라서 2쓰레드 인줄 알았는데  4쓰레드 네요? 우와~  사진/영상 작업 안하는  프로그래머라면 i3 모델 만으로도 충분하겠네요.  램 사용량도 체크가 되었다면 더 좋았을듯 합니다.,0개,2020. 5. 12.
유병문,"안녕하세요! 아이맥2017, 2019 있는데 외부에서 작업시 필요해서 구매하려합니다. 문서 작성, 웹 서핑, 가끔 사진편집 정도로만 쓸거같네요. i3로도 충분하겠지요...?!",0개,2020. 5. 12.
kyogenLee,에어에도 터치바가 탑재되면 바로 고민없이 에어사겠는데ㅠㅠ터치바가 핵간지...(맥북입문예정）,0개,2020. 5. 12.
업스톤upstone,i5 or ram8G 추가. 둘중 한개만 선택한다면 어느게 맞을까요?크롬 창 15개 열고 가벼운 프로그램 몇개 더 사용중입니다.  윈도우에서^^,0개,2020. 5. 12.
사회부적응자,진짜 예쁘다....에어가 시퓨 100도면 사용자에게 전해지는 온도는 60도라고 하네요. 메모리가 높으면 오히려 덜 뜨겁다는 결과가 많은 것 같음 .,0개,2020. 5. 12.
이승민,"발열이나 팬소음같은 건 문제가 없는지 궁금합니다.
부트캠프로 설치해서 멕이랑 윈도우를 번갈아가면서 쓸 예정인데 
게임 (메이플, 롤, 베그, 검은사막, 로스트아크) / 한글파일 / 공인인증서 = 윈도우
그외 모든 작업 = 멕
i3 에어로 사도 충분한지 궁금합니다",0개,2020. 5. 12.
윤블리,기본형도 너무 좋더라구요  발열그렇게 심하진않더라구요  사운드  영상 화질이 너무 좋아서 놀랬던🤭,0개,2020. 5. 12.
이재준,에어19로 존버하고 프로13 기본 갈려고 했는데 프로13 기본이 8세대로 나와서 존버 실패했습니다...에어19 에서 에어20(i5로 올려서)으로 갈만할까요,0개,2020. 5. 12.
장우진,14 mid 프로인데 20 에어가 성능이 더 좋네요 ㅋㅋ.. 저도 고사양 작업할땐 팬조절해서 써야겠네요 꿀팁!!,0개,2020. 5. 12.
최자까Chois,교육할인하면 확인하는지 궁금합니다...  ㅎㅎ 아이폰11pro로 멀티캠 영상을 작업하셔두 이질감없는게 너무 좋아요 ㅎㅎ,0개,2020. 5. 12.
최한비,"윈도우도 설치할껀데 i3 256GB 괜찮을까요̃?? 용도는 웹서핑, 문서작업 정도 할 예정입니댜!!",0개,2020. 5. 12.
inseobJi,램은 많을수록 좋다는건 확실했는데.. cpu가 정말 애매했어요. 영상 보니까 이번 맥북에어가 가벼운 영상 작업 하기에는 정말 잘 나왔다는 생각이 드네요~~ 좋은 내용 감사합니다!,0개,2020. 5. 12.
이영광,방구석님!! 영상편집을 20분 정도 할거라면! i3로도 충분할까요? 램은 어느 정도가 좋을까요?,1개,2020. 5. 12.
Se0k,"i5샀는데 취소하고 i3사야하나,,",0개,2020. 5. 12.
