닉네임,댓글,좋아요수,날짜
박열홍,"나 비참하게 이런 댓글 안 쓰는데...
다음에는 맥북프로가 나비식 키보드가 아닌 좋은 키보드가 나오길 기도하면...
나, 비의 깡을 보며 기도한다!
역시 기도할 땐 깡. 
1일 1깡.",5개,2020. 6. 1.
DKPark,나비보벳따우~~ 봅보베띠~~ 나비벳보~~,14개,2020. 6. 1.
인희,맥북 나비식 키보드가 결국 이런 제품까지 출시하게하네요 이것 또한 나비효과ㅋㅋ 타이핑 할 일이 많아서 좀 사고싶어지긴 하네요😉,4개,2020. 6. 1.
테크룸,맥북 프로야... 우리가 이거까지 사야겠니...ㅜㅜㅜ 가위식으로 바껴도 이길수 없는 갈축의 키감..ㅜㅜ,3개,2020. 6. 1.
NANOKIM,"아무리 맥북키감이 구려도...
이거 쓰면 맥북에 스크레치 날것 같아요 ㅠㅠ",3개,2020. 6. 1.
선효섭,오오 나비식 키보드 위에 사이에 틈이 없을라나... 비싼만큼 값어치 하겠져?? 가위식 구매하는게 가격이나.. 비용 절감할 수 있지 않을까여??ㅠ333,2개,2020. 6. 1.
TaeEun,요즘 서울리안 언니 매력에 홀려 길을 잃었어요ㅠㅠ 나비게이션으로 좌표 찍고 집가야겠네여 ㅠㅠ,3개,2020. 6. 1.
마음,"""자~ 여기는 카페야 사무실이 아니야~""라고 말할 때 귀여운데요! >_<~ㅎ",1개,2020. 6. 1.
AlvinPark,"해가 뜨나 비가 오나 매일 서울리안~ㅎㅎ
오늘 날씨가 꿀꿀한데 서울리안님 덕분에 기분좋아지구 가요~~!~!!",2개,2020. 6. 1.
seoungjunYoo,ㅋㅋㅋㅋㅋㅋㅋ나비식 키보드 대신 기계식 키보드라니ㅠㅠㅠ 저도 이래서 맥북 대신 아이패드 프로를 샀죠ㅠㅠㅠ 나비식은 싫어욧!,0개,2020. 6. 1.
DarthVader,진짜 맥북 나비식 키보드 진짜 키감 별로든데..,1개,2020. 6. 1.
전춘일,2019 맥북에어에 나비 쓰고 있는 사람입니다 써보고 싶네요 ㅠㅠ,0개,2020. 6. 1.
fristnamename,2:19 왜 기분이 나쁘지?;;,1개,2020. 6. 1.
꽃피는봄날의사막여우,"아닠ㅋㅋㅋㅋㅋㅋ영상컨셉 굉장히 공감되면서도 나 비금 울고 있니 ㅠㅠ? 
키보드가 그 와중에 멀티페어링되는 게 훌륭하네용? 
맥북이랑 아이패드 같이 연결해쓰면 좋을 것 같네요~ 
우리 인생 파이팅... ㅎㅎㅎㅎ",0개,2020. 6. 1.
JeyunYang,앜ㅋㅋㅋㅋㅋㅋㅋㅋ 일반 키보드랑 너무나 비슷하게 생겨가지고....ㅋㅋㅋㅋㅋ,0개,2020. 6. 1.
춤추는카니,나비식 키보드는 진짜 한번씩 화가 막 나지요 ㅋㅋㅋㅋㅋ,0개,2020. 6. 1.
