comment,noun,adj,verb
"이렇게 수치로 설명하면 아무리 광고를 어떻게 하던 적나라하게 성능이 어떤지 나오네요
전원부 방열판도 손수 그림으로 어떤형태인지 보여주시니 더 직관적으로 잘 보이구요
이번에도 영상 잘봤습니다!","['수치', '설명', '광고', '성능', '원부', '방열', '판도', '손수', '그림', '형태', '직관', '이번', '영상']","['어떻다', '적나라하다', '어떻다']","['하다', '하다', '나오다', '보여주다', '자다', '보이다', '보다']"
"한국 관련 컴퓨터 관련 영상중 가장 유익합니다

확실치도 않은 개인 지식갖고 떠들다 좀 잘못됐다 싶으면 말바꾸고 시x시x 입에 달고 리뷰하는 리뷰어 구독자수도 20만 넘던데 허허.

성조님은 50만 100만 찍으시길.","['한국', '관련', '컴퓨터', '관련', '영상', '가장', '확실', '치도', '개인', '지식', '말', '시', '시', '입', '달', '리뷰', '리뷰', '독자', '수도', '성조']",['유익하다'],"['않다', '갖다', '떠들다', '돼다', '싶다', '바꾸다', '하다', '넘다', '찍다']"
"누가 이렇게 54종을 표로 만들어서 보여주겠냐 
감사합니다 진짜","['누가', '종', '표']",[],"['만들다', '보여주다', '감사하다']"
"아수스 6:05
애즈락 12:55
기가바이트 18:22
msi 25:43
나머지(바이오스타...컬러풀....) 33:56
35:35 총평가 및 정리
*추천: 터프 플러스, 스트릭스e, 히어로, 아펙스
어로스 엘리트, 어로스 프로, 어로스 마스터
토마호크, 게이밍엣지, 유니파이(z490 깡패 예정)
———————————————————————
이번세대 애즈락은 살게 없는것같고 바이오스타 컬러풀은 뭐 역시...
수고하셨습니다","['아수스', '애즈락', '기가바이트', '나머지', '바이오', '스타', '컬러풀', '평가', '정리', '추천', '터프', '플러스', '스트릭스', '히어로', '아펙', '스', '로스', '엘리트', '로스', '프로', '로스', '마스터', '토마호크', '게이', '밍', '엣지', '유니', '파이', '깡패', '예정', '이번', '세대', '애즈락', '살', '바이오', '스타', '컬러풀', '역시', '수고']","['없다', '같다']",['하다']
아 이자료 소중해..,['자료'],['소중하다'],[]
감사합니다 선생님 역시 표작성의 신..,"['선생님', '역시', '표', '성의', '신']",[],['감사하다']
와 진짜 감탄사만 나오는 퀄리티...,"['감탄사', '퀄리티']",[],"['오다', '나오다']"
에즈락에 무슨 일이 있었던건가,"['에즈락', '무슨', '건가']",['있다'],[]
진짜 최고다 신성조..,"['최고다', '신성']",[],[]
"마치 GTA를 산 흑우들을 비웃듯이 ""지금 GTA무료로 받은 사람 이거 사이소"" 이런듯이 들리는 GTA보드를 사셧다면~~







지금 당장 환불하이소","['마치', '산', '흑우', '지금', '무료', '사람', '소', '보드', '셧다', '지금', '당장', '환불', '소']",['이렇다'],"['비웃다', '받다', '들리다']"
"3등  보드종류  54 개  ㄷㄷ
표보는법 빨(젤조음)노(조음)초
(보통) 흰(별로)","['보드', '종류', '개', '표', '법', '빨', '젤', '조음', '노', '조음', '초', '보통', '별로']",['희다'],['보다']
방송감상 후 선추천후 영상감상..,"['방송', '감상', '선', '추천', '영상', '감상']",[],[]
"아아아... 유니파이 마려워지는 영상이네요!
초기불량당첨된 어엘교품오면 중고로 팔아버리고 유니파이가고싶은 충동이 넘치네요!! z270때부터  긱바다시는 안쓴다고 굳게 다짐했었는데.. 어휴ㅋㅋㅋㅋ","['아아', '유니', '파이', '마려워', '상이', '초기', '불량', '당첨', '교', '중고', '아버', '리', '유니', '충', '동이', '긱바', '다짐']","['넘치다', '굳다']","['되다', '품다', '파이다', '다시다', '쓴다', '하다']"
"신성조님 초심 없어지신듯..





자기는 재미없는 방송이다
맨날말하시는데 
멍꿀잼임","['성조', '초심', '듯', '자기', '방송', '멍꿀잼임']",['재미없다'],"['없어지다', '말다']"
"보드회사들 긴장해라 ㅋㅋ
협찬 제대로하고 광고비 따박따박주고 ㅋㅋ","['보드', '회사', '긴장', '협찬', '제대로', '광고', '비', '박', '박주']",[],"['하다', '따다', '따다']"
"애바컬 거른다-메모-
매번 감사 합니다.","['애바컬', '거른다', '메모', '매번', '감사']",[],['하다']
진짜 구매에 좋은 참고가 되겠습니다 추천박고갑니다,"['구매', '참고', '추천']",['좋다'],"['되다', '박다', '가다']"
테스트하느라 정말정말 고생 많으셨습니다...기분좋은 아침 신성조님 표를 봤으니 오늘은 럭키데이네요...^()^,"['테스트', '고생', '기분', '아침', '성조', '표', '오늘', '럭키', '데이']","['많다', '좋다']","['하다', '보다']"
진짜 다른거 몰라도 이런 정성 하나가 엄청난 도움이 됩니다 항상 좋은 자료 감사합니다,"['정성', '하나', '도움', '항상', '자료']","['다르다', '이렇다', '엄청나다', '좋다']","['모르다', '되다', '감사하다']"
감사합니다 선생님... 50개가 넘는 보드를 하나하나 표로...,"['선생님', '개', '보드', '하나', '하나', '표']",[],"['감사하다', '넘다']"
7:40 까톡!,['톡'],[],['끄다']
정말 좋은 상품 리퓨 펙트로 설명 해주셔서 너무 감사합니다..지금 점심 시간에 가게 잠시 들어와서 봤네요..항상 건강 유의하시고 우리 아들 컴 바꿀때 너무 도움이 많이 될것같네요..오늘도 시청료는 좋아요 ~꾺~ ^_^v,"['정말', '상품', '리퓨', '펙트', '설명', '지금', '점심', '시간', '가게', '잠시', '항상', '건강', '유의', '우리', '아들', '컴', '도움', '오늘', '시청료', '꾺']","['좋다', '같다', '좋다']","['해주다', '감사하다', '들어오다', '보다', '하다', '바꾸다', '되다']"
아.. ㅠㅠ 표 중독걸렸습니다.. 어제 너무 피곤해서 기다리다가 잠들어버리곤 못보고 이제야 보네요.. 흑흑 표교수님 표퀄리티는 진짜 돈주고도 못삽니다..,"['표', '중독', '어제', '이제야', '표', '교수', '표퀄리티', '돈', '고도']",['피곤하다'],"['걸리다', '기다리다', '잠들다', '버리다', '보다', '보다', '사다']"
터프 어엘 게이밍엣지 가성비 3대장과 극오버용 에펙스 유니파이,"['터프', '게이', '밍', '엣지', '가성', '비', '대장', '오버', '에펙스', '유니', '파이']",[],[]
