comment,noun,adj,verb
끌리는 제품이었는데 영태형의 검증 덕분에 나의 지갑은 지켰다 고마워요ㅎ,"['제품', '태형', '검증', '덕분', '지갑']",['고맙다'],"['끌리다', '이다', '지키다']"
방송하다 무서져야 빅재미였을텐데...,"['방송', '빅', '재미']",['무섭다'],"['하다', '이다']"
"오 저거 사고 싶었는데 ㅋㅋㅋㅋㅋ
그냥 약해 보이는 플라스틱이긴 하네요","['사고', '그냥', '플라스틱']",['약하다'],"['싶다', '보이다', '이기다', '하다']"
하루만원 짜리 쓰레기 됐네요 ㅜㅡㅜ 아깝.....그래도 님의 실수가 구매에 도움되는건 인정,"['하루', '만원', '쓰레기', '님', '실수', '구매', '도움', '인정']",['아깝다'],"['짜다', '돼다', '되다']"
뛰지만 않으면 그래도 쓸만한 접이식 안장이네요,"['접이식', '안장']",[],"['뛰다', '않다', '쓸다']"
"늘 재밌게 보고 있는데  다시 자주 업로드 해주실 분위기라서 다행이네요.
물건  소개 이후 계속 사용하시다가 제품에 대해 새로이 이야기해주시는  이런 영상 너무 좋은 것 같습니다.
앞으로도 많은 영상 부탁 드립니다.","['보고', '다시', '자주', '업로드', '분위기', '다행', '물건', '소개', '이후', '계속', '사용', '제품', '대해', '새로이', '이야기', '영상', '영상', '부탁']","['재밌다', '있다', '이렇다', '좋다', '같다', '많다']","['해주다', '하다', '해주다', '드리다']"
"이거 1만원짜리는 보질 못햇는데,,
가격이 생각보다 비싸서 구매하지 않았던 기억이 나네요,,","['못햇', '가격', '생각', '구매', '기억']",['비싸다'],"['보다', '늘다', '하다', '않다', '나다']"
난 이형이 리뷰 망할때마다 기분이 좋아져 이상해,"['난', '이형', '리뷰', '기분']","['망하다', '이상하다']",['좋아지다']
오 살려고 생각중이었는데 ㅋㅋㅋ 다행이다!!,"['생각', '다행']",[],"['살리다', '이다']"
트월킹 ㅋㅋㅋㅋ,['트월킹'],[],[]
헐.. 사려했는데 ㅋㅋㅋㅋ,['사려'],[],"['헐다', '하다']"
"와 나도 사보고 싶다라고 생각했던건데
근데 엉덩방아 찧을때 모서리로 찧어서 그런듯한데
그렇다 하더라도 좀 약해보이긴 함...
ㅋㅋㅋㅋ","['생각', '엉덩방아', '모서리', '약', '함']","['그렇다', '그렇다']","['오다', '나다', '사보다', '싶다', '하다', '찧다', '찧다', '하다', '해보다']"
지금 해외에서 주문해서 오고잇는데...하아,"['지금', '해외', '주문']",[],"['하다', '오다', '잇다']"
카카오 메이커스에서도 팔았었는데..,"['카카오', '메이커', '스']",[],['파다']
애들이 사용할 경우 위험할 수 있겠네요. 정말 걸쳐 앉을 정도로 조심히 써야. 그래도 차에 하나 두고 필요한 경우에만 사용하는 방법은 있겠어요.,"['애', '사용', '경우', '정말', '정도', '조심', '차', '하나', '경우', '사용', '방법']","['위험하다', '있다', '필요하다', '있다']","['하다', '걸치다', '앉다', '써다', '두다', '하다']"
"궁금했는데,    감사드립니다 ^^",['감사'],['궁금하다'],['드리다']
"미국 홈쇼핑류의 광고 위험하죠 ㅋㅋ 내구성 보여준다고 망치로 치는듯하게 찍고 편집한다던지 ㅋㅋ
만약 애들이 보고 올라가서 뛰다 부러지면 큰일났겟어요","['미국', '홈쇼핑', '류', '광고', '구성', '망치', '편집', '만약', '애', '보고', '큰일']",['위험하다'],"['보여주다', '치다', '하다', '찍다', '하다', '올라가다', '뛰다', '부러지다', '나다']"
"27초에 나온 지메이트인데
제가 1호 수령자입니다 ㅎㅎ
직접 대구에 가서 가져왔는데
참 오래전 일이네요.
지금도 보유 중","['메이트', '호', '수령', '직접', '대구', '지금', '보유', '중']",['이다'],"['나오다', '가다', '가져오다', '차다']"
이쁜 쓰레기가 만들어 졌군요,['쓰레기'],['이쁘다'],"['만들다', '지다']"
저두 관심있어 보던건데...감사합니다.,['관심'],['있다'],"['보다', '감사하다']"
플라스틱 의자가 만원..?,"['플라스틱', '의자', '만원']",[],[]
