,youtube_id,comment,like_num
0,김지연,복귀하시고 영상올라오니까 넘핾복❤️진짜 머리색 찰떡이네용❤️❤️진짜 또아언니 꽃길 걸어요,128개
1,은영,"이 언니 모야모야 ,,, (숙덕숙덕) 👥 ,, 단발도 예쁘고 ,,,(수군수군)👥 머리 붙인것도 예쁘자녀,,,(중얼중얼)👥,,,진짜 너모 조하,,,(소리없는 아우성)👥",30개
2,AmaeLee,"First viewer, first liker & first commenter! Love you so much!🇵🇭💟💟💟",34개
3,ZoraSky,Seriously the colour looks so good on you!! You look so strong with it🧡🧡💪,16개
4,YeonYeon,언니 항상 응원해요! 자신감 잃지 말아줘요❤️❤️,81개
5,ElUlya,"OMG EONNIEEEE.. I MISS YOUR CONTENT SO SO SOOO MUCH! FINALLY YOU ARE BACK!!
I LOVE YOUR NEW HAIR IT'S SO FRESH AND PRETTY, PLEASE MAKE ANOTHER CONTENT BUT LONGER 😂❤",5개
6,다또아Daddoa,"일단, 요즘 내 동년배들 다 다또아 인스타 팔로우한다.
www.instagram.com/daddoa

-
안녕하세요, 밥버거입니다 !
이 머리에 어울리는 메이크업이나 컨텐츠를 보고싶으신 분들은 댓글로 
마구마구 의견 남겨주세요! 기다릴게요 💝

이 날 찍었던 영상은 도경쌤의 채널에도, 임다님 담당쌤인 동욱쌤의 채널에도
각각 다른 시점으로 올라올 예정이니 많이 기대해주세요!! :)

아 그리고 지금은 더더욱 연어컬러에 가까운데..!  
완성샷을 시술 당일날 찍어서 좀 더 당근같은 컬러로 나왔어요!
채도가 지금보다 훨씬 높았습니다.
추후에 나오는 영상들에서 헤어컬러가 더 연어연어(?)스러울거예요! ㅎㅎ

-

[헤어 염색 - 도경쌤 : https://www.youtube.com/channel/UCpCV262NFqhPPEw-5kPox8g

[붙임머리: 이퀄다이아몬드 - https://www.instagram.com/equal_diamond

[임다님: https://www.youtube.com/channel/UCwZTeeKyb1hT6sg8tfOaZiA/ 

[동욱쌤: https://www.youtube.com/channel/UC6WMdusm7jmX5ynvJUIcA-A",131개
7,IRISCENT,ALL HAIL TO THE PPL WITH CHUBBY CHEEKS!❤ALL OF YOU ARE SO CUTE AND BEAUTIFUL AND REMEMBER TO APPRECIATE YOURSELF!❤,49개
8,MymyBanana,"You're such a beautiful and amazing woman ans I'm so happy that you're back !! Take care of you and please, keep that positive attitude !! ♡♡♡",3개
9,이서연,"진짜 영상미는 어따 내놔도 뒤쳐지지않는,, 역씨 다똬님 체고 ღ ღ
짧은 영상도 편안하고 또아님만의 느낌이 나게 너무너무너무너무너무너무너무너무너무너무너무너무너무너무너ㅜ너ㅜ 좋은 영상이에유 ㅠㅠㅠ
머리색도 넘무 예쁘고,,,ღ",3개
10,두디,미쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋ 이 머리색이 이렇게도 잘어울리는 분은 처음봤닼ㅋㅋㅋㅋㅋㅋㅋ 와..... 제가 형광빛 도는 코랄색 머린데 다음 머리색은 나도 연어색...❤️❤️❤️,4개
11,지효,언니 머리색깔 진짜 찰떡이에요!!비비드한 색감이 이렇게 잘 어울리시다니...역시 다또아 언니ㅠㅠ,24개
12,박서윤,언니 사랑해요ㅜㅜ❤️❤️ 이 머리가 훨씬 잘어울리세요 사실 뭔들 ❤️❤️,25개
13,박예림,머리색 너무 잘어울려요!!!❣️❣️,14개
14,당근,임다도 다또아도 구독자 20명일때부터 봐서 그런지 이 영상이 신기하네,7개
15,부규빈,혹시 붙임머리 큐엔에이 해주시면 안됄까용...? 예전부터 붙임머리 많이 하셔서 잘 아실 것 같아서요😁❤,17개
16,천가,밥ㅋㅋㅋㅋㅋ벜ㅋㅋㅋㅋ겈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,11개
17,이은지,와 언니 오렌지 진짜 레전드에요ㅠㅠㅠ 오렌지 찰떡 디즈니 공주같아요ㅠㅠ 게다가 제가 좋아하는 다또아님과 임다님 콜라보라니!! 언젠가 꼭 하기를 기다릴게요💕,23개
18,DestinyD,"Your new hairstyle really suits you, it like cute!!",3개
19,박희선,밥버겈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 어떻게 들어야 밥버거가 되는거예요..ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜ,4개
20,김지연,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ밥버거 너무 웃겨욤.....ㅜㅜㅜㅋㅋㅋㅋ
붙임머리 완전 잘어울리세용💓💓💓",4개
21,공주요정,언니는 밝은색 머리가 더 잘어울려요ㅎㅎ 훨씬 밝고 살아보임!! 존예❤ 밥버거 뭐에요 개웃겨ㅋㅋㅋㅋㅋㅋㅋ,8개
22,댕댕,언니 사랑해요♥♥ 매일매일 예쁘구 언니를 볼때마다 기분이 좋고 행복해져요😊,10개
23,세정,"세상 시크하게 완전 귀여운 쎈언니...?같아유
헤헤❤️❤️❤️예뻐요 연어색❤️",8개
24,뿌요뿌요,"다또아님 행복해보여서 저도 너무 행복해요♥♥♥
당신의 용기와 노력 항상 고맙고 사랑합니다!!!!!",9개
25,Haru,"Hair changeしてもかわいい♡
Even Hair Change is cute♡",3개
26,김귤댕,아 미쳤다 긴머리도 이쁜데 단발이 너무 잘 어울려요ㅜㅜㅜ 단발뽐뿌온당...,2개
27,WlE,영상이 넘 짧아 아쉬워요ㅠㅜ 길게 오래 보고싶은뎅..😘,2개
28,이혜,오늘도 좋은 하루 보내세요❤ 먼저 댓글달고 시청할께요!!❤,11개
29,도경쌤,버거님 고생하셨어요♡ ㅋㅋㅋㅋㅋㅋ 아 엄다님...........너무했어요..ㅋㅋㅋ,3개
30,옴뇸뇸,"앜ㅋㅋㅋㅋㅋㅋㅋ밥버겈ㅋㅋㅋㅋㅋㅋ
너무웃갸욬ㅋㅋㅋ",1개
31,공주야,밥버거언니ㅋㅋ사랑함ㅋㅋㅋㅋ❤,1개
32,이혜,진짜 헤어하면 또아님이다.... 진심 모든색이 다 잘어울리고 ㅎㅎ 오늘도 너무 이쁘고❤ 스포빠빵하던 염색과 붙임머리 영상 올라와서 너무 좋아요❤ 먼가 또아님의 하루를 같이 보낸느낌...? ㅎㅎ 오늘도 잘보고 가요!!,2개
33,서노SEONO,대존예ㅠㅠㅠ 영상 짧아서 아쉬오요ㅠㅠ❤️❤️,0개
34,CherryTokki,I love it! That color looks amazing on you. You look so beautiful!,9개
35,예영,언니 진짜 왜래 귀여워? ㅜ,1개
36,AriMikaNY,언니 진짜 귀엽다 ㅜㅜㅜㅜ 밝은모습이 넘 부러워용 저도 다또아님 성격닮고싶다 머리색도 넘 예뻐욘❤️,1개
37,뽀송윤,언니 너무 최고잖아요ㅜㅜㅠㅠ 머리색 너무 예뻐요!,0개
38,이귤,진짜 너무 예뻐요ㅠㅠㅠㅠㅠ,0개
39,곽구칠,이뻐ㅜㅜㅠㅠㅠ이뻐요ㅠㅠ !!~~^~^ 머시써부러,0개
40,김다해,언니 너무 이뻐여ㅠ,0개
41,밍밍꾸,언니 너무 예쁜 거 아닙니까 ㅠㅠㅠ 오늘 메이크업 영상 찍어주세요🙏🏻항상 응원합니다~~~!!!,0개
42,YunJu윤주,헐헐 머리색 너무너무 잘 어울리세요!! ㅠㅠㅠ 😭💖💖,0개
43,손채민,흐어오오오ㅠㅜㅜㅜ언니 머리 넘 이뿌자나여ㅠㅜㅜㅡㅜㅠ완전 찰떡이야ㅠㅜㅜㅜ❤️,0개
44,KhunJK,"I really like about your hair 
, so pretty! 💜",3개
45,토르와헐크,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ임다님을 다또아님 영상ㅇㅔ-서 보다닠ㅋㅋㅋㅋㅋㅋㅋㅋ,0개
46,뎡요,ㅋㅋㅋㅋㅋㅋ밥버거ㅠㅠ 나중에 임다님이랑 콜라보하면 재밌겠네요~~,0개
47,genieyoung,또아님 이즈 뭔들.. 머리색 너무 찰떡이에요ㅠㅠ 이번엔 진짜 장난아닌듯ㅠㅠㅠ💕💕💕💕💕💕,1개
48,RachelShin,언니 진짜 인형같이 이뽀요오ㅜㅜㅜㅜ💕💕,0개
49,귤사장,저도 엄청 해보고 싶은 색깔이네요ㅠㅠㅠㅠ다만 직장다니다보니..넘 쨍한 컬러는 할수없는 현실..ㅠㅠ,0개
50,지인,ㅋㄱㅋㅋㄱㄱㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋㅋㄱㅋ밥버겈ㅋㅋ큐ㅠㅠㅠ아 근데 뭔가 발음이 진짜 그런것같애욬ㅋ큐ㅠ 그리구 언니 머리 엄청 잘어울려요!!♡♡,5개
51,asdfasdf,또아님 브이로그 꿀잼!ㅋㅋ 짧아서 아쉬워요ㅋㅋ밥버거ㅋㅋㄱ,0개
52,영인,또아님 영상 보니까 너무 좋아요ㅠㅠ♡,0개
53,최유림,ㅋㅋㅋㅋㅋ밥버거님!! 머리색 증말루 최고 탐난다...!,0개
54,김기예,또아님 진짜 머리색 찰떡 사랑해요 언니 사랑해요 .. 🧡,0개
55,김세연,언니❣ 너무 ㅇ예뻐요ㅜㅜㅜㅜㅜ  그냥 대존예란말이다 이거야,0개
56,ilikebaconmore,SO PRETTY❤❤❤,2개
57,미현Mihyun,또아님 실제로 봤는데 머리컬러 존예💕 역시도경쌤!,1개
58,베에베베,행복해보여서 너무좋네요 ㅠㅠㅠ 사랑합니다!!,0개
59,미미,세상에 넘 예뻐라🥰,1개
60,OliviaH,머리색 진짜예뻐용 !! 벌써 바닷가 온것같아요 ㅋㅋㅋ,0개
61,도지,ㅋㅋㅋㅋ엄닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
62,노쑥이,엄다ㅋㅋㅋ,0개
63,이혜지,아니 형이 여기서 나올줄이야ㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
64,이소영,"세상에 언니 진짜 에리얼같아요 처음에 딱 돌아보실 때 아 심장,,,",1개
65,김은지,화이팅,0개
66,EJJung,아니 임다님 다또아님 구독자수 보고 깜놀하실듯ㅋㅋㅋㅋㅋㅋ,0개
67,츄겨밍,밥버거ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
68,서은혜,밥버거ㅋㅋㅋㅋㅋㅋㅋ,0개
69,다미,밥버겈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
70,제니,머리색 너무이쁘다앙♡,0개
71,HinS,버거님..💕🍔,0개
72,윤윤,와 또아님 방금ㅠㅠ 마주쳤는데 맨날 영상으로만 보다가 실물 영접하고 설레서 넘 동공지진했어요ㅠㅠ(인사하고싶엇는데 넘부끄러워서ㅠㅠ) 화장 넘 예뻤어요💕💕복귀하셔서 정말 좋구 앞으로 예쁜 메이크업 영상 좋은 영상 많이 올려주세요🥰😍,0개
73,Timpri0114,짱이에요❤️❤️,1개
74,유다연,"언니 ㅜㅜㅜㅜㅜ 머리 염색 하니까 인어공주 같아요 항상 뭘 하든 응원할게여 지금처럼만 힘들면 쉬고 , 영상 올리고 싶을 때는 올리시고 해주세요 전 좋아요 항상 응원해요 !😊",0개
75,sunnychen,Omg！！I really like your hair color ， so pretty！！1,0개
76,이홍조,히힝 웃는거 너무 귀여워요 ! 사랑스러운 사람 또아님 > _<,0개
77,LCE,"언니 지금 모습 너무 밝아보이고 전보다 더 예뻐지신것 같아요!! 일년정도 언니를 못봐서 많이 걱정 하고 보고싶었는데 이렇게 밝아지신 모습을 보니까 기다린 보람이 있는것 같아요ㅎ
지금 이모습 정말 예쁘니까 더이상 다른사람들의 악플땜에 상처받지 않으셨으면 좋겠어요
앞으로 좋은영상 많이 올려주세요 사랑해요 언니 ❣",2개
78,이,내사랑 임다오빠 ㅠㅠ❤️❤️,1개
79,살다의위로,우왓 임다님~~ ^^ 여기서 보니 신기하네요. 또아님 귀엽고 이뻐요,0개
80,강지오,너무 귀엽고 사랑스러운 또아언니💗,0개
81,삥꾸,머리색 존예ㅜㅜ,0개
82,뭉댕,재밌게볼게용🙂,0개
83,우징,헐 색깔짱이뽀요ㅠㅠㅠ🍣🍣🧡🧡❤️💖,0개
84,배은주,또아씨~~ 너무 예뻐요~~ 정말로!!,0개
85,Danaxo,I’m happy you’re back! 영상잘봤습니다,0개
86,구독중1000만,이제 진짜 행복해보인다..★,0개
87,뉸뉴,와 머리색 진짜 이뻐요 언니랑도 찰떡💕,0개
88,으이그으이그,와 머리긴거 미쳤다 너무 예뻐요 ㅠㅠ,0개
89,YOONJIN,밥버거님 ㅋㅋㅋㅋㅋㅋ,0개
90,박하연SyaRida,U reminds me of one of the Red Velvet's member~ u're so prettyyyy😍😍😍,1개
91,MOMOKANAKAMURA,언니 진짜 예뻐요~~😆💕🌸,0개
92,현웅,다또아누나 안녕 ㅎㅎ 너무 귀여워요 매력도짱 이쁘시다 머리색깔도이쁘구 매일못오지만 심심할때 놀려올께요 친하게지내요 ㅎㅎ,0개
93,꿀윤,"너무 이뻐 !!!!!!!! 다또아님 ㅠ ㅠ 웃는 건강한 모습 다시보여줘서 너무너무 고마워요 
영상이 너무짧아서 아쉬워요ㅠㅠㅠ예쁜모습 길게보고싶은뎆 ㅠㅠ 무한반복 해야겠어요🧡",0개
94,김주먹들고일어서,엉니사랑해요❤️,1개
95,니얼굴,다솔공주님 줠라리 예뻐요 ㅠㅠㅠㅠ너무 아름다운 다도리언니❤️❤️,0개
96,냥냥멍,"밝은 모습으로 돌아와서 고마워용,,💗",0개
97,봄쓰,우리언니 너무 예쁘다🧡,1개
98,오소소,분명 인어머리라고 읽고 들어왔는데 연어머리...🍣...ㅎㅋㅋㅋㅋ,0개
99,댕댕,언니 영상보면 저까지 행복해지는 기분이에요 ㅎㅎㅎㅎ 항상 응원할게요!!💓💓,0개
100,A,헉 머리색 너무 .. 너무너무 예뻐요 다또아님 돌아와주셔서 너무 감사해요 항상 응원할께요 영상 넘 재밌어요 !!,1개
101,앗뇽,살이 그새 또 빠졌네 언닝 ~~,1개
102,lilfreak,Unnie thankyou for fresh content! Always rooting for u💖,3개
103,이다영,또아님 asmr버전으로 한번더 찍어주세요ㅠㅠ,0개
104,체리,헉 최고다 짖짜 넘이뻐요 연어색...,0개
105,문자통역사,어뜩해 너무 재밌어요❤,1개
106,cokputri,Salmon hair color suit you well! I love it 💕,1개
107,Alexaaaaa,우와! 다또아 돌아왔어요!!! 예이!!! 💗💗 그 오렌지 머리 색깔이 진짜 잘 오울리는데!!!,0개
108,GoGo,매력뿅뿅 ❤️❤️❤️ 인형같은 또아님. 웃는 모습이 넘넘 사랑스럽습니다~ :),0개
109,Lucia,i rlly love the color whoa so vibrant,0개
110,꾸숭아,다또아님 이목구비가 또렷하시고 진하셔서 뭘 해도 잘 어울리시네욤,0개
111,lilyc,So gorgeous with this hair 🍣❤️,0개
112,양현주,언니 댓글 처음 남기는데 예전보다 밝아진 모습 너무 보기 좋으세요..💕 앞으로 응원할게요😘,0개
113,Soulz,Tho the bright orange looks good too but i kinda prefer your previous hairstyle :D You actually look so cute and young with short hair! xoxo,1개
114,정소영,연어머리 이뻐요..밥버거~ 은근 괜찮은데요..^^,0개
115,Eileen,긴머리 너무 잘 어울리세요! 색이 정말 비비드하네요:) 인스타 팔로우할게요~!,0개
116,G1,"머리가 어쩜 찰떡인가요!!!ㅠㅠ 넘나 잘어울려용 
전보다 더 밝아지신것 같구 보기좋아옹ㅎㅎㅎㅎ",0개
117,SophiaKim,다또아님 영상잘보구 있어요~ 그냥 탈색한 머리두 이쁭데  연어색도 넘나 이쁘네용! 보다 궁금해졌는데 다또아 의 의미는 모에욤?,0개
118,yum,めっちゃ太った,0개
119,Alien에이리언의일상,또아님 너무너무 예쁘네요!! 복귀 추카추카!!!❤️❤️❤️❤️❤️❤️,0개
120,짜증나,온니 사랑해♡♡♡♡♡,0개
121,윤하니,BEAUTIFUL 🤤🤤🤤🤤🤤💕💕💕💕 You look soooo cute!,0개
122,띵글,또아님 영상마지막에 핫! 핫! 이 bgm 제목이 뭔가용?!!!,0개
123,RandeKhoshman,You’re really beautiful ❤️❤️,0개
124,rosiey,너무 잘 어울려요!!,0개
125,쉬라몬,색 너무 잘어울려요 !,0개
126,재윤,왕 언니 요즘에 인어공주 머리라고 쨍한 빨간색이나 주황색 유행하던데 너무 잘어울리거 이뻐요ㅠㅠㅠㅠ❤️❤️❤️,0개
127,유진님,지금 보기 넘 좋아요 지금까지 본 언니 모습 중 제일 예뻐요 🥰🥰🥰,0개
128,져니의Journey,머리 색 완전예뻐요!!!!!!!!!!!😭😭😭😭😭😭😭😭저도 하고싶은데 4학년이라ㅠㅜ쥬륵....이번 방학이 마지막 기횐데 해볼까봐여😭,0개
129,미야오미야오,항상 응원해요 다또아님❤️,0개
130,봄비,밝은모습 뿜뿜!! 보기좋아요^^,0개
131,햄힘,인어공주 메이크업 하면 정말 잘 어울릴것같아요!!!🌊,0개
