,youtube_id,comment,like_num
0,나니누네노,4년동안 한국 화장품업계 판도자체를 뒤바꾸신분... 정말 존경스럽고 감사합니다 파이님이 아니었으면 정말 화장품 자세한용도 및 사용법 성분 이런거까지 제가 알면서 살았을까요? 피부타입별 스킨케어 루틴부터..  관리까지 대단합니다..!,258개
1,나우리,실버버튼 받으신것도 축하드리지만 이렇게 기획의도와 앞으로 나아갈 방향을 친절하게 안내해주셔서 더더욱 신뢰감 가고 멋지세요. 저 디파님 따라서 머리길고 있어용. ㅎ,303개
2,이윤서,디렉터파이님 자체가 브랜드가치가 엄청 높아졌어요!! 디렉터파이님이 탑오브탑으로 뽑은 화장품은 디렉터파이 선정 화장품이라고 회사에서 광고할정도니까요!!! 그래서 화장품 시장을 움직이는 힘도 생기신거같아요! 그것도 아주 좋은 방향으로요! 이게 바로 선한영향력인거같아요!! 감사해요 디파님! 디파님의 화장품에 대한 철학도 늘 존경스럽습니다! 멋있어요! 늘 응원해요!,376개
3,아리뚜,ㅜ진짜 디파님 덕에 시장변화 온 것같아요 덕분에 좋은 제품 성분도 많이 배우면서 시간 단축하고 잘고르게 되었어요 항상 감사합니당♡,144개
4,최난찌,디렉터 파이님 같은 분이 있어서 저희가 성분좋은 화장품 좋은 기업을 찾아서 사용할 수 있는거 같습니다 앞으로도 화이팅하시구 늘 감사합니다!!!,94개
5,냠m,"항상 감사합니다 파이님.
실례가 안된다면 속눈썹 영양제에 관해서도 영상부탁드려도 될까요? 
실제로 속눈썹 영양제가 속눈썹 길이에 도움이 되는지, 도움이 된다면 어떠한 성분,원리로 도움이 되는지 궁금하고 가능하다면 관련 추천템이 있으신지도 궁금합니다:)",20개
6,박정아,"실버버튼 축하드려요
작년이맘때 디파님을 알게되어서
화장품살때 꼭 참고하면서 구매하는
이젠 제 화장품소비의 교과서가 되고있네요~
설명듣고보니 제가 생각한거보다
여러단계를 거쳐서 많은시간에 제작되는영상임을 알았습니다
감사드리고요 
앞으로도 더욱 좋은영상 기대할께요",69개
7,뿅뿅,"근데 진짜 옛날보다 화장품 파데나 쿠션도 그나마 성분 괜찮아진 것도 많고 기초화장품들도 정말 성분이 많이 바뀌고 기능도 많이 바뀐것같아용!! 
디파님 덕도 없지 않아 있었어용!! 
평생 이렇게 유튜브 하셨으면 좋겠어용 ㅠㅠㅠ 
디파 화이팅!",13개
8,꾸엑,"우리 디파님이 아직 구독자 80만 밖에 안됐다는게 더 놀랍네요ㅠㅠ 100만 1000만 가도 납득되는 분이신데ㅜㅜ 앞으로 더더더 흥하실거예요!! 그래야해요! 
다이아버튼을 받는 그날까지!!
디파님 하고 싶은거 다하세요❤️❤️
무얼 하시든 응원합니다 사랑해요 디파님💕",30개
9,서이3개월전,이제 곧 골드 버튼도 받겠네여 ❤️,66개
10,서이3개월전,"모르셨댘ㅋㅋㅋㅋ 귀여우시다 ㅋㅋ
실버 버튼을 모르셨다니요.. ㅋㅋ",41개
11,고미선,"벌써 4년이나됐네요 와~ 4년동안 좋은 성분, 제품 알려주셔서 도움도 많이됐어요~! 앞으로도 질좋은 영상 부탁드려요~",41개
12,고영희,"제가 제일 좋아하는 유튜버가 디파예요ㅠㅠ 유튜버 중에 이렇게 자세히 알려주시는 분도 없었고 믿음이 안갔습니다. 뭐라고 말해야 될지 모르겠는데 항상 응원하고 있고 감사하다고 전하고 싶네요 ㅎ
+)골드버튼 받으면 q&a 해주세용!! 물어보고 싶은게 너무 많아요ㅠ!!",49개
13,Hyunkyoung2Lee,"오잉 체감상 300만인데 말이죠 ㅇㅅㅇ 그래도 파이님 덕분에 우리나라 화장품 업계들도 경각심을 가지고 성분으로 장난 안치고 경쟁하듯 성분이 바뀌어서 결국 소비자들에게 너무 좋은 판도로 이루어진것 넘넘 감사하고 항상 존경하고 있습니다!
정말 감사해요 🧡💛💚💙💜
영상 만드시는데 어려움 많으실텐데 건강 잘 챙기시고 항상 응원하고 있다는것 알아주세요! ㅎㅎ 
사실 돈내고 봐도 할말 없는 영상인데 말이죠 ㅠㅠ 스스로 고이 쌓아놓으신 지식들 뿌려주셔서 너무 감사하고 감사합니다!
그리고 점점 우아해지시네요... 언니다 언니 (버릇없)
나쁜성분 없는 화장품을 판매하는 우리나라를 향해!! 빠샷! 감사합니당당당🧡💛💚💙💜

+
변화한 화장품도 다뤄주셔서 너무 감사합니다!
그 전부터 착한 성분 다루고 있는 화장품 업체들도 다뤄주셨으면 하는 바램이 있어요 ㅎㅎ
찹스, 에콜린, 클레어스, 코스벨리 등 입니다. 감사합니다, 항상 행복하세요🧡💛💚💜",6개
14,AyaChan,Thank you so much for including English subtitles I really appreciate it 💗,4개
15,Karroy715,중국퍤인데요. 디렉터 파이님 정말 제의 온라인 피부과 선생님입니다. 구독자가 2만 때 구독하고 생활의 질이 바꾸다는 말도 과언이 아닙니다! 덕분에 전문 용어도 많이 배우고 있어요! 골든 버튼 가쟈! 축하드립니다.,23개
16,아이리스블룸,뭔가 본격적인 행사 전에 대표자의 기조연설 같은 느낌이에요~ :),5개
17,JJ,"동물 실험 하지 않는 브랜드 위주로 정보 제공 부탁드려요 디파님!! 동물실험 너무나 잔인하고 비윤리적입니다.. 또한 중국 수출 브랜드 = 동물실험 브랜드입니다 ㅠㅠ 성분 좋은 제품이라고 올려 주셔서 많은 사람들이 그 브랜드를 찾고, 그 제품이 동물 실험 브랜드라면.. 동물만 가엾어 집니다 ㅠㅠ",47개
18,우효주,진짜 디파님 덕분에 제 악건성 피부가 건성으로 바뀌고 요즘은 건성~중성정도 된거같아요. 항상 영상 높은 퀄리티로 제작해주셔셔 감사합니다.❤,33개
19,Eliza,"you re the best guru i've ever had! 😭😭😭 congrats! im happy for you, but you deserve 100m subscribers 😭😭😭 i hope you reach 1m sooner and get that gold play button! you always give us your best effort, thanks a lot for evrrything director pie and crews ♥️ may god bless you guys always 🌈",4개
20,코코,피부가 20년동안 여드름 달고 살았는데 디파님 알고 싹다 없어졌어요! 고맙습니다!,33개
21,ImasNuraeni,"👏👏👏👏 I totally agree with your Philosophy Director Pi. Yes, I follow your instructions for cosmetic dieting. In fact most of favorites skincare products based on your Top of The Top. Most of all, 100% supporting The Clean Beauty movement. I'm a proud subscriber for listening to your advices.",2개
22,1228jd,"디파님 오늘도고생하시고!!
코로나조심하세요!!! 사랑합니다",22개
23,에스제이,디파님 비누 이번년도에 꼭 올려주세용!!! 아무거나 못 쓰겠어요...,15개
24,YeonAPark,"어여 골드버튼 받으시기를 바랍니다~~!! 와... 4년.. 처음 영상 얼마 없을때부터 구독했는데 축하드립니다
늘 정말 연구하고 테스트하고 대단하시다고 생각합니다",3개
25,lightspot,"멋있다.. 한 분야에서 전문가가 되어서 공익을 위해서 열심히 일한 성과도 확실히 나고 그 한 사람의 영향력으로 화장품 업계의 트렌드가 좋게 바뀌어가고 
여러모로 대단하세요 멋있습니다",2개
26,sashaJ,디파 덕분에 무심코 쓰던 것들을 한번 더 생각하고 보는 것 같고 제 일상에 많은 도움을 받았어요. 감사합니다.,8개
27,에비츄,와 진짜 이쁘다,12개
28,이다영,"항상 좋은 정보주셔서 감사합니당🙆‍♀️💜
100만 구독자까지!!화이팅❤",15개
29,ReeWon,You deserve more♥🌹,21개
