comment,noun,adj,verb
"💥댓글 이벤트💥
댓글을 달아주신 분들 중 추첨을 통해 한 분에게 고알레 7부팬츠를 선물로 드립니다!
당첨자 발표는 6월12일 고정 댓글을 확인 해주세요ㅎㅎ
 
감독님들이 입은 유니폼이 궁금하시다면!
고알레 스마트스토어 https://bit.ly/39WB3xM","['댓글', '이벤트', '댓글', '중', '추첨', '통해', '알레', '부', '팬츠', '선물', '당첨', '발표', '고정', '댓글', '확인', '감독', '유니폼', '알레', '스마트', '스토어']",['궁금하다'],"['달다', '하다', '드리다', '해주다', '들이다', '입다']"
"1.공을 잘 밀어놓기
2.디딤발의 위치
3.임팩트 때 시선
4.슈팅 후 몸이 앞으로 나가기

역시 믿고보는 고알레! 고알레 항상 응원합니당 영상이 나올 수록 제 실력도 나아지네요 ㅎㅎ","['공', '발의', '위치', '임팩트', '시선', '슈팅', '몸', '역시', '알레', '알레', '항상', '응원', '영상', '수록', '실력']",[],"['자다', '밀다', '디디다', '나가다', '믿다', '보다', '하다', '나오다', '나아지다']"
저도 슈팅중에 감아차기를 제일 좋아하고 잘 쓰는데 힘이 안쓸려서 고민이 많았는데 이 영상을 보고 힘쓰는법을 알게 됬어요 연습을 많이해서 고체티노님처럼 감아차기 하고싶습니다!!카카PD골 많이 넣을 수 있을것같네요!!ㅎㅎ,"['슈팅', '차기', '제일', '힘', '고민', '영상', '보고', '법', '알', '연습', '해', '고체', '티노', '차기', '카카', '골']","['좋아하다', '많다', '있다', '같다']","['감다', '자다', '쓰다', '쓸리다', '힘쓰다', '되다', '감다', '하다', '넣다']"
"고알레 하루도 빠짐없이 시청합니다.
아마추어 축구인들의 길라잡이라할까요?
고알레만의 고급정보 항상 감사합니다.
고알레 시청하면서 즐거움과 내자신이 많은것을 바꾸어가면서 실력향상이 되는듯하네요~언제나 유익한 내용과
실전영상 많이올리시길 바랍니다.
고알레 화이팅!","['알레', '하루', '시청', '아마추어', '축구인', '길라잡이', '알레', '고급', '정보', '항상', '알레', '시청', '즐거움', '자신', '실력', '향상', '내용', '실전', '영상', '알레', '화이팅']","['많다', '유익하다']","['빠지다', '하다', '하다', '감사하다', '하다', '바꾸다', '되다', '하다', '올리다', '바라다']"
"고체티노가 알려주니까 카카pd가
잘차네..","['고체', '티노', '카카']",[],"['알다', '가다', '차다']"
확실히 왼발은 고체티노가 잘찬다.,"['왼발', '고체', '티노']",['확실하다'],['차다']
저는 거의 슛팅을 감차로 차서 항상 고체티노님 영상 보면서 슛팅을 연습하는데 오늘도 슛팅 연습에 유용한 영상 감사합니다,"['거의', '슛팅', '감', '차로', '차서', '항상', '고체', '티노', '영상', '슛팅', '연습', '오늘', '슛팅', '연습', '영상']",['유용하다'],"['보다', '하다', '감사하다']"
"ㅎ 역시 감차는 고체티노네요 
감차의 교과서 같습니다 ㅎ
항상 재밌는 영상 올려주셔서 감사합니다~","['역시', '감', '고체', '티노', '감차', '교과서', '항상', '영상']","['같다', '재밌다']","['차다', '올려주다', '감사하다']"
체중이동을 앞으로!!영상을 통해 저도 많이 배웠습니다 ㅎㅎ오늘도 좋은영상 감사합니다,"['체중', '이동', '영상', '통해', '오늘', '영상']",['좋다'],"['배우다', '감사하다']"
고체티노 생각하면서 차바야겠다 원래 잘차시는거아니조?,"['고체', '티노', '생각', '차바', '원래', '조']",[],"['하다', '겠다', '차다']"
이걸 봐도 변하지 않는 나.....,['걸'],['변하다'],"['보다', '않다']"
"고알레영상항상
재밌어서꾸준히보게되네요
배울점과느낄점도
좋은영상많이부탁드립니다!","['알레', '영상', '항상', '점', '점도', '영상']","['재밌다', '꾸준하다', '좋다', '부탁드리다']","['보다', '되다', '배우다', '느끼다']"
1등 처음해본다 오.......,['처음'],[],['해보다']
카카님의 저번영상보고나서 발전을 기원했는데 역시나 고체님의 1대1 레슨으로 인해 슛팅 궤적이 후덜덜하네요!! 발전성이 더욱더 보여지네요~ 고체님 강의 재미있고 유익하게 배우는사람들도 낙심하지않도록 칭찬과 열정을 같이 알려주시니 더더욱 빨리 성장되겠네요^^.카카님 화이팅입니다^^,"['카카', '번영', '발전', '기원', '역시', '고체', '레슨', '슛팅', '궤', '덜덜', '발전', '더욱더', '고체', '강의', '배우는사람', '낙심', '칭찬', '열정', '더욱', '성장', '카카', '화이팅']","['인하다', '재미있다', '유익하다', '이다']","['보다', '하다', '대다', '하다', '보이다', '하다', '않다', '알다', '되다']"
진짜 감차달인 고체티노!! 자세히ㅜ강의 되있어서 너무 좋았습니다!!! 좋은영상 많이 올려주세요~,"['감차', '달인', '고체', '티노', '강의', '영상']","['자세하다', '좋다', '좋다']","['되다', '올려주다']"
"이렇게만 하면 나도 왼발을 잘쓸수있을까??
고체티노 넘 잘가르치신다.
파이팅!!","['왼발', '고체', '티노', '파이팅']",['이렇다'],"['하다', '나다', '잘쓰다', '넘다', '가르치다', '신다']"
이거 믿어도됨니까 사기아님니까이거?ㅜㅜ저렇게 향상되다니... 갑자기 저도 선천적으로 슛쓰인데 희망이보이기시작됩니다ㅎㅎ,"['기아', '향상', '갑자기', '선천', '슛', '희망이', '시작']",[],"['믿다', '되다', '되다', '쓰이다', '보이다', '되다']"
카카 PD 뭐야?!!!진짜 잘찼다,['카카'],[],['차다']
"보는중:와 (고체티노 너무잘참 나도할수있을겄같음
하는중:와..(내실력에 감탄 ㅆ..)","['중', '고체', '티노', '겄', '중', '실력', '감탄']",['같다'],"['보다', '오다', '차다', '나다', '하다', '하다', '오다']"
고체티노 티칭 아주 조아,"['고체', '티노', '티칭', '아주']",[],[]
와 진짜 궤적이 엄청 나네요 ㅎㄷㄷ 저도 오늘 축구하러 가는데 이 방법대로 해볼게요,"['궤', '오늘', '축구', '방법']",[],"['오다', '나다', '하다', '가다', '해보다']"
"역시 왼발은 고체티노님이죠!!
슈팅만 잘 하시는줄 알았는데 강의도 잘 해주시니 확실히 전문가라는 생각이 더 듭니다.
카카님도 고체티노님도 화이팅!!","['역시', '왼발', '고체', '티노', '슈팅', '강의', '해주시', '전문가', '생각', '듭니', '카카', '고체', '티노', '화이팅']",['확실하다'],"['자다', '하다', '알다', '자다']"
고체티노 카카 합방은 뭐다? 고 카 인!,"['고체', '티노', '카카', '합방', '고', '카', '인']",[],[]
"진짜 나한테 필요했던거네요
슛팅연습때 진짜 못차는데...
실전할때는 슛팅이 괜찮게 나와서 연습을 안한다는 약점이 ㅎㅎ","['슛팅', '연습', '실전', '슛팅', '연습', '약점']","['필요하다', '괜찮다']","['차다', '하다', '나오다', '하다']"
"근데 카카PD가 이해를 진짜 잘하는것가틈 솔직히 이건 ㅇㅈ해야됨 
가르치는 사람도 힘이 날듯","['카카', '이해', '틈', '사람', '힘']",['솔직하다'],"['가다', '하다', '하다', '되다', '가르치다', '날다']"
"나도 고알레멤버였으면 좋겠다ㅋㅋㅋㅋ개인강의 완죤부럽네
제가 골키퍼인데 골키퍼팁도 한번 해주시길 바랍니다!","['알레', '멤버', '개인', '강의', '완죤부럽', '골키퍼', '골키퍼', '팁', '한번']",['좋다'],"['나다', '이다', '해주다', '바라다']"
반대발을 잘못찼는데 이거보고 연습해야겠어용 ㅎ,"['대발', '보고', '연습']",[],"['차다', '하다']"
고체티노 감독님이 4가지로 잘 정리해줘서 이해하기 너무 좋네요👍 준비동작 후 임팩트때 150% 힘 주는 것도 꿀팁🍯🍯 고알레 항상 고마워요😍,"['고체', '티노', '감독', '가지', '정리', '이해', '준비', '동작', '임팩트', '힘', '꿀팁', '알레', '항상']","['좋다', '고맙다']","['자다', '해주다', '하다', '주다']"
내왼발은 거들뿐,"['왼발', '뿐']",[],['거들다']
"나이가 51인데 자주 들어와서 보고 배웁니다. 
주로 미드필더에서 뛰거나 윙으로 뛰는데
슛챤스가 날때는 사실 머뭇거리게 되는데
오늘 배운대로 경기때 해보겠습니다.
코로나로 2주간 경기장을 못가서 아쉽지만 
볼로 연습많이 하겠습니다.","['나이', '자주', '보고', '주로', '미드필더', '윙', '슛챤스', '날때', '사실', '오늘', '경기', '코로나', '주간', '경기장', '볼', '연습']",['아쉽다'],"['들어오다', '배우다', '뛰다', '뛰다', '머뭇거리다', '되다', '배우다', '해보다', '가다', '하다']"
고체티노~행님~디딤달강의 잘 봤습니댜~~,"['고체', '티노', '행', '달', '강의', '봤습니댜']",[],"['디디다', '자다']"
"저도 왼발감차는 이상했는데 이 영상을 보니까 더
잘 슈팅이 됩니다.매일매일 좋은 영상 감사합니다.","['왼발', '감', '영상', '보', '슈팅', '매일', '영상']","['이상하다', '좋다']","['차다', '자다', '되다', '감사하다']"
저도 꼭 슈팅 연습 열심히 해서 좋은 궤적과 파워를 만들 수 있도록 노력하겠습니다,"['꼭', '슈팅', '연습', '궤', '파워', '노력']","['좋다', '있다']","['하다', '만들다', '하다']"
"고체티노 교육론에 감명받았습니다.
오늘도 많이 배웠다...","['고체', '티노', '교육', '론', '감명', '오늘']",[],"['받다', '배우다']"
발목이 아작났지만  빨리 회복해서 한번 해볼게요!!,"['발목', '아작', '한번']",['회복하다'],"['나다', '해보다']"
확실히 끝까지 몸을 앞으로 밀어주는게 좋은거같아요 힘이 그대로실려버리네요,"['끝', '몸', '힘', '그대로']","['확실하다', '좋다', '같다']","['밀다', '실리다', '버리다']"
고체티노 그의 능력이란... 진짜 슈팅 많이 좋아졌네요,"['고체', '티노', '능력', '슈팅']",[],['좋아지다']
11:02분 카카PD눈빛ㅋㅋㅋㅋ,"['카카', '눈빛']",[],[]
"고감독님이 알려주고 카피디가 됐으니 나도 읍읍,,","['감독', '카피', '디', '읍읍']",[],"['알다', '돼다', '나다']"
저는 윙인데 드리블만 잘 하고 슛팅은 자신감이 없습니다.하필이면 연습할기회가 있는 축구시합인데 요즘코로나때문에 축구하지도 못하고 하지만 이 꿀팁영상보고 힐링하고 갑니다.,"['윙', '드리블', '슛팅', '자신감', '하필', '이면', '연습', '기회', '축구', '시합', '요즘', '코로나', '때문', '축구', '못', '꿀팁', '영상', '보고', '힐링']","['없다', '있다']","['자다', '하다', '하다', '하다', '가다']"
지린다 약발러들에게 희망을,"['린다', '희망']",['약바르다'],['들다']
왼발은 역시 고체티노,"['왼발', '역시', '고체', '티노']",[],[]
"고선생님 핑크가 잘 어울리시네요 
역시 남자의 색깔","['선생님', '핑크', '역시', '남자', '색깔']",[],"['자다', '어울리다']"
재밌고 쉽게 알려주셔서 따로 학습하기에도 충분할 거 같아요!,['학습'],"['재밌다', '충분하다', '같다']","['쉬다', '알다', '하다']"
0:50 레전드,['레전드'],[],[]
3:02 고채티노 다리에 자국무엇ㅋㅋ,"['채', '티노', '다리', '자국', '무엇']",[],[]
고체티노 ㄷㄷ,"['고체', '티노']",[],[]
감아차기가 잘 안되는데 이 영상 보면서                              많이 연습 가야겠네요 좋은 영상 감사합니다,"['차기', '영상', '연습', '영상']","['안되다', '좋다']","['감다', '자다', '보다', '가다', '감사하다']"
항상 자세하고 재밌고 유쾌하게 알려주셔서 감사합니다.,['항상'],"['자세하다', '재밌다', '유쾌하다']","['알다', '감사하다']"
디딤발의 위치를 보통 주먹하나 기준 영상들을 많이 봤는데 고체티노님이 말씀하신 자기다리길에 맞게 하는것도 참 좋은 티칭인 거 같네요 감사함돠!!ㅎㅎ,"['발의', '위치', '보통', '주먹', '하나', '기준', '영상', '고체', '티노', '말씀', '길', '티칭', '돠']","['좋다', '같다']","['디디다', '보다', '하다', '자다', '맞다', '하다', '차다', '감사하다']"
고체티노 너무 재밌어요 ㅋㅋ,"['고체', '티노']",['재밌다'],[]
고체티노는 이제 예능인이넼ㅋㅋ,"['고체', '티노', '이제', '예능인']",[],[]
캬 오늘도 좋은 정보 감사합니다ㅋㅋㅋ,"['캬', '오늘', '정보']",['좋다'],['감사하다']
"초3  아들둔 아빠입니다.
영상 잘보고 있구요 당첨되믄  축구하러 보내준다고 합니다 
도와주십쇼","['초', '아들', '아빠', '영상', '당첨', '축구', '쇼']","['이다', '있다']","['두다', '보다', '되다', '하다', '보내다', '하다', '도와주다']"
저도 요즘 감차연습하고있는데 왼발이여서 더욱 감하삽니다,"['요즘', '감', '차연', '왼발', '더욱']",['습하다'],"['가다', '사다']"
항상 자세하게 알려주셔서 감사합니다ㅜㅜ저도 감차 성공햇어요ㅎㅎ,"['항상', '감차']","['자세하다', '성공하다']","['알다', '감사하다']"
궤적 미쳤네,['궤'],['미치다'],[]
고알레중에고체티노감독님이젤조아여,"['알레', '고체', '티노', '감독', '젤']",[],[]
"와 나도 고체티노 교육 받고 싶다..!
카카 슛 궤적 미쳤어요!!!","['고체', '티노', '교육', '카카', '슛', '궤']",['미치다'],"['오다', '나다', '받다', '싶다']"
고체티노 진짜 선생님 같아요ㅋㅋㅋ 포인트만 딱딱 알려주니까 이해가 잘 되네요,"['고체', '티노', '선생님', '포인트', '이해']",['같다'],"['알다', '자다', '되다']"
이론적으로도 딱딱 필요한거 알려주신거 감사합니다ㅎㅎ 잘보고있어요~!,['이론'],['필요하다'],"['알다', '주다', '감사하다', '보다']"
역시 고체티노...ㄷ ㄷ,"['역시', '고체', '티노']",[],[]
와 진짜 궤적미쳤따 ㅋㅋㅋㅋㅋㅋ 아디다스 축구화도 간지나고 효과있네,"['궤', '아디다스', '축구화', '효과']","['미치다', '있다']","['오다', '따다', '간지나다']"
와 역시 축구의 기본은 꾸준한 끈기와 연습이네요 ㅎㅎ,"['역시', '축구', '기본', '끈기', '연습']",['꾸준하다'],['오다']
저거 축구화 너무 부럽다ㅠㅠㅠㅠ 팬츠 저 주세욯ㅎㅎ 화요일에 제 생일인데요ㅠㅠㅠㅠ,"['축구화', '팬츠', '화요일', '생일']",['부럽다'],['줄다']
유쾌한 고체티노님 강의  ㅎ,"['고체', '티노', '강의']",['유쾌하다'],[]
"오랜만에 60fps이네요
앞으로도 계속 60fps로 올려주세요 보기가 훨씬 좋내요","['계속', '보기']",['좋다'],"['이다', '올려주다']"
2등잉다,[],[],[]
슈팅 ㄷㄷ,['슈팅'],[],[]
저도 카카처럼 윙인데 왼발이안되서 못넣은적이 많았는데 이 영상을 보고 열심히 연습하고 많이차보고 축구도 열심히해야겠네요 앞으로도 아런영상많이올려주세여~~,"['카카', '윙', '왼발', '적', '영상', '보고', '연습', '차보', '축구', '런', '영상']","['안되다', '많다']","['넣다', '하다', '올려주다']"
송송팬츠🥰,"['송송', '팬츠']",[],[]
8:08 궤적 뭐지,['궤'],[],[]
축구 진짜 관심 많고 축구에 죽고 축구에 살았었는데 선수 생활 접고 고알레 자주 챙겨 보면서 훈련하고 대리 만족 하고 있어요ㅠㅠ 앞으로 영상 잘 챙겨 볼게요 항상 화이팅!!,"['축구', '관심', '축구', '축구', '선수', '생활', '알레', '자주', '훈련', '대리', '만족', '영상', '항상', '화이팅']","['많다', '있다']","['죽다', '살다', '접다', '챙기다', '보다', '하다', '자다', '챙기다', '보다']"
카카pd슛팅=내슛팅 저도 고체티노에게 배우고싶어요 ㅎㅎ 슈팅이 확좋아지네 ㅎㅎ,"['카카', '슛팅', '슛팅', '고체', '티노', '슈팅', '확']",[],"['배우다', '좋아지다']"
"우와 ㄷㄷ 엄청 빨리 왔네요 ㅋㅋ 30초전
선 댓글 후 감상 ㅎㅎ 기분이 좋네요","['선', '댓글', '감상', '기분']",['좋다'],['오다']
많은 도움 받고 갑니다^^ 축구화는 어떤걸 신어야 하는지 알려주시믄 안돼나요? 싸구려 축구화신는다고 맨날 혼나네요^^;,"['도움', '축구화', '걸', '신어', '싸구려', '축구화']",['많다'],"['받다', '가다', '하다', '알다', '돼다', '신다', '혼나다']"
카카성님 존잘 사랑합니다❤️ 항상 다치지말고 행복한 축구하세요!,"['카카', '성', '존잘', '사랑', '항상', '축구']",['행복하다'],"['하다', '다치다', '하다']"
왼발의 달인이 될꺼 같습니다~화이팅~,"['왼발', '달인', '화이팅']",['같다'],['되다']
힘든 시국에서도 열심히 촬영해주셔서 감사합니다 덕분에 재밌게 보고있어요 !!!ㅎㅎ,"['시국', '촬영', '덕분']","['힘드다', '재밌다']","['해주다', '감사하다', '보다']"
항상 영상보면서 이미지트레이닝하고있습니다!! 연습도같이해야하는데말이죠..ㅎㅎㅎ 좋은 원포인트강습 감사합니다!!,"['항상', '영상', '이미지', '트레이닝', '습도', '포인트', '강습']","['있다', '좋다']","['보다', '하다', '감사하다']"
오늘도 고생하셨습니다 행님 ~~~~,"['오늘', '고생', '행']",[],['하다']
카카카카카카 굿,"['카카', '카', '굿']",[],[]
슈팅 후 몸이 뜨는 제 단점을 알게 되어서 너무 좋네요ㅎㅎ,"['슈팅', '몸', '단점', '알']",['좋다'],"['뜨다', '되어다']"
무쳤다... 너무 이쁘고.. 너무 꿀팁이고...,['꿀팁'],['이쁘다'],['무치다']
