comment,noun,adj,verb
이번 영상은 제작하면서도 참 감회가 새로웠습니다. 온 국민의 가슴을 떨리게 했던 이 순간들이 다시 오기를 희망합니다!,"['이번', '영상', '제작', '감회', '온', '국민', '가슴', '순간', '다시', '오기', '희망']",['새롭다'],"['하다', '차다', '떨리다', '하다', '하다']"
"와.. 싱크로율 무엇ㄷㄷ
다시 봐도 소름 돋습니다!!!
 
02:55 이 장면만 찾으면서 봤다.. 레게노 지성팍.... 
05:30 이 때 골대 맞고 안 들어갈까봐 겁내 쪼렸음
 
01:18 세계 최초 깡드리블 ㅋㅋㅋㅋㅋ
03:46 이건 너무 다른데?ㅋㅋㅋㅋㅋ","['싱크로', '율', '무엇', '다시', '소름', '장면', '레게', '노', '지성', '골대', '겁내', '쪼렸음', '세계', '최초', '깡', '드리블']",['다르다'],"['오다', '보다', '돋다', '찾다', '보다', '맞다', '들어가다']"
다들 2002년 월드컵 보고 축구선수의 꿈을 키웠지 ㅋㅋㅋㅋㅋㅋ,"['월드컵', '보고', '축구선수', '꿈']",[],"['들다', '키우다']"
4:08 깨알같은 천수타 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['깨알', '타']",['같다'],[]
"2002년이면 제가 태어나기 전이지만
kbs,sbs 스포츠채널같은데에서 2002년 경기들 자주 해줘서 봤는데 지렸네요ㄷㄷ
again 2002!!!","['전이', '스포츠', '채널', '경기', '자주']",['같다'],"['태어나다', '해주다', '보다', '지리다']"
???: 이운재 쭉쭉쭉 막았어여!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"['이운재', '쭉쭉쭉']",[],['막다']
"한국 클라쓰가 다르고 그 클라쓰는 영원 하다
이태원 클라쓰 놉
코리안 클라쓰 예쓰 예쓰
오필승 코리아!","['한국', '영원', '이태원', '놉', '코리안', '필승', '코리아']",['다르다'],"['크다', '쓰다', '크다', '쓰다', '하다', '크다', '쓰다', '크다', '쓰다', '쓰다', '쓰다']"
5:27 와 짭드 얼굴ㅋㅋㅋ이운재 선수랑 너무 닮았네요ㅋㅋ 제2의 짭재,"['짭드', '얼굴', '이운재', '선수', '재']",[],"['오다', '닮다', '짜다']"
안정환 클로즈업 장면에 재근이 자꾸 나와서 정말 현실반영 제대로 한 고퀄영상인것 같습니다^^,"['안정환', '클로즈업', '장면', '재', '자꾸', '정말', '현실', '반영', '제대로', '퀄', '영상']",['같다'],"['나오다', '하다']"
"난 이래서 이때의 멤버가 좋다. 박지성, 설기현은, 유상철, 황선홍, 안정환 이런 선수들의 눈빛에서 간절함이 느껴지지 않는가?! 지더라도 최선을 다해서 끝까지 이악물고 한다. 그때 그 시절 우리나라 선수들, 기억해 주길 바란다.","['난', '멤버', '박지성', '설기현', '유상철', '황선홍', '안정환', '선수', '눈빛', '최선', '다해', '끝', '그때', '시절', '우리나라', '선수', '기억']","['좋다', '이렇다', '간절하다']","['느껴지다', '않다', '지다', '악물다', '하다', '하다', '주다', '바라다']"
