,youtube_id,comment,like_num
0,JK아트사커온라인,"To. English People
Please Study Korean❤️

To. 한쿡인
영어로 댓글 박자 외쿡인 친구들이 볼거야 아마도?ㅋㅋ",85개
1,ChulhwanO,형님 나중에 인생 스토리 좀 풀어주세요 이 정도 실력에 과거 호날두에게 기술을 배울 정도면 형님 인생 스토리가 굉장히 궁금합니다,109개
2,막스피드,재근 is sometime jk art soccer comeout but hi's bery be funny,5개
3,제주삼다수,"4:27 ""LEGENO""",42개
4,로로군,5:40 청소년 이용 불가,7개
5,찬,"Modric doesn't have shooting skills





Of course it is zzapdric",24개
6,JYK,9:06 시먼 은퇴 전 레전드 경기 보는것 같네,8개
7,이동국,jk brotheris soccer very well!!!!!!!!!,5개
8,legendsoccer전설축구,한국어 자막 키고 봐보셈 ㅋㅎㅋㅎ,4개
9,주현우,9:00 angle sense,9개
10,내구독자수너가오늘길바닥에서주울돈,썸네일 짭드리치 두명,8개
11,최규대,제이 케이님 아카데미 가성비 축구화 리뷰 부탁해요유ㅠㅠㅠㅠ,11개
12,샐러드조와,9:02 카메라 ㅋㅋㅋㅋㅋㅋ,5개
13,임건도,9:24 ㅋㅋㅋㅋㅋㅋㅋㅋ,4개
14,짱임호날두무회전이,진짜 재밌게 잘 보고 있어여.고를로스 잘생겼다,5개
15,엄상윤,I love it JK!!,4개
16,GK우련생,"Hi, foreign friends. I am Korean. JK told us to write comments in foreign languages. The penalty is Giant Swing, so I had to write it in foreign languages. Anyway, enjoy watching JK YouTube and love you.♡",13개
17,비와이,오 오랜만에 재근이 형 나왔누,3개
18,김주영,"아닠ㅋㅋ 댓글은 다 한국인이 다는데 영어밖에 없엌ㅋㅋㅋ
제가 한마디만 할게요




I ♥️ you JK
JK art soccer online 서브스크라이브(?) and like😆",5개
19,성형래,ㅋㅋㅋㅋㅋㅋㅋ 역시 오늘도 재밌는군,2개
20,MWB,"짭드리치 소리좀 어떻게 안되나,,, 매번 볼때마다 엄마가 이상하게 쳐다봐요 ㅠㅠㅠㅜㅠ",4개
21,정한결,사랑해요 JK♡,2개
22,멍멍,Yo—bro~~ beautiful,2개
23,mincelium,What a goal!!🤣,1개
24,쭌팍미춋다,좋아요쿠톡뿌탁드려요,3개
25,이건희,wow young a very a hard.,1개
26,이온,You deserve more views. Amazing contents u made. Your skills r really awesome. More contents on instagram plz🙏🏻,2개
27,HJS,"Hey you, Yeah you",1개
28,서현우,"Anhi  jincha  da yeong aㅓs ni ka mot r  aㅏ muk get jan aㅏ

(대충 ""아니 진짜 다 영어쓰니까 
못 알아 먹겠다는"" 뜻)",3개
29,jaemin,"5:35 He is





Sterling",6개
30,홍인표,와 이렇게 모든멤버들이 슈팅대결하는거 진짜 오랜만이다,1개
31,유관호,JK님 네이마르 감차 차는법 좀 알려주세요~~글고 코로나 조심하세요~~,2개
32,송민재,"5:49 jjab cat?
""Ho nyaong""",1개
33,김지윤,"He is K.B.S.




KOREAN
BEST
SOCCER YOUTUBER",32개
34,변윤세,아니 대채왜  엄마가 이사람처럼 영어좀 잘하라는거야,4개
35,정미경,ㅋㅋ진짜 영어듣기 평가네! ㅋ,1개
36,짭커러리,댓글이 왜 다 영어야ㅋㅋㅋ 영어울렁증 걸리겠네ㅋㅋㅋㅋㅋ,1개
37,하정민,행님들 코로나19 조심해하면서 축구영상 올리세요~~,3개
38,금요일,JK❤️,2개
39,서영준,wow! wonderful soccer Youtuber.,3개
40,박00,저절로 한국어가 나오게하는 고를로스와 jk wow!!!!!,2개
41,강록영,godon billion go,2개
42,동혁1607,"9:01
He has manners",1개
43,박캔디,오아아아아아ㅏㅇ우우우아,1개
44,이승용,@9:02 호우할때 카메라 돌리는거 개웃기넼ㅋㅋㅋㅋ,0개
45,,5:14 황소감차라 했다가 영상컨셉상 편집한거 같은데 ㅋㅋㅋㅋ,0개
46,wsc,이런거 많이 했으면 좋겠어요 ㅠㅠㅠㅠ 너무 재밌고 유익하고 스트레스 풀리네요 감사합니다😁😁,1개
47,GKC,댓글 대부분이 영어네요ㅋㅎㅋㅎㅋㅎ,0개
48,전규민,5:40 Wow manjigosipa,4개
49,쭌원둥tv,4분 32초 슛팅 ㅎㄷㄷ,1개
50,이준형,JK님 지뉴 프리킥 알려주세요 ~,1개
51,서현진,5:36 스털링? ㅋㅋㅋ,0개
52,안서찬,3:01 안들어감ㅋㅋㅋㅋㅋ,0개
53,bj길,"1:55 언제나 봐도 빛나는 그의.. 
ㄲㅌ",5개
54,로로군,5:14 ㄹㅇ 놀란 표정,1개
55,홍석준,ㅋㅋ 짭드리치 너무 재밌어여~~~♡♡,1개
56,권영훈,영어 잘몰라여 ㅋㅋ,1개
57,강산,형 외대왔었네 코로나 시기 끝나면 몇번 와줘 10분이면 가니까 찾아갈게♡,1개
58,사람,"5:35
재근’s 트월킹",0개
59,축구홍빈,신박한 컨텐츠닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
60,leesunho,9:02 편안~,1개
61,,HE KOREAN NUMBER 1 TO FREESTYLE AND THE 1VS1 DRIBBLE WORLD CLASS AND HE HANDSOME POTATO(?),11개
62,크라킼YT크라팈YT,다영어 잘하넼 wow good soccer oh! My God,2개
63,달려whatisit,ㅋㅋㅋ 그냥 원너민 뺨치네,2개
64,billiebillie,"짭드리치 : cancel ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
도랏맨ㅋㅋㅋㅋㅋㅋㅋ",0개
65,나구독하면2021년반배정잘됨,오프닝 무슨 컨셉? ㅋㅋㅋ,2개
66,임동찬,0:30 와....형 영어 되게잘해....원어민인줄알았어......,0개
67,몰라,한국어 써야즤 ㅋㅋㅋㅋ,1개
68,3416임상혁,legendery jk,1개
69,ihateyou3000,"OMG, you are the best soccer youtuber that i ever seen in my life!




솔직히 하트 안달아주면 사람도 아니다",4개
70,황민석,9:03 큰일날뻔했네,1개
71,볼리베어Thunderbear,OK JK I will study Korean hard,1개
72,이승주,재근엉덩잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개
73,서은율,처음에 고를로스 키 큰줄 ㅋㅋㅋㅋㅋㅋㅋ,0개
74,사람,우와 궤적 보소 후덜덜~,0개
75,이재율,You know??? You're  very good at soccer,2개
76,,5:09 오우 쫩드리이취!!!,0개
77,한찬희,JK형 축구선수 됬으면 손흥민보다 유명해졌을 듯,3개
78,김성민,와우 역시 jk클라쓰가 다르네,1개
79,박진서,형 퓨마 좋아하시니까 퓨처 5.1 리뷰 해줘용,0개
80,이동국,thank you jk brothermy favorite freestyle soccer player is you jk brother!!!!!!,4개
81,서찬빈,9:55 손 위치 무엇???,0개
82,,0:19  하두 귀 잡혀서 귀에피난줄알았자너,0개
83,강록영,he is  korean no 1 youtuber,2개
84,문규필의6,형 영상 많이올라와서 너무 좋아요 ❤️🧡💛💚💙,0개
85,JSShin,외국구독자 기대했는데 댓글 거의 한국인ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개
86,구릇게임,외국 노려요?ㅋㅋㅋ,0개
87,험멜축구아카데미축구하는김선생,재밌게  축구한다아~~~^^,1개
88,TOPGUN,인성갑 짭드리치님... 사랑해요 ^^,0개
89,민식이와게임,초반에 영어 뭐야ㅋㅋ,2개
90,00,매일 재밌게 보고있어요. 코로나 조심하세요ㅠ,0개
91,백종민,0:23 엄마?,0개
92,파란기린YT팀기린,아...1등ㄲㅂ,0개
93,마드리드의주인AT마드리드,10:32 학교에서 성공하면 인싸됨 다만 성공하지 못해도 인싸됨,0개
94,성준tv,"Thank you for making this video
Oneday we might play soccer together 
Thank you JK",1개
95,날강두,Hey adama 2  new 영상?,0개
96,포구,jk said youngsangleega sejagdhyemonn youngaaro speak hale,3개
97,김정태,빨리 왔다 ㅎㅎ,0개
98,닥치세요,2:57 이런 감차 강의는 없나요?,0개
99,로드동현,짭헤아(짭드리치데헤아),1개
100,구독안해주면이벌레가집에찾아감,코파 리뷰 점요 ㅠ,0개
101,나눈가루야,0:5 에 나오는 브금이름이 뭐에요?,0개
102,이승헌,제케님감차가 ㅎㄷㄷ,0개
103,박준혁,마덜리치 베뤼 노 햄썸 앤드 제이케이 베뤼 어글리 햄썸,2개
