닉네임,댓글,좋아요수,날짜
JK아트사커온라인,"벌써부터 4편에서 
도전해야 할 기술들이 두렵군요

JK스타그램👉 JKartsoccer
JK후드집업👉 https://bit.ly/2V3j446
JK페이스북👉 JK 아트사커 아카데미
JK티잌토옼👉 JKartsoccer_tictok",50개,2020. 5. 2.
식짱TV맛집탐방,"이번 영상은 마치..
관짝춤을 추고 싶어서 만든 영상같군요..😆",7개,2020. 5. 2.
고를로스,Jk사랑해요❤️❤️🥕❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤🥕️❤️❤️❤🥕️❤️❤️,60개,2020. 5. 2.
TOPGUN,짭드리치 인간성 너무 좋아보임... 친하게 지고 싶당 ^^,60개,2020. 5. 2.
장희윤,0:36 fly amirates 협찬이가 ㅋㅋㅋㅌ,11개,2020. 5. 2.
젤리쪽쪽,9:55부터 아임 뚜렛ㅋㅋ,2개,2020. 5. 2.
호날두는벤치가딱이야,6:37 ㅋㅋㅋㅋ은근 잘 어울림ㅋㅋㅋ,17개,2020. 5. 2.
동네축구형TV,5:52 관짝 ㅋㅋㅋㅋㅋ,10개,2020. 5. 2.
KING도현,재근챈코가 인자기 빙의해서 골대 맞추는게 젤 재밌눜ㅋㅋㅋㅋㅋㅋ😝😝😝,5개,2020. 5. 2.
최건,2:11 jk이건 찢었다 자석마냥 발등에 붙어버리네,7개,2020. 5. 2.
김동윤,1:19 여기 어마무시인데 뭔 인도 말인줄 암ㅋㅋㅋ,2개,2020. 5. 2.
jwsoccertv,"영상 넘 재밌게 보고 있어요 항상 응원합니다 구독은 무료입니다





그러니까 구독",3개,2020. 5. 2.
장재원,6:34 ㅋㅋㅋ 표정 무엇ㅋㅋ,1개,2020. 5. 2.
조창근,ㅋㅋ 딱밤 ㄹㅇ로다가 에누리없네 역시 JK가족 의리!,6개,2020. 5. 2.
바다,2:30 오늘도 꿀잼 편집 감사합니다  JK 아트사커 온라인 구독과 좋아요 알림설정까지 부탁드립니다🙏🙏🙏,1개,2020. 5. 2.
KongJinkong,8:26 내 귀에 침들어감,1개,2020. 5. 2.
손예찬,"못 맞췄쥐뤄뤙 ~~ ㅋㅋㅋㅋㅋㅋㅋ
(짭드리치 유니폼 뭔가 간지남 ㅋㅋㅋ)",1개,2020. 5. 2.
구독모도쌀짱,"와!!!JK다!!!관짝밈 ㅋㅋㅋㅋㅋㅋ
Jk=축구 연구가!!!",1개,2020. 5. 2.
WalterKorea,축구 기술이 신박하누ㅋㅋ,1개,2020. 5. 2.
하이,관짝하려고 이 영상 만들줄 ㅋㅋㄱㅋ,1개,2020. 5. 2.
박건우,6:23 여기서 하는건 걍 하는게 벌칙인거 같은뎈ㅋㅋㅋㅋㅋ,2개,2020. 5. 2.
현빈신,아 ㅋㅋㅋㅋㅋㅌㅋㅋㅋㅌㅌㅌ 관짝춤 진짜 아 ㅠㅠㅠㅠㅠㅠㅠ 진짜 웃기네 ㅋㅌㅋㅋㅋㅌㅋㅋㅋㅋㅌㅌㅌㅌㅌㅌㅋㅌ😂😂😂,0개,2020. 5. 2.
민경훈,5:53ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3개,2020. 5. 2.
kkkim,관짝ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ jk형님 축구 배우고 싶습니다....너무 멋있어요..ㅠㅠ♥,0개,2020. 5. 2.
시후,앜ㅋㅋㅋㅋ JK님 오늘 영상도 너무 꿀잼이네요ㅋㅋㅋㅋ 특히 고를로스님 벌칙할때 관짝 패러디 하는거 겁나 웃겼어욬ㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
JJack,4:24 발음 무ㅓ야ㅋㅋㅋㅋ,0개,2020. 5. 2.
EXIONKR,아 이번영상 ㅋㅋㅋㅋㅋ관형들때매 개웃기네,0개,2020. 5. 2.
보캐미,7:42 나 이거 하다가 방광 다쳐서 오듐에서 피나옴 ㄷㄷ,0개,2020. 5. 2.
김다훈,9:49때너무웃김ㅋㅋㅋ,0개,2020. 5. 2.
류시석,이번영상은 관짝땜시 웃음이2배ㅋㅋㅋㅋ,0개,2020. 5. 2.
SUN,Jk 진짜 뭐 다 잘하네 ㅋㅋㅋ,0개,2020. 5. 2.
재혁,"관짝벌칙 너무 웃기곸ㅋㅋㅋㅋㅋ
고를로스 유니폰 갖고 싶다....",1개,2020. 5. 2.
,다 플라이 에미레이트네ㅋㅋㅋ,0개,2020. 5. 2.
배상현,웃다 토하는줄~~~ㅋㅋㅋㅋ,0개,2020. 5. 2.
챔스우승리버풀,Zl룟따 레전드 오브 레전드~~,0개,2020. 5. 2.
김기환,ㅋㅋㅋㅋ아닠ㅋㅋ 이 형들 갑자기 초반 코리안 댄스타임 똘끼와 최신 유행을 반영한 관짝밈 벌칙까지 ㅋㅋㅋ 보는 내내 재밌었닼ㅋㅋㅋㅋ,0개,2020. 5. 2.
이시연,와..4분다ㅜ너무 잘하시네요...,0개,2020. 5. 2.
assanam3341,재근이형  진짜 인자기 맞네. ㅋㅋㅋ,0개,2020. 5. 2.
이우진,ㅋㅋㅋ역시 재미있어.,0개,2020. 5. 2.
박선애,ㅋㅋ관짝춤ㅋㅋㅋㅋ,0개,2020. 5. 2.
진성우,6:29고를 남자답게 해야죸 ㅋㅋㅋㅋ,0개,2020. 5. 2.
니얼굴소세지,재근이 불쌍ㅠㅠ,0개,2020. 5. 2.
황승원,관짝밈ㅋㅋㅋㅋㅋ,0개,2020. 5. 2.
이준우,ㅋㅋㅋㅋㅋㅋㅋ 고를로스 졸귀,0개,2020. 5. 2.
