comment,noun,adj,verb
"쌤 2주 챌린지 시작 하시더니 원래도 탄탄했던 바디 쉐입이 탄탄해진 것 같은 느낌이! 영상으로 느껴져요! 그리고 스모스쿼트는 어디에 집중을 하고 운동을 해야하는지 궁금했었는데 이런 영상을,,! 어쩔땐 엄청 힘들고 어쩔땐 이게 운동인가싶을 정도로 안 힘들 때도 있더라구요. 토요일에 시험 끝나니까 다시 공복 운동으로 화이팅 해 볼게요 ♥️🙏🏻","['쌤', '주', '린지', '시작', '원래', '바디', '쉐입', '느낌', '영상', '스모', '스쿼트', '어디', '집중', '운동', '영상', '땐', '땐', '운동', '정도', '토요일', '시험', '다시', '공복', '운동', '화이팅', '해']","['탄탄하다', '탄탄하다', '같다', '궁금하다', '이렇다', '힘들다', '힘들다', '있다']","['채다', '하다', '느껴지다', '하다', '하다', '싶다', '끝나다', '보다']"
하나쌤만 보면서 동작 하고 있으면 왠지 나도 탄탄한 근육걸 된 기분인데 잘못해서(?) 거울 보면 급 현타 와요.... 저도 열심히 하면 하나샘처럼 될 수 있겠죠?ㅠㅠ,"['하나', '쌤', '동작', '근육', '걸', '기분', '잘못', '거울', '급', '타', '하나', '샘']","['있다', '탄탄하다', '있다']","['보다', '하다', '나다', '되다', '하다', '보다', '오다', '하다', '되다']"
"선생님 내일부터할....







...수있을까요?","['선생님', '내일']",['있다'],['하다']
"강샘 운동 1 데이 클리어!! 다리가 덜덜거리지만 허벅지 사이즈가 줄어든다면야!! 
영상 감사합니다.  💗💗","['강샘', '운동', '데이', '클리어', '다리', '덜덜', '거리', '허벅지', '사이즈', '영상']",[],"['줄어들다', '감사하다']"
힘들지만 선생님이 활기차게 이끌어주셔서 시간가는줄 모르고 열심히 따라했어요!! 땀이 후끈후끈!! 오늘도 감사합니당 ㅎㅎ❣️,"['선생님', '시간', '땀', '후끈', '후끈', '오늘']","['힘들다', '활기차다']","['이끌다', '가다', '모르다', '따르다', '하다', '감사하다']"
발 방향 바꿀 때 무릎에서 우드득하고 소리가 나는데 아프진 않아요ㅜㅜ 괜찮은건가요?,"['발', '방향', '무릎', '소리', '건가']","['아프다', '괜찮다']","['바꾸다', '하다', '나다', '않다']"
자꾸 무릎이 앞으로 발사돼요,"['자꾸', '무릎', '발사']",[],['돼다']
내일 오전운동은 이것으로 시작합니다!,"['내일', '운동', '시작']",[],['하다']
누워서 보는데도 무셔...,[],[],"['눕다', '보다', '물다']"
"언니 100개가 아니라 200개 아니에여......? ㅠㅠㅠㅠㅠㅠㅠㅠㅠ



매트가 밀려서 그렇지 효과는 좋을 것 같아요
근데 다음날 못 걸을듯ㅋㅋㅋㅋㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈","['언니', '개', '개', '매트', '효과', '다음', '날', '못']","['아니다', '아니다', '그렇다', '좋다', '같다']","['밀리다', '걸다']"
"어제 술 거하게먹고 속죄하는 마음으로다가 다리뿌시러왔습니다🖐
쌤 이거 너무힘든데....요...? 죽을거같은데 샘 허벅지 갈라지는게 너무섹시해서 저다리가 내다리다..라는생각으로했어요
6/6⭕","['어제', '술', '속죄', '마음', '다가', '다리', '뿌', '쌤', '샘', '허벅지', '다리', '생각']","['시르다', '힘드다', '같다', '섹시하다']","['하다', '먹다', '하다', '오다', '죽다', '갈라지다', '내다', '하다']"
와이드스쿼트보다 재밌어요 ㅋㅋ 신난다. 오늘 도넛츠 먹었는데. 낼부터 3일은 디톡스하고...소식이랑 하나쌤 운동 욜심히 해야죠! 우하하하하하하하하,"['와이드', '스쿼트', '오늘', '도넛', '츠', '낼', '디톡스', '소식', '하나', '쌤', '운동', '우하하하']","['재밌다', '신나다']","['먹다', '하다']"
1일1강 조심히 잘 해보겄습니닷,"['강', '조심', '겄습', '닷']",[],"['자다', '해보다']"
"오늘부터 매일 2주동안 갑니당!!
6/4⭕️
6/5⭕️","['오늘', '매일', '동안']",[],['가다']
오와....와이드백개도 힘들게 했는데 내일은 이걸로 하체 뿌숴야겠어욥!!,"['와이드', '개도', '내일', '하체', '뿌숴', '욥']",['힘들다'],"['하다', '겠다']"
"일일 일깡!!!! 하나 스트레칭 ㅋㅋㅋㅋㅋ
영상보다 빵터졌어요~!! 
체력이 별로여서 힘든데도, 선생님 영상보면 신나고 힘이나서 끝까지 다 따라하게됩니당 ㅋㅋㅋ 감사합니당~♡♡
비타민같은 하나쌤 항상 즐거운일만 가득하세요 :)♡♡","['일일', '깡', '하나', '스트레칭', '영상', '체력', '별로', '선생님', '상보', '힘', '이나', '끝', '비타민', '하나', '쌤', '항상', '일만']","['빵터지다', '힘드다', '신나다', '같다', '즐겁다', '가득하다']","['따르다', '되다', '감사하다']"
"13분이라고 쉽게 봤다가 죽을뻔.....ㅠㅠ 
속도가 좀 빨라서 몇개 빼먹었는데 괜찮겠죠ㅠ","['죽', '뻔', '속도', '빨', '몇개']",['괜찮다'],"['쉬다', '보다', '빼먹다']"
1일1강!!!!ㅋㅋㅋㅋㅋㅋ 쌤 너무 웃겨용 저 8월 복직인데 복직전에 쌤 도움 좀 많이 받아야겠어요!!,"['강', '쌤', '복직', '복직', '쌤', '도움']",[],"['웃기다', '받다']"
"2주 챌린지 시작하겠습니다!
6.5","['주', '린지', '시작']",[],"['채다', '하다']"
이거하면 강하나님같은 허벅지 가질수있는거죠? 근데 와이드 스쿼트할때 꼬리뼈 부분이 아픈건 왜그런 걸까요? 그리고 고관절 이라고해야하나? 허벅지와 골반이 이어져 앉을때 접히는 곳이요. 거기가 아파요,"['강하나', '허벅지', '와이드', '스쿼트', '꼬리뼈', '부분', '관절', '허벅지', '골반', '곳', '거기']","['같다', '아프다', '그렇다', '아프다']","['가지다', '하다', '걸다', '하다', '이어지다', '앉다', '접다']"
"저 무엇보다도 다리가 항상 컴플렉스 였는데 오늘 운동하려고 들어왔는데 운명처럼 이 영상 떠서 뭔가에 홀리듯이 들어와 운동했습니다...😆
하고 나니까 땀 진짜 주룩주룩 나고 힘들긴 하지만 엄청 뿌듯하네요!!
이런 거 처음이긴 하지만 운동 동기부여를 위해서 저도 한 번 댓글로 매일 운동 체크 해보려고 해요! 강하나쌤 믿고 2주 달려보겠습니다👍🏻

6/4 - 허벅지 둘레 64cm
6/5 - 1세트까지만 해도 두번째라고 안 힘드네! 했는데 역시나 끝날땐 땀 줄줄이네요...😂 오늘도 완료했습니다!","['무엇', '다리', '항상', '컴플렉스', '오늘', '운동', '운명', '영상', '뭔가', '홀리', '듯이', '운동', '땀', '주룩주룩', '처음', '운동', '동기부여', '위해', '댓글', '매일', '운동', '체크', '해', '강하나', '쌤', '주', '허벅지', '둘레', '세트', '해도', '두번째', '역시', '땐', '땀', '줄줄이', '오늘', '완료']","['힘들다', '뿌듯하다', '이렇다', '힘드다']","['이다', '하다', '들어오다', '뜨다', '들어오다', '하다', '하다', '나다', '이기다', '하다', '해보다', '믿다', '달다', '보다', '하다', '끝나다', '하다']"
하나쌤 혹시 슬로우버피 여러가지 버전으로 알려주실수 있는지 요청드려보아요 전신운동인데 서있다가 내려가는 동작에서 무릎을 지나치게 많이 쓰는것 같아서요~~,"['하나', '쌤', '혹시', '슬로우', '버피', '여러가지', '버전', '요청', '보아', '운동', '동작', '무릎']","['있다', '같다']","['알다', '드리다', '서다', '내려가다', '지나치다', '쓰다']"
