comment,noun,adj,verb
"이건 기자님게 개인 dm으로 사인 받는 법 물어봤었는데 정말 친절하게 가르쳐주셨습니다. 
물론 훈련장 앞에서 6시간 기다렸지만 손흥민 선수가 흔쾌히 사인 해주셨습니다. 
정말 감사합니다. 이건기자님","['기자', '개인', '사인', '법', '정말', '훈련', '손흥민', '선수', '사인', '정말', '기자']","['친절하다', '흔쾌하다']","['받다', '물어보다', '가르치다', '기다리다', '해주다', '감사하다']"
"흥민이 싸인 + 토트넘 선수사진찍는 곳 꿀tip

토트넘 트레이닝센터 입구 기준

장점 : 손흥민 훈련 도중 나옴.
          출,퇴근 시 모든 선수 다 볼 수 있음
단점 : 손흥민 외엔, 사진 찍을 기회 극히 적음.
          모든 선수는 보되, 잘 안보이는 경우 많음

트레이닝센터 맥날 사거리 출구 쪽
장점 :  손흥민 주 퇴근로.
           손흥민 퇴근 시, 사진찍기 쌉 가능
           그 외, 완야마, 라멜라, 모우라, 벨통,               시소코,워터 피터스,에릭센,로셀소와 사진찍
 쌉 가능. 
(라멜라 모우라 벨통 워터피터스 손흥민 그리고 무리뉴와 여기서 사진찍음)


단점 : 신호 바뀌면 그냥 감. 
         케인 알리는 다른 길로 퇴근함ㅠ
          토트넘 팬이 있음 안티도 있는 법.
          아스날 팬들이 진짜 ㅈㄴ 시비검ㅋㅋ

토트넘 경기장 주차장 기준

장점 : 주차장 입구는 한 개. 
          모든 선수 다 볼 수 있음
          레비회장도 볼 수있음.
          레비 빨간색 마세라티 suv타고 다님

단점 : 출근 시, 4시간 전부터 기다려야됨.
           사진도 복불복.

트트넘 경기장 직관 7번했는데
매 번 맨앞줄에 앉아서 손흥민 보기에는 진짜 좋았지만
뮌헨 토트넘 알리안츠가서는 멀리서 봐보려고 위로 올라가서 봤더니 신세계.. 
다들 코로나 끝남 직관가요ㅠ.ㅠ넘 그립습니다","['흥민', '싸인', '토트넘', '선수', '사진', '곳', '꿀', '토트넘', '트레이닝', '센터', '입구', '기준', '장점', '손흥민', '훈련', '도중', '퇴근', '시', '모든', '선수', '볼', '단점', '손흥민', '외', '사진', '찍', '기회', '극히', '모든', '선수', '보되', '경우', '트레이닝', '센터', '맥날', '사거리', '출구', '쪽', '장점', '손흥민', '주', '퇴근', '손흥민', '퇴근', '시', '사진', '찍기', '가능', '외', '완', '야마', '라멜라', '모우', '통', '시소코', '워터', '피터', '스', '에릭', '로셀소', '사진', '찍', '가능', '라멜라', '모우', '통', '워터', '피터', '스', '손흥민', '무리뉴', '여기', '사진', '단점', '신호', '그냥', '감', '케인', '다른', '길', '퇴근', '함', '토트넘', '팬', '안티', '법', '아스날', '팬', '비검', '토트넘', '경기장', '주차장', '기준', '장점', '주차장', '입구', '개', '모든', '선수', '볼', '레비', '회장', '볼', '레비', '빨간색', '마세라티', '타고', '단점', '출근', '시', '사진', '복불복', '트트넘', '경기장', '직관', '앞줄', '손흥민', '보기', '뮌헨', '토트넘', '알리안츠', '멀리', '위로', '신세계', '코로나', '직관', '가요']","['있다', '많다', '있다', '있다', '있다', '있다', '번하다', '좋다']","['찍다', '나오다', '추다', '적다', '자다', '보이다', '싸다', '세다', '싸다', '찍다', '바뀌다', '알리다', '하다', '다니다', '기다리다', '되다', '앉다', '서다', '보다', '보다', '올라가다', '보다', '들다', '끝나다', '넘다', '그리다']"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 메모하면서 아주 잘 봤습니다 기자님 ! ! ! 😆 영국으로 다시 가셨다는데 좋은 영상 기대할게요 💪🏻🍀,"['메모', '아주', '기자', '영국', '다시', '영상']","['좋다', '기대하다']","['하다', '자다', '보다', '가다']"
채널명 길다했는데 한글자 차이 나는거 진짜입니까? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['채널', '글자', '차이', '입']",['길다'],"['하다', '나다']"
이건 기자님 무사히 영국 들어가셨으려나 모르겠네요 좋은 포인트들 알려주셔서 감사합니다!,"['기자', '영국', '포인트']","['무사하다', '좋다']","['들어가다', '모르다', '알다', '감사하다']"
현지여성팬들은 손흥민 귀엽다고 하더라고여ㅋㅋㅋ손귀탱ㅋㅋㅋ,"['팬', '손흥민', '손귀']",['귀엽다'],['하다']
달수형 이제는 영국 가지 않는거 알죠?,"['달', '수형', '이제', '영국', '가지', '알']",[],['않다']
내 버킷리스트를 직업으로 하시네,"['버킷리스트', '직업']",[],['하다']
"저도 토트넘 훈련장 작년말에 방문했는데 제가 갔을땐 구단에서 안전상의 이유로 선수들이 차세우는 행위를 하지말라는 식의 입장을 표해서 5시간넘게 기다리면서 퇴근하는 선수들만 봤어요 ㅠㅠ
에릭센은 조기퇴근하고 케알손은 보이지도 않은..","['토트넘', '훈련', '작년', '말', '방문', '땐', '구단', '안전', '상의', '이유', '선수', '행위', '식', '입장', '표', '퇴근', '선수', '에릭', '퇴근', '케알손', '보이지']",[],"['하다', '가다', '차다', '하다', '하다', '기다리다', '하다', '보다', '세다', '않다']"
그래도 올해의골 수상해서 기분 좋았었는데 이건기자분 덕분에 많은팁 알게 돼서 감사합니다,"['올해', '골', '기분', '기자', '덕분', '팁', '알']","['수상하다', '좋다', '많다']","['돼다', '감사하다']"
