comment,noun,adj,verb
"오잉?프사,배사가 바꿨네요?! 제가 지금 본건강ㅋㅋㅋㅋ","['오잉', '프사', '배사', '지금', '건강']",[],['바꾸다']
"선댓후감상! 오늘도 재밌게 볼께요오
+저는 축구 보면서 축구하고 싶네욬ㅋㅋㅋㅋ
오늘 영상도 재밌게 잘 봤습니다","['선', '감상', '오늘', '축구', '축구', '오늘', '영상']","['재밌다', '재밌다']","['보다', '보다', '싶다', '자다', '보다']"
"석꾸:야 이거 누가 생각해냈냐!!!
람꾸:이거 맨날 해 줘ㅋㅋㅋ","['석', '누가', '생각', '람', '해']",[],"['꾸다', '해내다', '꾸다', '주다']"
프사 배사가 너무 미소년체 아닌가유?ㅋㅋㅋ 넘 귀엽어요ㅋㅋㅋ,"['프사', '배사', '미소년', '체', '가유']","['아니다', '귀엽다']",['넘다']
프사 예쁘네요. 배그하는 모습도 있네요~~~,"['프사', '배그', '모습']","['예쁘다', '있다']",[]
"와 엔딩장면이랑 프사 이쁘네여!
근데 진짜 아래에서 올라오겠닼ㅋㅋㅋㅋ","['엔딩', '장면', '프사', '아래']",['이쁘다'],"['오다', '올라오다']"
저 석꾸축구 진짜많이 봐요,"['석', '축구']",[],"['꾸다', '보다']"
"아니...  석꾸님 그래도 다른 사람들도 집콕하는데 너무하네요
실망했습니다.....





라고 찐다 악플러가 말했다.
석꾸는 몸조심 하시고 행복하세요!","['꾸', '다른', '사람', '집콕', '악플러', '말', '석', '몸조심']","['아니다', '너무하다', '실망하다', '행복하다']","['하다', '찌다', '하다', '꾸다', '하다']"
석꾸축구 넘 제밌다 ㅎㅎ,"['석', '축구', '제밌다']",[],"['꾸다', '넘다']"
프로필 배그ㅋㅋㅋ,"['프로필', '배그']",[],[]
재미있다 ㅋㅋ,[],['재미있다'],[]
프사보고 모르는 유튜버라 지나칠번 했네,"['프사', '보고', '유튜버']",[],"['모르다', '지나치다', '하다']"
프사귀여워ㅋㅋ,['프사'],['귀엽다'],[]
우리는 컴터하면서 밥먹으면 엄빠가 뭐라하는데ㅜㅜ,"['우리', '컴터', '밥', '엄빠']",[],"['하다', '먹다', '뭐라다']"
2:16 집에서 리프팅 할때 공감 ㅋㅋㄱ,"['집', '리프', '팅', '공감']",[],['하다']
프사 너무  귀엽다,['프사'],['귀엽다'],[]
석꾸축꾸 재밌어요 꿀잼~~,"['석', '축', '꿀잼']",['재밌다'],"['꾸다', '꾸다']"
"32등 이요 사랑해요ㅠㅠㅠ
답글 한번만요","['이요', '사랑', '답글', '번만']",[],['하다']
뭔가 석꾸님 집에서 축구하는거 볼때  방음이 잘 안되는 것 같은데 ? 아닌가?ㅋㅋㅋㅋㅋ기분이 나쁘셨다면 죄송합니다,"['뭔가', '꾸', '집', '축구', '볼때', '방음', '기분']","['안되다', '같다', '아니다', '나쁘다', '죄송하다']","['하다', '자다']"
프로필 보고 석꾸 안닌줄 안 사람 손,"['프로필', '보고', '석', '안닌줄', '사람', '손']",[],['꾸다']
이건ㅋㅋ거의석꾸게임ㅋㅋ,"['거의', '석', '게임']",[],['꾸다']
히루동안축구보기가 더 쉽겠다 ㅎㅎ,"['루', '동안', '축구', '보기']",[],['쉬다']
전 하루 종일 축구하는 게 운동도 되고 좋을거 같아요 ㅋㅋㅋㅋ케,"['하루', '종일', '축구', '게', '운동', '케']","['좋다', '같다']","['하다', '되다']"
석꾸 프사 귀엽😀😀,"['석', '프사']",['귀엽다'],['꾸다']
석꾸님 프로필 귀엽다,"['꾸', '프로필']",['귀엽다'],[]
주인 진짜 올라오겠다 ㅋㅋㅋ,['주인'],[],['올라오다']
석꾸축구님 힘내세요~~~!!그리고 두분 너무 잘어울려요,"['석', '축구']",[],"['꾸다', '힘내다', '어울리다']"
"석꾸님 프로필 바꾸셨네요 엄청 예뻐요
그 리고 석꾸티비 사랑해요!","['꾸', '프로필', '리', '석', '티비', '사랑']",['예쁘다'],"['바꾸다', '꾸다', '하다']"
석꾸형 프사 바꿨네ㅋㅋ 람꾸님은 축구보는거 너무 쉽데ㅋㅋㅋ난 어려운데ㅠㅋㅋ,"['석', '형', '프사', '람꾸님', '축구', '난']",['어렵다'],"['꾸다', '바꾸다', '보다', '쉬다']"
프사 이쁘네요 밥아저씨래 ㅋㅋㅋ,"['프사', '밥', '아저씨']",['이쁘다'],[]
석꾸님 유튜브 프사 바꿨네요 귀여워요,"['꾸', '유튜브', '프사']",['귀엽다'],['바꾸다']
체널아트 변경스!,"['체널', '아트', '변경', '스']",[],[]
축구보기는 컴퓨터가 더 힘들 듯ㅋㅋㅋ 고생한다,"['축구', '보기', '컴퓨터', '듯', '고생']",['힘들다'],['하다']
"형 영상 많이많이 찍어요 심심해요 ㅠㅅㅠ
석꾸축꾸 50만 가즈아","['형', '영상', '석', '축', '가즈']",['심심하다'],"['찍다', '꾸다', '꾸다']"
석꾸축꾸 되게 재미있게 보고 있어요,"['석', '축', '보고']","['재미있다', '있다']","['꾸다', '꾸다']"
석꾸님 프사멋있어용!!!!,"['꾸', '프사']",['멋있다'],[]
저 석꾸축구 구독했어요,"['석', '축구', '구독']",[],"['꾸다', '하다']"
와 프사 이쁘다 ㅜㅜㅜㅜ,['프사'],['이쁘다'],['오다']
아니 루이즈랑밥아저씨 ㅁㅊㅋㅋㅋㅋㅋㅋ,"['루', '이즈', '밥', '아저씨']",['아니다'],[]
게임 크리에이터 석꾸축궄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['게임', '크리에이터', '석', '축구']",[],['꾸다']
석꾸 층간소음 울려서 방송 끝나고 아래 위 옆에서 사람들 와서 역먹은 것은 아니겠지????ㅋㅋㅋ,"['석', '층간소음', '방송', '아래', '위', '옆', '사람', '역']",['아니다'],"['꾸다', '울리다', '끝나다', '오다', '먹다']"
"석꾸님 오랜만에 보는데도 재미있네요~!!!
화이팅~~~~~^^","['꾸', '화이팅']",['재미있다'],['보다']
무조건 하루종일 축구보기죠 ㅎㅎㅋㅋ,"['무조건', '하루', '종일', '축구', '보기']",[],[]
마지막에 석꾸캐릭터 귀엽다 ㅋㅋㅋ,"['마지막', '석', '캐릭터']",['귀엽다'],['꾸다']
다시  구독자가 늘고  있습니다다다다다,"['다시', '독자', '다다']",['있다'],[]
3:06 ㅈㅎㅇ,[],[],[]
오늘 학교 수업에서 샹제리제 노래 배웠는데 은 골로캉테 노래랑 완전 비슷함,"['오늘', '학교', '수업', '샹', '리제', '노래', '은', '골로', '캉테', '노래', '완전']",['비슷하다'],['배우다']
귀여운 컨텐츠 ㅋㅋ,['컨텐츠'],['귀엽다'],[]
프사귀엽네요 ㅎㅎㅎ,['프사'],['귀엽다'],[]
오 제이미바디 ㅎㅎㅎ 레스터팬이에요,"['제이', '바디', '레스터', '팬']",['밉다'],[]
람꾸 귀여웡,"['람', '귀여웡']",[],['꾸다']
2:02 우리 집에서 하면 최소 등짝스매슁,"['우리', '집', '최소', '등짝스매슁']",[],['하다']
오랜만에 올라 왔드아!!!!,['왔드'],[],['오르다']
"형 ㅠㅠ 요즘 구독자 계속 떨어지네ㅠㅠ
그래도 응원할게 사랑해","['형', '요즘', '독자', '계속', '응원', '사랑']",[],"['떨어지다', '하다', '하다']"
채널아트 이뻐요~~~근데 누가그린거예요?람꾸님인가?,"['채널', '아트', '누가', '람꾸님']",['이쁘다'],['그리다']
프사 바꾸셨네요 석꾸님,"['프사', '꾸']",[],['바꾸다']
석꾸님 항상 재미있어요!,"['꾸', '항상']",['재미있다'],[]
캉테 특)귀여움,"['캉테', '특', '움']",[],[]
발 포기하기vs눈 포기하기,"['발', '포기', '눈', '포기']",[],"['하다', '하다']"
프사귀여워ㅓㅓㅓㅓ,['프사'],['귀엽다'],[]
석꾸님 댓글달리는게 소원이에요!ㅠ 항상 재밌게보고있고 배그 너무잘하세요!!!!,"['꾸', '댓글', '소원', '항상', '배그']",['재밌다'],"['달리다', '보다', '자다']"
컴퓨터 장비 소개 해주세요 제발 궁금해요ㅠㅠ,"['컴퓨터', '장비', '소개', '제발']",['궁금하다'],['해주다']
영상 찍는데 20분도 안걸렸을듯,['영상'],[],"['찍다', '걸리다']"
0:46~0:48 자체브금ㅋㅋ,"['자체', '브금']",[],[]
힘내요석꾸ㅠㅠㅠㅠ,['석'],[],"['힘내다', '꾸다']"
프로필이 빠꿨네요ㅎㅎ,"['프로필', '빠꿨네']",[],[]
석꾸님 프사바꾸셨네 커엽다,"['꾸', '프사', '커엽다']",[],['바꾸다']
안녕하세요 석꾸축구님^^저는 매일 석꾸님영상보고잇는 사람입니다 코로나조심하세요^^좋아요눌럿어요,"['석', '축구', '매일', '꾸', '상보', '사람', '코로나', '눌럿']","['안녕하다', '이다', '좋다']","['꾸다', '잇다', '조심하다']"
저런 착한여자 거의 없는데 석구 부럽누,"['저런', '여자', '거의', '누']","['착하다', '없다', '부럽다']",[]
지루하겠다ㅠㅠ,[],['지루하다'],[]
5분후다...,[],[],[]
프사귀엽당ㅎㅎ,['프사'],['귀엽다'],[]
"오오 옛날에는 하루종일 축구 VS 하루종일 게임 이었는데!
프로필 사진하고 채널아트 예쁘네요!!","['옛날', '하루', '종일', '축구', '하루', '종일', '게임', '프로필', '사진', '채널', '아트']",['예쁘다'],['이다']
석꾸님 짱   ㅋㅋㅋㅋ  이런  컨텐츠   너무 좋아요 너무너무  재미있습니다.,"['꾸', '짱', '컨텐츠']","['이렇다', '좋다', '재미있다']",[]
60등ㅋㅋㅋㅋㅋㅋ,[],[],[]
석꾸님 고알레 집에서 축구하는거 잘 보셨어용 굳,"['꾸', '알레', '집', '축구']",['굳다'],"['하다', '자다', '보다']"
축그 유튜버,"['축그', '유튜버']",[],[]
나라면 보면서 할거임ㅋㅋㅋㅋㅋㅋ,"['나라', '임']",[],"['보다', '하다']"
약간 파뿌리 24시간  챌린지랑 비슷한 챌린지네요ㅋ,"['약간', '파', '뿌리', '린지', '린지']",['비슷하다'],"['채다', '채다']"
석꾸축구님 코로나조심하시고 건강하시고 항상 응원합니당 재밌는 영상 찍어주셔서 감가사합나당^.^♥응원합니당,"['석', '축구', '코로나', '항상', '응원', '영상', '감', '응원']","['건강하다', '재밌다']","['꾸다', '조심하다', '하다', '찍다', '사하다', '하다']"
배그 스쿼드 시참 하면 안되나요?,"['배그', '스쿼드', '시']",['안되다'],"['차다', '하다']"
먹이면서ㅋㅋ,[],[],['먹이다']
석꾸님 항상 응원할게요! !,"['꾸', '항상', '응원']",[],['하다']
와 미친 컨텐츠 너무좋고 채널아트도 멋져❤️❤️,"['컨텐츠', '채널', '아트']","['미치다', '좋다', '멋지다']",['오다']
석꾸님 힌판또요 자신있어요 군데 케나다에서 살아요 화이트캡스 1시간거리에요,"['꾸', '힌판또', '군데', '케나다', '화이트', '캡스']",[],"['자시다', '살다']"
다 힘들것 같아요.............,[],"['힘들다', '같다']",[]
항상응원합니당,"['항상', '응원']",[],['하다']
오늘 왜 석꾸벅이 없어요...??,"['오늘', '꾸벅']",['없다'],[]
"석꾸님 영상자주올려주세요
다시구독자 50만가자","['꾸', '영상', '자주', '독자']",[],"['올려주다', '달다']"
와우찡긋!!,"['와우', '찡긋']",[],[]
람꾸는 모든걸 내려놓고 밥을 먹고 축구 신청을 했다.,"['람', '걸', '밥', '축구', '신청']",[],"['꾸다', '내려놓다', '먹다', '하다']"
71빠 양심적으로 했음니닼ㅋ 좋아요 눌러 주세요,"['빠', '양심', '니']",['좋다'],"['하다', '누르다', '줄다']"
람꾸님 승~~,"['람꾸님', '승']",[],[]
저러면 ㄹㅇ 아래서 올라오지 않음 ?,['아래'],[],"['저러다', '올라오다', '않다']"
축꾸박사 언제 나와요?,"['축', '박사', '언제']",[],"['꾸다', '나오다']"
축구 좋아하는 집돌이에게 축구보기는 일상이죠 ㅋㅋㅋㅋㅋㅋㅋㅋ,"['축구', '집', '돌이', '축구', '보기', '일상']",['좋아하다'],[]
프사 귀엽...♥♥,['프사'],['귀엽다'],[]
1시간전 되게 빨리왔네,[],[],['오다']
나만 석꾸님 엄원상 선수닮았다고 생각하나.....,"['꾸', '엄', '원상', '선수', '생각', '하나']",[],['닮다']
화장은 진리다!,"['화장', '진리']",[],[]
와 근데 내가 1년전에 봤는데 구독자가 1도 안늘어,['독자'],[],"['오다', '보다', '늘다']"
바뀐점 모르는 사람 없제?,"['점', '사람']",['없다'],"['바뀌다', '모르다']"
채널아트 바꿨네용,"['채널', '아트']",[],['바꾸다']
축구 보기!!,"['축구', '보기']",[],[]
제가 원하는 삶이네요..,[],['원하다'],['삶다']
석꾸님 혹시 매일이 뭐새요?????,"['꾸', '혹시', '매일', '뭐새']",[],[]
옛날 축구 영상이네요,"['옛날', '축구', '상이']",[],[]
"석꾸추구 배경프사진짜


자세히보기","['석', '추구', '배경', '프사', '보기']",['자세하다'],['꾸다']
ㅋㅋ,[],[],[]
ㅋㅋ,[],[],[]
난 집 안에서 축구 하다가 밑 집 할머니 한테 욕 엄청 먹어 는데,"['난', '집', '축구', '밑', '집', '할머니', '욕']",[],"['하다', '먹다']"
키보드 알려주세요,"['키', '보드']",[],['알다']
안녕하세용코로나19조심하세용!!!,['코로나'],['안녕하다'],[]
ㅋㅋ,[],[],[]
석꾸님 멋쟁이시내요.,"['꾸', '멋쟁이', '시내']",[],[]
집에서 축구하는거 공감,"['집', '축구', '공감']",[],['하다']
고무장갑으로 골키퍼해주세요.,"['고무장갑', '골키퍼']",[],['해주다']
전국투어 언제함 ㅜㅜ,"['전국투어', '함']",[],[]
