,youtube_id,comment,like_num
0,이스타TV,번개볼 시즌2 재생목록 : https://www.youtube.com/playlist?list=PL4wTB76rMYuXTUeLYIJHoIfAltnWngxh0,1개
1,도태된잉여,종윤이형이 번개맨1차때는 아무것도 몰라서 뭔가 겉도는 느낌이었는데 2차때되니깐 몰입도 잘하고 더 꿀잼인듯 ㅋㅋㅋㅋㅋ,118개
2,jinjinAhn,32:35 아다테타 왜 중국어 하냐? ㅋㅋㅋㅋㅋㅋ아무리들어도 중국어 같네,12개
3,쯔꼬미,"0:10 아니 원래 사기가 완벽함인데, 자꾸 박번개님이 완벽함 만든거처럼 말하넼ㅋㅋㅋ 매번 대화할때 마다 정말루 옆에 보좌관님들 츙성 ^^7",28개
4,프라하가고싶다,형 이번엔 경질되면 안돼... 선덜랜드 지금 옆동네에서 하고 있어서 하기도 애매해 극락엔딩 가자,43개
5,이정빈,셋다 진심 찐몰입하네ㅋㅋㅋㅋㅋㅋㅋㅋ 개꿀잼,13개
6,전명규,11시만 되면 연어처럼 유튜브로 돌아오는 나...,27개
7,DeokJooHwang,12:52 ??? : 리버풀 첩자에게 응징을!!,23개
8,황스타피,36:20  전설의 카떽뜨 그리고 그의 카섹볼,18개
9,쇼슈쇼,"점점 늘어난다 시간이 ㅠㅜ 

요원들 사랑해요 ~~~~ ! (덜렁덜렁)",34개
10,kingbird,확실히 2번째 시즌이 더 재밌는거 같음ㅋㅋㅋㅋㅋ 너무 진지함ㅋㅋㅋㅋㅋ,12개
11,Jcheol,20:03 ㅋㅋㅋㅋㅋ 거의 월드컵 결승골 넣은 리액션이네,4개
12,현젠,"아 진짜 분량...




이렇게 자꾸 늘려주시면 감사합니다 ᵔᴥᵔ",10개
13,JM,12:47 아다테타 눈찔림 ㅋㅋ,20개
14,아나운서심리학자,24:35 이말은 성립하지 않는다  우리들의 감독 번개 팍은 그냥 정신줄이 없다,8개
15,인간,10:15 대환장파티,12개
16,황스타피,20:06 귀요미 3인방,9개
17,사랑해요종윤이형,방금 맨유 영상보고왔습니다..기분 안좋은데 이거나 보고 기분좋게 하루 마무리 해야겠네요,12개
18,jwkim,기다리다 금단현상 오는줄 알았다규!!,9개
19,이선열,나무위키는 왜보고 끝내는거야ㅋㅋㅋㅋㅋㅋㅋㅋ,3개
20,insung,근데ㅜ성님덜 마르티넬리는 왜 안키우시나유.. 그래도 잘키워놓으면 한시즌 15~20골은 꾸준히 박아주는데..ㅠㅠ,7개
21,김형섭,ㅋㅋㅋㅋㅋㅋ 장비볼 피온 시절 DDDDDD ㅋㅋㅋㅋㅋㅋㅋ,5개
22,세트약해,"10:26
피온충",2개
23,윤경원,"49:37 라이벌 황장비전술의 득점에도 진심으로 좋아하는 순수 그 자체, 아다테타",1개
24,SYBEAT,35:04 저요!! 2017이후에 안했는데 이거보고 시작했습니다....ㅎㅎ,2개
25,정민기,"32:37 번개맨 ""오방맨, 리스넬슨"" 
오바메양+가봉맨의 끔찍한 혼종",2개
26,김물,황근본 진짜 개웃기네ㅋㅋㅋㅋ,2개
