comment,noun,adj,verb
"힘콩님 혹시나 나중에 시간 되시면 힘콩님 인생 이야기 한 번 제작해 주시면 안됩니까??
물론 옛날에 어떤 강연 프로그램에 나가셔서 이야기 하신 것도 봤지만 더 듣고 싶습니다..","['힘콩', '혹시', '나중', '시간', '힘콩', '인생', '이야기', '제작', '주시', '옛날', '강연', '프로그램', '이야기']","['안되다', '어떻다']","['되다', '하다', '하다', '나가다', '하다', '보다', '듣다', '싶다']"
0:35 0:35  미역국에 고기 대박 많네요. 저 정도면 닭가슴살 100g은 될 듯.,"['미역국', '고기', '대박', '정도', '닭', '가슴', '살', '은', '듯']",['많다'],['되다']
0:33 다들 청약드세요,['청약'],[],"['들다', '들다']"
밥을 식판에?? 설겆이 줄이려는 생활의 지혜인가?,"['밥', '식판', '설겆', '생활', '지혜']",[],['줄이다']
그만 먹어 돼지야♡,['돼지'],[],['먹다']
식판 개웃기네 진짜 ㅋㅋㅋㅋ,"['식판', '기네']",[],[]
다음엔 무편집 풀버전으로 올려주세요!,"['다음', '무', '편집', '풀', '버전']",[],['올려주다']
형님 철봉 문의로 페메 보냈는데 읽어주세요🙂🙂,"['형님', '철봉', '문의', '페메']",[],"['보내다', '읽다']"
미역국 엄청 맛있어보여요ㅎㅎ,['미역국'],['맛있다'],['보이다']
진짜 짐승 역시 킹콩 ㄷ,"['짐승', '역시', '킹콩']",[],[]
펠리컨ㅋㅋㅋㅋㅋㅋ,['펠리컨'],[],[]
형님 아직 멸치시네요.,"['형님', '멸치']",[],[]
우리귀여운 애기♡,"['우리', '애기']",['귀엽다'],[]
왜 메추리🔥알 3개를 남긴 것이지? 무슨 의미인 것이지? 레바불러와,"['메추리', '알', '개', '무슨', '의미', '레바']",[],"['남기다', '불다']"
실제로보면 잘생기고 얼굴이 진짜 작아요  젠틀해요!!!!!!!,"['실제', '얼굴', '젠틀']","['잘생기다', '작다']","['보다', '하다']"
"혹시...  제가 밴드 11개월정도에샀었는데
밴드가 끊어져서그러는데 밴드만 따로구입할수있나요?ㅜㅜ 연두색ㅜㅜ","['혹시', '밴드', '개월', '정도', '밴드', '밴드', '구입', '연두색']",['그렇다'],"['사다', '끊어지다', '하다']"
저 살찌고 싶고해서 밥도막 3에서5공기먹고 운동도 턱걸이 앞뒤로 16개  할정도로 키웠는데 살은 아직도 50키로입니다 어떻게 하면 좋을까요??,"['밥', '도막', '공기', '운동', '턱걸이', '앞뒤', '개', '정도', '살', '키']","['살찌다', '이다', '어떻다', '좋다']","['싶다', '하다', '먹다', '하다', '키우다', '하다']"
맛있게먹고 재미있게 운동하자♥,['운동'],"['맛있다', '재미있다']","['먹다', '하다']"
2년전 대학교 강의오셨을때 봤는데 ㄹㅇ 생각보다 얼굴 작고 단단한 괴력몬같이 생기셨음ㅋㅋㄲ끝나고 집가는길에 우연히 보게됫는데 차가 간지나서 차타는 모습이 더 멋졌던 기억이 남네요,"['대학교', '강의', '생각', '얼굴', '작고', '괴력몬', '길', '됫', '차', '모습', '기억']","['단단하다', '차갑다', '멋지다']","['오다', '보다', '생기다', '끝나다', '지다', '보다', '늘다', '간지나다', '타다', '남다']"
힘콩형님 힘콩밴드 세트 사려고 고민중인데 고시원에서 사용이 가능할까?,"['힘콩', '형님', '힘콩', '밴드', '세트', '사려', '고민', '고시원', '사용']",['가능하다'],[]
필콩,['필콩'],[],[]
gym승,['승'],[],[]
김치전  맛있어 보여요  ㅎㅎ,['김치전'],['맛있다'],['보이다']
힘콩님 얼굴도 생각보다 많이 갸름(?)하시고 몸이 진짜진짜 좋으세요 그래서 얼굴이 더 작아보이는 효과도 있는거같아요 ㅋㅋㅋㅋㅋ 아 물론 실제로 본적은 없습니다^^7,"['힘콩', '얼굴', '생각', '갸름', '몸', '진짜진짜', '얼굴', '효과', '실제', '본적']","['좋다', '작다', '있다', '같다', '없다']","['하다', '보이다']"
이 형 요즘 조회수 안나오나보네 재미도 의미도 없는 2분짜리 영상 올리는거보니,"['형', '요즘', '회수', '재미', '의미', '영상']",['없다'],"['나오다', '보다', '올리다', '보다']"
힘콩님 갑자기 뜬금없지만 푸쉬업바 놀때 그냥 일직선으로 놔요 아니면 대각선으로 놔요?,"['힘콩', '갑자기', '뜬금', '푸쉬업', '바', '놀때', '그냥', '일직선', '대각선']","['없다', '아니다']","['놓다', '놓다']"
힘콩님 집에냉동고 추가로 있는거 보고 저도 냉동고 추가로 구매할 생각을 처음으로 했습니다. 꽤 도움됐네요.,"['힘콩', '집', '냉동고', '추가', '보고', '냉동고', '추가', '구매', '생각', '처음', '꽤', '도움']",['있다'],"['하다', '하다', '돼다']"
"힘콩형 실제 청라에서 만나서 사진찍었는데
얼굴은근작고 몸큼","['힘콩', '실제', '청라', '사진', '얼굴', '은근', '작고', '몸']",[],"['만나다', '찍다', '크다']"
개미다리,"['개미', '다리']",[],[]
형 점점 개그인이 돼 가는거 같아ㅋㅋㅋㅋㅋ,"['형', '점점', '개그']",['같다'],"['돼다', '가다']"
"어깨의 중요성. .
얼굴의 중요성. .
이게 음. . 편집한거 보니
왜 난 쫌 빡칠까. . .
요즘. . 팀원들이
쌈빡한 광고영상을 기획했다면서. .
날 재물로 쓰는 듯 하다. .
.
-추신
도대체.어디가. .
#나인제트  의류광고 인거야. . ?
이걸 보고 구매를 하는 사람이 있다고. . ?
.
-추신2
이거 기획한 친구 
피드확인하는대로 내 옆자리로. .","['어깨', '중요성', '얼굴', '중요성', '음', '편집', '난', '쫌', '요즘', '팀', '광고', '영상', '기획', '날', '재물', '듯', '도대체', '어디가', '의류', '광고', '걸', '보고', '구매', '사람', '기획', '친구', '피드', '확인', '옆']","['빡치다', '쌈빡하다', '있다']","['보다', '들이다', '하다', '쓰다', '하다', '추다', '이다', '하다', '추다', '하다']"
ㅋㅋㅋㅋㅋ 귀여우십니다!!,[],['귀엽다'],[]
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌㅌㅌㅌㅌ개터졌네진따,"['개', '진']",[],"['터지다', '따다']"
편집자가 10초안에 많은걸 담으셨네요 ㅎ,['편집자'],['많다'],['담다']
귀여웤ㅋㅋㅋㅋㅋㅋ,[],['귀엽다'],[]
형 귀여워 ㅋㅋㅋ,['형'],['귀엽다'],[]
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게뭐람,['게'],[],['뭐라다']
필콩ㅋㅋㅋ,['필콩'],[],[]
힝 너무 귀엽네,['힝'],['귀엽다'],[]
좁혀도 넓어보이는거같은데 ㅠㅠㅠ 부럽다,[],"['넓다', '같다', '부럽다']","['좁히다', '보이다']"
ㅋㅋㅋㅋ 점점 ㅋㅋㅋ,['점점'],[],[]
ㅋㅋㅋㅋㅋㅋ,[],[],[]
난 힘콩 애청자로서 가슴모양보고 이미 알았지^^♥,"['난', '힘콩', '애', '청자', '로서', '가슴', '모양', '보고']",[],['알다']
현웃터졌다 ㅋㅋ,['웃'],[],['터지다']
개그유튭...,"['개그', '유튭']",[],[]
오늘도 병맛이네요 ㅋㅋㅋㅋ,"['오늘', '병맛']",[],[]
혀...혀엉.......,"['혀', '혀']",[],[]
"저도 힘콩형님 옆자리로 가고싶어요😂
인☆에서 나인제트에서 모델로 취소되었다면서요??😀
하지만 힘콩씌는 제 롤모델이니 걱정하지마세요😊","['힘콩', '형님', '옆', '인', '나인', '제트', '모델', '취소', '힘콩씌', '롤모델', '걱정']",[],"['가다', '되어다', '하다', '말다']"
형 팀원들이 협박하면서 억지로 영상 찍게 하면 다음 영상에 덤벨 대신 당근을 흔들어줘,"['형', '팀', '협박', '억지로', '영상', '다음', '영상', '덤벨', '대신', '당근']",[],"['들이다', '하다', '찍다', '하다', '흔들다']"
잉 개커엽누 형 사랑해 (덜렁덜렁),"['잉', '개커엽누', '형', '사랑']",[],['하다']
"형 나인제트 시켰는데 오늘왔엉
진짜 팔통 좁으니깐 행복하더라 잘입을게~♡","['형', '나인', '제트', '오늘', '통']","['좁다', '행복하다', '이다']","['시키다', '오다']"
잘모르겠다...,[],[],['모르다']
형 이제 깨닳았어.... 어깨보다 얼굴이 중요한걸...... 지금 어깨 50이지만....,"['형', '이제', '깨', '어깨', '얼굴', '걸', '지금', '어깨']",['중요하다'],['닳다']
근데 얼굴 개작다 ㄹㅇ,"['얼굴', '개']",['작다'],[]
웃프다는게 이런건가...,['웃프다는'],['이렇다'],[]
ing!,[],[],[]
"어깨가 뭐가 중요하냐
어좁이여도 옷만 잘입으면 되지","['어깨', '옷']","['중요하다', '좁다']","['입다', '되다']"
11,[],[],[]
어깨 솔직히   넓은지 모르겠어 형,"['어깨', '형']","['솔직하다', '넓다']",['모르다']
바람막이만 눈에 들어오네 ㅋㅋㅋ,"['바람막이', '눈']",[],['들어오다']
1:20 원래 남자는 덜렁 거려야 정상인데...,"['원래', '남자', '덜렁', '거려', '정상']",[],[]
0:15 형 그럼 3번째 다리는...,['형'],['그렇다'],['다리다']
옛날 재미어트시절 보고싶다 미 빡 조 알 뻘,"['옛날', '재미', '절', '빡', '조', '알', '뻘']",['밉다'],"['틀다', '보다']"
"힘콩에 변명과핑계를 아주잘들었습니다!






다음핑계도 부탁드려~ㅎㅎ","['힘콩', '변명', '핑계', '아주', '다음', '핑계']",['부탁드리다'],"['자다', '들다']"
힘콩형은 귀신을 보면 바지를 풀고 풀업을한다~,"['힘콩', '귀신', '바지', '풀', '풀']",[],"['보다', '업다']"
그냥 샴푸 챌린지로 증명해줘요,"['그냥', '샴푸', '린지', '증명']",[],"['채다', '해주다']"
형 나 형한테 운동 배우고 싶어,"['형', '형', '운동']",[],"['배우다', '싶다']"
바람막이만 눈에 들어오네요~^^ ㅋㅋㅋㅋ,"['바람막이', '눈']",[],['들어오다']
이쁘다ㅠ,[],['이쁘다'],[]
잘생겼어요 형,['형'],['잘생기다'],[]
힘콩형 저 기억해줘요 잊지말고,"['힘콩', '기억']",[],"['해주다', '잊다']"
필콩,['필콩'],[],[]
"잘봤습니다. 다리나 팔 등은 두껍다, 얇다가 아니라 굵다, 가늘다라고 말해야 맞는표현입니다. 두껍다, 얇다는 종이같이 납작한것의 두께를 나타낼때 쓰는 표현입니다. 잘 모르시는 분들이 많은 것 같아 말씀드려요","['다리', '말', '표현', '종이', '두께', '표현']","['두껍다', '얇다', '아니다', '굵다', '가늘다', '이다', '두껍다', '얇다', '납작하다', '이다', '많다', '같다']","['보다', '하다', '맞다', '나타내다', '쓰다', '자다', '모르다', '말씀드리다']"
"힘콩힘콩형 너무 좋아요
뭐든지 완벽한 힘콩씌
저번에 페이스북메신저 드린적있는데 답이 안오겠지 하며 까먹고있었는데 몇일전 바쁜데도 댓글을 읽어주시는 모습  존경해요👍🏽 읽었는데 다시 답하면 바쁜데 귀찮으실것
 같아서  답은 안했어요😅😅  일단 영상 잘보고 이써용","['힘콩힘콩', '힘콩씌', '저번', '페이스북', '메신저', '답', '일전', '댓글', '모습', '존경', '다시', '답', '답', '일단', '영상']","['좋다', '완벽하다', '바쁘다', '바쁘다', '귀찮다', '같다']","['드리다', '적다', '오다', '하다', '까먹다', '읽다', '하다', '읽다', '하다', '하다', '보다', '써다']"
형잘생겼어,['형'],['잘생기다'],[]
상체 문도 하체 피들스틱,"['상체', '문도', '하체', '피들스틱']",[],[]
형님 3년전에 페이스북부터 영상 챙겨봤는데 점점 잘생겨지시네요,"['형님', '페이스북', '영상', '점점']",['잘생기다'],"['챙기다', '보다']"
별로 전문가가 튼실해보이지않는데,"['별로', '전문가', '보이지']",['튼실하다'],['않다']
아지니당 내친구당😆🤟🤸‍♂️,"['지니', '친구']",[],[]
"키 172
몸무게 78 
남자입니다 맞는 운동법 부탁드립니다형","['키', '몸무게', '남자', '운동', '법', '다형']","['이다', '부탁드리다']",['맞다']
