닉네임,댓글,좋아요수,날짜
흑자헬스SurplusHealth,"운동 전 부스터 드링크 [고릴라밤] 할인코드 : surplus
movemore.co.kr
----------------------------------------------
[미트리 닭가슴살] 할인 추천 코드:100103454

https://metree.co.kr/index/index.php?sponsor=100103454
----------------------------------------------
운동복 [GYMMOOK] 할인
www.gymmook.com 사이트 접속
my page - 쿠폰내역 - 쿠폰 번호 등록 click - 쿠폰번호 입력(HJHS-A195-0071-A6BA)
- 2만원 이상 결제 시 사용 가능하며 발행 후 30일 이내 사용하셔야 합니다.",202개,2020. 4. 27.
hslim,나는 운동도 안하는데 맨날 흑자 보고있네 ㅋㅋㅋㅋㅋ,635개,2020. 4. 27.
설기관,"처음엔 흑자헬스 채널이 단지 재밌어서 봤습니다. 

근데 지금은 좋은말씀을 잘 해주셔서 보게되네요. 

피티 신청합니다. 

아.. 스피치 피티요.",236개,2020. 4. 27.
양민규,카메라 바꿨어요? 화질이 좋아진것 같은데 조금 더 무서워 진것 같아서 보기 좋아요,307개,2020. 4. 27.
도전100일헬창키우기,"불법운동 유튜버 단속반 ""흑자헬스""",637개,2020. 4. 27.
느낌만으로사람판단하는사람이싫어,그래서 강호동이 말하잖아요 책한권만 읽은 사람이 제일 무서운 법이라고,265개,2020. 4. 27.
곰잠바,저도 제 잘못된 지식이 회원에게 고통이 될 수 있다 생각해서 3년 전 트레이너 그만두고 회사 다니며 운동 공부 다시 하면서 시합과 자기개발을 목표로 취미로만 운동 하고있습니다. 완전 공감합니다 ㅠㅠ,246개,2020. 4. 27.
Certainly,네모난 침대에서 일어나 눈을떠보면~,235개,2020. 4. 27.
힘쎈언니StrongUnni,"번역해서 세계로 널리 알리고싶은 영상이네요... 한국 뿐만 아니라, 아시아계의 구독자 몇백만되는 여러 여성 유투버들은 아직도 “뱃살빠지는 복근운동” 같은 말도 안되는 컨텐츠로 꿀빨고 있습니다.. ㅠㅠ 항상 멋진 논리로 팩폭 해주셔서 감사해요! 겸손해지고 갑니다~",178개,2020. 4. 27.
예수,"고졸 : 난 존나 지혜롭다
학사 : 내가 뭘 모르겠는지 모름
석사 : 내가 뭘 모르는지 알겠음
박사 : 나만 모른다고 생각했는데 나머지 모두 다 모름",56개,2020. 4. 27.
abrokenpices,"유능한 트레이너인지는 모르겠는데, 달변가인건 맞는거 같음.",180개,2020. 4. 27.
내인생,저도 수피님 처음봤는데 운동은 안하고 글만봄,39개,2020. 4. 27.
안필드,저 그래프의 끝에 있는 진정한 자신감.. 강경원 선수가 생각나는군요..,186개,2020. 4. 27.
오닉스TV,근데 모든 분야중에 조금이라도 했을때 자신감 폭발하는 게 운동인 거 같음ㅋㅋㅋㅋ,189개,2020. 4. 27.
ellenmichener,요즘 간모시기? 이 사람 땜에 흑자님 엄청 빡친게 느껴짐....살기 ㄷㄷㄷ,148개,2020. 4. 27.
fdsaasdf,자동자막 켜져있었는데 발음 엄청 정확하시네,27개,2020. 4. 27.
박도영,ㅈ됬ㅇ다 네모네모 파리지옥에서 못빠져나올듯,7개,2020. 4. 27.
EyesOne,"이거 기술직도 마찬가지임
남들 다 1가닥짜리 10M정도 끄는걸로 배관 시작할때 난 8가닥 300M로 배관 시작해서 진짜 내가 뭐라도 되는줄알았음.근데 그냥 많고 많은 좆밥중 하나라는거 1달도 안돼서 깨달음.아직도 좆밥이라서 너무 슬픔",54개,2020. 4. 27.
전국제패깔리느니죽겠다,"대학원생이 되면 왜 난 여기있고, 난 뭘 하고있고, 내가 아는 게 맞나 느낀다. 그리고 교수가 되면 내가 뭣도 아는 게 없구나라고 느낀다.",37개,2020. 4. 27.
도송이,"킹경원을 통해 기초를 배우고 양선수로 자세를 익힌다.
리얼 강추....",42개,2020. 4. 27.
정현석,어디서 본건데 30분안에 단백질을 먹을 이유는 없지만 안먹을 이유 없단 말을 보고 XX 탁치고 재때 챙겨 먹고 있답니다~,4개,2020. 4. 27.
김순복,4:17 어깨가 점점 커짐.. 형은 자라나고 있나봐..,95개,2020. 4. 27.
MakNooN막눈,살빼는데 많은 도움 받고 있습니다^^,26개,2020. 4. 27.
DEVILHWOARANG,항상 재밌게 영상 보고있는데 머리크기를 감추기 위해 기른듯한 저 네모 어깨는 볼 때마다 감탄스럽네요,7개,2020. 4. 27.
