,youtube_id,comment,like_num
0,근손실,큰누나가 막내동생이랑 놀아주는거 같다,451개
1,황해정,아 진짜ㅋㅋㅋㅋㅋ 친한 사촌들끼리 명절에 복작복작하게 모여서 노는 것 같음ㅋㅋㅋㅋㅋ,68개
2,오찬진,"혁준님 진짜 부럽다..
자기를 저렇게 신경써준다는 사람이 주위에 있다는게 진짜 큰 복이라는걸 이 영상보면서 느낀다",160개
3,그루트,근데 계란언니랑 으뜸님은 서로 만만하게 생각하는게 분명함 ㅋ,54개
4,정정우,우리 공아가보고 귀엽다니 당신은 천사입니까?,119개
5,손준범,4:26 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 심으뜸 약점 찾아서 놀릴 생각에 신난 계란형,84개
6,정현원,5:42 계란형 발가락 만지는거 불편ㅋㅋ,43개
7,ChoJuhye,영상은 대환장 파티인데 배경음악은 너무 평화로웤ㅋㅋㅋㅋ,45개
8,JEONHEE,혁준아 이쁜 으뜸누나랑 말할 때 얼굴은 좀 보고 대화해라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,38개
9,김선희,심투압이라고 면박당하니 편집에서 적반화장 이래 ㅋㅋㅋ 유튜버와 편집자가 이심저심,51개
10,라스트진,4:48 찐텐으로 놀라셨나보다 ㅋㅋㅋㄱㅋㄱㄱㅋㅋ,22개
11,S쏭투,언니 진짜 세상 귀엽고 사랑스럽네여👍 빡아죠씨랑 혁준님 으뜸언니 삼남매 조합 완전 좋아요 사랑해여ㅎ,49개
12,이린,미인판독기다 진짜 ㅋㅋ얼굴을 못보고 말해 ㅋㅋㅋㅋㅋㅋㅋ,16개
13,이호형,"ㄹㅇ 잔소리 하러온 누나느낌이넼ㅋㅋㅋㅋㅋ
계속 뭐 가져가려고 하는 것까지 판박이 ㅋㅋㅋ",19개
14,개새기개발새발자기계발,6:00 계란형 왼손에 저만 눈길이 가나요 ㅋㅋㅋㅋㅋ,9개
15,이덕진,와 저런 걸 다 키우네 공혁준 순수한 구석이 있구나,45개
16,조상수,편집이 워크맨 스타일로 바뀌었네요 ㅋㅋ,8개
17,하루다비절대무적사나이,이 세명 콜라보 계속 계속 영원히 보고 싶네요넘나 재밌어요~~~ !! 좋은 영상 늘 감사합니다,29개
18,빵포포,03:11 하 공혁준씨 귀여워보일 것 같은데 누가 좀 말려줘요 ㅋㅋㅋㅋㅋㅋㅋ,37개
19,제주혼여,1:40 마! 다주라! 할때 너무 이쁘셔 ㅋㅋ,17개
20,IvanOh,4:50 결국 가장 무서운 동물은 으뜸이였다,14개
21,장한울,4:48 진짜 핵 기여워😭,16개
22,KOREAILOVE,혁준이 한테 웃으면서 잘해주면 좋아 하는줄 착각하는데 ㅠㅠㅠㅠ,15개
23,사나이,이 언니 진짜 나사하나 빠진듯ㅋㅋㅋㅋ,20개
24,요호호,5:31 휴방낙법 ㅋㅋㅋㅋㅋㅋ,10개
25,callmej,1:25 개무섭 ㅋㅋㅋㅋㅋ,11개
26,eliniacort,와중에 먹토크 신나게 하고 저녁은 다른데서 드시네욬ㅋㅋㅋㅋㅋㅋ개웃기당,36개
27,원민식,"2:07 
혁준아.. 얼굴색이랑 턱선 얼굴 크기 실화냐?
반쪽이 돾다 반쪽이!! 멋있다",1개
28,염형진,논건 으뜸님인데 영상 막판에 왜 영혼 가출한건 대표님이죠?ㅋㅋㅋㅋㅋ,10개
29,도전100일헬창키우기,팬더 대머리독수리 천사,31개
30,분식이의평안한삶,07:07 오늘 분식이 땡긴다~,3개
31,이호성,1:30 도적이다!!!!!,5개
32,트숭이,"ㅋㅋㅋㅋ 으뜸님 분위기 메이커다..ㅋㅋㅋㅋㅋ
너무 재밌다.",14개
33,BongsuleRaffaellu,운동잘하는 눈나일줄만 알앗는데 되게 커여우시네,4개
34,지이잉,햄갱남도ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋ,3개
35,박정민,1:44 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 빡빡이아저씨 간첩이였어ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개
36,lilyll,심주라 너무 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 근데 진짜 너무 조합 좋네요 ㅋㅋㅋㅋ,2개
37,성윤호,이누나도 생각보다 미친거 같아 너무 좋아,6개
38,000,6:25  ?ㅋㅋ,1개
39,JHwang,ㅋㅋㅋㅋ 심주라 라니 ㅋㅋ 트수분들 개웃겨,18개
