닉네임,댓글,좋아요수,날짜
힙으뜸,"보람양은 근육질의 마른 몸을 위해서가 아니라 체형을 교정하면서(오다리, 백니, 요추전만) 탄력있는 몸과 예쁜 힙을 만들기 위해 저를 찾아왔어요! 극단적인 다이어트를 진행하는 게 아니에요. 체지방률 29~39%이거나, 60-70kg대 여성분들이 참고할 수 있는 다이어트를 진행하려고 합니다. 앞으로 돼람이의 건강한 다이어트를 기대해주세요~~~ 돼.다.프로젝트 시-작!!! 그리고 우리 돼람이 많이 응원해주세요😌💛",11개,2020. 5. 8.
ddbibi35,계란형이 혁준이와 함께라면 으뜸님은 보람님과!!! 오늘 프롤로그 영상만 보는데도 너무 꿀잼이야ㅋㅋㅋㅋ 노빠꾸 보람님때문에  당황하는  으뜸님이 너무 웃겨요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,71개,2020. 5. 8.
허이쿠,비율이 괜찮아서 그런가 전혀 살이 쪄보이진 않는데...저렇게 살이 찌는것도 복이다...,993개,2020. 5. 8.
송송이,와 으뜸이언니 말투나 외모나 몸매나 어딜가나 뭐 하나 빠지질 않아여... 저 또박또박한 말투 배우고싶다ㅠㅡㅠ,50개,2020. 5. 8.
돼람이Cr5p,"안냐쩨요 돼람입니다만 ㅎㅎ🐷이거 진짜 컨텐츠만
찍는거 아니고 언니한테 일어나서 자기직전까지 내일 뭘 먹고 뭘할지 까지 보고하며 체계적으로 관리해 주세요.. 주 3회 언니와 운동은 물론 개인 홈트까지!!
이렇게까지 하는거 처음인데 언니가 도와주는 만큼
진짜 예뿐 몸매 만들어서 보답할게요..🤢
사랑합니다 뜸선생님🙏🏽🧡🥴",12개,2020. 5. 8.
A1A1,11kg 더 있는 체지방이 저렇게 올바른곳에 분배되기도 쉽지 않은데...,505개,2020. 5. 8.
물망초,"체지방률이 높은데 그 지방이 예쁘게 붙으셨어요ㅠㅠ
얼굴도 작고 바스트도 멋지고 허벅지도 예뻐요ㅠㅠ",919개,2020. 5. 8.
오유석,방지턱에서 으뜸씨가 더 당황 ㅋㅋㅋㅋㅋ,50개,2020. 5. 8.
순살족발,요즘 운동 유튜버의 개조인간 프로젝트가 많아서 넘 재밌고 동기부여 되서 너무 좋음 ㅋㅋㅋ,23개,2020. 5. 8.
김그믐,배에는 살이 없고 예쁜 곳에 다 있으시네 .. 부럽당 ㅠㅠㅠ,451개,2020. 5. 8.
이정윤,와 근데 솔직히 체지방31프로라도 몸매 너무좋으신데,246개,2020. 5. 8.
HansolWitch,스펙이 탈동양인급.... 서양몸매 동양얼굴이신데도 부족함을 느끼시다니...,227개,2020. 5. 8.
커버뭐하지,5:07 왜 일생일대의 결정을 하는 표정이야 ㅋㅋㅋㅋㅋㅋㅋㅋ,48개,2020. 5. 8.
졔린이,우왕 지금도 몸매 좋으신데 으뜸쌤 만나구 더 예뻐지시겠어요!! 부럽당 으뜸쌤의 1대1 코치 ㅜㅠ 돼람님 파이팅❣,38개,2020. 5. 8.
이수근,빡빡이는 혁준이를 으뜸이는 보람이를,6개,2020. 5. 8.
눈사람,살이 어딨다는거지 좋은비율이네요 허리도날씬하고 키에비해 몸무게는 아니죠,305개,2020. 5. 8.
바밤바,세계관  최강자들이 모였다 ㄷㄷ,4개,2020. 5. 8.
서영민,저게 남자들이 말하는 육덕짐인가..ㅋㅋㅋ 육덕지고 통통한 여자가 좋다 = 돼람이님,48개,2020. 5. 8.
쩡쓰쓰,와우 으뜸님 이런컨텐츠로 보니까..정말 전문적이고 멋있어요!!!!! 기대되네요ㅎㅎ,6개,2020. 5. 8.
코코룽,"돼라미 언니 몸매 조으신데.. 더 좋아지겠넹...그나저나 으뜸언니랑 케미 넘 좋당❣️ 
두분이 자주 같이 해주세요오",175개,2020. 5. 8.
Makao좋아,근데 신기한게 살이쪄도 다 몸으로 갔네요? 턱선이 살아있고 얼굴은 작네요. 신기.. 부럽...,165개,2020. 5. 8.
NathanJoe,2:22 에이... 으뜸님이 근육으로 꽉꽉 채워두신거지 보람님이 살 찐 게 아님....,62개,2020. 5. 8.
이유,얼굴이 어떻게 저렇게 작지.. 여튼 너무 마른 것보다 훨씬 보기 좋고 건강해보임. 균형 잡힌 예쁜 몸매.. 부럽다ㅠㅠ,44개,2020. 5. 8.
YIBINS,라인만생기면 진짜 사기몸매되실듯,68개,2020. 5. 8.
자취소녀,두분더 성격 진짜 좋으시당ㅎㅎㅎ,7개,2020. 5. 8.
Alice,몸매 진짜 완전 이뻐요!ㅋㅋㅋ 근데 왜 돼람이졐ㅋㅋㅋㅋ 닉넴 귀엽ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,30개,2020. 5. 8.
이상호,절대 165로 안 보이는데 ㅋㅋㅋㅋㅋㅋ 두 분 다 비율 끝판왕이시네요 ㄷㄷㄷ,69개,2020. 5. 8.
Aloe,몸매 개이쁜데.. 키도 커보여서 진짜 매력 미쳤다,51개,2020. 5. 8.
SherlockHolmes,난 돼람이님 지금 상태도 매력적인데:-) 더 건강하게 되길!! 화이팅,6개,2020. 5. 8.
김승민,몸 상태 체크가 편집되서 아쉬워요ㅠㅠ자기 몸을 체크할 수 있는 방법도 알려주시면 좋을것같아요ㅠㅠ,56개,2020. 5. 8.
김구라,여자가 골격넓고 비율 좋으면 운동 안 해도 이리 되는구나 ㄷㄷ,39개,2020. 5. 8.
rn,저 몸매에서 허리 라인만 더 들어가면 완전 장난 아닐것 같은데,66개,2020. 5. 8.
단팥앙금,오.근데진짜 부러운 몸매신데요.ㅜㅜ 솔직히,43개,2020. 5. 8.
사이결튜브SIGYOLTUBE,와 우리 돼람언니 나왔따!!!❤️ 역시 체지방률은 집착할 필요없이 지방이 어디 몰려있는지가 중요하군...😝,61개,2020. 5. 8.
hjjilz,"와 크롭언니 유툽에 으뜸님
나온줄알랐는데 으뜸님 유툽이셨어 ㅠㅠ 조합 개좋아 ㅠㅠ",3개,2020. 5. 8.
최기훈,계란님처럼 으뜸님도 한명 구했네요ㅋㅋㅋ,3개,2020. 5. 8.
지유,몸매 라인 자체가 너무 예쁘셔서 운동만 조금 더 하면 되실듯,42개,2020. 5. 8.
박성호,돼람이 체지방률 줄인것도 보고싶긴한데 지금도 충분이 멋있음,39개,2020. 5. 8.
ooloolooo,아 사진 극공감 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3개,2020. 5. 8.
