comment,noun,adj,verb
"Noodles, egg, sausage and kimchi. This is the perfect meal!😍",[],[],[]
Noddels egg  sausage  this is the perfect meal,[],[],[]
Fran is the queen of noodles! 😍🍜,[],[],[]
짜파게티에 계란도 좋지만 전 저 소세지랑 조합이 진짜 좋을 거 같아요 ㅠㅠ 진짜 맛있겠다.. 소세지 뽀득뽀득 소리 좋아요😁😁😁,"['짜파게티', '계란', '소세지', '조합', '소세지', '소리']","['좋다', '좋다', '같다', '맛있다', '좋다']",[]
짜파게티가 마르지 않고 촉촉해서 좋네요 후룩후루룩,"['짜파게티', '마르지', '후룩', '후루룩']","['촉촉하다', '좋다']",['않다']
ام عيون العمش الحوله مو جنتي ترجمين هسه ليش ما ترجمين👎👎,[],[],[]
아 진짜 밤에 보면 다섯개 한번에 끓여서 후드리 챱챱 하고 싶어 흑,"['밤', '개', '한번', '후드', '리', '챱챱']",[],"['보다', '끓이다', '하다', '싶다']"
"와..배가 고플때마다 업로드 해주시니..
완전 대단하신듯","['배', '업로드', '해주시', '완전']","['고프다', '대단하다']",['오다']
روعه 😍😍😍❤❤❤❤❤,[],[],[]
와 다이어트끝나면 짜파게티 머거야겠다 ㅋㅋ,"['다이어트', '짜파게티']",[],"['오다', '끝나다', '머거다']"
갠적으로 짜파게티 파김치보다 익은 배추김치랑 먹는걸 더 좋아합니다. 그래서 뭐 그냥 프란님 제 취향저격이라구요💕,"['갠', '짜파게티', '파김치', '배추김치', '그냥', '프란님', '취향', '저격', '고요']",['좋아하다'],"['익다', '먹다']"
