comment,noun,adj,verb
재료가 없는게 아니라 파니니 기계가 없지않나 다들,"['재료', '파니니', '기계']","['없다', '아니다', '없다']","['않다', '들다']"
드디어 나오네요ㅋㅋ 거대한미식가 이후로 소프 스타일 영상 같습니다,"['미식', '이후', '소프', '스타일', '영상']","['거대하다', '같다']",['나오다']
형 나 오랜만에 돌아온 구독잔데 못본사이 푸짐해졌네 ㅎㅎ,"['형', '구독', '못', '사이']",[],"['돌아오다', '자다', '푸다', '지다', '지다']"
5:10 이 아저씨 몇 달 안본사이에 살이 더 찌셨네,"['아저씨', '달', '사이', '살이']",[],['찌다']
4:01  네...? 형이 언제부터 매운걸 잘드셨죠.......?,"['형', '언제', '걸']",['맵다'],['들다']
뭐이렇게 먹다남은게 마너,['마너'],[],"['먹다', '남다']"
"진짜 엄청 노력하신거 느껴져요ㅠㅠ 칼 갈고 나왔는데, 화려한 칼이 아니라 친숙한 가정용식칼 같은 친숙한 느낌이여서 너무 좋다....","['노력', '칼', '갈고', '칼', '가정', '식칼', '느낌']","['화려하다', '아니다', '친숙하다', '같다', '친숙하다', '좋다']","['하다', '느껴지다', '나오다']"
빙구로 가기로한거에요?? ㅋㅋㅋㅋ🤣,"['빙구', '가기']",[],[]
뭐야...영상 분위기 취향 저격 당했어 개쥬아~,"['영상', '분위기', '취향', '저격', '개쥬']",['당하다'],[]
인트로에 흘러나오는거보고 맛있겠다! 란 생각보다 저거 흘러내린거 눌러붙으면 청소할떄 엄청 짜증나겠다! 라는 생각이 먼저든 나는...설거지에 너무 고통받고 살았나봐.,"['인트로', '보고', '란', '생각', '청소', '할떄', '생각', '먼저', '설거지', '고통']","['맛있다', '짜증나다']","['흘러나오다', '흘러내리다', '누르다', '붙다', '받다', '살다', '보다']"
간단한 재료는 있는데요...기계따위가 없어욬ㅋㅋㅋㅋㅋㅋㅋㅠ,"['재료', '기계', '따위']","['간단하다', '있다', '없다']",[]
소프형 올만에 왔는데 조회수 왜이럼?ㅠㅠ,"['소프', '회수']",['이렇다'],"['오다', '오다']"
근데 소프님 살 많이 찌셨다. 2015년 때 한창 치킨 드실때에 비하면,"['소프', '살', '한창', '치킨', '비']",[],"['찌다', '들다', '하다']"
형은 누구나 아는 맵찔이잖아ㅋㅋㅋ,"['형', '누구', '맵']",[],"['알다', '찌다']"
소프님 매운거 잘드시나보네요 이제ㅋㅋㅋㅋㅋㅋ 영상 잘보고 갑니다~,"['소프', '이제', '영상']",['맵다'],"['들다', '보다', '보다', '가다']"
투썸플레이스 메니저시절 왤케 짧게나와요ㅋㅋㅋㅋㅋ,"['투썸플레이스', '시절']",['짧다'],"['메다', '나오다']"
"0:26 1초컷 사진 빠밤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
저 닭가슴살은 촉촉하다고 하셨던 탄두리 닭가슴살 .. 크으 ㅠㅠㅠㅠㅠ","['사진', '빠밤', '닭', '가슴', '살', '탄두리', '닭', '가슴', '살']",['촉촉하다'],['하다']
ㅋㅋㅋ역시 치즈가 옆구리로 튀어나와줘야 기가막히죠~~저도 항상 커피보단 흰우유에 먹는걸 즐깁니다~~ㅎㅎ🥛🥛🥛,"['역시', '치즈', '옆구리', '기', '항상', '커피', '우유']",['희다'],"['튀어나오다', '막히다', '먹다', '즐기다']"
4:55 치이즈으으으😆😆😆,"['치', '이즈']",[],[]
"소프오빠 요즘 너무 우울해 보여요ㅠ
그래도 항상 힘내시고 재미있게 보고있어요","['소프', '요즘', '항상']","['우울하다', '재미있다']","['보이다', '힘내다', '보다']"
이번거 꿀잼 ㅋㅋㅋㅋㅋㅋㅋ형 근데 얼굴이 더 포동해졌네,"['이번', '꿀잼', '형', '얼굴', '포동']",[],['하다']
영상 재밌는데 썸네일이 안끌려요 썸네일!!!,"['영상', '썸네일', '썸네일']",['재밌다'],['끌리다']
"오래된애청자에요 이러한스타일도좋은데
배경이좀더 밝은곳에서 소프님얼굴보면서  하는것도 다시 보고 싶습니다!","['애', '청자', '스타일', '배경', '좀더', '곳', '소프', '얼굴', '다시', '보고']","['오래되다', '이러하다', '좋다']","['밝다', '보다', '하다', '싶다']"
"전에도 좋았지만 바뀐 영상도 좋아요!!!!
파니니 기계 구매욕이 ㅠㅠㅠㅠ 
집에 둘 데도 없는데 큰일 났네요 ㅎㅎ","['영상', '파니니', '기계', '욕', '집', '큰일']","['좋다', '좋다', '없다']","['바뀌다', '나다']"
좋았어!! 이제 파니니 기계만 사면 되겠다!!!!,"['이제', '파니니', '기계', '사면']",['좋다'],['되다']
어우야!~~~,['어우'],[],[]
온도몇도로하신건지 궁금해요ㅜㅜ 비슷한그릴있는데 온도를 못찾겟더라구요,"['온도', '도로', '신건', '온도']","['궁금하다', '비슷하다']","['그리다', '찾다']"
"몇년전 : (불닭볶음면) 콜록 콜록, 어우 야!! 이거 어떻게 먹어 ㅠ","['년전', '불닭볶음면', '어우']",['어떻다'],['먹다']
