comment,noun,adj,verb
"델리햄이 생각보다 퍽퍽해서 먹기가힘들더라구요ㅠ
짜파게티는 잘 끓여서먹었어요 다음에 파김치랑 먹어봐야겠어요!!","['델리', '햄', '생각', '퍽퍽', '먹기', '짜파게티', '다음', '파김치']",['힘들다'],"['하다', '자다', '끓이다', '먹다', '먹다', '보다']"
"At the end of the day we are all human beans.

And together we will rice

Lettuce pray

Ramen",[],[],[]
"Start eating : 00:20
Cheers : 10:50

Thanks.",[],[],[]
소아당뇨인데 떵갸님 보면 웃음꽃이 활짝 ! 떵개님 답글 받아보고 싶네요😎 제 꿈이 떵갸님 처럼 먹방 유튜버가 되는것인데 할 수 있겠죠 ? 이 병은 완치가 어려운 병이래요.. 그래도 희망잃지 않으며 살아가려고 해요!,"['소아당뇨', '떵갸님', '웃음꽃', '활짝', '떵', '개님', '답글', '보고', '꿈', '떵갸님', '처럼', '먹방', '유튜버', '병', '완치', '병', '희망', '해']","['있다', '어렵다']","['보다', '받다', '싶다', '되다', '하다', '잃다', '않다', '살아가다']"
"아는맛이라 더무서운 그맛...
짜파게티에 계란후라이 4개총총총😔😍","['맛', '맛', '짜파게티', '계란후라이', '개', '총총']",['무섭다'],['알다']
알람보다 알고리즘이 살길이다,"['알람', '알고리즘', '살길']",[],[]
"トンゲさんもうすぐで、
チャンネル登録者数400万人‼︎🎉
今日のメニューも美味しそうで、食べてみたい〜🤤体に気をつけて頑張ってください！",[],[],[]
6:39 i dont know why i liked that,[],[],[]
배우신분 떵개님,"['배우', '신분', '떵', '개님']",[],[]
아따 여기가 소리좋고 맛있게 먹는곳 맜습니다?!푸드파이팅!!🍳🍲🌭,"['아따', '여기', '소리', '곳', '맜습니', '푸드', '파이팅']","['좋다', '맛있다']",['먹다']
지상 최고의먹방을 보고 계십니다,"['지상', '최고', '먹방', '보고']",['계시다'],[]
진짜 제대로 드시네....,['제대로'],[],['들다']
예전에는 소리좋아서 보기 시작했는데 이제는 고통스럽다ㅠㅠ,"['예전', '소리', '보기', '시작', '이제']","['좋다', '고통스럽다']",['하다']
"👄👅♪♬いつも美味しそうな食動画ありがとう😊❤️
今日食べた物と数
ジャパゲッティ🍝
目玉焼き🍳　　　　→４個
テリハム🥩　　　　→４個",[],[],[]
"하... 왜 맨날 맛있는 것만 드시는 거에요,,,ㅠㅠ 다이어트 중인디ㅠㅠ 떵개떵 화이팅~~!!!","['다이어트', '중인', '디', '떵개떵', '화이팅']",['맛있다'],['들다']
4등 컹쓰,['컹쓰'],[],[]
"Eating show, how u can eat all of them. It is too much for me 😁😅",[],[],[]
오늘은 술한잔 하면서 보는 먹방이라 괴롭지않네요ㅎㅎ 아~ 후식으로 짜파게티 먹어야겠어욤♡♡ 떵개님 사시는 상지에서 마시는데 한번 마주쳤음좋겠네요 같이 먹바하게욤ㅋㅋ,"['오늘', '술', '한잔', '먹방', '후식', '짜파게티', '욤', '떵', '개님', '사시', '상지', '한번', '바하', '욤']","['괴롭다', '좋다']","['하다', '보다', '않다', '먹다', '마시다', '마주치다', '먹다']"
인스턴트 음식만 먹어서 그런지 몇년새애 얼굴이 폭삭 늙었네요 건강한 음식 위주로하세요^^..,"['인스턴트', '음식', '애', '얼굴', '폭삭', '음식', '위주']","['그렇다', '건강하다']","['먹다', '늙다', '하다']"
아 지리는 조합이다 다이어트중인데 돌아버릴지경,"['조합', '다이어트', '지경']",[],"['지리다', '돌다', '버리다']"
8분전!,[],[],[]
"짜파구리도 한번 드셔보세요
맛있어용^^","['짜파구리', '한번']",['맛있다'],"['들다', '보다']"
떵개님 아우어베이커리에 있는 더티초코 드셔주시면 안될까요? 떵개님이 드시는 거 보고싶어요!!,"['떵', '개님', '아우', '베이커리', '더티', '초코', '떵개님']","['있다', '안되다']","['들다', '들다', '보다']"
델리햄 퍽퍽해도 떵개님이 드시면 왜케 맛나보이졍🥳,"['델리', '햄', '퍽퍽', '해도', '떵개님', '맛', '나보이', '졍']",[],['들다']
일찍왔다.. 다이어트때 보면 은근힐링,"['일찍', '다이어트', '은근', '힐링']",[],"['오다', '보다']"
떵개님 요즘 땀을 너무 심하게 흘리는거 같아요ㅠㅠ 건강 챙기시고 있는거죠?,"['떵', '개님', '요즘', '땀', '건강']","['심하다', '같다', '있다']","['흘리다', '챙기다']"
마지막 물 드실때 옷에 땀이 ㅋㅋ...,"['마지막', '물', '옷', '땀']",[],['들다']
저 언더아머 모자가 한 10개 있으신건가? 매번 영상에 저 모자를 쓰고 오시네,"['머', '모자', '개', '건가', '매번', '영상', '모자', '오시']",['있다'],"['하다', '쓰다']"
초심 잃지 않고 꾸준히 영상 올리시는거 너무 좋아요 ㅠㅠ 앞으로도 응원할테니 힘내세요 !!❤,"['초심', '영상', '응원']","['꾸준하다', '좋다']","['잃다', '않다', '올리다', '하다', '힘내다']"
햄이 데드풀 같이 생겼네,"['햄', '데드풀']",[],['생기다']
중간에 물이나 음료수 좀 마셨으면 좋겠어요!!,"['중간', '물이', '음료수']",['좋다'],['마시다']
씨앙 이건 고문이라우!,"['씨', '고문', '라우']",[],[]
첫 댓글,"['첫', '댓글']",[],[]
형 하루똥안 3끼안먹고 저녁에 몰아치기하세요???,"['형', '하루', '똥안', '저녁']",[],"['끼다', '먹다', '몰아치다', '하다']"
"떵개님. 짜장면 몇개나 바삭한빵4개 계란도 4개, 다똑같은 엄청 드시니까 혹시 배부르지 생각도 하시네요.~","['떵', '개님', '짜장면', '몇개', '바삭', '빵', '개', '계란', '개', '혹시', '생각']","['똑같다', '배부르다']","['들다', '하다']"
아...배고프다..,[],['배고프다'],[]
صحه هنا ربي بس دع قناتي كمان الله يوفقك انا فقير جدن جدن جدن  ارجوك  رابط قناتي تحت وشكرن 💚💛💜❤💙👍👍👍👍👍👍👍👍👍,[],[],[]
