comment,noun,adj,verb
"자막은 설정에서 활성화 해주세요 💗

안녕하세요 복희예요 🥰
날이 더워서 시원한 음식이 마구마구 땡기는 요즘 ,, 오늘은 살얼음 동동 올라간 막국수가 먹고싶더라구요 🙃
물막국수랑 비빔막국수 둘다 먹고싶어서 집 근처 봉평메밀막국수집에서 주문 !
명태회무침으로 쫄깃함 한번 잡고 무절임과 오이채, 열무김치까지 곁들이니까 아주 풍성한 비빔막국수를 먹을 수 있었어요 👏🏻
거기에 부들부들한 수육 한점(으론 아쉽고 두 점^^)이면 끝났쥬? 
매콤새콤한 비빔막국수로 입맛을 돋구고 살얼음 동동 물막국수로 마무으리 ~!
조금은 거친듯하면서도 연약한 씹는 식감도 좋고 구수한 메밀향도 은은하게 나는게 정말 맛있더라구요 🤗
오늘도 너무 맛있어서 정신줄 놓고 흡입했네요,,^^,, 잘먹었습니당 🙏🏻💕

Hello everyone ! This is Boki 🥰
These days, it is so hot that I can only think of cool food💦
So I brought spicy and sweet makguksu and cold buckwheat noodles.
I ordered it from a restaurant near my house and brought it with ice so I could eat it coolly !
I wanted to eat meat together, so I prepared boiled pork.
It was good to start with spicy and sour,  and finish with something cool 😆
Enjoy your meal too 🙌🏻

🍎복희 daily instagram🍎 @_luvmun
🍒Mukbang instagram🍒 @eatwithboki","['자막', '설정', '활성화', '복희', '날', '음식', '요즘', '오늘', '살얼음', '동동', '막국수', '물', '막국수', '비빔', '막국수', '집', '근처', '봉평', '메밀막국수', '집', '주문', '명태', '회', '쫄깃함', '한번', '잡고', '무', '절임', '이채', '열무김치', '아주', '비빔', '막국수', '거기', '수육', '점', '두', '점', '이면', '끝났쥬', '매콤', '콤', '비빔', '막국수', '입맛', '살얼음', '동동', '물', '막국수', '마무', '으리', '조금', '식', '메밀', '향', '정말', '오늘', '정신', '흡입', '복희']","['안녕하다', '덥다', '시원하다', '성하다', '있다', '부들부들하다', '아쉽다', '연약하다', '좋다', '구수하다', '은은하다', '맛있다', '맛있다']","['해주다', '땡기다', '올라가다', '먹다', '두다', '먹다', '무치다', '곁들이다', '먹다', '돋다', '거치다', '하다', '씹다', '감다', '나다', '놓다', '하다', '먹다']"
Who's watching this while on fasting??? 🙋🏽‍♀️,[],[],[]
"Boki on her first bowl of noodles.
Me: oh she's almost done eating 😢
Boki: Pours the 2nd batch of noodles.
Me: shookd Calm down gurl!
🤣🤣🤣 I underestimated Boki's eating capacity. 🤣",[],[],[]
"""Let's continue eating😋""

Me: ""Let's continue starving😤""",[],[],[]
Who’s laying hungry on bed?,[],[],[]
"boki: “lets continue eating”

sis what have u been doing",[],[],[]
"Does she have really strong lungs it something , how can she slirp those noodles like that ʘ‿ʘ",[],[],[]
I used to not have an appetite when it comes to eating....I could stay the whole day without eating but these videos definitely gave me an appetite...I used to be underweight but now I’m gaining weight...❤️❤️,[],[],[]
"""My mouth is full of happiness""
Again, ""Her EYES is full of happiness""",[],[],[]
You know the foods good when she smiles after taking a bite,[],[],[]
복희님 안녕하세요 이거 혹시 복희님이 허락하신건가 싶어서 댓글달아봅니다.. 제가 일본 게임을 좀 해서 광고를 볼때 일본 광고가 가끔씩 나와요 그런데 다이어트 약? 같은 광고 였는데 거기 문복희님이 한입만 하는 영상이 잘려서 나오더라고요 이 먹방 유튜버는 우리 다이어트 약먹고 살뺀다 같이요 캡쳐 다 해놨고 필요하시면 메일로 보내드리겠습니다 만약 허락 하신거라면 죄송합니다 문복희님이 보실 수 있게 위로 올려주시면 감사하겠습니다,"['복희', '혹시', '복희', '허락', '건가', '일본', '게임', '광고', '볼때', '일본', '광고', '가끔', '다이어트', '약', '광고', '거기', '복희', '입', '영상', '먹방', '유튜버', '우리', '다이어트', '약', '캡쳐', '메일', '만약', '허락', '복희', '위로']","['안녕하다', '같다', '살빼다', '같다', '필요하다', '죄송하다', '있다']","['하다', '싶다', '댓글달다', '보다', '하다', '나오다', '이다', '하다', '잘리다', '나오다', '먹다', '하다', '보내다', '드리다', '하다', '보다', '올려주다', '감사하다']"
She's very feminine and clean when eating that makes me more hungry uwaaaa 🤤,[],[],[]
"Her face:😊
her mouth:🌀",[],[],[]
"""Boki has only korean supporters""
Every international supporters of Boki, where u at!!!!!! 💞",[],[],[]
오 ㅏ... 진짜 먹짱 전공출신이신가. 비빔 다 먹구 거기에 물막국수 넣어서 먹을 줄이야. 진짜 보키언늬 찐이야 찐 ㅠ,"['짱', '출신', '비빔', '거기', '물', '막국수', '보키언늬']",[],"['먹다', '먹다', '넣다', '먹다', '찌다', '찌다']"
She takes out her plate from the side like a weapon overall it's a sudden attack ;-;,[],[],[]
My mouth is watering when I watch Boki take big bites and eat all this delicious Korean food 😍 the noodles with the meat look super tasty!,[],[],[]
When I grow up I want to have Boki's ability of picking up sauce with chopsticks.,[],[],[]
Have you noticed that in all of her videos she takes more then 1 million views?,[],[],[]
아니 원래 내 내일 점심 메뉴가 보쌈인걸 어떻게 알고...? 오늘의 명언...’삶의 의미는 삶은계란을 먹기위해...’,"['원래', '내일', '점심', '메뉴', '보쌈', '알', '오늘', '명언', '삶', '의미', '계란', '먹기', '위해']","['아니다', '어떻다']",['삶다']
When Boki didn’t add eng sub but you’re still watching it,[],[],[]
면의 시작과 끝점을 정확히 보는분인데 어딜봐서 씹뱉의혹인지.. 편집된부분 잘보면 씹어서 목구멍으로 삼키는 소리가 딱딱 다 맞아떨어지는데?! 부러우니까 배아리꼴리는 소리들 하지말자^^,"['면', '시작', '끝점', '의혹', '편집', '부분', '목구멍', '소리', '소리']",['정확하다'],"['보다', '보다', '씹다', '뱉다', '되다', '보다', '씹다', '삼키다', '맞다', '떨어지다', '부르다', '배다', '꼴리다', '하다']"
"WHO ELSE THINKS BOKI IS GORGEOUS??🙋🏻‍♀️🙋🏻‍♀️

small youtuber here",[],[],[]
"Request: Instant noodle from Indonesia like Indomie(any-kind), Spicy Noodle, Chicken Noodle(mie ayam), bakmi, or other. Whether you can make any food from Indonesia, like sate, rendang, ketupat, gado gado, seblak, etc
please Bokii, It doesnt have to be fast, but another time u will upload it.
Thank youu, Mbak(miss) Bokii :*",[],[],[]
she can fit a lot in her skinny and fragile body 😂,[],[],[]
"입안에 저렇게 많은 음식이 들어가는데 겉보기로는 입안 가득 먹은티가 1도 안나는게 레전드,,,,","['입안', '음식', '겉보기', '입안', '가득', '티', '레전드']",['많다'],"['들어가다', '먹다', '알다']"
