닉네임,댓글,좋아요수,날짜
DJ후니의ONAIR개그지식채널,"진짜 무슨 요리든 설명가능하고, 솔루션이 가능한것을 볼때마다 정말 노력많이 하시고, 이 자리까지 오신게 매번 느껴집니다ㅎ 오늘도 좋은 요리꿀팁 감사합니다ㅎ",238개,2020. 6. 2.
요리채널화덕남,"맛있는거 + 맛있는거 + 맛있는거
살아있습니다 선생님",52개,2020. 6. 2.
윙가르디움레비오우사,제목이 다했다.. 이 조합이라면 뭘해도 성공 아닌가유😆 제목만으로도 침주루룩...🤤,139개,2020. 6. 2.
이태양,백종원님 채널을 보고 우리아버지가 저녁을 항상해주십니다. 저희 아버지와 유대감을 가지게 해주셔서 감사합니다,114개,2020. 6. 2.
여니츄,"저희집에 김치 스팸 달걀만 있는거 어찌 아시고,,,
냉장고 털이 제대로 했습니다 😂😂 
간단하니 대유맛입니다 감사해요 슨생님",42개,2020. 6. 2.
봉이네TV,"평소 덮밥, 볶음밥 엄청 좋아해서 집에서 자주 해서 먹을 때 마다 제육덮밥 , 김치볶음밥이였는데 스팸마요덮밥 알려주셔서 감사합니다ㅎㅎ
부모님과 동생 저녁으로 만들어주고 요리 잘하는 척 하러 가볼게요 👋👋",17개,2020. 6. 2.
Sol,따로따로 먹어도 맛있는 걸 합치다니... 오늘 저녁메뉴로 당첨입니다^_^,19개,2020. 6. 2.
LovelySu,"팀장님... 빨간순대볶음은 언제...?
목 빠지게 기다리고 있어요ㅠㅠ",114개,2020. 6. 2.
오소,"어떤 댓에서 봤는데 이쯤되면
우리의 저녁식사를 지정해주는게 분명하다.",167개,2020. 6. 2.
미니미minimi,마요네즈 써서 약간 미안하면 파를 쓰면 되는 건가요 ㅋㅋㅋㅋㅋㅋㅋㅋ,31개,2020. 6. 2.
한접시뚝딱,다른요리도 잘하지만 가성비 좋은요리쪽은 최고인듯 ㅎ,42개,2020. 6. 2.
홍댱,청양고추ㅠㅠㅠ잘게잘게썰어서 넣으면 맛있겠다ㅠㅠㅠㅠ,44개,2020. 6. 2.
NASA빠진우주퀸SpaceQueen,1일 1🔔👍,23개,2020. 6. 2.
방구석대학생STUDIO,2:47 저거 고기즙인거 21살인 지금 저 영상 보고 처음 알았네ㅋㅋㅋ 어릴 때부터 저게 뭔가 싶어서 계속 궁금했는데,18개,2020. 6. 2.
기분좋으면골골송부르는러시안블루,혼자사는 사람으로서 진짜올려주셨으면 했던건데 정말 감사합니다 맛있게막을께요~!,48개,2020. 6. 2.
설유라,뿌주부님 이제 부대찌개 하실때가 된거같습니다. ㅎ 제발 부대찌깨좀 ㅠㅠ,60개,2020. 6. 2.
쿡찌,"하실때도 행복하시지만
드실때.. 우어 세상 행복해보이심ㅠ",7개,2020. 6. 2.
슈퍼로더SuperRoader,"""안녕하십니까 백종원 입니다"" 진짜 개당당 포스!! 👍👍👍",41개,2020. 6. 2.
아이린엄마투유Irenemom45toyou,아니 오늘 마트에서 스팸사온지 어찌 아시고 ㅋㅋㅋㅋㅋ ❤️❤️ 오늘 저녁 각입니다!!!,12개,2020. 6. 2.
MealDrink밥술한잔,설탕을 사알짝~! 잘견뎌 냈어요.ㅋㅋ(이미 살짝아닌디?),14개,2020. 6. 2.
황혜정,3:30 등짝스ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9개,2020. 6. 2.
페이보릿TV,2:11 와 스팸 저렇게 빼는거 였구낭,30개,2020. 6. 2.
수꽃,헐 팀장님 쵝오.. 제가 너무나좋아하는 조합이얌...,32개,2020. 6. 2.
