닉네임,댓글,좋아요수,날짜
애주가TV참PD,오늘 저녁 9시! 드디어 봄 암꽃게 3KG 도착!!!  24시간 굶고 먹어보겠습니다. 놀러오세욧!!,279개,2020. 5. 13.
김동욱,아 ㅋㅋㅋ 내가 자주 시켜먹던걸 참피디님이 리뷰하는게 이런 느낌이구나 ㅠㅠㅠㅠ,50개,2020. 5. 13.
DanielKang,헐 홈페이지 트레픽초과 ㄷㄷ,35개,2020. 5. 13.
JEONGEUJIN,1+1이 아니에요 두개 가격이에요. 여기 4마리 구매하고자하시면 3마리 사시는게 좋아요. 3+1이라서,320개,2020. 5. 13.
홍주인,이거 운빨이 심합니다. 냄새 나는 닭이 올때도 있고 화학약품 냄새가 심할때도 있고 양념은 짠 정도이며 어떨땐 약간 쓴맛과 쩐맛도 날때가 있습니다. 저는 재수가 없어서 세번중 두번 망했습니다. 참고하세요.,23개,2020. 5. 13.
MansuJang,오 시즈닝이 된 닭을 시중에서도 파는구나,57개,2020. 5. 13.
HMY,아 이거 맨날사먹던건데 이제 품절되겟다...ㅠ,15개,2020. 5. 13.
fmelqp,"지금 실검에 떴네 참피디님 인기가ㄷㄷ하네
+어이쿠 이런 댓글에 좋아요가 30개나 넘게;;;
+70개나... 감사합니다!!!",90개,2020. 5. 13.
totw,아무리 참형님이 추천해도 살까 말까 고민하는 제품들이 꽤 있었는데 이건 걍 묻지도 따지지도 않고 바로 주문때렸습니다. 이건 살 수 밖에없네요 진짜..,6개,2020. 5. 13.
탈모인간,다이어트고 나발이고 이건 치킨을 사랑하는 사람으로서 안살 이유가 없네요,59개,2020. 5. 13.
Shavin,07:42 육즙 터지는거 보소,44개,2020. 5. 13.
이크크,"구어조은닭 많이 먹어봤는데 보통은 냄새안나는걸로 오는데
뽑기 실패하면 냄새나는거 올떄도 있어서 뽑기운이 좀 있어야합니다.
그리고 냉동 했다가 해동해서 데우면 냉동특성상 맛이 떨어져서 냉장으로 먹는걸 추천!
바로 배달온거 냉장으로 먹으면 진짜 굽네랑 똑같",77개,2020. 5. 13.
LeafEp,"일단 에어프라이어 큰거 있으셔야되고
냉장보관하시면 유통기한 많이 짧습니다
3+1 이런거 사시면 4일동안 매일 구워드셔도
마지막날 갸우뚱 하실수도 있음..",42개,2020. 5. 13.
구름위의달,"와, 이건 그냥 보면서 시켰습니다. 먼저 시키신 분들이 많아 언제올지 모르지만 기대되네요 ㅎㅎㅎㅎㅎㅎㅎ",20개,2020. 5. 13.
황순중,"11번가에서 3+1로 구입 완료했습니다.
아유 침 고여~",5개,2020. 5. 13.
MSK,청양고추가 핵심인듯 ㅋㄱㄲㄱㄲ맛잇겠다,28개,2020. 5. 13.
하이,오늘꺼 너무좋네요ㅠㅠ 잘시켜먹겠습니다!!,7개,2020. 5. 13.
최종혁,아..에어프라이기가없는데ㅠㅠㅠ,8개,2020. 5. 13.
조조진성,"여태까지 네번정도 주문해서 먹어봤는데
냉장닭이라 그런가 받자마자 매번 냉장고에 넣어도 생각보다 빨리 상하드라구요
유통기한 써져있는거보다 이틀정도 서둘러서 소진하셔야 함",47개,2020. 5. 13.
상헌이,여기 진짜 맛있어요 쟁여놓을맛;;,36개,2020. 5. 13.
김혜원,혹시 무김치는 어디서구매하셨나요ㅠㅠㅠㅜ,10개,2020. 5. 13.
송소로송송,"아 너무 늦게봤다... 알람 설정 안했던 나 반성...
나중에 물량 풀리면 삽니다... 사이트도 안들어가져...",1개,2020. 5. 13.
etsoo,다행이다. 밤늦게본게아니라서..근데 꽃게는 어떻게 견디며보냐..ㅎㅎ,2개,2020. 5. 13.
생화,바로 시켰습니다..기대되네욥,5개,2020. 5. 13.
다린,에어프라이어용이지만 통돌이오븐에 구워도 괜찮지 않을까 싶네요,2개,2020. 5. 13.
jasonchung,자주 사먹는건데 구입하셔서 얼리시면 안됩니다. 얼렸다 풀리는순간 냄새 납니다. 한번에 드실만큼만 사셔서 드시는걸 추천합니다.,27개,2020. 5. 13.
김병선,좋은 장보 감사해요~~~,4개,2020. 5. 13.
룬아틱,이야 진짜.요즘 세상참 좋아졌어요 집에서 치킨을 ㅋㅋㅋㅋㅋㅋㅋㅋ 항상 감사합니다.,0개,2020. 5. 13.
한잎LEAF,개꿀맛이겠누~~~~~~~,4개,2020. 5. 13.
인덱스,그가 온곳은 품절이된다..,1개,2020. 5. 13.
,요새 치킨 이만원대인데 맛잇겟다ㅠㅜ,1개,2020. 5. 13.
곽두광,광고안해도 광고를 해버리네 주문폭주 ㅁㅊ ㅋㅋㅋㅋ,1개,2020. 5. 13.
ChungALee,요즘 몸이 아파서 금주인데 술은 못 마셔도 안주는 시켜야겠네요ㅋㄱㅋ,1개,2020. 5. 13.
아니이걸,참피디형 형님이 쓰는 에어프라이어 제품이 뭔지 너무 궁금해요 ㅠㅠ 제품 정보 좀 ㅠ,2개,2020. 5. 13.
이미연,이거 t m o n 에서 1+1 10900원에 팔아요 차이걀제하면 2000원 할인도 해서 8900원이에여 사먹어봤는데 맛있어요 영상 올라온거 보고 당분간 주문폭주할까봐 헐레벌떡 하나 주문하고 왔어요,23개,2020. 5. 13.
권윤재,"옛날에 동명의 치킨브랜드가 있었는데, 관련이 있을 수도 있지 않을까요?",0개,2020. 5. 13.
정인아,흐어..  땡초 조합... 💚😭 암것도 안찍고 땡초랑만 먹어도 갸꿀맛일듯요 😭 ㅊㅊㅊ 👍,0개,2020. 5. 13.
mQ,아 이거 잘먹고있었는데..품절과 서버다운되겠다ㅜㅜ,1개,2020. 5. 13.
김성찬,"오 신기하네요!!
제가 전부터 이용했는데 
지짜 가성비갑입니다!!!
3+1 위메프입니다",18개,2020. 5. 13.
킴바보,6:54 엄청 맛있게 드시네요 ㅎ ㅎ ㅎ,0개,2020. 5. 13.
성사신,이거 우리집 즐겨먹었는데 이제 다팔리겠네ㅠ,3개,2020. 5. 13.
한충일,이야~~~진짜 맛있겠다....,0개,2020. 5. 13.
Wizard,요즘닭가슴살만먹다보니까 왜치킨이맛없어보이지...ㅜㅜ,1개,2020. 5. 13.
칠레인,형이거 염지돼있는데 튀겨먹는것도 리뷰해줘요,1개,2020. 5. 13.
암살장인텔론하는탈론,0:17 초 처럼 무전기로내는목소리 같은거 어떤프로그램쓰는건가요?,0개,2020. 5. 13.
