comment,noun,adj,verb
같이한잔 시리즈는 녹진이들과 라이브방송에서 편하게 같이한잔하는 컨텐츠로 평소와는 다른텐션일수있습니다♡ 굿나잇,"['한잔', '시리즈', '라이브', '방송', '한잔', '컨텐츠', '평소', '텐션', '굿나잇']",['편하다'],"['녹다', '들다', '이다']"
다른 사람들과 비교하지말고 참피디님 말씀한대로 정말 내가 즐거워지면 되는 거죠!!  ㅎㅎㅎㅎ정말 같이 한잔 하면서 끄덕끄덕 하면서 보고 갑니다!.....,"['다른', '사람', '비교', '피디', '말씀', '대로', '정말', '정말', '한잔', '끄덕', '끄덕', '보고']",['즐겁다'],"['하다', '차다', '되다', '하다', '하다', '가다']"
"아효.. 우리 남편이 매번 참피디님 드시는거마다 다음날 먹자고 난리에 밤마다 잠못드는데 오늘은 갑자기 굴보쌈 굴보쌈 하길래 설마 하고 들어와보니 혹시나가 역시나네요ㅠㅠ,, 내일 차돌박이 먹고싶었는데 굴보쌈 먹어야함.. 둘이 짠할 때도 무조건 참참참임..","['효', '우리', '남편', '매번', '피디', '다음', '날', '난리', '밤', '오늘', '갑자기', '굴', '보쌈', '굴', '보쌈', '설마', '혹시', '내일', '차돌박이', '굴', '보쌈', '무조건', '임']","['역다', '야하다', '짠하다']","['차다', '들다', '먹다', '자다', '들다', '하다', '하다', '들어오다', '보다', '나가다', '먹다', '먹다', '차다', '차다', '차다']"
와...김치 보는데 순간 침이 싹 고였다 ....야밤에 넘 고통스러워요ㅜㅜㅜ,"['김치', '순간', '침', '싹', '밤']","['곱다', '고통스럽다']","['오다', '보다', '넘다']"
형님 한달전에 올리셨던 오크리에이터스 지원영상 보고 바로 지원했는데 합격했어요!!!!! 멘토링 받을때 형님이랑 같이 참참참 해보고싶어요.....어제 곱창 영상 보고 바로 시켰더니 운이 터진거 같아서 오늘 보쌈도.....바로 가겠습니다 형님!,"['형님', '달전', '크리에이터', '스', '지원', '영상', '보고', '바로', '지원', '합격', '멘토링', '형님', '어제', '곱창', '영상', '보고', '바로', '운', '오늘', '보쌈', '바로', '형님']",['같다'],"['올리다', '하다', '하다', '받다', '차다', '차다', '차다', '해보다', '시키다', '터지다', '가다']"
참이슬 프레쉬 200ml용기를 디자인한 디자이너 입니다 그걸 드셔서 너무 뿌듯하네요ㅠㅠㅠㅠ,"['참이슬', '프레', '쉬', '용기', '디자인', '디자이너']","['이다', '뿌듯하다']",['들다']
이 시간에 이걸 본 내가 죄다....,"['시간', '걸']",[],['보다']
항아리보쌈인거 같네요.ㅋ 제가 생각하는 보쌈 원탑 입니다 ㅋ,"['항아리', '보쌈', '생각', '보쌈', '탑']","['같다', '이다']",['하다']
짜겟지?  고기를 더 넣으면 되지 ㅋㅋㅋㅋ,['고기'],[],"['짜다', '넣다', '되다']"
공부하다 지쳐서 왔는데 9:07 보고 힘이 나네요. 감사합니다!,"['공부', '보고', '힘']",[],"['하다', '지치다', '오다', '나다', '감사하다']"
3:40 크.. 배우신 분,[],[],"['크다', '배우다']"
