comment,noun,adj,verb
"1탄 안보신분들 많으신거같은뎅 음식이나 스타킹 요런거 어디서 구한지는 밑에 영상인 1탄 보시면 다나옵니당 :)
안녕하세요 엠브로입니당
오늘은 무인도편 2탄입니당 후후 이제 무인도편은 요렇게 2탄으로 마무리가 되었습니다
촬영 하는데 시간도 엄청 길었고 그거 봐주신 구독자님들도, 8시간 넘는 영상 보고 편집 이쁘게 해주신 편집자님도 감사합니다
영상을 재미있게 만들고싶은 마음이 가득가득했는데 무인도편은 개인적으로 촬영을 저희가 다 하다보니
부족한 부분도있었지만 그래도 개인이 들고다니는 카메라로 어설프게 촬영 해서 더욱더 1인미디어 같은느낌이 팍팍들었던거같아욥
다음에도 재미난 영상으로 제공하도록 하겠습니당
+)그리공 석쇠판과  버너 버리고 가주신분들 진짜 감사합니다..
버너같은경우는 너무 오래되서 불이 안붙을줄알았는데.. 기적같이 녹슬은 판 사이에서 붙어서 너무좋았습니다
*사승봉도 같은경우는 개인사유지에용 그래서 관리인의 허락하에 캠핑이 가능한곳입니당
저희는 사전에 촬영 동의및 허가를 받고 진행한 부분에있습니당 :)
이제 다음영상은 농촌라이프 봄소풍 편 업로드 될 예정입니당 재미난 영상으로 찾아뵙도록 할게욥
고럼 다들 좋은밤들 되시구요 오늘도 늦게까지 시청해주신분들 너무너무 감사합니다","['안보', '신분', '뎅', '음식', '스타킹', '구한', '밑', '영상', '보시', '다나', '엠', '브로', '오늘', '무인도', '편', '이제', '무인도', '편', '마무리', '촬영', '시간', '그거', '독자', '영상', '보고', '편집', '편집자', '영상', '마음', '가득', '무인도', '편', '개인', '촬영', '저희', '부분', '개인', '카메라', '촬영', '더욱더', '인', '미디어', '느낌', '욥', '다음', '재미', '영상', '제공', '공', '석쇠', '판', '버너', '가주', '신분', '버너', '경우', '불', '기적', '판', '사이', '사승봉도', '경우', '개', '인사', '유지', '관리인', '허락', '캠핑', '곳', '저희', '사전', '촬영', '동의', '허가', '진행', '부분', '이제', '다음', '영상', '농촌', '라이프', '봄', '소풍', '편', '업로드', '예정', '재미', '영상', '욥', '럼', '밤', '오늘', '시청', '신분']","['많다', '같다', '안녕하다', '이다', '이다', '길다', '이쁘다', '재미있다', '가득하다', '부족하다', '있다', '어설프다', '같다', '같다', '같다', '오래되다', '좋다', '같다', '가능하다', '이다', '있다', '이다', '좋다']","['타다', '타다', '오다', '타다', '타다', '되어다', '하다', '보다', '들다', '넘다', '해주다', '감사하다', '만들다', '하다', '보다', '들다', '다니다', '하다', '들다', '하다', '하다', '그리다', '버리다', '감사하다', '붙다', '알다', '녹슬다', '붙다', '받다', '되다', '찾다', '뵙다', '하다', '들다', '되다', '늦다', '해주다', '감사하다']"
다음번에는 3일무인도 살기 이런거어때요? 너무재미있을듯 슬기님이랑 브로님이랑 사다리타기해서 무인도 체험 극과극 이런거? 너무좋을것같아요 ㅎㅎㅎ,"['다음', '살기', '슬기', '브로', '사다리타기', '무인도', '체험', '과극']","['이렇다', '어떻다', '재미있다', '이렇다', '좋다', '같다']",['하다']
저였으면 흙 묻은 삼겹살은 바닷물에 씻어서라도 다시 구울거 같아요ㅋㅋㅋ,"['흙', '삼겹살', '바닷물', '어서', '다시', '구울']",['같다'],"['이다', '묻다', '씻다']"
"엠브로님 기회된다면 편집자님도 한번 경험해 보는게 나쁠거 같지 않아요
새벽 5시에 출발해서 밤 6~7시에 탈출하는 방식으로요
거기다가 편집은 엠브로님 슬기님이 따로 만들어서 역으로 보내버리는식 어떠세요?","['엠', '브로', '기회', '편집자', '한번', '경험', '새벽', '출발', '밤', '탈출', '방식', '거기', '다가', '편집', '엠', '브로', '슬기', '역', '보', '식']","['나쁘다', '같다', '어떻다']","['되다', '하다', '보다', '않다', '하다', '하다', '만들다', '내버리다']"
"MBRO is Big, Eats Big, and deserves Bigger Subscribers! 🥰🥰  Who else wants a MBRO Q&A? 🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️",[],[],[]
비속어가 난무하는 무인도 체험기 찐리얼이다 너무 올바른 컨텐츠 잼께봤어요!,"['비속어', '난무', '무인도', '체험', '기', '리얼', '컨텐츠', '잼']",['올바르다'],"['하다', '찌다', '보다']"
이래서 엠브로를 사랑한다니깐 컨텐츠  미쳤어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['엠브로', '사랑', '컨텐츠']",['미치다'],['하다']
"이쯤에서 범주이 직업이 므꼬?ㅋㅋㅋㅋㄲ
이번판 진짜 개웃기네","['이쯤', '범주', '직업', '므꼬', '이번', '판', '기네']",[],[]
먹방 컨텐츠의 신세계..,"['먹방', '컨텐츠', '신세계']",[],[]
편집자 개구리짤 나올때마다 웃겨죽겠네 ㅋㅋㅋㅋㅋㅋ,"['편집자', '개구리', '죽겠네']",[],"['나오다', '웃기다']"
