comment,noun,adj,verb
"안녕하세요 여러분 오늘은 멕시카나 두 번째 불닭신상 까르보불닭치킨을 준비했습니다. 가격은 멕시핀(다리로만) 기준 다리8개 22000원(행사기간 서비스로 핫도그 하나씩 주셨는데 어머니가 드셨음)입니다. 
 영상 보시면 하시겠지만 색깔이 엄청 맵게 생겼죠? 그래서 첫입 먹기 전에 좀 많이 긴장하고 먹어서 그런지 생각보다 맵지 않아서 맛있게 촬영 했습니다! 맵기의 정도는 확실히 얼마 전 촬영 했던 불닭치킨보다 훨씬 덜 매웠고 약간의 까르보 그 특유의 크림 맛도 나서 저는 적당히 매움을 느끼며 맛있게 먹었습니다. 그리고 이렇게 매운 치킨과 가장 잘 어울리는 짜장면 역시 최고의 조합 이였습니다. 
 짜장면에도 까르보불닭소스를 뿌려서 먹었는데 전체적으로 핵불닭이나 불닭보다 훨씬 맵지 않아서 고통스럽거나 힘들게 촬영 하지 않았고 맛있게 잘 먹었습니다^^ 저라면 다음에 또 시켜먹는다면 불닭보다는 까르보불닭치킨을 시켜먹겠어요! 왜냐 덜매우니까! ㅋㅋ 그럼! 다음영상에서 만나요! 
감사합니다, Thank you very much. Cảm ơn, ขอบคุณค่ะ/ครับ, धन्यवाद,,  ありがとうございます, 谢谢,  Terima Kasih 
사랑합니다 I love you, Anh yêu em, รักนะครับ, आप से प्यार करता/करती हूँ , あいしています, 我爱你。
힘내요 Cheerup. Vui lên. がんばって. ออกแรง (किसी काम से टकराने या निरंतर करते रहने के लिए) बल बटोरना, हिम्मत .  bertenaga. 加油
www.instagram.com/semosemo77","['여러분', '오늘', '멕시카', '두', '불닭', '신상', '르보', '불닭', '치킨', '준비', '가격', '멕시핀', '다리', '로만', '기준', '다리', '개', '행사', '기간', '서비스', '핫도그', '하나', '어머니', '영상', '보시', '색깔', '맵', '입', '먹기', '긴장', '생각', '맵', '촬영', '맵기', '정도', '얼마', '촬영', '불닭', '치킨', '덜', '약간', '까르보', '특유', '크림', '맛', '움', '치킨', '가장', '짜장면', '역시', '최고', '조합', '짜장면', '르보', '불닭', '소스', '전체', '핵', '불닭', '불닭', '맵', '촬영', '라면', '다음', '불닭', '르보', '불닭', '치킨', '덜', '매우', '다음', '영상', '사랑']","['안녕하다', '이다', '그렇다', '맛있다', '확실하다', '맵다', '적당하다', '맛있다', '맵다', '고통스럽다', '힘들다', '맛있다', '그렇다']","['끄다', '하다', '주다', '들다', '하다', '생기다', '먹다', '않다', '하다', '하다', '나서다', '느끼다', '먹다', '자다', '어울리다', '이다', '끄다', '뿌리다', '먹다', '않다', '하다', '않다', '자다', '먹다', '시키다', '먹다', '끄다', '시키다', '먹다', '만나다', '감사하다', '하다', '힘내다']"
I TRIED TO EAT CHIKEN LIKE THIS BUT I DISLOCATED MY JAW,[],[],[]
Me when my crush tells me a not-funny joke 9:13,[],[],[]
"Who loves chicken with a dip of spicy?

I love it",[],[],[]
"0:57 
Starts eating",[],[],[]
The black bean noodles with the fire chicken look so delicious!! Love his big bites and messy eating— he looks so happy to eat the food 😍,[],[],[]
A great combo if I ever saw one!,[],[],[]
"When you see those foods you think that this you is not that skinny or something. (It's not a problem)
BUT THEN YOU SEE THAT PROFILE PICTURE AND DANG",[],[],[]
"Finally😍
Im hungry now
Love from indonesian fan🇲🇨",[],[],[]
"I’ve been noticing for a while. Even though You ate much calories, you still had muscular. Can you film yours while working out ? I was curious ! How to keep ur muscle ? Whatever I still watched ur vdo through. Btw enjoy ur meals.",[],[],[]
