,youtube_id,comment,like_num
0,항문에마요네즈뚜껑을껴서별똥을싸보자,이성잃고 라면만 드시느랴 채팅창 잘못보니까 어떤분이 '라면이냐 우리냐!!'라던ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,288개
1,Rosy,다이어트중인데 햇님언니 영상 볼때마다 난 왜 저렇게 안먹어보고 다이어트 시작했을까 항상 후회함,177개
2,Morai모라이Ordell,"나와 동갑인 그대는 첫 라면을 3봉5란으로 나를 새로운 세계로 이끌었고...
쇠고기면 쳐다도 안보던 나를 한인타운 마켓으로 이끌어 진라면 순한맛 매운맛 을 비롯 그대가 먹는 모든라면을 사들이게 하였소.
라면마다 곁들이는 달걀갯수와 넣는 방법
옆접시에 담긴 단무지와 김치 가끔씩 등장하는 여수출신 총각무
라면은 살찐다는 생각에 멀리해온 나를 
밤에 물올리며 임신 14주이니 먹어도 괜찮다고 다독이고 있소이다. 
입덧후 시간 날때마다 한인마켓가서 장봐오게ㅜ만드는 그대의 방송은 미국인 남편이 오늘저녁도 한식이구료 하듯 강제급식이되오.
더이상 남편에게 뭐먹고싶어 묻지않는 나를 발견하고 있소이다.",220개
3,지야짱,"라면은 오뚜기...
진라면 열라면 참깨라면
오뚜기 면이 쫄깃해요
따로 파는 라면사리도 오뚜기 라면사리가 젤 쫄깃하고 맛남",98개
4,김세영,썸네일ㅋㅋㅋㅋㄱㅋㄱㅋㅋ 무심코 보다가 87개인 줄 알았아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,99개
5,0교시자취영역0CLASS,지금 물 끓이러 갑니다,91개
6,김MY,점심으로 삽겹살 항정살 멕시코 음식을 먹고 저녁에는 계란+떡 참깨라면 8봉 게다가 에그타르트까지....🤭🤭,145개
7,뇸뇸뇸,46:08 8개 정도면 저도 질린답니다ㅋㅋㅋㅋㅋㅋ 입이 짧아서ㅠㅠ 언니 넘 귀여운거 아니냐구요ㅠㅠ 누가 8개 먹고 질려요ㅠㅠㅠㅠ,63개
8,얌얌냠냠,03:16 구르구 지금 계란을 좀 많이 넣어가지구 ㅎㅎㅎㅎㅎㅎ 말투 넘 기여워요 언니,86개
9,,이 시간에 라면.. 보면 진짜 미춰버리는거죠,5개
10,채유지,햇님님 미간주름 사랑합니다.. 후,4개
11,,"2:40 참깨라면
4:23 김치
5:02 파김치 & 참깨라면
6:58 깍두기
8:37 물
14:49 밥
25:36 떡라면 완성!!
28:54 떡",80개
12,갬은지라이프,라면 8봉을 첫입부터 마지막까지 마쉿게 드시네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,42개
13,,"asmr들으면서 자려다가 홀린듯 들어와벌임 ,,",4개
14,,19:09 항상 느끼는 건데 뜨거운 거 드실 때 입 홈뇸뇸 하시는 거 진짜 귀여우셔요ㅋㅋㅋㅋㅋㅋㅋㅋ,49개
15,도은서,아니 진짜 마싯는 거 먹고 싶을 때마다 햇님 님 먹방 보면 미쳐버릴 것만 같음... 침 줄줄,30개
16,VannieEats,"The ramen noodles look really tasty, I want to try some 😍",10개
17,쩐시,"대식가를 위해,, 라면 다섯개를 한봉지에... 스프도 한개만 넣으면 되게.. 그렇게 나오면 편하겠다......스프랑 조미유 넣는것도 일이네용 헤헤헤 참깨라면 진짜 너무 맛있숴...........온니 라면먹는 소리 들으면서 잠들게요...🥰",38개
