comment,noun,adj,verb
"А ты тренируешься, перед тем как съесть такие порции? )))",[],[],[]
"I feel like in every episode, tzuyang gets prettier and prettier.",[],[],[]
"Tzuyang looks the cutest eating that giant piece of meat!! It’s so big, and she’s so small, but she devours it all!😍😂",[],[],[]
"1:00
Start eating 👍",[],[],[]
"After watching one vlog of her

: okay I need to see more of her",[],[],[]
"역시 사람은 관리를해야 하눈거임 와 저족발은 대박크다 ㅎㅎㅎ 야채를 싫어하는대  볼때마다 
놀라고 잇는 중이에요","['역시', '사람', '관리', '눈거임', '족발', '대박', '야채', '볼때', '중이']",['싫어하다'],"['하다', '오다', '크다', '놀라다', '잇다']"
하아.... 내가 왜 지금 이걸 눌렀을까......,"['지금', '걸']",[],['누르다']
i couldn't imagine when shes getting older and still need to eat that much 😂😅,[],[],[]
저 다리를 가진 돼지가 한 사람에게 먹힐거라고 상상도 못했겠지,"['다리', '돼지', '사람', '상상']",[],"['가지다', '하다', '먹히다', '하다']"
"Rn, my wisdom teeth and entire mouth are in pain, so I can’t really eat unless it’s soup, and watching this is making my day 😌",[],[],[]
1:02 Start Eating  ❤❤❤,[],[],[]
머리 묶으니까 뭔가 nae 속이 시원하지 왜? why? 너무 깔끔하고 단정하니 pretty해요,"['머리', '뭔가', '해']","['시원하다', '깔끔하다', '단정하다']","['묶다', '속이다']"
와.... 첫모습 보자마자 머리 묶은거 존예 더 예뻐진거같은데...사랑스럽다,"['모습', '머리', '존예']","['예쁘다', '같다', '사랑스럽다']","['오다', '보다', '묶다']"
tzuyang is one of the most beautiful mukbangers and no one can change my mind 😩❤️,[],[],[]
"I never knew that a female putting food in her mouth, and stating how it taste can be so sexy. Good lookin out. LMBO. 🤪🤪🤪🤪 Tommy like.",[],[],[]
I'll watch tomorrow since there are no Subtitle XD,[],[],[]
"꺄아 쯔양님 족발 먹방 얼마나 기다렸게요 >< ❤️
항상 응원합니다 👏🏻👏🏻👏🏻👏🏻👏🏻","['꺄', '쯔양', '족발', '먹방', '얼마나', '항상', '응원']",[],"['기다리다', '하다']"
Everything that goes into your mouth looks tasty 😆 I believe If u eat stone it will still look tasty... Love from Nagaland 🤣🤣,[],[],[]
She looks like korean series actress ❤️ she is so pretty n funny. Im watching all her mukbang vedios.,[],[],[]
"머리 묶으니까 많이 이쁘네
음식들 분위기랑도 너무 찰떡이네","['머리', '음식', '분위기', '찰떡']",['이쁘다'],['묶다']
💞💞💞😍She is so funny and sweet.,[],[],[]
You look good with your hair tied up in a ponytail.🤗😁,[],[],[]
"I'm ready to sleep and then there's Tzuyang's notif popped up...


(❤🇵🇭)",[],[],[]
머리묶으니까 더 귀여워졌네 ㅇ으ㅡ아,['머리'],['귀엽다'],['묶다']
이야 이렇게 드시는데 살이 안찌는 이유는 뭘까.그리고 소화를 시키는 방법은 뭘까? 나만 이런 생각을 하는건가?,"['살이', '이유', '뭘', '소화', '방법', '뭘', '생각', '건가']",['이렇다'],"['들다', '찌다', '끄다', '시키다', '끄다', '하다']"
형님 다이어트중인데 너무함니다 ㅠ,"['형님', '다이어트']",['너무하다'],[]
머리묶은게 대박이쁨,"['머리', '대박']",['이쁘다'],['묶다']
와 ㅠㅠ 진짜 너무 맛있게 드셔서 진짜 저번에도 말했듯이 너무 군침이 ㅠㅠ 진짜 사랑해용ㅠㅠ 쯔양님이랑 만나는게 소원 입니다 ㅠㅠㅜ 근데 만날수있을지 ㅋㅋ 너무 이쁘세요 ㅠㅠ,"['저번', '말', '군침', '사랑', '쯔양', '소원']","['맛있다', '이다', '이쁘다']","['오다', '들다', '하다', '하다', '만나다', '만나다']"
누나 머리묶은거 진짜 이뻐서 나 죽어..,"['누나', '머리']",['이쁘다'],"['묶다', '죽다']"
11:14 여기 진짜 뭔소리지 이히히ㅣ히 이런소리들리는데,"['여기', '소리', '소리']",[],['들리다']
그래서 이 족발 집 어딥니꽈~,"['족발', '집', '어딥니꽈']",[],[]
"0:26
주유야...
돌아왔구나!",['주유'],[],['돌아오다']
진짜 누나 너무예쁘고 귀여우세여...,"['누나', '우세']",['예쁘다'],[]
