comment,noun,adj,verb
"첫입 1:18, Start eating 1:18 
돼지국밥이 땡겨서 포장해왔는데 반찬을 너무 
여러가지 주셔서 부추랑 김치만 꺼내놨어요~ㅎㅎ 
 
※ 유튜브 보다가 맛있어보여서 떡마리(?) 여러종류
시켜서 먹어봤는데 제 입맛엔 통모짜마리가 젤 
맛있었어요~ ㅋㅋ
 
 ★예상질문★
Q: 찜기 어디서 사셨어요?
A: 쿠팡에서 보쌈찜기 검색해서 구매했어요~
(개인화로에 고체연료 넣고 계속 따듯하게 먹으면 
더좋은데 고체연료가 다 떨어졌더라구요 ......ㅋㅋ)
Q: 짜장이 어디갔어요??
A: 뒷부분에 나와요~~
(영상 찍기전에 밥 많이먹었어요🤣🤣🤣)
Q: 에어프라이어에요? 오븐이에요?
A: 보토 에어프라이어 14L
 
★자주하는 질문★
Q: 몇살이에요? 직업이뭐에요? 남자친구있어요? 
결혼했어요? 등등
A: https://www.youtube.com/watch?v=VEKcM1LP7SQ (햄지's Q&A) 
Q: 사용하는 제품 (주방도구,강아지장난감,악세사리 등등) 어떤건가요?
A: 제가 댓글확인을 웬만해서는 하려하는데 못보고 지나가는것도 많이 있어서 대답을 못해드린분들도 많을꺼에요~ 
인스타로 디엠주시면 사진이나 링크 보내드릴게요♥
Q: 앞에 뭐보면서 드시는거에요??
A: TV음소거하고 보면서 촬영하고있어요~ 
(시선처리때문에)
 
오늘도 시청해주셔서 감사합니다❤😍","['입', '돼지국밥', '포장', '반찬', '여러가지', '부추', '김치', '유튜브', '보', '떡', '마리', '종류', '입맛', '통모', '마리', '젤', '예상', '질문', '쿠팡', '보쌈', '검색', '구매', '개인', '화로', '고체', '연료', '계속', '고체', '연료', '짜장', '어디', '부분', '영상', '밥', '에어', '프라이어', '오븐', '보토', '에어', '프라이어', '자주', '질문', '살이', '직업', '남자친구', '결혼', '등등', '햄', '사용', '제품', '주방', '도구', '강아지', '장난감', '악세사리', '등등', '건가', '댓글', '확인', '대답', '인스타', '디엠', '주시', '사진', '링크', '음소거', '촬영', '시선', '처리', '때문', '오늘', '시청']","['맛있다', '맛있다', '좋다', '있다', '웬만하다', '있다', '많다']","['땡기다', '해오다', '주다', '꺼내다', '보다', '시키다', '먹다', '보다', '짜다', '찌다', '사다', '찌다', '하다', '하다', '넣다', '따다', '하다', '먹다', '떨어지다', '가다', '나오다', '찍다', '먹다', '하다', '하다', '하다', '하다', '보다', '지나가다', '해드리다', '보내다', '드리다', '보다', '들다', '보다', '하다', '해주다', '감사하다']"
She looks genius.😂 I think she so cool while using sunglasses everyday.,[],[],[]
"Ну и как они не толстеют?! Я ем в день тарелку риса и овощи, а она за один приём пищи съела дохера еды. И при этом не удивлюсь если она ещё и похудела. Не справедливо!❤",[],[],[]
"would you please indicate what are names of the food you eat so that we know what is name of the food there in korea..
Happy eating Hamzy😍",[],[],[]
"テイクアウトですかね？
いいなぁ！
韓国は本当に色んなテイクアウトあって、羨ましいです(*^^*)",[],[],[]
Except for a tour of your house with me like you love,[],[],[]
Hamzy looks so adorable in those glasses!! 💖 I love how Hamzy eats a variety of Korean cuisine each day instead of the same foods (Fire noodles etc). It’s really entertaining to watch her eat and I am introduced to new korean dishes each day 😍 Thank you Hamzy my fave eater 💖💖,[],[],[]
"She doesn’t even want to look at the camera, like c’mon I’m here suffering from being hungry, do not just ignore me like that ☹️😂",[],[],[]
ヘムちゃん❤️チャジャン君❤️こんにちは(*ˊᵕˋ*        ╮(｡￫‿Ő｡)💕免疫力つきまくりそうな料理を口いっぱい食べる姿がめちゃくちゃかっこええ👍🏿😉👏👏👏👏👏👏👏👏💖💖💖💖💖💖💖最高‼️,[],[],[]
Who want to try it too? 🙋,[],[],[]
気取ってないかんじがすごくいい,[],[],[]
"サムネイルの時点では日本語でタイトル出てるのに、開くとタイトルと説明書きが日本語表記されなくてツラい😢
前は見れてたのに。。
寝ぼけてどこか押してしまったのかも？😓",[],[],[]
항상 느끼는건데 햄지님은 뜨거운거 개 잘먹음 ㅠㅠㅠㅠ 맛있게 함냐 하는것도 좋고 편하게 먹는것도 좋구 내 최애💕 요리하는 스타일도 시원시원하고 씹을때마다 이마근육 씰룩대는것도 너무 귀여우심.....아.....나 내일 순대국밥 각이다.....말리지마셈 ㅠㅠ,"['항상', '햄', '개', '함', '최애', '요리', '스타일', '근육', '여우', '심', '내일', '순대', '국밥', '셈']","['뜨겁다', '맛있다', '좋다', '편하다', '좋다', '시원시원하다']","['느끼다', '지니다', '먹다', '하다', '먹다', '하다', '씹다', '씰룩대다', '말리다']"
점점 마법의 날이 찾아오니까 식욕이 엄청땡기더라구요 ㅠㅠㅠ 저도 돼지국밥 한사발 먹고싶네용 ㅠㅠㅠ,"['점점', '마법', '날', '식욕', '돼지국밥', '사발']",[],"['찾아오다', '땡기다', '먹다', '싶다']"
"국밥엔 쏘주 일 잔 해야하는디~~~~
햄지님 땜에 국밥 마려워요;ㅅ;...","['국밥', '잔', '햄', '땜', '국밥', '마려워']",[],"['쏘다', '하다', '지니다']"
"今日のご飯も美味しそう✨
韓国に行ったら今までHamzyが食べた物を食べてみたいなぁ💖",[],[],[]
ニラキムチとネギキムチいつか食べてみたい。美味しそうだなー。,[],[],[]
たくさん食べてもヘルシーだから体に良さそう🌟,[],[],[]
how to make the white soup.. its look like yummyyy,[],[],[]
"햄지님 짜장이 장난감 발로 툭~~ㅋㅋ
짜장이가 혀로 밥그릇에 낼름 하는건 나름 복수?일꺼라는 건 나의 상상♡","['햄', '짜장', '장난감', '발', '짜장', '혀', '밥그릇', '낼름', '나름', '복수', '건', '상상']",[],"['지니다', '하다', '이다']"
I was really hope that I love to eat veggies 😭,[],[],[]
Hamzy I think you should mention the ingredient's name that you are adding 😋,[],[],[]
Looks amazing as usual Hamzy!! Hope everything is good for you over in your country try. Things are slowly going back to some sort of normal here in Florida...as always love your channel and the pup!! 🥰🥰🤗,[],[],[]
Asmr your dog while he eats his food hahaha love it.,[],[],[]
"気取ってない食べ方好き(*^ω^*)
ワンちゃん可愛い😆",[],[],[]
How can she eat that hot food like wait a minute till it’s cool down abit,[],[],[]
"ニラキムチの歯応えが最高😁🎶
モチもうまそー💯",[],[],[]
I get hungry when I watch her eat! Yummy..Thanks for giving the ingredients!That soup looks so good 😍,[],[],[]
크 역시 햄지 맛잘알... 같이 소주 먹구시퍼유,"['역시', '햄', '맛', '소주', '유']",[],"['크다', '잘알다', '먹다']"
This lady can even make an alien get hungry 😑,[],[],[]
Never tired of your mukbangs 😊,[],[],[]
술 마시고 들어와서 씻고 딱 누워서 유투브를 트는 순간 이런 영상이 뜨면 저는 다시 배고파집미나.. 내일 해장은 국밥 각이네유,"['술', '유투브', '순간', '영상', '다시', '집', '미나', '내일', '해장', '국밥', '유']","['이렇다', '배고프다']","['말다', '들어오다', '씻다', '눕다', '틀다', '뜨다']"
"デザート(？)重め😂
今日も美味しそう&かわいい💕💕",[],[],[]
나는 당신을 많이 사랑합니다💞,"['당신', '사랑']",[],['하다']
Who are watching on laying on bed,[],[],[]
"Basically she is eating chives with rice, not rice with chives 😂 

In tgis video her rice is just a condiment 😄",[],[],[]
"Imagine hamzy heart this 🤩🤩🤩
Loveyou Hamzy from philippines to korea💖💖💖",[],[],[]
I like the way she eat and i like to watch the food items,[],[],[]
Im always watching ur mukbang and I always waiting ur new mukbang 😘😘😍❤️,[],[],[]
"Hola, Hamzy me encanta ver cómo cocinas ✨❤",[],[],[]
"이 시간에 돼지국밥에 수육 봐버렸어요ㅠ
영상에서 한식이 많이 나와서 한식을 알리는데에 일조하는 것도 애국하는 길이라고 생각해요 그래서 너무 좋아요 외국인들이 봤을때 이쁘게 생긴 작은 아가씨가 뭘 저렇게 맛있게 먹나 궁금할테니까요 (탕후루나 당고같은 옆나라 음식은 이젠 그만 봤으면 했거든요) 요즘 날이 계속 꾸리꾸리해서 국밥생각 났었는데😋","['시간', '돼지국밥', '수육', '영상', '한식', '한식', '일조', '애국', '길이', '생각', '외국인', '아가씨', '뭘', '탕후', '루나', '당고', '옆', '음식', '젠', '요즘', '날', '계속', '꾸리', '꾸리', '국밥', '생각']","['좋다', '이쁘다', '작다', '맛있다', '궁금하다', '같다']","['보다', '버리다', '나오다', '알리다', '하다', '하다', '하다', '보다', '생기다', '먹다', '보다', '하다', '하다', '나다']"
いつも美味しそう！！水キムチの作り方が知りたいです！！,[],[],[]
ソルロンタン美味しそう✨毎回思うんですがニラのあえもの食べたい✨美味しそう😋,[],[],[]
"부추 씹는소리 무엇;;
으..참기 힘들다ㅋㅋㅋ","['부추', '소리', '무엇']",['힘들다'],"['씹다', '참다']"
"今日も美味しそうなクッパモッパン嬉しいです😆
ニラキムチも日本人の私には辛いんですけど、ヘムジちゃんの動画を見てると食べれちゃう♥️",[],[],[]
ニラキムチ？和え物？おいしそうすぎてレシピ教えてほしい！あー好き,[],[],[]
I'm dying to make green onion kimchi 🤤,[],[],[]
"蒸し豚美味しそう🤤
私も大好きです☺️👍🍀
最後に食べてたのはチーズ？👀",[],[],[]
Your soup and t-shirt colour suits XD,[],[],[]
"It looks yummy 😋 I don't know what you are eating but I too want to eat 
Love from INDIA, Hyderabad",[],[],[]
How agrees she looks like Irene when she wears glasses,[],[],[]
"Hamzy Sweetie, dont be sad. I watch every single video of you and your puppy💕🐶 I look forward to seeing YOU everyday faithfully.   Your my absolute favorite💕🥓🍚🥘",[],[],[]
Getting so hungry with all the foods they are all so delicous.,[],[],[]
"Hello Hamzy, my favorite mukbangers :) watching here from Philippines 😘",[],[],[]
I want this glasses😂😁,[],[],[]
食いしん坊万歳! 今日は眼鏡だから可愛い♥️,[],[],[]
Hello idol...I miss your vedio..Im so thankful to you for making me happy everytime I watch your new upload.. And also you recognized me every time I comment you..that's why I love your YouTube vedio compare to other mukbang.. Keep it up idol we love you from Philippines God bless you always..,[],[],[]
