,youtube_id,comment,like_num
0,한별Hanbyul,"🌹오늘도 놀러 와 주셔서 감사합니다🌹
더보기란에 이벤트+각 제품 정보 꼭 확인 해 주세요!



아..! 인스타에 원래 다음 영상 인테리어라고 했는데!ㅋㅋㅋㅋ ㅠㅠㅠ
인테리어 영상 편집이 조금 덜 되어서 스케쥴이 어긋 나 버렸네요 힝..ㅠㅠㅠㅠ😢
다음주 주말 전에 새 집 인테리어 하는 과정 영상 들고 올게요!


오늘 영상은 두달 전부터 준비 했던 영상이에요❤️
재밌게 봐주시구 이벤트도 꼭 참여 해 주세요오!
그럼 다음주에 또 만나요!!!",223개
1,선,학생들을 위한 저렴이 시리즈별로 찍어주세요ㅠㅠ!! 데님말구 티나 아우터 같은 것두..!,369개
2,오돌쇠TV웃고싶으면제채널오삼,"맨날 같은 티만 입으세네요


프리티",400개
3,ArtistaTeaAre,"You are a fashion genuis, I've never seen a YouTuber that understand clothes like you do, please keep going cause you are amazing!🤩",4개
4,윤하,저 청바지 고르고 고르는 중이였던건 어떻게 아시구 ..😏😏❤️💖❤️,218개
5,YennneY,안그래도 동생이 새내기인데 학교도 못 가고 옷도 뭘 사야될지 모르겠다며 우울우울해하던데 이참에 언니 영상 보여주고 별별이하라고 해야게써요😍,5개
6,JeNNi99,"Hi I'm From Iraq 🙆‍♀️🇮🇶💖🇰🇷
Y CUTE",15개
7,송혜린,네 제가 바로 청바지살까 하던 학생입니다 한별 언니 사랑해요!!!❤,7개
8,김희경,그냥 옷만 잘 입고 설명만 잘 하는게 아니라 패션에 대해서 제품에 대해서 지식이 엄청 뛰어난거 같다 덕분에 영상을 안볼 수가 없잖아요 ..,30개
9,Yuri,"코디 진짜 한별님답게 너무너무 이쁜데, 착용샷 시간이 짧아서 아쉬워요ㅠㅠㅠㅠㅠ",23개
10,UJinKim,18:23 갑자기 청바지가...!!ㅋㅋㅋㅋ,25개
11,푸항항,나만 진짜 이건 그럴만하다 말고는 3만원만 넘으면 비싸보이는거에요???예???백수학생이기때문인가요?????,3개
12,oonY,착용컷 시간이 너무 짧아서 아쉬워요 ㅠㅠ 한별님 하울 항상 유익해서 제일 좋아요♥️,21개
13,JennaYoon,4:35 다리를 들어내는게 아니라 드러내는거 아닌가요?ㅋㅋㅋㅋㅋㅋㅋ,6개
14,닉네임없음,언ㄴ ㅣ 학생들을 위한 맨투맨 하울도ㅜㅠㅠㅠㅠ제에베에에에베ㅏㄹ 해주세요ㅠㅠㅠ,22개
15,지유,"반바지도 추천해주세요 ㅠㅠ😭😭😭
여름에 입을 바지가 없어요 ㅠㅠ,,,,😭",12개
16,NoelanyJen,울언니 데님핏 어떡할거야ㅠㅠㅠㅠㅠ 제 캠퍼스 여신님이 여기에ㅠㅠㅠㅠㅠㅠ 언니ㅠㅠㅠㅠㅠㅠㅠㅠㅠ💜💜💜💜💜💜,3개
17,YJH,한별님이 옷 리뷰해주시는게 저는 제일 좋아요ㅠㅠㅠㅠ 너무 재밌고 유익해요ㅠㅠㅠ 영상 잘 봤습니다!!!♡,12개
18,NinaGonzles,Cool 👍,1개
19,Electronics,한별님 영상 업로드 12초 후에 보다니! 영광입니다💖,28개
20,다현,헉 언니 학생들을 위한 데님 추천에 바로 그 학생이 접니다ㅠㅜ❤너무 고맙고 소중한 우리 언니 사랑해요❤,14개
21,초밥,사랑해욤❤️❤️❤️❤️❤️❤️❤️❤️❤️,21개
22,형나,양반다리 리뷰 왜이렇게 좋죠ㅋㅋㄱㅋㅋㅋ 편하게 앉아서 조곤조곤 말씀하시는거 너무좋아요!❤️,1개
23,은하,아이러브유❤❤,2개
24,두리에,"느끼는건데 옷 추천만 하는게 아니라 데님의 역사, 각각 옷마다 어떻게 코디하면 좋은지,체형에 따라 코디하는 법도 알려주세요 진짜 감사해요❤️ 이렇니 한별님 안볼수가 있나요!(ﾉ^ヮ^)ﾉ*:・ﾟ✧",3개
25,그뮹,언니가 입은건 다 예뻐보이는 magic같은 현상...,1개
26,이윤희,"요즘 청자켓 보고있는거 어떻게 알고 딱 이렇게 영상이 올라오다닝!! 한
별X데님은 그저 사랑입니다💙",1개
27,AmyOrtega,"Hanbyul, u look so pretty 💕

Edit: as expected, your videos are always so helpful, with many tips, examples and details to think about, tnksm. uwu🙌🏻",0개
28,이고은,살아났구마이이이이잉!!!! 패션한별 말해뭐해 최고된다최고 !!!!! 언니 사랑해용♥,25개
29,세림,데님 너무 좋아ㅠㅠㅠㅠㅠ 한별님 오늘도 유익한 영상 감사합니다💙💙💙,4개
30,꿀곰탕,머리부터 발끝까지 너무예쁘신 한별님ㅜㅜㅠ  배경두 너무 예뻐요ㅜㅜㅠ 빨리 홈투어영상 만나보고싶습니다😍😍💖💖,1개
31,GraceLum,I love your style💕 thank you for sharing with us during this time 💓,0개
32,김지현,한별님 ㅜㅠㅠㅠ영상 진짜 재미있게 보는 구독자인데 왜 다이아 페스티벌 영상이라든지 몇개의 브이로그가 없어진 거 같죠...??ㅠㅠ 너무 재미있어서 계속 다시보기 했는데 없어져서 너무 아쉬워요ㅠㅠ..혹시 다시 보이게 해주시면 안 되나요..??,1개
33,halfmoon,한별님 진짜 너무 애정하고 사랑해요ㅜㅜ이번 데님 영상도 넘넘 좋네용♡,1개
34,주주주,한별님 패션 영상 진짜 좋아하는데ㅠㅠㅠㅠ 오늘도 힐링하고 패션팁도 알아갑니다아 사랑해용❤️,1개
35,Melody,"헐 제가 데님자켓이 있었는데 솔직히 조감 부담스럽고, 어떻게 매치해야 멋스러운지 몰라서 한참을 방치해뒀거든요!! 근데 영상 보니까 어떻게 입어야할지 감이 잡혀서 너무 유용했어요ㅠㅜ 게다가 데님 목으로 둘레재는거 완전 꿀팁..집에 허리가 남는 바지랑 저한테 맞는 바지랑 비교해뵜는대 확실히 차이나더라고요.. 오늘도 영상 잘봤어요 감사합니다♥",10개
36,만융,몰라 그냥 너무 좋아 ㅜㅜ 사랑해요 언니😭😭😭😭,1개
37,고눙굥,옷 코디 진짜 잘하시는..패션 센스 배우고 싶어요오오ㅠㅠ❤️😭,4개
38,햇살아른,일곱시간 동안 카페 알바 갔다와서 보는 언니란... 진짜 행복하게 만들어주네용❣️,3개
39,글쎄,악 너무 이쁜거아닙니까,1개
40,이지은,0:15 가방 너무 이뻐요ㅜ 어디꺼에요?,2개
41,Alice,"중딩때부터 보던 별별인데 벌써 성인이 됐어요 항상 예쁘고 좋은 영상 보여줘서 너무 좋고 앞으로도 패션뷰티영상, 두번째별 영상 등 많이 보고싶어요 🥰",0개
42,성빈,헐 언니 이런 영상 주제 진짜 좋아요ㅠㅠ 안그래도 여름 오면서 데님 사려고 했었는데!!,0개
43,사다바리,언니 예뻐우ㅠㅠㅠㅠ,0개
44,채원,옷사야했는데... 언니짱❤,0개
